eco_max,emerg_max,total_committed,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,total_gen,total_losses,wind_generation_mw,solar_generation_mw,forecast_load_mw,prelim_load_avg_hourly,mw,mcp,mcp_capped,as_req_mw,total_mw,as_mw,ss_mw,ircmwt2,nsr_mw,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,actual_flow,sched_flow,inadv_flow,system_energy_price_rt
173935.2,175147.8,171707.2,9.08,3.85,85167.456,145.92224,377.83787,209.48176,219.35932,3930.16,3225.76,77306.036,236.4,29.346,139.521,23381,24496.8,2209.587,0,0,2594.5,3501,2101.2,77,1399.8,1708,29.15,29.27,-0.27,0.39,0,77,77,19.32
173409.5,174639.9,171707.2,13.23,0.85,84028.342,369.31747,372.56736,211.66274,210.00128,5580.14,807.03,77557.136,229.3,45.993,310.622,22506,24256.4,2157.25,0,0,2584,3494,1982.8,77,1511.2,1708,27.2,28.24,0.65,0.39,0,74,74,16.99
172629,173886.1,171707.2,20.49,0.93,83980.933,27.82498,384.62282,251.88772,183.94157,8921.44,813.17,78518.168,232.1,70.098,362.325,22892,24124.9,2166.451,0,0,2564.5,3480,2079.1,151,1400.9,1707,27.5,27.98,0.06,0.42,0,72,72,18.76
172262.5,173544.7,171707.2,9.5,1.14,84410.8,3015.25285,382.02187,261.40071,172.16385,4107.2,1054.69,79165.422,234.4,96.886,366.212,22892,24200,2177.25,0,0,2551,3471,2060.7,151,1410.3,1707,26.25,26.78,0.12,0.41,0,60,60,19.79
172278.4,173646.1,171707.2,10.33,2.73,84578.66,56.76435,373.63763,260.00538,165.67142,4422.89,3021.42,79063.266,233.3,115.646,357.625,22892,24436,2198.612,0,0,2545,3467,2065.5,151,1401.5,1707,25.46,25.97,0.13,0.38,0,61,61,19.91
171990.7,173369.2,171707.2,5.64,0,85095.364,557.34165,377.89548,265.42201,167.56766,2436.59,0,79296.042,228.7,119.043,333.126,22892,24894.4,2241.719,0,0,2537.5,3462,2068.2,151,1393.8,1707,25.43,26.04,0.17,0.44,0,55,55,20.05
171131.5,172517.9,171707.2,8.78,0.52,85506.577,83.6963,395.62888,263.222,194.30913,4007.24,1905.21,79902.822,234,138.037,235.967,22142,25497.7,2279.862,0,0,2531.5,3458,2052.2,151,1405.8,1707,26.17,26.65,0.03,0.45,0,61,61,19.72
171131.5,172521.3,171707.2,17.88,2.96,85338.305,188.56021,519.80067,306.22457,300.97872,10864.08,5722.1,82914.796,245.8,173.382,92.244,22769,26997.6,2354.831,0,0,2551,3471,2170.1,77,1300.9,1707,29.79,30.51,0.28,0.44,0,68,68,22.43
171441.7,172860.4,171707.2,14.16,3.63,83940.763,833.13526,515.3836,303.66609,301.94113,8581.81,5069.18,87012.891,254,230.139,5.95,22769,29181.5,2516.675,0.02,0.02,2570.5,2570.5,1384.3,77,1186.2,412,34.76,35.94,0.71,0.47,0,61,61,28.33
171915.5,173315.5,171707.2,17.68,1.94,81654.909,78.89936,530.63488,302.84464,320.53466,11038.87,4318.89,88352.389,259.8,295.287,-1.903,22769,29453.8,2562.4,0.02,0.02,2594.5,2594.5,1391.3,77,1203.2,412,34.15,35.38,0.81,0.42,0,60,60,29
176308.3,178226.3,171707.2,11.24,3.54,79475.38,96.99707,535.79692,297.65826,329.75735,7101.66,4772.63,87792.845,261.6,338.951,-1.935,22769,29285.7,2555.21,0,0,2611,3512,2153.9,77,1358.1,1708,33.61,35,1.01,0.38,0,66,66,26.35
176474.8,178249.2,171707.2,15.48,3.46,78201.589,1.84974,538.06723,297.02322,332.26902,9800.42,6082.8,86864.867,266.2,301.82,-1.933,22105,28849.5,2519.417,0,0,2621.5,3519,2137.3,77,1381.7,1708,31.97,34.09,1.63,0.49,0,54,54,28.72
176515.1,178259.5,171707.2,2.67,0.88,77780.54,172.00912,356.61716,285.57126,131.24497,1111.44,892.81,84568.791,271.4,340.878,-1.913,22913,28055.2,2471.626,0,0,2627.5,3523,2085.5,77,1437.5,1708,28.69,31.36,2.15,0.52,0,33,33,22.4
177014,178707.4,171707.2,0,0,78121.457,0,354.13238,115.84715,0,0,0,82299.552,263.8,403.579,-1.948,22913,26933.6,2386.626,0,0,2633.5,2633.5,1150.9,114,1482.6,361,28.37,29.41,0.44,0.6,0,34,34,31.21
177020,178709.6,171707.2,0.51,0.84,79159.373,2.78061,362.68673,289.24018,132.583,218.48,980.1,78763.123,252.4,474.661,-2.937,22913,25640.6,2304.561,0,0,2639.5,2639.5,1203,151,1436.5,361,28.03,28.91,0.16,0.72,0,55,55,21.96
169060.7,170843.9,171707.2,7.04,4.84,81013.093,442.13198,381.51414,247.32293,195.04004,3146.28,4535.81,76339.806,255.2,582.195,-1.955,22913,24626.9,2204.532,0,0,2645.5,3484,2418.6,77,1065.4,1657,23.79,24.37,-0.11,0.69,0,52,52,21.47
168896.7,170808.5,171707.2,18.97,2.01,83733.233,61.41056,534.38403,326.93732,288.21904,11659.64,3626.88,75169.724,253.4,585.065,-2.88,22691,24032.6,2162.783,0,0,2650,3487,2188.6,77,1298.4,1657,22.51,23.08,-0.05,0.62,0,36,36,20.78
169146.3,171126.5,171707.2,20.62,2.46,87029.807,4773.67156,545.66832,325.52017,301.25749,12917.17,5956.72,74180.498,246.6,595.922,-1.899,22383,23747.4,2138.628,0,0,2650,2650,1665,77,985,361,21.69,22.27,-0.01,0.59,0,29,29,19.79
169325.9,171298.6,171707.2,39.44,2.75,89969.536,12498.89855,538.47403,326.70325,290.9731,24327.17,5454.01,74002.272,249.6,669.03,-1.868,23439,23738.9,2105.623,0,0,2656,2656,1760.7,77,895.3,361,21.71,22.31,0,0.6,0,11,11,20.06
169815,171683.7,171707.2,23.08,0,91840.801,1600.47297,586.81289,333.87793,338.32913,15518.72,0,75149.552,262,636.787,-1.921,23439,24165.6,2147.057,0,0,2662,2662,1764.6,77,897.4,361,21.77,22.44,0.05,0.62,0,8,8,21.26
170754.7,172295.6,171707.2,17.44,2.48,92840.797,2374.01587,534.26608,349.04718,262.97563,10744.27,3191.03,77425.389,270.5,574.995,-1.842,23439,25159.4,2269.665,0,0,2668,3499,2475.3,77,1023.7,1657,23.16,23.98,0.2,0.62,0,29,29,23.09
171529.9,172790.5,171707.2,54.11,1.32,93377.369,3631.96239,556.14522,419.31747,216.63592,34486.13,3476.91,80991.472,293.6,536.197,-1.901,23439,26559.8,2375.837,0,0,2672.5,3502,2301.8,40,1200.2,1657,26.96,27.95,0.29,0.7,0,11,11,26.75
171545.2,172745.7,171707.2,57.67,0,92726.475,1984.17825,539.71468,326.81948,289.72682,35677.64,0,83307.817,294,516.335,-1.906,23593,27532.8,2486.514,0,0,2668,3550,2381.1,40,1168.9,1708,28.47,30.01,0.85,0.69,0,10,10,33.88
172613.3,173789.9,171707.2,25.59,4.24,88492.217,2427.69502,545.41255,390.43351,230.74657,15877.93,5557.91,84489.495,284.5,497.304,9.917,23208,28016.8,2465.786,0,0,2645.5,3535,2061.2,40,1473.8,1708,28.12,30.07,1.21,0.74,0,18,18,27.14
173098.3,174279.5,171707.2,5.69,0,86425.873,410.58397,371.68003,273.52015,149.65692,2421.64,0,84520.709,270.8,513.093,71.572,24137,28087.6,2447.571,0,0,2617,3516,2251.4,40,1264.6,1708,27.58,29.7,1.56,0.56,0,25,25,24.92
172309.5,173518.7,171707.2,10.16,0,86188.767,314.52993,402.40912,290.91791,166.51652,4649.43,0,85981.697,265.3,574.174,138.741,24137,28032,2386.163,0,0,2600.5,3505,2256.4,40,1248.6,1708,28.88,30.52,1.05,0.59,0,20,20,37.51
171379.2,172592.2,171707.2,7.83,2.52,86694.559,359.09582,379.10865,278.15293,153.43348,3377.12,2720.42,85679.723,254.9,595.62,289.827,24137,27660.2,2411.49,0,0,2578,3490,2179.1,77,1310.9,1708,28.08,29.57,0.89,0.6,0,12,12,32.92
170488.4,171814,171707.2,7.62,0,87418.747,254.89418,369.79002,275.5392,147.26793,3216.93,0,85543.51,259.7,614.066,358.763,24137,27817.9,2479.815,0,0,2551,3471,2132.1,77,1338.9,1707,27.47,29.19,1.14,0.58,0,8,8,38.75
169591,170924.8,171707.2,7.58,0,87653.22,479.69645,392.51089,294.85538,150.02901,3367.86,0,85488.652,261.4,581.291,395.165,24272,27968,2504.445,0,0,2537.5,3462,2269.2,77,1192.8,1707,27.03,28.55,0.99,0.53,0,8,8,38.44
169027.3,170365.4,171707.2,7.47,0,87706.793,755.1085,378.92642,303.00974,132.06787,3215.48,0,85143.583,259.1,584.729,398.699,24197,28178,2488.406,0,0,2531.5,3458,2256.4,77,1201.6,1707,27.1,27.51,-0.1,0.51,0,10,10,31.92
168809.5,170136.6,171707.2,9.01,4.35,87352.359,532.92156,384.50758,295.72516,147.26514,3970.39,4522.08,85767.436,267.3,543.459,313.475,24983,28637.2,2524.048,0,0,2519.5,3450,2281.6,77,1168.4,1707,26.95,27.81,0.25,0.61,0,14,14,32.4
169976,171270.7,171707.2,26.37,0.07,86403.454,1679.99148,541.61678,346.83284,280.35646,16526.21,163.68,87185.491,294.8,534.87,154.701,24983,30104.4,2581.454,0,0,2539,3463,2182.9,77,1280.1,1707,28.72,28.48,-0.93,0.69,0,9,9,31.95
171093.5,172264.7,171707.2,33.92,3.15,84842.007,1458.81849,542.9985,342.76431,287.62615,21211,4000.12,91763.901,317.6,478.291,12.242,24983,31797.3,2732.258,0.02,0.02,2558.5,2558.5,913.7,40,1644.8,412,31.53,31.32,-1.03,0.82,0,1,1,38.13
172189.4,173320.8,171707.2,16.32,0.81,82442.09,1720.16363,563.75999,355.18026,298.20456,10670.02,2929.6,92323.9,311.3,442.037,-1.95,24983,31620.8,2708.657,0.02,0.02,2578,2578,1323.6,40,1254.4,412,29.69,30.76,0.36,0.71,0,0,0,31.14
174692.6,176513.5,171707.2,20.08,1.6,79815.135,482.89756,543.24275,368.58951,259.20322,12667.64,3233,91865.857,308.1,412.771,-1.915,25060,31026.1,2662.767,0,0,2588.5,3497,2123.8,40,1373.2,1708,29.6,31.95,1.67,0.68,0,2,2,46.1
175104.3,176891.2,171707.2,14.03,1.16,78071.462,2029.4908,562.11778,370.47142,277.8061,9115.39,2800.16,89739.313,320.7,393.405,-2.942,25046,30248.7,2626.772,0,0,2600.5,3505,2301.4,40,1203.6,1708,27.92,30.38,1.71,0.75,0,12,12,33.99
175104.1,176891,171707.2,4.31,0,77351.173,0,359.36668,352.38748,62.59968,1784.02,0,86620.53,322.6,411.671,-1.889,25636,28903.3,2505.64,0,0,2606.5,3509,2252.8,40,1256.2,1708,25.88,27.71,1.19,0.64,0,10,10,24.51
175132.3,176885.2,171707.2,4.33,0,77656.977,2.0404,351.59987,343.97474,61.20143,1756.59,0,82877.957,322.8,414.162,-1.94,25636,27193.7,2361.3,0,0,2611,2611,1157.1,40,1453.9,361,24.04,24.39,-0.25,0.6,0,6,6,25.2
175186.3,176954.2,171707.2,3.34,4.7,78458.698,152.50567,385.86745,282.58188,148.14695,1439.1,4609.5,79932.92,335.4,450.006,-1.884,25636,25559.8,2283.171,0,0,2617,2617,1338.1,40,1278.9,361,22.72,22.89,-0.39,0.56,0,5,5,22.07
170335.8,171878.7,171707.2,2.8,4.26,80256.915,335.86876,386.59464,290.94663,143.51038,1216.96,4583.63,76586.188,304.1,469.027,-2.922,25636,24359.6,2099.523,0,0,2606.5,3242,2284,67,958,1441,23.58,24.07,0.03,0.46,0,15,15,19.52
169598,171291.4,171707.2,26.15,0.56,83222.722,909.98787,546.33314,374.81267,250.66819,16286.08,1044.23,75138.768,279.3,461.172,-1.881,24769,23661.8,2047.295,0,0,2611,3245,2012.7,67,1232.3,1441,21.45,21.95,0.12,0.38,0,22,22,19.97
169145.5,170917.5,171707.2,20.56,3.95,86467.303,1082.73307,550.60324,307.07128,322.30396,12924.59,5974.23,74567.622,261.8,417.612,-1.872,25636,23233.3,2010.163,0,0,2611,3245,2336.7,67,908.3,1441,20.29,20.94,0.28,0.37,0,18,18,20.03
169607,171397.4,171707.2,12.56,0.67,89400.972,2310.53879,534.99623,396.14789,215.0063,7692.39,1109.36,74608.868,265.3,346.506,-1.853,25604,23261.8,1979.825,0,0,2617,2617,1827,67,790,361,20.37,20.88,0.13,0.38,0,4,4,19.51
171079.8,172674,171707.2,20.34,0,91450.451,3614.47417,561.3272,416.95574,223.69175,13029.41,0,75933.097,272.2,362.593,-1.883,26065,23903.2,2045.96,0,0,2623,3253,2397.7,67,855.3,1441,20.86,21.81,0.57,0.38,0,0,0,19.52
171915,173134.1,171707.2,11.07,0.05,92736.317,6638.53025,566.34678,417.15371,228.97849,7187.95,110.97,79746.335,300.2,396.644,-1.85,26065,25619.2,2250.905,0,0,2623,3253,2123.3,67,1129.7,1441,23.24,24.46,0.81,0.41,0,0,0,21.73
172913.8,173930.5,171707.2,10.23,0.46,93923.582,3210.38551,557.02561,473.14908,161.85739,6525.83,945.49,85511.105,321.9,324.283,-1.864,26065,28359.4,2508.796,0,0,2629,3257,1896.5,37,1360.5,1441,32.18,33.86,0.92,0.76,0,0,0,33.99
173314.8,174311.4,171707.2,26,0,94008.411,979.36798,545.44082,457.55191,164.41445,16265.96,0,90096.695,317.2,254.952,-1.826,26065,30030.1,2671.969,0,0,2629,3308,2336.5,37,971.5,1492,35.02,37.49,1.63,0.84,0,0,0,39.99
173132.4,174372.6,171707.2,15.65,0,90032.475,2130.17447,553.82035,381.05984,250.2184,9855.65,0,91120.31,303.2,237.659,22.057,24814,30254.8,2708.382,0,0,2612.5,3297,2009.4,0,1287.6,1492,34.55,35.81,0.48,0.78,0,0,0,36.51
173172.8,174389.6,171707.2,12.08,0,87478.028,3680.55135,392.55231,332.07437,116.23422,5408.01,0,92197.324,312.1,209.42,206.54,26065,30514.6,2723.942,0,0,2588.5,3281,1730.3,0,1550.7,1492,32.9,33.8,0.23,0.67,0,0,0,43.75
172724.1,173913.5,171707.2,7.2,4.93,86345.096,317.53319,372.77148,310.92248,114.20256,3065.92,5192.15,92506.248,315.5,192.402,460.556,25979,30872.7,2733.965,0,0,2572,3270,1707.2,0,1562.8,1492,33.61,34.38,0.15,0.62,0,0,0,38.81
172328.9,173466,171707.2,2.58,4.87,85969.561,13.942,367.54299,304.5297,112.2259,1077.2,5696.57,92461.61,308.8,204.638,583.804,26060,30854.2,2756.169,0,0,2551,3256,1865.1,0,1390.9,1492,32.43,32.69,-0.31,0.57,0,10,10,37.64
172436.4,173565.6,171707.2,6.45,0,86476.58,38.80524,384.53659,321.30276,116.73835,2820.65,0,91919.116,305.8,207.857,639.051,26060,30563.4,2704.702,0,0,2533,3243,1836,37,1407,1491,31.47,31.68,-0.33,0.54,0,54,54,30.13
172799,173954,171707.2,5.78,2.74,87002.589,353.70009,419.67383,247.26207,175.74759,2372.84,5116.35,91887.965,309.8,191.459,674.187,26060,30309.9,2671.186,0,0,2519.5,3234,1804.7,37,1429.3,1491,31.27,31.36,-0.39,0.48,0,56,56,36.53
172119.2,173351.5,171707.2,5.97,4.62,87963.265,227.34529,439.19985,275.80166,162.86963,2585.85,4588.92,91358.555,307.5,200.26,658.747,26060,30135.2,2665.886,0,0,2513.5,3230,1827.2,37,1402.8,1491,31.26,31.34,-0.38,0.46,0,22,22,28.8
171455.8,172717.8,171707.2,9.04,0.06,88633.666,61.96726,384.88373,303.78942,116.54302,3846.88,79.1,91287.022,293.4,187.561,466.534,24240,30143.8,2662.047,0,0,2506,3225,1848,37,1377,1491,30.48,31.05,0.03,0.54,0,0,0,38.04
170959.7,172238,171707.2,2.04,0,89189.631,5660.94011,551.15844,388.76391,239.86241,1247.27,0,92439.591,297.4,256.646,154.794,24937,31051.8,2706.155,0,0,2519.5,3234,1834.6,37,1399.4,1491,32.98,34.42,0.67,0.77,0,0,0,41.31
171457.5,172667.1,171707.2,3.41,0,87733.163,6718.91894,546.13744,366.85602,257.19763,2128.51,0,95922.119,327.5,285.337,12.574,26060,32585,2835.915,1.35,1.35,2525.5,2525.5,1124.8,37,1400.7,411,36.98,39.74,1.9,0.86,0,0,0,61.1
172222,173412,171707.2,13.3,1.59,83761.388,1059.33535,542.20589,292.27501,328.01276,8266.58,3073.16,96364.97,337.6,291.03,-1.896,26091,32372.1,2777.389,0.02,0.02,2539,2539,1246.4,37,1292.6,411,35.43,37.87,1.63,0.81,0,0,0,32.54
172167.3,174114.7,171707.2,10.36,0.55,79155.418,404.38571,553.29646,359.02698,273.00204,6545.06,1161.31,95145.47,342,331.125,-1.911,25938,31722.7,2694.064,0,0,2546.5,2546.5,1160.1,37,1386.4,411,33.13,37.14,3.16,0.85,0,0,0,27.39
172930.9,174734.2,171707.2,7.27,0.5,75744.17,1650.61374,567.96269,355.47966,292.80846,4691.83,1113.88,93185.553,351.1,389.379,-1.912,25938,30707.8,2608.803,0,0,2552.5,3256,1873.2,37,1382.8,1491,31.07,35.55,3.67,0.81,0,0,0,25.95
172949.6,174719.9,171707.2,2.27,0,74386.18,507.31655,384.33969,356.57943,81.57232,992.84,0,89822.814,333.5,392.529,-1.911,25938,29308,2479.202,0,0,2560,3261,1804.8,37,1456.2,1491,27.7,31.85,3.45,0.7,0,0,0,21.65
173021.2,174757.5,171707.2,2.23,0,74365.419,245.6661,370.74058,346.20163,75.93542,922.71,0,85261.537,321.9,402.323,-2.931,25938,27380.7,2332.519,0,0,2560,2560,1044.3,37,1515.7,360,26.29,27.76,0.77,0.7,0,0,0,22.58
173091.5,174852.8,171707.2,1.94,0,75278.85,366.17343,373.95489,339.48819,85.78366,828.38,0,81379.777,318.3,359.418,-1.924,24378,25634.6,2189.683,0,0,2566,2566,1121.1,37,1444.9,360,23.95,24.66,0.05,0.66,0,0,0,20.22
169123.1,171805.9,171707.2,4.95,0,77424.331,322.14608,365.93214,333.31275,82.05098,2054.2,0,79333.572,284.1,361.033,-1.904,25017,24215.7,2052.212,0,0,2548,2548,1606.6,0,941.4,359,23.88,24.75,0.29,0.58,0,0,0,21.39
168191.2,171028.9,171707.2,7.62,0.31,80374.854,111.39998,555.03059,355.82267,273.31491,4811.12,914.92,77606.367,283.4,382.372,-1.892,25938,23410,1993.44,0.02,0.02,2554,2554,1392.8,0,1161.2,359,22.7,23.89,0.65,0.54,0,0,0,20.62
167349.5,170320.5,171707.2,19.2,3.77,84003.755,1807.4681,539.77171,285.10167,326.26116,11741.59,5586.5,76016.162,260.8,355.638,-1.89,26101,23006.9,1922.627,0.01,0.01,2560,2560,1426.5,0,1133.5,359,21.99,23.18,0.66,0.53,0,0,0,18.88
166976.9,169987.4,171707.2,11.58,3.56,87760.003,314.26366,548.34403,357.2337,262.95285,7273.24,5367.37,75926.344,249.8,357.896,-1.923,25948,22930.3,1924.01,0,0,2566,2566,1419.4,0,1146.6,360,22.64,23.94,0.74,0.56,0,0,0,19.91
166875.1,169803.3,171707.2,3.31,0.73,90209.617,2066.30754,557.28598,394.47006,235.5948,2061.33,1074.63,77091.936,252.2,294.127,-1.89,25948,23437.8,1962.764,0.01,0.01,2572,2572,1431.5,0,1140.5,360,23.43,24.86,0.89,0.54,0,0,0,20.85
168289,169667.6,171707.2,3.91,0,91693.724,5536.04822,550.60933,387.65087,234.57373,2443.17,0,80265.59,249.9,236.696,-2.883,25948,25007.6,2136.032,0,0,2584,3226,2252.2,0,973.8,1440,27.07,29.42,1.71,0.64,0,0,0,24.66
169733.8,170806.3,171707.2,2.47,0,92987.696,3551.44336,571.70023,454.44589,191.01476,1550.56,0,85376.286,264.5,216.429,-1.896,25948,27635.2,2389.83,0,0,2588.5,3229,2115.2,0,1113.8,1440,32.17,35.92,2.73,1.02,0,11,11,111.92
168344,169988,171707.2,2.96,0,92659.797,2687.26055,547.9048,444.5621,174.36052,1835.46,0,89529.753,276.4,200.112,-1.896,24663,29304.2,2594.549,0,0,2600.5,2600.5,1274.4,0,1326.1,378,37.53,43.75,5.05,1.17,0,6,6,35.5
168757.7,170369.4,171707.2,10.13,0.06,88686.557,873.52249,565.14885,341.64294,273.09582,6233.61,91.67,90542.504,268.3,179.197,6.228,25192,29367.2,2610.297,0,0,2588.5,2588.5,1141.2,0,1447.3,378,38.8,47.21,7.4,1.01,0,0,0,32.73
169120.2,170408.8,171707.2,0.55,0.75,86957.358,12.56391,377.38607,314.266,111.1173,229.36,975.17,91439.865,261.4,138.163,70.031,25948,29068.4,2678.536,0,0,2576.5,3239,2127.9,0,1111.1,1458,37.76,44.35,5.64,0.95,0,0,0,38.11
168814.3,170082,171707.2,17.93,0.27,87145.122,3.53898,388.85749,320.35585,117.73649,7845.66,342.19,91749.231,267.4,111.24,139.434,26009,28784.1,2659.964,0,0,2564.5,3231,2134.2,0,1096.8,1458,37.36,44.39,6.18,0.85,0,0,0,45.28
169415.4,170601.9,171707.2,3.52,0,87362.703,497.17611,382.19151,316.86918,114.29262,1523.67,0,91322.414,272,89.919,153.146,25897,28544.8,2666.5,0,0,2551,3222,2131.2,0,1090.8,1458,36.81,43.42,5.8,0.81,0,0,0,27.13
169094,170264.5,171707.2,6.79,3.61,87793.833,477.8941,378.77833,267.0654,160.30181,2863.63,4945.55,92307.915,276.2,79.148,145.932,25897,28681.9,2671.503,0,0,2537.5,3213,2135.1,0,1077.9,1458,36.54,42.12,4.83,0.75,0,0,0,37.98
169218.5,170370.6,171707.2,26.03,1.88,88106.026,2245.04697,433.94843,187.48895,234.58335,10965.46,2751.76,92013.298,286.6,89.586,145.291,25897,29000.8,2670.997,0,0,2530,2530,1174.7,0,1355.3,378,35.47,40.22,4.1,0.65,0,0,0,27.54
169584.4,170745.2,171707.2,21.51,1.1,88027.279,2790.56858,432.83948,188.5327,244.30678,9264.82,1135.97,91892.903,284,109.569,131.266,25897,29078.5,2691.916,0,0,2524,2524,1176,0,1348,378,34.42,39,3.95,0.63,0,0,0,34.35
169858.6,171037,171707.2,26.92,1.09,87388.956,1441.42027,416.18524,255.1434,194.66794,12205.98,1096.81,91470.652,287.9,113.107,95.503,24874,29330.4,2674.885,0,0,2518,2518,1214.9,0,1303.1,378,32.96,38.38,4.8,0.62,0,0,0,28.32
170508.3,171711.1,171707.2,19.38,2.88,86108.88,203.70473,581.38592,231.11341,395.66869,12198.81,5387.1,92880.261,282.8,78.379,37.479,25331,30339.5,2707.485,0,0,2537.5,3213,2063.4,0,1149.6,1458,36.98,42.65,4.86,0.81,0,0,0,34.18
170975.3,172061.8,171707.2,21.42,3.39,84260.877,302.76549,577.64611,228.89074,392.10901,13320.58,5467.75,96410.142,291.1,66.762,-0.412,25897,31678.5,2814.226,0.02,0.02,2563,2563,1181.3,0,1381.7,378,43.43,49.42,4.82,1.17,0,5,5,90.44
171729.2,172851.7,171707.2,15.74,3.45,80062.359,39.70974,546.14195,302.93972,315.86868,9712.34,5572.74,97690.879,278.3,69.512,-1.875,26071,31491.7,2781.833,0,0,2587,2587,927.5,0,1659.5,378,38.66,45.44,5.93,0.85,0,0,0,61.8
172317.6,174128.2,171707.2,6.68,0.05,75435.979,164.33086,565.88551,357.0444,284.23247,4282.45,99.73,95929.237,281.6,57.194,-2.869,26276,30817.6,2700.078,0,0,2605,2605,1271.7,0,1333.3,412,35.73,42.63,6.25,0.65,0,0,0,52.41
173092,174762.7,171707.2,7.65,0.05,72259.764,9.67862,552.36389,347.72532,277.98623,4775.16,95.26,93491.737,279.2,47.339,-1.873,26276,29881.7,2612.238,0,0,2615.5,3299,2299.9,0,999.1,1492,35.58,42.32,6.1,0.64,0,0,0,49.42
173221.3,174891,171707.2,3.62,0,71315.535,2.50791,399.67589,280.71874,151.78471,1564.86,0,89900.797,281.7,50.553,-1.923,26276,28495.8,2487.184,0,0,2621.5,3303,2190.5,0,1112.5,1492,31.82,36.59,4.17,0.6,0,0,0,27.45
