name,group,note,feature_count,best_test_mse,best_test_r2,best_epoch
S2_minus__total_pjm_rt_load_mwh,leave_one_base_from_S2,total_pjm_rt_load_mwh,12,0.07334858304593803,0.9225758910179138,106
all_minus_base__total_pjm_rt_load_mwh,leave_one_base_from_all,total_pjm_rt_load_mwh,54,0.03386654429103634,0.964251697063446,115
B_minus__metered_load_mw,leave_one_base_from_B,metered_load_mw,8,0.07516941515070091,0.9206538796424866,119
S1_minus__metered_load_mw,leave_one_base_from_S1,metered_load_mw,12,0.06416415526508921,0.9322706460952759,117
S2_minus__metered_load_mw,leave_one_base_from_S2,metered_load_mw,12,0.07439668667389125,0.9214695692062378,111
all_minus_base__metered_load_mw,leave_one_base_from_all,metered_load_mw,54,0.035103432317377954,0.9629460573196411,113
B_minus__prelim_load_avg_hourly,leave_one_base_from_B,prelim_load_avg_hourly,8,0.07294149318619109,0.9230055809020996,118
S1_minus__prelim_load_avg_hourly,leave_one_base_from_S1,prelim_load_avg_hourly,12,0.06788277186498773,0.9283453822135925,114
S2_minus__prelim_load_avg_hourly,leave_one_base_from_S2,prelim_load_avg_hourly,12,0.0708892751689546,0.9251718521118164,115
all_minus_base__prelim_load_avg_hourly,leave_one_base_from_all,prelim_load_avg_hourly,54,0.03490410822943398,0.9631564617156982,93
B_minus__gen_fuel_hydro_mw,leave_one_base_from_B,gen_fuel_hydro_mw,8,0.1545851032204199,0.8368255496025085,117
S1_minus__gen_fuel_hydro_mw,leave_one_base_from_S1,gen_fuel_hydro_mw,12,0.13250924568487013,0.8601280450820923,109
S2_minus__gen_fuel_hydro_mw,leave_one_base_from_S2,gen_fuel_hydro_mw,12,0.14073209046590618,0.8514482975006104,111
all_minus_base__gen_fuel_hydro_mw,leave_one_base_from_all,gen_fuel_hydro_mw,54,0.0434804740872961,0.9541035890579224,118
B_minus__gen_fuel_solar_mw,leave_one_base_from_B,gen_fuel_solar_mw,8,0.25532145025890046,0.7304918766021729,117
S1_minus__gen_fuel_solar_mw,leave_one_base_from_S1,gen_fuel_solar_mw,12,0.19771546154941727,0.7912986874580383,101
S2_minus__gen_fuel_solar_mw,leave_one_base_from_S2,gen_fuel_solar_mw,12,0.2553827307164306,0.7304272651672363,118
all_minus_base__gen_fuel_solar_mw,leave_one_base_from_all,gen_fuel_solar_mw,54,0.03902034717328029,0.9588115215301514,120
random_remove_9_like_B_rep01,random_remove_9_like_B,total_lmp_da;gen_fuel_wind_pct;da_as_as_req_mw_thirty_minutes_reserve;gen_fuel_hydro_mw;gen_fuel_wind_mw;gen_fuel_coal_mw;total_pjm_rt_load_mwh;da_as_nsr_mw_primary_reserve;total_pjm_rmpcp_cr,46,0.04652370067835763,0.9508912563323975,114
random_remove_9_like_B_rep02,random_remove_9_like_B,da_as_total_mw_synchronized_reserve;da_as_ss_mw_primary_reserve;gross_sched_interchange_mw;gen_fuel_gas_pct;marginal_loss_price_rt;da_as_as_req_mw_thirty_minutes_reserve;total_pjm_loc_credit;total_pjm_reg_purchases;system_energy_price_da,46,0.03682132645953083,0.9611327648162842,103
random_remove_9_like_B_rep03,random_remove_9_like_B,gen_fuel_gas_pct;da_as_nsr_mw_primary_reserve;da_as_total_mw_synchronized_reserve;total_pjm_rt_load_mwh;gen_fuel_coal_pct;gen_fuel_multiple_fuels_mw;gross_sched_interchange_mw;gen_fuel_solar_mw;forecast_load_mw_day_ahead,46,0.1076812339128881,0.8863356113433838,117
random_remove_9_like_B_rep04,random_remove_9_like_B,da_as_total_mw_primary_reserve;da_as_as_req_mw_synchronized_reserve;gross_sched_interchange_mw;gen_fuel_hydro_mw;total_losses;metered_load_mw;da_as_as_mw_synchronized_reserve;da_as_nsr_mw_primary_reserve;total_pjm_loc_credit,46,0.049749852530090365,0.9474858641624451,102
random_remove_9_like_B_rep05,random_remove_9_like_B,rmccp;congestion_price_da;gen_fuel_gas_pct;gen_fuel_coal_pct;da_as_total_mw_primary_reserve;da_as_as_req_mw_primary_reserve;metered_load_mw;gen_fuel_solar_mw;gen_fuel_wind_mw,46,0.07490694241757255,0.9209309220314026,78
random_remove_9_like_B_rep06,random_remove_9_like_B,gen_fuel_gas_pct;congestion_price_rt;gen_fuel_other_renewables_mw;gen_fuel_gas_mw;gen_fuel_multiple_fuels_mw;gen_fuel_hydro_mw;gross_actual_interchange_mw;gen_fuel_solar_mw;gross_sched_interchange_mw,46,0.07646810986590004,0.9192830324172974,117
random_remove_9_like_B_rep07,random_remove_9_like_B,gross_sched_interchange_mw;gross_inadv_interchange_mw;gen_fuel_gas_mw;gen_fuel_wind_pct;total_pjm_rmpcp_cr;total_losses;total_pjm_loc_credit;da_as_nsr_mw_primary_reserve;gen_fuel_coal_pct,46,0.041657044137714476,0.9560283422470093,119
random_remove_9_like_B_rep08,random_remove_9_like_B,gross_actual_interchange_mw;total_losses;total_pjm_rmccp_cr;total_pjm_assigned_reg;da_as_total_mw_thirty_minutes_reserve;total_pjm_self_sched_reg;system_energy_price_rt;gen_fuel_oil_mw;prelim_load_avg_hourly,46,0.03800287427346608,0.9598855376243591,90
random_remove_9_like_B_rep09,random_remove_9_like_B,gen_fuel_oil_mw;da_as_as_req_mw_primary_reserve;rmccp;gen_fuel_other_renewables_mw;net_inadv_interchange_mw;total_pjm_assigned_reg;total_lmp_da;gen_fuel_multiple_fuels_pct;da_as_total_mw_thirty_minutes_reserve,46,0.03728876408280396,0.9606393575668335,115
random_remove_9_like_B_rep10,random_remove_9_like_B,total_pjm_assigned_reg;system_energy_price_rt;marginal_loss_price_da;da_as_as_mw_thirty_minutes_reserve;gen_fuel_wind_pct;total_losses;gen_fuel_oil_mw;gen_fuel_multiple_fuels_pct;gross_inadv_interchange_mw,46,0.03737207609455942,0.960551381111145,114
random_remove_9_like_B_rep11,random_remove_9_like_B,total_pjm_loc_credit;da_as_as_mw_thirty_minutes_reserve;gen_fuel_oil_mw;total_lmp_da;da_as_as_mw_primary_reserve;da_as_mcp_synchronized_reserve;total_pjm_assigned_reg;forecast_load_mw_latest_available;da_as_as_req_mw_primary_reserve,46,0.03788258080234433,0.9600124955177307,103
random_remove_9_like_B_rep12,random_remove_9_like_B,gen_fuel_solar_mw;rmccp;total_pjm_assigned_reg;gen_fuel_wind_mw;gross_inadv_interchange_mw;total_pjm_reg_purchases;da_as_total_mw_thirty_minutes_reserve;da_as_ss_mw_primary_reserve;congestion_price_rt,46,0.038814195582256995,0.9590291380882263,118
random_remove_9_like_B_rep13,random_remove_9_like_B,da_as_as_req_mw_thirty_minutes_reserve;gen_fuel_multiple_fuels_mw;da_as_as_mw_primary_reserve;gross_sched_interchange_mw;system_energy_price_rt;da_as_ss_mw_thirty_minutes_reserve;system_energy_price_da;da_as_as_req_mw_synchronized_reserve;gen_fuel_nuclear_mw,46,0.045451431671475494,0.9520230889320374,118
random_remove_9_like_B_rep14,random_remove_9_like_B,da_as_as_mw_synchronized_reserve;gen_fuel_oil_mw;da_as_mcp_primary_reserve;total_losses;da_as_ss_mw_primary_reserve;gen_fuel_gas_pct;gen_fuel_multiple_fuels_mw;net_inadv_interchange_mw;system_energy_price_rt,46,0.037376822049093504,0.9605463743209839,119
random_remove_9_like_B_rep15,random_remove_9_like_B,da_as_nsr_mw_primary_reserve;total_pjm_rt_load_mwh;gen_fuel_other_renewables_mw;system_energy_price_da;prelim_load_avg_hourly;wind_generation_mw;gen_fuel_oil_mw;gross_inadv_interchange_mw;gen_fuel_wind_pct,46,0.04354494522189403,0.9540355205535889,108
random_remove_9_like_B_rep16,random_remove_9_like_B,da_as_as_mw_thirty_minutes_reserve;system_energy_price_rt;total_pjm_self_sched_reg;total_pjm_reg_purchases;net_inadv_interchange_mw;da_as_ss_mw_synchronized_reserve;forecast_load_mw_latest_available;gen_fuel_other_renewables_mw;da_as_as_req_mw_thirty_minutes_reserve,46,0.0347177579220975,0.963353157043457,84
random_remove_9_like_B_rep17,random_remove_9_like_B,gross_inadv_interchange_mw;congestion_price_da;da_as_as_mw_synchronized_reserve;da_as_total_mw_thirty_minutes_reserve;total_losses;net_inadv_interchange_mw;total_pjm_rt_load_mwh;da_as_as_mw_primary_reserve;total_pjm_self_sched_reg,46,0.03306739962881249,0.9650952816009521,98
random_remove_9_like_B_rep18,random_remove_9_like_B,congestion_price_da;gen_fuel_gas_mw;gross_sched_interchange_mw;total_pjm_self_sched_reg;gross_inadv_interchange_mw;forecast_load_mw_latest_available;da_as_total_mw_synchronized_reserve;marginal_loss_price_rt;gen_fuel_hydro_mw,46,0.07602018856148167,0.9197558164596558,95
random_remove_9_like_B_rep19,random_remove_9_like_B,gen_fuel_wind_mw;gen_fuel_gas_pct;gen_fuel_solar_mw;da_as_mcp_synchronized_reserve;da_as_mcp_primary_reserve;prelim_load_avg_hourly;gen_fuel_coal_mw;total_lmp_da;total_pjm_rmpcp_cr,46,0.07922478284823095,0.9163731932640076,103
random_remove_9_like_B_rep20,random_remove_9_like_B,rmccp;total_pjm_rmpcp_cr;da_as_ss_mw_primary_reserve;forecast_load_mw_latest_available;net_inadv_interchange_mw;metered_load_mw;forecast_load_mw_day_ahead;gen_fuel_gas_mw;gen_fuel_oil_mw,46,0.04503228257569235,0.9524655342102051,120
random_remove_4_like_I_rep01,random_remove_4_like_I,total_pjm_rt_load_mwh;gen_fuel_coal_mw;da_as_total_mw_synchronized_reserve;da_as_as_req_mw_thirty_minutes_reserve,51,0.03383796403990922,0.9642818570137024,92
random_remove_4_like_I_rep02,random_remove_4_like_I,gen_fuel_coal_pct;da_as_as_req_mw_synchronized_reserve;forecast_load_mw_latest_available;da_as_ss_mw_thirty_minutes_reserve,51,0.03345149189017985,0.9646897912025452,103
random_remove_4_like_I_rep03,random_remove_4_like_I,da_as_ss_mw_thirty_minutes_reserve;total_pjm_reg_purchases;gen_fuel_gas_pct;total_pjm_rmpcp_cr,51,0.030545967156862523,0.9677568078041077,89
random_remove_4_like_I_rep04,random_remove_4_like_I,gross_sched_interchange_mw;da_as_nsr_mw_primary_reserve;gen_fuel_oil_mw;total_pjm_assigned_reg,51,0.041457926232663055,0.9562385082244873,120
random_remove_4_like_I_rep05,random_remove_4_like_I,congestion_price_da;total_pjm_self_sched_reg;da_as_mcp_synchronized_reserve;gen_fuel_hydro_mw,51,0.0428372016801249,0.9547826051712036,115
random_remove_4_like_I_rep06,random_remove_4_like_I,total_pjm_loc_credit;da_as_as_mw_synchronized_reserve;rmpcp;gen_fuel_hydro_mw,51,0.040085467183394584,0.957687258720398,118
random_remove_4_like_I_rep07,random_remove_4_like_I,da_as_ss_mw_synchronized_reserve;congestion_price_rt;da_as_as_mw_primary_reserve;da_as_as_mw_thirty_minutes_reserve,51,0.032737716265795073,0.9654432535171509,110
random_remove_4_like_I_rep08,random_remove_4_like_I,da_as_nsr_mw_primary_reserve;da_as_as_mw_synchronized_reserve;total_pjm_loc_credit;system_energy_price_rt,51,0.030179436602516145,0.9681437015533447,110
random_remove_4_like_I_rep09,random_remove_4_like_I,gen_fuel_coal_pct;gen_fuel_gas_pct;system_energy_price_rt;total_lmp_rt,51,0.030400479558809864,0.9679103493690491,116
random_remove_4_like_I_rep10,random_remove_4_like_I,da_as_ss_mw_thirty_minutes_reserve;total_pjm_rmccp_cr;da_as_ss_mw_synchronized_reserve;gen_fuel_coal_mw,51,0.031695395543399014,0.9665434956550598,117
random_remove_4_like_I_rep11,random_remove_4_like_I,da_as_as_req_mw_thirty_minutes_reserve;gen_fuel_other_renewables_mw;gen_fuel_hydro_mw;prelim_load_avg_hourly,51,0.045592721560174916,0.9518739581108093,93
random_remove_4_like_I_rep12,random_remove_4_like_I,gen_fuel_gas_pct;da_as_total_mw_primary_reserve;total_pjm_reg_purchases;da_as_ss_mw_synchronized_reserve,51,0.031843492309790014,0.966387152671814,119
random_remove_4_like_I_rep13,random_remove_4_like_I,forecast_load_mw_day_ahead;da_as_ss_mw_thirty_minutes_reserve;total_pjm_self_sched_reg;marginal_loss_price_rt,51,0.03244386037255115,0.965753436088562,76
random_remove_4_like_I_rep14,random_remove_4_like_I,forecast_load_mw_latest_available;total_lmp_da;total_pjm_loc_credit;metered_load_mw,51,0.034105069018196224,0.9639999270439148,106
random_remove_4_like_I_rep15,random_remove_4_like_I,total_losses;total_lmp_da;da_as_total_mw_synchronized_reserve;rmpcp,51,0.031305284812910165,0.966955304145813,120
random_remove_4_like_I_rep16,random_remove_4_like_I,system_energy_price_rt;gen_fuel_coal_pct;gen_fuel_multiple_fuels_pct;gross_actual_interchange_mw,51,0.031683256508918796,0.9665563106536865,96
random_remove_4_like_I_rep17,random_remove_4_like_I,gen_fuel_gas_pct;da_as_as_req_mw_thirty_minutes_reserve;gen_fuel_nuclear_mw;gen_fuel_other_renewables_mw,51,0.05202773822153487,0.9450814127922058,110
random_remove_4_like_I_rep18,random_remove_4_like_I,gen_fuel_oil_mw;gen_fuel_nuclear_mw;da_as_total_mw_primary_reserve;system_energy_price_da,51,0.03918719086682469,0.9586354494094849,114
random_remove_4_like_I_rep19,random_remove_4_like_I,congestion_price_da;total_pjm_rt_load_mwh;gen_fuel_hydro_mw;total_pjm_rmccp_cr,51,0.04346706116821889,0.9541177749633789,111
random_remove_4_like_I_rep20,random_remove_4_like_I,forecast_load_mw_day_ahead;total_lmp_rt;total_losses;gross_inadv_interchange_mw,51,0.03159320230947853,0.9666513800621033,83
random_remove_8_like_I12_rep01,random_remove_8_like_I12,da_as_ss_mw_primary_reserve;gen_fuel_wind_pct;total_lmp_rt;total_pjm_reg_purchases;total_losses;gen_fuel_coal_mw;da_as_total_mw_primary_reserve;gen_fuel_multiple_fuels_mw,47,0.03417230726549084,0.9639289379119873,119
random_remove_8_like_I12_rep02,random_remove_8_like_I12,da_as_nsr_mw_primary_reserve;marginal_loss_price_da;da_as_as_mw_synchronized_reserve;gen_fuel_solar_mw;total_lmp_da;rmpcp;system_energy_price_da;gen_fuel_wind_mw,47,0.040503814083910204,0.9572456479072571,112
random_remove_8_like_I12_rep03,random_remove_8_like_I12,gen_fuel_solar_mw;gen_fuel_wind_pct;gen_fuel_coal_mw;da_as_ss_mw_synchronized_reserve;system_energy_price_rt;da_as_ss_mw_thirty_minutes_reserve;gen_fuel_gas_mw;da_as_mcp_primary_reserve,47,0.08162263587185341,0.9138420820236206,101
random_remove_8_like_I12_rep04,random_remove_8_like_I12,wind_generation_mw;gross_actual_interchange_mw;gen_fuel_nuclear_mw;total_pjm_rt_load_mwh;gen_fuel_gas_pct;metered_load_mw;system_energy_price_rt;da_as_total_mw_primary_reserve,47,0.049605070783688525,0.9476386904716492,114
random_remove_8_like_I12_rep05,random_remove_8_like_I12,system_energy_price_da;total_pjm_loc_credit;total_pjm_assigned_reg;da_as_ss_mw_synchronized_reserve;gen_fuel_solar_mw;system_energy_price_rt;marginal_loss_price_da;gen_fuel_hydro_mw,47,0.041196138700243176,0.956514835357666,111
random_remove_8_like_I12_rep06,random_remove_8_like_I12,rmccp;gen_fuel_wind_pct;da_as_as_req_mw_primary_reserve;da_as_total_mw_synchronized_reserve;total_pjm_rmccp_cr;da_as_as_req_mw_synchronized_reserve;total_pjm_loc_credit;gen_fuel_gas_pct,47,0.030660939823109204,0.9676353931427002,117
random_remove_8_like_I12_rep07,random_remove_8_like_I12,total_losses;prelim_load_avg_hourly;system_energy_price_rt;gen_fuel_wind_mw;rmccp;total_pjm_rt_load_mwh;forecast_load_mw_latest_available;da_as_total_mw_synchronized_reserve,47,0.03543201964575707,0.9625992178916931,117
random_remove_8_like_I12_rep08,random_remove_8_like_I12,system_energy_price_rt;total_losses;congestion_price_rt;total_pjm_self_sched_reg;metered_load_mw;gen_fuel_gas_mw;da_as_total_mw_synchronized_reserve;da_as_as_req_mw_thirty_minutes_reserve,47,0.037217354671688886,0.9607146978378296,101
random_remove_8_like_I12_rep09,random_remove_8_like_I12,da_as_as_req_mw_synchronized_reserve;gen_fuel_nuclear_mw;prelim_load_avg_hourly;total_pjm_assigned_reg;da_as_as_mw_thirty_minutes_reserve;da_as_ss_mw_thirty_minutes_reserve;gen_fuel_gas_mw;gen_fuel_multiple_fuels_pct,47,0.05738405853782485,0.9394274353981018,115
random_remove_8_like_I12_rep10,random_remove_8_like_I12,gen_fuel_multiple_fuels_pct;total_pjm_reg_purchases;da_as_ss_mw_thirty_minutes_reserve;gen_fuel_solar_mw;da_as_as_req_mw_thirty_minutes_reserve;wind_generation_mw;gen_fuel_multiple_fuels_mw;gen_fuel_coal_pct,47,0.042733255762425135,0.9548923373222351,117
random_remove_8_like_I12_rep11,random_remove_8_like_I12,total_pjm_rmpcp_cr;total_pjm_rt_load_mwh;da_as_total_mw_primary_reserve;marginal_loss_price_da;da_as_as_req_mw_synchronized_reserve;da_as_nsr_mw_primary_reserve;da_as_total_mw_thirty_minutes_reserve;total_pjm_assigned_reg,47,0.03143575279008052,0.9668175578117371,118
random_remove_8_like_I12_rep12,random_remove_8_like_I12,prelim_load_avg_hourly;da_as_total_mw_thirty_minutes_reserve;gen_fuel_coal_pct;da_as_ss_mw_synchronized_reserve;rmpcp;da_as_nsr_mw_primary_reserve;total_pjm_self_sched_reg;gen_fuel_wind_mw,47,0.030181520825774386,0.968141496181488,119
random_remove_8_like_I12_rep13,random_remove_8_like_I12,congestion_price_da;da_as_as_mw_thirty_minutes_reserve;total_lmp_da;total_pjm_rmccp_cr;da_as_as_mw_primary_reserve;gross_actual_interchange_mw;da_as_mcp_synchronized_reserve;total_pjm_loc_credit,47,0.030052820957413445,0.9682773351669312,99
random_remove_8_like_I12_rep14,random_remove_8_like_I12,total_pjm_rmccp_cr;gen_fuel_other_renewables_mw;da_as_mcp_synchronized_reserve;forecast_load_mw_day_ahead;total_losses;congestion_price_da;da_as_as_mw_thirty_minutes_reserve;da_as_total_mw_thirty_minutes_reserve,47,0.03411452460568398,0.9639899730682373,90
random_remove_8_like_I12_rep15,random_remove_8_like_I12,total_pjm_rmpcp_cr;gross_sched_interchange_mw;da_as_as_req_mw_thirty_minutes_reserve;total_pjm_assigned_reg;gen_fuel_gas_mw;gen_fuel_coal_mw;da_as_mcp_synchronized_reserve;total_losses,47,0.048754667068218314,0.9485363364219666,116
random_remove_8_like_I12_rep16,random_remove_8_like_I12,total_pjm_rt_load_mwh;gen_fuel_gas_pct;gen_fuel_coal_pct;da_as_total_mw_primary_reserve;da_as_as_req_mw_synchronized_reserve;da_as_ss_mw_thirty_minutes_reserve;gen_fuel_coal_mw;total_pjm_assigned_reg,47,0.07002162103393547,0.9260877370834351,72
random_remove_8_like_I12_rep17,random_remove_8_like_I12,gen_fuel_coal_pct;da_as_as_mw_primary_reserve;da_as_as_req_mw_primary_reserve;gross_sched_interchange_mw;gen_fuel_multiple_fuels_pct;total_pjm_rmccp_cr;gen_fuel_gas_mw;da_as_nsr_mw_primary_reserve,47,0.041162914145033716,0.9565499424934387,114
random_remove_8_like_I12_rep18,random_remove_8_like_I12,forecast_load_mw_day_ahead;da_as_ss_mw_synchronized_reserve;net_inadv_interchange_mw;rmccp;total_lmp_rt;gross_inadv_interchange_mw;gen_fuel_gas_mw;congestion_price_da,47,0.037524263879920285,0.9603907465934753,110
random_remove_8_like_I12_rep19,random_remove_8_like_I12,da_as_mcp_synchronized_reserve;marginal_loss_price_rt;gross_actual_interchange_mw;da_as_as_mw_thirty_minutes_reserve;total_pjm_assigned_reg;forecast_load_mw_latest_available;total_losses;gen_fuel_wind_mw,47,0.028778185764123207,0.969622790813446,118
random_remove_8_like_I12_rep20,random_remove_8_like_I12,gross_actual_interchange_mw;gen_fuel_hydro_mw;da_as_as_req_mw_synchronized_reserve;gen_fuel_oil_mw;da_as_total_mw_primary_reserve;da_as_nsr_mw_primary_reserve;da_as_as_mw_synchronized_reserve;total_pjm_rt_load_mwh,47,0.03935500711100403,0.9584583044052124,108
