feature_index,related,rank,index,center,nmi,spearman,pearson,kendall,distance_corr,hsic,nmi_pass,spearman_pass,pearson_pass,kendall_pass,distance_corr_pass,hsic_pass,pass_count,max_abs_score,best_gate
13,total_lmp_da,13,39,gross_actual_interchange_mw,0.0759634157205256,0.3422858486984276,0.294168685091255,0.205767306088407,0.2779594515489905,0.1732416414046574,1,1,1,1,1,1,6,0.3422858486984276,0.67547613
14,system_energy_price_da,14,38,gross_actual_interchange_mw,0.0663632598694047,0.3361818485798266,0.2780400323533362,0.2031915485126494,0.2684817168511308,0.1751873833859319,1,1,1,1,1,1,6,0.3361818485798266,0.6631161
15,system_energy_price_rt,15,42,gross_actual_interchange_mw,0.0531926977700449,0.2826141411775519,0.1813092341131364,0.2251834862385321,0.288913561796432,0.1732667579315975,1,1,1,1,1,1,6,0.288913561796432,0.6398034
16,total_lmp_rt,16,43,gross_actual_interchange_mw,0.0646245757901546,0.2798520800457538,0.1081931918529128,0.1743452877397831,0.2255815716830434,0.1744441303826426,1,1,1,1,1,1,6,0.2798520800457538,0.60498226
17,marginal_loss_price_rt,17,45,gross_actual_interchange_mw,0.1094332287048718,0.367759580719735,0.134164702753066,0.2351251042535446,0.2964407598500873,0.0281552706828364,1,1,1,1,1,0,5,0.367759580719735,0.66746527
18,gen_fuel_other_renewables_mw,18,11,gross_actual_interchange_mw,0.0408609296431281,0.1651816207397385,0.1605347648968478,0.1119627467333889,0.1890031326355229,0.3371856147516553,0,1,1,1,1,1,5,0.3371856147516553,0.57796144
19,gen_fuel_coal_pct,19,15,gross_actual_interchange_mw,0.0508068058351876,0.2944623376783387,0.313059348323715,0.2169919377258826,0.3360195721533918,0.0266606232287805,1,1,1,1,1,0,5,0.3360195721533918,0.665914
20,gen_fuel_multiple_fuels_mw,20,8,gross_actual_interchange_mw,0.0407406215500728,0.2073115743697646,0.1852539849828083,0.1285209897136502,0.1967329765310214,0.3301723681638265,0,1,1,1,1,1,5,0.3301723681638265,0.5925111
21,da_as_ss_mw_primary_reserve,21,36,gross_actual_interchange_mw,0.0387522989265886,0.1760851946280368,0.1654481494711989,0.1197859327217125,0.186336853366083,0.3212227442085063,0,1,1,1,1,1,5,0.3212227442085063,0.5782062
22,gen_fuel_solar_pct,22,22,gross_actual_interchange_mw,0.0528744476619184,-0.2237973238096685,-0.2862156643998055,-0.1326758409785932,0.2409921813774651,0.0264710049485888,1,1,1,1,1,0,5,0.2862156643998055,0.3916387
23,gen_fuel_solar_mw,23,12,gross_actual_interchange_mw,0.0498036065162088,-0.2253649371816169,-0.2778059822068953,-0.0868293021962746,0.199613805771597,0.2650876444262147,0,1,1,1,1,1,5,0.2778059822068953,0.4062328
24,solar_generation_mw,24,4,gross_actual_interchange_mw,0.0421805882244241,-0.2569415621840028,-0.2410043981519028,-0.1769738671114818,0.2334422491593145,0.130306532713423,0,1,1,1,1,1,5,0.2569415621840028,0.3880576
