area_1_load_actual_mw,area_2_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,system_load_day_ahead_mw,system_generation_mw,system_losses_mw,area_1_net_export_mw,area_2_net_export_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_wind_mw,gen_fuel_solar_mw,area_1_fuel_coal_mw,area_1_fuel_natural_gas_mw,area_1_fuel_nuclear_mw,area_1_fuel_wind_mw,area_1_fuel_solar_mw,area_1_generation_mw,area_2_fuel_coal_mw,area_2_fuel_natural_gas_mw,area_2_fuel_solar_mw,area_2_generation_mw,area_3_fuel_coal_mw,area_3_fuel_wind_mw,area_3_fuel_solar_mw,hour_of_day,month_of_year
1.0229441,-0.51363087,-0.71458584,1.0722172,-0.6485369,-0.38719147,-0.4707995,1.4080136,1.3711518,0.13468792,0.5249135,-0.42040285,0.8622214,-0.15622482,0.83006597,0.16182865,-0.5504955,0.6660505,1.1979175,0.9385494,1.1232033,-0.47439903,1.3303366,1.1104319,0.8269155,1.2174428,-0.19083121,0.2830016,-0.5716649,0.8405213,0.13356121,1.0207026,-0.17491435,-0.5475681
1.0566452,-0.56145763,-0.751098,1.0928965,-0.6968342,-0.44160062,-0.52375704,1.4456547,1.4023113,0.07408475,0.51691085,-0.48130453,0.86838025,-0.20672636,0.83936405,0.10512708,-0.6036486,0.66108185,1.2390869,0.9707867,1.164205,-0.5269842,1.355964,1.1365823,0.838143,1.2529305,-0.25355345,0.24120146,-0.61597925,0.8643283,0.0741766,1.0388418,-0.2384876,-0.58805466
1.082632,-0.60435975,-0.7838661,1.1231184,-0.7425614,-0.48949617,-0.57782465,1.4846665,1.4251518,0.004704009,0.5048467,-0.5361355,0.8757489,-0.26681396,0.8499622,0.04963538,-0.6584695,0.6630999,1.2492115,1.0075967,1.1930574,-0.5844894,1.3782216,1.1514031,0.84518766,1.2803618,-0.3190264,0.18303595,-0.66313744,0.8696387,0.012175933,1.041417,-0.29667068,-0.629711
1.1008954,-0.6512239,-0.80682915,1.154,-0.7839408,-0.5406042,-0.62543535,1.5122637,1.4499316,-0.056955796,0.49943972,-0.5884286,0.8959866,-0.3221765,0.8644401,-0.00027275016,-0.70789903,0.6593511,1.2730418,1.0482745,1.2121189,-0.6384479,1.4016526,1.1804132,0.850689,1.3282588,-0.37454635,0.119421996,-0.7054802,0.87797916,-0.046410475,1.0467337,-0.36497825,-0.68491024
1.1191443,-0.6921196,-0.83827025,1.1654247,-0.8177737,-0.5847499,-0.6694539,1.5358906,1.4654819,-0.12879376,0.49016398,-0.643355,0.9086811,-0.3761195,0.8817098,-0.07216063,-0.75384027,0.6540965,1.3041577,1.0832165,1.2451653,-0.68636876,1.4224586,1.1969498,0.8558174,1.3579992,-0.42907998,0.048530992,-0.74493426,0.8903912,-0.116271436,1.0580112,-0.41938826,-0.73283577
1.1362537,-0.7271979,-0.878219,1.1918652,-0.8530604,-0.6289728,-0.7105933,1.549489,1.4922382,-0.19290727,0.48670194,-0.68429387,0.91918135,-0.43721166,0.8832152,-0.14321008,-0.79126656,0.6513844,1.3283442,1.1172941,1.2680886,-0.7229809,1.4388138,1.2234528,0.8574514,1.3897861,-0.48356012,-0.020782512,-0.77331114,0.9070735,-0.17449461,1.0740651,-0.46676615,-0.7777773
1.1624018,-0.76920617,-0.9078335,1.2092134,-0.8868266,-0.6744117,-0.74826854,1.5712023,1.5231879,-0.2660286,0.4847942,-0.7237643,0.92863405,-0.49352953,0.89653975,-0.20900613,-0.8313621,0.64833665,1.3524197,1.1518573,1.2895668,-0.7641126,1.4656179,1.2523165,0.866517,1.4276791,-0.5359602,-0.09560536,-0.8066699,0.9306318,-0.23519713,1.0957433,-0.52753377,-0.81709236
1.1765783,-0.80031705,-0.9329838,1.2515577,-0.9153094,-0.71536714,-0.7866456,1.5883327,1.5527388,-0.34352368,0.46389806,-0.7592652,0.9411192,-0.5343077,0.9039156,-0.27742532,-0.8635097,0.64846736,1.383024,1.1802058,1.3118249,-0.7986306,1.4862802,1.2866505,0.86834735,1.4499806,-0.58883435,-0.16623598,-0.8380476,0.95076495,-0.29574957,1.1030285,-0.5919832,-0.84695953
1.1904827,-0.8420942,-0.95891,1.27797,-0.93778443,-0.75079614,-0.8221516,1.6014364,1.5731108,-0.41651708,0.46379602,-0.79730713,0.9532422,-0.5871341,0.9010085,-0.347543,-0.8950975,0.63940567,1.4226404,1.2072111,1.3386723,-0.837552,1.508806,1.3146682,0.86872345,1.4754001,-0.63930935,-0.24426,-0.8652792,0.9766024,-0.35442254,1.1179701,-0.63916916,-0.8860382
1.2180204,-0.86724883,-0.98548245,1.3240483,-0.96578586,-0.78747344,-0.85873884,1.6210691,1.5937076,-0.47505617,0.46207765,-0.8276493,0.96449983,-0.6254041,0.91263956,-0.40716094,-0.9275457,0.6277147,1.4442163,1.2547804,1.3562696,-0.8714838,1.5273894,1.3426039,0.87284017,1.4967389,-0.68618464,-0.31334463,-0.885866,0.9936437,-0.4191703,1.1343406,-0.6871672,-0.92197764
