target,sensitivity_tier,target_kind,r2_mean_joint,r2_std_joint,r2_mean_grouped,r2_std_grouped,partition,grouping_delta_r2
gen_216_steam_1_pg_mw,T3_high,continuous,,,,,02_public27_grouped/generator_continuous,
gen_216_steam_1_qg_mvar,T3_high,continuous,0.9413965145746866,0.009600105099738179,0.951260507106781,0.003200413512198271,02_public27_grouped/generator_continuous,0.009863992532094357
gen_218_cc_1_pg_mw,T3_high,continuous,0.9192488392194113,0.0010671277095388285,0.9150239825248718,0.00864998910323849,02_public27_grouped/generator_continuous,-0.004224856694539425
gen_218_cc_1_qg_mvar,T3_high,continuous,0.5298967162768046,0.042914959066136626,0.634075383345286,0.022751055435336863,02_public27_grouped/generator_continuous,0.10417866706848145
gen_218_cc_1_status,T3_high,binary_status,0.8677661816279093,0.012720957952265391,0.8853451609611511,0.015391772900146516,02_public27_grouped/generator_status,0.017578979333241818
gen_223_steam_3_pg_mw,T3_high,continuous,0.03327061732610067,0.23901888341186212,0.34048815568288165,0.06218554606394917,02_public27_grouped/generator_continuous,0.307217538356781
gen_223_steam_3_qg_mvar,T3_high,continuous,0.9149564901987711,0.008814319231078494,0.9230333169301351,0.009678224051434686,02_public27_grouped/generator_continuous,0.008076826731364006
gen_303_wind_1_pg_mw,T3_high,continuous,0.9309664964675903,0.005274001497708709,0.909643292427063,0.005783048167419154,02_public27_grouped/generator_continuous,-0.021323204040527344
gen_313_cc_1_pg_mw,T3_high,continuous,0.9594250520070394,0.0036137728685925016,0.969137946764628,0.002786366981609935,02_public27_grouped/generator_continuous,0.00971289475758863
gen_313_cc_1_qg_mvar,T3_high,continuous,0.8706738948822021,0.005014023541596869,0.8976701100667318,0.004299539682039855,02_public27_grouped/generator_continuous,0.02699621518452966
gen_313_cc_1_status,T3_high,binary_status,0.8119641145070394,0.006217845617556359,0.8633103768030802,0.004786366557459637,02_public27_grouped/generator_status,0.05134626229604078
gen_317_wind_1_pg_mw,T3_high,continuous,0.9295141696929932,0.008389010268416177,0.9107703566551208,0.0028447235308903017,02_public27_grouped/generator_continuous,-0.018743813037872314
gen_321_cc_1_pg_mw,T3_high,continuous,0.9763650894165039,0.0025815188709337063,0.9787901441256205,0.0012544602000075101,02_public27_grouped/generator_continuous,0.002425054709116581
gen_321_cc_1_qg_mvar,T3_high,continuous,0.9308404127756754,0.00023710647779138282,0.9426812926928202,0.0031439685525311207,02_public27_grouped/generator_continuous,0.011840879917144775
gen_321_cc_1_status,T3_high,binary_status,0.9311446746190389,0.010304757626165612,0.9682641426722208,0.005456018411441684,02_public27_grouped/generator_status,0.03711946805318189
slack_bus_p_mw,T2_operational,continuous,0.7950343688329061,0.005890344308447806,0.8355281949043274,0.011973331737842883,02_public27_grouped/bus_electrical,0.04049382607142127
slack_bus_q_mvar,T2_operational,continuous,0.9597503344217936,0.001412854848673964,0.9775365392367045,0.0014408098904267386,02_public27_grouped/bus_electrical,0.01778620481491089
