field,entity_type,entity_id,physical_quantity,mathematical_status,variance,n_unique,is_constant,sensitivity_tier,tier_reason,r2_mean_joint,r2_std_joint,r2_mean_grouped,r2_std_grouped,grouping_delta_r2,public27_inferability_grade,recommended_role
bus_218_vm_pu,bus,218,vm_pu,strict_state_variable,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离,,,,,,constant_not_evaluated,strip_before_modeling
bus_218_va_deg,bus,218,va_deg,strict_state_variable,4.437833991463711,8783,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9674430092175802,0.0029442127801807766,0.9693518082300822,0.0017067489865061816,0.0019087990125019605,strong_R2_ge_0.90,primary_target
bus_218_p_injection_mw,bus,218,p_injection_mw,derived_nodal_operating_quantity,13198.81066072591,7569,0,T2_operational,节点有功/无功注入或平衡注入；细粒度运行量，中等敏感,0.9104128479957581,0.0015405187348295007,0.9126604596773783,0.0020623090994972854,0.002247611681620243,strong_R2_ge_0.90,auxiliary_tier_experiment_not_default_public
bus_218_q_injection_mvar,bus,218,q_injection_mvar,derived_nodal_operating_quantity,198.3632851081698,8783,0,T2_operational,节点有功/无功注入或平衡注入；细粒度运行量，中等敏感,0.9084633390108744,0.0009329681151473349,0.909253736337026,0.002749015070143607,0.000790397326151604,strong_R2_ge_0.90,auxiliary_tier_experiment_not_default_public
bus_215_vm_pu,bus,215,vm_pu,strict_state_variable,4.930380657631324e-32,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离,,,,,,constant_not_evaluated,strip_before_modeling
bus_215_va_deg,bus,215,va_deg,strict_state_variable,0.7088160364200933,8779,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9845678408940634,0.0007365262925000908,0.9842552741368612,0.0007467376620159678,-0.00031256675720214844,strong_R2_ge_0.90,primary_target
bus_215_p_injection_mw,bus,215,p_injection_mw,derived_nodal_operating_quantity,4023.6884304660443,8741,0,T2_operational,节点有功/无功注入或平衡注入；细粒度运行量，中等敏感,0.9167129000027975,0.007664436876921652,0.9198324084281921,0.004723206118426507,0.003119508425394657,strong_R2_ge_0.90,auxiliary_tier_experiment_not_default_public
bus_215_q_injection_mvar,bus,215,q_injection_mvar,derived_nodal_operating_quantity,551.0641806285679,8781,0,T2_operational,节点有功/无功注入或平衡注入；细粒度运行量，中等敏感,0.9568882981936137,0.0023689327985917338,0.9634491602579752,0.0051747440177860845,0.006560862064361572,strong_R2_ge_0.90,auxiliary_tier_experiment_not_default_public
bus_318_vm_pu,bus,318,vm_pu,strict_state_variable,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离,,,,,,constant_not_evaluated,strip_before_modeling
bus_318_va_deg,bus,318,va_deg,strict_state_variable,14.122758097483514,8781,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9606329798698425,0.007276082168086168,0.9634464184443156,0.001349121937949507,0.002813438574473026,strong_R2_ge_0.90,primary_target
bus_318_p_injection_mw,bus,318,p_injection_mw,derived_nodal_operating_quantity,1308.9192911489858,5565,0,T2_operational,节点有功/无功注入或平衡注入；细粒度运行量，中等敏感,0.9794933001200358,0.0031340706277983937,0.9844397306442261,0.0028227726375093507,0.004946430524190304,strong_R2_ge_0.90,auxiliary_tier_experiment_not_default_public
bus_318_q_injection_mvar,bus,318,q_injection_mvar,derived_nodal_operating_quantity,154.1561304166639,8783,0,T2_operational,节点有功/无功注入或平衡注入；细粒度运行量，中等敏感,0.9345406095186869,0.006427037272998037,0.9348608652750651,0.006047787843472712,0.00032025575637817383,strong_R2_ge_0.90,auxiliary_tier_experiment_not_default_public
bus_315_vm_pu,bus,315,vm_pu,strict_state_variable,4.930380657631324e-32,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离,,,,,,constant_not_evaluated,strip_before_modeling
bus_315_va_deg,bus,315,va_deg,strict_state_variable,9.576766657954147,8784,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.959881862004598,0.002742450845016771,0.962920347849528,0.002622409907043742,0.003038485844929939,strong_R2_ge_0.90,primary_target
bus_315_p_injection_mw,bus,315,p_injection_mw,derived_nodal_operating_quantity,3528.619254675198,6679,0,T2_operational,节点有功/无功注入或平衡注入；细粒度运行量，中等敏感,0.9216885765393575,0.0041210343159043105,0.9392148852348328,0.004367822399318173,0.017526308695475223,strong_R2_ge_0.90,auxiliary_tier_experiment_not_default_public
bus_315_q_injection_mvar,bus,315,q_injection_mvar,derived_nodal_operating_quantity,297.64459656952954,8784,0,T2_operational,节点有功/无功注入或平衡注入；细粒度运行量，中等敏感,0.7908570567766825,0.012445995679541558,0.7577343384424845,0.008204375300980185,-0.033122718334198,usable_R2_0.70_0.90,auxiliary_tier_experiment_not_default_public
bus_107_vm_pu,bus,107,vm_pu,strict_state_variable,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离,,,,,,constant_not_evaluated,strip_before_modeling
bus_107_va_deg,bus,107,va_deg,strict_state_variable,9.595974275155914,8782,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9264040589332581,0.02820533232504617,0.9504560033480326,0.009684037230930542,0.02405194441477454,strong_R2_ge_0.90,primary_target
bus_107_p_injection_mw,bus,107,p_injection_mw,derived_nodal_operating_quantity,417.6513139956455,6101,0,T2_operational,节点有功/无功注入或平衡注入；细粒度运行量，中等敏感,0.8571334083875021,0.061294192960065726,0.9138725996017456,0.0633081916734622,0.056739191214243534,usable_R2_0.70_0.90,auxiliary_tier_experiment_not_default_public
bus_107_q_injection_mvar,bus,107,q_injection_mvar,derived_nodal_operating_quantity,563.9183048964168,8781,0,T2_operational,节点有功/无功注入或平衡注入；细粒度运行量，中等敏感,0.9582748015721639,0.006731272889699466,0.9757190346717834,0.002203822135925293,0.01744423309961951,strong_R2_ge_0.90,auxiliary_tier_experiment_not_default_public
bus_203_vm_pu,bus,203,vm_pu,strict_state_variable,6.164261201317595e-05,6686,0,T1_relative_low,节点电压幅值；相对较低敏但仍是运行状态，不等于可无条件公开,0.9665886759757996,0.0018495820847334345,0.9697588086128235,0.0048760756898874455,0.0031701326370239258,strong_R2_ge_0.90,auxiliary_tier_experiment_not_default_public
bus_203_va_deg,bus,203,va_deg,strict_state_variable,6.73721907951332,8777,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.8638537724812826,0.033916003340821885,0.8880000710487366,0.002835219671570108,0.024146298567453983,usable_R2_0.70_0.90,primary_target
bus_203_p_injection_mw,bus,203,p_injection_mw,derived_nodal_operating_quantity,663.4107999714214,5446,0,T2_operational,节点有功/无功注入或平衡注入；细粒度运行量，中等敏感,0.9713384509086609,0.007772161337185381,0.9756320516268412,0.0014351125973154522,0.0042936007181803015,strong_R2_ge_0.90,auxiliary_tier_experiment_not_default_public
bus_203_q_injection_mvar,bus,203,q_injection_mvar,derived_nodal_operating_quantity,28.031153906650324,5435,0,T2_operational,节点有功/无功注入或平衡注入；细粒度运行量，中等敏感,0.9719475706418356,0.0066260701466160435,0.9746878544489542,0.0017201502455819727,0.0027402838071186597,strong_R2_ge_0.90,auxiliary_tier_experiment_not_default_public
bus_113_vm_pu,bus,113,vm_pu,strict_state_variable,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离,,,,,,constant_not_evaluated,strip_before_modeling
bus_113_va_deg,bus,113,va_deg,strict_state_variable,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离,,,,,,constant_not_evaluated,strip_before_modeling
bus_113_p_injection_mw,bus,113,p_injection_mw,derived_nodal_operating_quantity,1635.2583151868093,8784,0,T2_operational,节点有功/无功注入或平衡注入；细粒度运行量，中等敏感,0.9393940965334574,0.001761877833162879,0.9480503797531128,0.002419274249693531,0.008656283219655392,strong_R2_ge_0.90,auxiliary_tier_experiment_not_default_public
bus_113_q_injection_mvar,bus,113,q_injection_mvar,derived_nodal_operating_quantity,714.907439637539,8784,0,T2_operational,节点有功/无功注入或平衡注入；细粒度运行量，中等敏感,0.962579071521759,0.004685029944051287,0.9711032112439474,0.0032955002328018362,0.00852413972218835,strong_R2_ge_0.90,auxiliary_tier_experiment_not_default_public
bus_123_vm_pu,bus,123,vm_pu,strict_state_variable,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离,,,,,,constant_not_evaluated,strip_before_modeling
bus_123_va_deg,bus,123,va_deg,strict_state_variable,4.350598319437407,8773,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9401447772979736,0.004055684070574821,0.9443668723106384,0.00670387824110809,0.004222095012664795,strong_R2_ge_0.90,primary_target
bus_123_p_injection_mw,bus,123,p_injection_mw,derived_nodal_operating_quantity,32795.387050910525,2484,0,T2_operational,节点有功/无功注入或平衡注入；细粒度运行量，中等敏感,0.9359799027442932,0.0053455473479362145,0.9327783385912577,0.012032733231469025,-0.0032015641530355188,strong_R2_ge_0.90,auxiliary_tier_experiment_not_default_public
bus_123_q_injection_mvar,bus,123,q_injection_mvar,derived_nodal_operating_quantity,156.38666771172666,8782,0,T2_operational,节点有功/无功注入或平衡注入；细粒度运行量，中等敏感,0.9577760299046835,0.002444934376852426,0.9583752751350403,0.003272636818382131,0.0005992452303568152,strong_R2_ge_0.90,auxiliary_tier_experiment_not_default_public
bus_217_vm_pu,bus,217,vm_pu,strict_state_variable,2.408689471278376e-07,1721,0,T1_relative_low,节点电压幅值；相对较低敏但仍是运行状态，不等于可无条件公开,0.8254773418108622,0.005403872482390095,0.8548480669657389,0.03132507527367614,0.02937072515487671,usable_R2_0.70_0.90,auxiliary_tier_experiment_not_default_public
bus_217_va_deg,bus,217,va_deg,strict_state_variable,2.781443231074041,8778,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9783928791681925,0.002627364638222504,0.9806675314903259,0.0010504877963867327,0.002274652322133419,strong_R2_ge_0.90,primary_target
bus_217_p_injection_mw,bus,217,p_injection_mw,derived_nodal_operating_quantity,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离,,,,,,constant_not_evaluated,strip_before_modeling
bus_217_q_injection_mvar,bus,217,q_injection_mvar,derived_nodal_operating_quantity,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离,,,,,,constant_not_evaluated,strip_before_modeling
bus_325_vm_pu,bus,325,vm_pu,strict_state_variable,2.2948338554729312e-07,2012,0,T1_relative_low,节点电压幅值；相对较低敏但仍是运行状态，不等于可无条件公开,0.9840196569760641,0.0008284823096783675,0.9802265564600626,0.0015682777670112025,-0.0037931005160014575,strong_R2_ge_0.90,auxiliary_tier_experiment_not_default_public
bus_325_va_deg,bus,325,va_deg,strict_state_variable,5.859778937099478,8781,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.8849208354949951,0.01132024813037724,0.8832902113596598,0.004524342837381478,-0.0016306241353353235,usable_R2_0.70_0.90,primary_target
bus_325_p_injection_mw,bus,325,p_injection_mw,derived_nodal_operating_quantity,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离,,,,,,constant_not_evaluated,strip_before_modeling
bus_325_q_injection_mvar,bus,325,q_injection_mvar,derived_nodal_operating_quantity,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离,,,,,,constant_not_evaluated,strip_before_modeling
branch_ab1_p_from_mw,branch,AB1,p_from_mw,derived_operational_state,138.85958907273834,8784,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9090975125630697,0.0045328674369367345,0.9140428900718689,0.002271946258955751,0.004945377508799198,strong_R2_ge_0.90,primary_target
branch_ab1_q_from_mvar,branch,AB1,q_from_mvar,derived_operational_state,50.59354837975381,8778,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9256398677825928,0.010132569305921074,0.9243767658869425,0.009845338030979875,-0.0012631018956502649,strong_R2_ge_0.90,primary_target
branch_ab1_p_to_mw,branch,AB1,p_to_mw,derived_operational_state,142.95020199854403,8784,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9107335805892944,0.0034661597678166778,0.9142488638559977,0.003306001810624749,0.0035152832667032508,strong_R2_ge_0.90,primary_target
branch_ab1_q_to_mvar,branch,AB1,q_to_mvar,derived_operational_state,40.54701051816216,8779,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9255190491676331,0.005960671957994409,0.9275578856468201,0.010831425605262365,0.0020388364791870117,strong_R2_ge_0.90,primary_target
branch_ab1_loading_pct,branch,AB1,loading_pct,derived_operational_state,41.74029814648026,8781,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.8690657615661621,0.007799262228154061,0.8826062480608622,0.007411718332659848,0.013540486494700077,usable_R2_0.70_0.90,primary_target
branch_ab2_p_from_mw,branch,AB2,p_from_mw,derived_operational_state,428.2227101994953,8784,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.98519895474116,0.0007721617691528747,0.9874845345815023,0.0007316919275445905,0.002285579840342278,strong_R2_ge_0.90,primary_target
branch_ab2_q_from_mvar,branch,AB2,q_from_mvar,derived_operational_state,11.56904539547246,8784,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9846616188685099,0.0009441874331175467,0.988042950630188,0.0005320069290535855,0.003381331761678097,strong_R2_ge_0.90,primary_target
branch_ab2_p_to_mw,branch,AB2,p_to_mw,derived_operational_state,435.14680914234555,8784,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9846944014231364,0.0010572680531775078,0.9874494473139445,0.0004726251350591058,0.0027550458908081055,strong_R2_ge_0.90,primary_target
branch_ab2_q_to_mvar,branch,AB2,q_to_mvar,derived_operational_state,4.644946601034307,8782,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9834888180096945,0.0005831206882865249,0.9858339031537374,0.0007485407882007503,0.0023450851440429688,strong_R2_ge_0.90,primary_target
branch_ab2_loading_pct,branch,AB2,loading_pct,derived_operational_state,11.202430631602148,8783,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9821819067001343,0.0010758437358874943,0.9870855013529459,0.0006151372501812374,0.004903594652811649,strong_R2_ge_0.90,primary_target
branch_ab3_p_from_mw,branch,AB3,p_from_mw,derived_operational_state,667.5751794800934,8784,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9384913643201193,0.002479185793214253,0.9391896724700928,0.004598572299554803,0.0006983081499735144,strong_R2_ge_0.90,primary_target
branch_ab3_q_from_mvar,branch,AB3,q_from_mvar,derived_operational_state,8.912458464891353,8781,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9353565772374471,0.00212537288738297,0.9368480245272318,0.00414605231931766,0.0014914472897846753,strong_R2_ge_0.90,primary_target
branch_ab3_p_to_mw,branch,AB3,p_to_mw,derived_operational_state,665.4355093939934,8782,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9389219085375468,0.001251671331468049,0.9382554093996683,0.0056133718164858145,-0.000666499137878418,strong_R2_ge_0.90,primary_target
branch_ab3_q_to_mvar,branch,AB3,q_to_mvar,derived_operational_state,10.570753334479413,8782,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9295908610026041,0.0016166139450405448,0.9317380587259928,0.0029875264753148538,0.002147197723388672,strong_R2_ge_0.90,primary_target
branch_ab3_loading_pct,branch,AB3,loading_pct,derived_operational_state,7.071871534662179,8777,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.8204662998517355,0.008928136151363033,0.855450173219045,0.017729649426841732,0.03498387336730957,usable_R2_0.70_0.90,primary_target
branch_ca_1_p_from_mw,branch,CA-1,p_from_mw,derived_operational_state,1168.7610166850309,8784,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9848077893257141,0.0010632566184000142,0.9864199558893839,0.0010538143579106752,0.0016121665636698035,strong_R2_ge_0.90,primary_target
branch_ca_1_q_from_mvar,branch,CA-1,q_from_mvar,derived_operational_state,29.538014565300216,8784,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.983691930770874,0.0009137216222282079,0.985896646976471,0.0017257205246213594,0.002204716205596924,strong_R2_ge_0.90,primary_target
branch_ca_1_p_to_mw,branch,CA-1,p_to_mw,derived_operational_state,1196.8400474150537,8784,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9843916495641073,0.0009403208080477644,0.9862640500068665,0.0007364983311250677,0.001872400442759159,strong_R2_ge_0.90,primary_target
branch_ca_1_q_to_mvar,branch,CA-1,q_to_mvar,derived_operational_state,4.915961631515695,8774,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9727997978528341,0.002736880742345951,0.9760803580284119,0.0014020949430299627,0.0032805601755777625,strong_R2_ge_0.90,primary_target
branch_ca_1_loading_pct,branch,CA-1,loading_pct,derived_operational_state,34.09586186893494,8783,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9742441773414612,0.003350898457772864,0.9805768330891927,0.00126021432503446,0.006332655747731564,strong_R2_ge_0.90,primary_target
branch_cb_1_p_from_mw,branch,CB-1,p_from_mw,derived_operational_state,1229.6127991370372,8784,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9861442446708679,0.0007823379194065773,0.9872385660807291,0.0006685781622326875,0.0010943214098612097,strong_R2_ge_0.90,primary_target
branch_cb_1_q_from_mvar,branch,CB-1,q_from_mvar,derived_operational_state,6.8461869196744525,8777,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9779245058695475,0.002508695628718015,0.9812839031219482,0.0002213408351643615,0.003359397252400753,strong_R2_ge_0.90,primary_target
branch_cb_1_p_to_mw,branch,CB-1,p_to_mw,derived_operational_state,1197.6017626210705,8784,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9858309229214987,0.0008964107229386886,0.9871253768603007,0.0007369073457381532,0.0012944539388020093,strong_R2_ge_0.90,primary_target
branch_cb_1_q_to_mvar,branch,CB-1,q_to_mvar,derived_operational_state,38.85722357978232,8784,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9849960207939148,8.607007707038646e-05,0.9862994949022929,0.00099565221000171,0.0013034741083780554,strong_R2_ge_0.90,primary_target
branch_cb_1_loading_pct,branch,CB-1,loading_pct,derived_operational_state,35.456147620799804,8784,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9754712382952372,0.0017842810393905964,0.9814697901407877,0.0013794841212288879,0.005998551845550537,strong_R2_ge_0.90,primary_target
branch_c6_p_from_mw,branch,C6,p_from_mw,derived_operational_state,7791.571150633948,8784,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.938685417175293,0.004810574127225494,0.944532593091329,0.003928772914711003,0.005847175916036007,strong_R2_ge_0.90,primary_target
branch_c6_q_from_mvar,branch,C6,q_from_mvar,derived_operational_state,27.987372367157278,8782,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9101986487706503,0.005218141293194997,0.9244873325030009,0.010133623971725703,0.014288683732350593,strong_R2_ge_0.90,primary_target
branch_c6_p_to_mw,branch,C6,p_to_mw,derived_operational_state,6876.598460491001,8784,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9356456796328226,0.00472679734308333,0.9406971335411072,0.004134565641972098,0.005051453908284542,strong_R2_ge_0.90,primary_target
branch_c6_q_to_mvar,branch,C6,q_to_mvar,derived_operational_state,570.7067830448617,8783,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9719366232554117,0.003499287733096113,0.9772485693295797,0.002360590640042742,0.005311946074167961,strong_R2_ge_0.90,primary_target
branch_c6_loading_pct,branch,C6,loading_pct,derived_operational_state,1820.2068696967094,8784,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9367347558339437,0.004762493708932406,0.9428483645121256,0.004437742189073695,0.006113608678181892,strong_R2_ge_0.90,primary_target
branch_c10_p_from_mw,branch,C10,p_from_mw,derived_operational_state,641.3917755228016,8784,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9739920298258463,0.0014115602408894211,0.9780203501383463,0.0006274083588718307,0.0040283203125,strong_R2_ge_0.90,primary_target
branch_c10_q_from_mvar,branch,C10,q_from_mvar,derived_operational_state,37.912365984319656,8783,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9581300417582194,0.0004019195265021664,0.9619452953338623,0.0008384643938406927,0.0038152535756429407,strong_R2_ge_0.90,primary_target
branch_c10_p_to_mw,branch,C10,p_to_mw,derived_operational_state,667.8329375186141,8784,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9732553958892822,0.0013592162938220623,0.9777688781420389,0.00045824406116061695,0.0045134822527567175,strong_R2_ge_0.90,primary_target
branch_c10_q_to_mvar,branch,C10,q_to_mvar,derived_operational_state,8.288831904733387,8781,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9605101346969604,0.0021441862156320237,0.9621324141820272,0.0011501581260271241,0.0016222794850667688,strong_R2_ge_0.90,primary_target
branch_c10_loading_pct,branch,C10,loading_pct,derived_operational_state,52.871017940428146,8781,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9571792682011923,0.002800421596022567,0.9638679226239523,0.002046184827159341,0.00668865442276001,strong_R2_ge_0.90,primary_target
branch_c2_p_from_mw,branch,C2,p_from_mw,derived_operational_state,1671.0465247237241,8783,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.948595404624939,0.004168408123653808,0.9533541003863016,0.0034104533699130307,0.004758695761362675,strong_R2_ge_0.90,primary_target
branch_c2_q_from_mvar,branch,C2,q_from_mvar,derived_operational_state,339.78904114098384,8783,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9792933265368143,0.0031226026089828268,0.9825935562451681,0.0027033819214246357,0.0033002297083537524,strong_R2_ge_0.90,primary_target
branch_c2_p_to_mw,branch,C2,p_to_mw,derived_operational_state,2072.691725287316,8784,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9516996741294861,0.004379817138817719,0.9563504656155905,0.0031047642916658203,0.0046507914861043664,strong_R2_ge_0.90,primary_target
branch_c2_q_to_mvar,branch,C2,q_to_mvar,derived_operational_state,19.90700031954464,8780,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9051798383394877,0.004400686087033826,0.9181167085965475,0.004908071794236603,0.012936870257059807,strong_R2_ge_0.90,primary_target
branch_c2_loading_pct,branch,C2,loading_pct,derived_operational_state,577.2321012007329,8784,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.955154816309611,0.004334063196565177,0.9600538611412048,0.0019550536780749373,0.004899044831593868,strong_R2_ge_0.90,primary_target
branch_a34_p_from_mw,branch,A34,p_from_mw,derived_operational_state,20213.770422660433,8784,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.986953059832255,0.0020547080324710525,0.9886699914932251,0.0013288891884856125,0.001716931660970089,strong_R2_ge_0.90,primary_target
branch_a34_q_from_mvar,branch,A34,q_from_mvar,derived_operational_state,1804.0933056440572,8783,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9903848767280579,0.0009830650259347775,0.9910860459009806,0.0010262384261269166,0.0007011691729227332,strong_R2_ge_0.90,primary_target
branch_a34_p_to_mw,branch,A34,p_to_mw,derived_operational_state,21972.937168971104,8784,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9877341389656067,0.001525051443925827,0.9888488451639811,0.0010039341137703312,0.0011147061983743933,strong_R2_ge_0.90,primary_target
branch_a34_q_to_mvar,branch,A34,q_to_mvar,derived_operational_state,44.92655859739489,8778,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9283031423886617,0.007459329374534181,0.939300000667572,0.00959144272859143,0.010996858278910282,strong_R2_ge_0.90,primary_target
branch_a34_loading_pct,branch,A34,loading_pct,derived_operational_state,788.4086532144082,8784,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9876920978228251,0.0017996434851966984,0.9893871545791626,0.0007903636378169055,0.0016950567563375207,strong_R2_ge_0.90,primary_target
