wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,net_inadv_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
1.035195e-05,7.814518e-11,0.3264685,1.2473789e-12,0.0033144779,7.770472e-06,0.21441546,3.0102422e-12,0.01963239,1.4916523e-05,6.1579917e-06,0.13320999,0.003087375,0.05402885,0.41241574,0.16996299,0.0030881409,0.044259828,0.0008020719,0.10764221,0.021745507,0.090078,0.0029675204,1.8859246e-15,7.8552054e-10,0.14534457,1.8898658e-17,0.078169435,0.16688806,0.08435187,5.4243597e-18,0.07210268,0.2295945,0.00029743637,0.44971687,0.52990675,0.28711453,0.9475602,0.7829789,0.12506285,0.00030727603,3.2514743e-27,1.0862192e-13,1.7347251e-18,6.1121713e-13,0.0022999728,0.06811101
4.139854e-06,1.0475632e-11,0.32414317,1.2105577e-13,0.0022181554,2.8969387e-06,0.212016,3.1308246e-13,0.017781569,5.7576544e-06,2.0891837e-06,0.12595236,0.0020540904,0.053180985,0.40615898,0.17250583,0.0021284642,0.044311475,0.00047979056,0.10778884,0.018132385,0.083382376,0.0020403995,1.0292315e-16,1.1755416e-10,0.14220968,6.4987393e-19,0.079303905,0.16794609,0.08325343,1.7102573e-19,0.06999308,0.2207374,0.00014760779,0.4435976,0.5225766,0.2814194,0.9336839,0.77582186,0.12783903,0.00015978995,1.3588412e-29,8.5408534e-15,4.7662376e-20,5.244607e-14,0.0015268812,0.065250576
1.5425521e-06,1.2014181e-12,0.31784856,9.785811e-15,0.0014391008,1.0020026e-06,0.21255867,2.7280316e-14,0.01735606,2.0667076e-06,6.52812e-07,0.12184053,0.0012983257,0.05193982,0.3998203,0.16822672,0.0014232314,0.044091657,0.00027162748,0.10335915,0.014545689,0.080188595,0.0013716917,4.4550992e-18,1.5186446e-11,0.14268695,1.7019519e-20,0.07604235,0.16150741,0.08307029,4.0749264e-21,0.07124122,0.21288933,6.9068e-05,0.4363679,0.51247245,0.27612293,0.9230322,0.7680802,0.12497139,7.883265e-05,3.5293498e-32,5.4956964e-16,9.774007e-22,3.7099675e-15,0.00096625835,0.06327594
5.3350215e-07,1.1639883e-13,0.31850177,6.4902417e-16,0.00090042053,3.1986704e-07,0.2165024,1.9626243e-15,0.015889626,6.8627617e-07,1.8672601e-07,0.11577258,0.00080378767,0.050677057,0.38828796,0.16757047,0.00092008535,0.04239407,0.00014816571,0.09876658,0.011578023,0.07530346,0.0008889392,1.4993441e-19,1.6736731e-12,0.14067404,3.3133928e-22,0.074148946,0.15919372,0.07840003,7.155558e-23,0.07179554,0.2045542,3.043486e-05,0.43564448,0.5079237,0.26797605,0.9163454,0.76077276,0.11611266,3.6660458e-05,5.418384e-35,2.8455847e-17,1.4569543e-23,2.1289608e-16,0.00056742696,0.06399243
1.7032964e-07,9.3958536e-15,0.31008157,3.4735213e-17,0.0005437189,9.36281e-08,0.21781668,1.1473018e-16,0.014171339,2.0963654e-07,4.8561088e-08,0.1155795,0.00046786817,0.049727768,0.38093784,0.16787049,0.00057366124,0.040755533,7.7140896e-05,0.09602016,0.009156208,0.069130056,0.0005565492,3.837801e-21,1.5533415e-13,0.13790974,4.6679353e-24,0.06947435,0.15433894,0.08017739,9.005917e-25,0.075261675,0.19894747,1.258542e-05,0.42283165,0.5007013,0.26236796,0.9093026,0.75565654,0.118160546,1.6085285e-05,4.6396916e-38,1.1638961e-18,1.5328477e-25,9.736849e-18,0.0003077192,0.061897907
4.9876142e-08,6.2241823e-16,0.30530682,1.4730046e-18,0.00031629796,2.4972293e-08,0.21323869,5.354859e-18,0.012835004,5.8531818e-08,1.13984004e-08,0.11335115,0.00026191733,0.048817884,0.37764516,0.16156544,0.00034651018,0.03966595,3.8080056e-05,0.09651625,0.0070923883,0.065952756,0.00033690414,7.2913574e-23,1.1970335e-14,0.1394017,4.6181353e-26,0.06837957,0.15206656,0.0792139,7.874865e-27,0.07519378,0.19230892,4.869946e-06,0.4165069,0.49422908,0.25762942,0.89990234,0.74250597,0.12003716,6.6253883e-06,2.0703e-41,3.6846505e-20,1.1012689e-27,3.4806615e-19,0.00015806725,0.06098913
1.3306014e-08,3.3279666e-17,0.30120295,4.8510954e-20,0.00017658793,6.0250382e-09,0.2101024,1.957317e-19,0.011371303,1.4832894e-08,2.3955031e-09,0.108789705,0.00014081156,0.047316834,0.37060595,0.16088827,0.0002011099,0.0371128,1.7846558e-05,0.09581988,0.005330136,0.061445467,0.00019576101,1.0007039e-24,7.541704e-16,0.13807991,3.1023007e-28,0.06530583,0.14995658,0.07392849,4.619468e-29,0.07379266,0.1848498,1.7542599e-06,0.4116234,0.48907527,0.25339076,0.88605344,0.7446478,0.12147083,2.5521751e-06,4e-45,8.82748e-22,5.205738e-30,9.518351e-21,7.6231576e-05,0.06251552
3.2111358e-09,1.4102783e-18,0.2999454,1.2135094e-21,9.4397015e-05,1.3045766e-09,0.21244566,5.484827e-21,0.009827493,3.3862353e-09,4.469068e-10,0.10503799,7.203782e-05,0.04858318,0.36427847,0.16261712,0.000112137095,0.035626892,7.889923e-06,0.08977611,0.0038539642,0.055261087,0.00010919832,9.6257116e-27,3.8193066e-17,0.13440998,1.362389e-30,0.06618334,0.14467338,0.07018081,1.7474825e-31,0.074307114,0.17896706,5.8497534e-07,0.40466985,0.48109603,0.24655943,0.88269913,0.73924685,0.11570843,9.145893e-07,0.0,1.560953e-23,1.5522544e-32,1.9444005e-22,3.4548124e-05,0.063998684
6.9558226e-10,4.6423454e-20,0.28845236,2.2497755e-23,4.8142687e-05,2.513675e-10,0.2106699,1.150843e-22,0.008409007,6.908211e-10,7.331672e-11,0.10361028,3.4830366e-05,0.04574624,0.36394164,0.16540462,5.9756305e-05,0.03283044,3.2787093e-06,0.08826881,0.0027971093,0.049204633,5.837962e-05,6.272658e-29,1.5259759e-18,0.1354175,3.7464474e-33,0.06444841,0.14093103,0.07147111,4.0754734e-34,0.07625426,0.17319807,1.7956287e-07,0.3990261,0.47573963,0.24134523,0.8738737,0.7349577,0.11548103,3.033559e-07,0.0,1.9814946e-25,2.7824735e-35,2.8897527e-24,1.4683209e-05,0.063903205
1.3408805e-10,1.1610338e-21,0.2913679,3.007886e-25,2.332265e-05,4.2703806e-11,0.21166246,1.7613858e-24,0.007316175,1.2482679e-10,1.0468922e-11,0.10442999,1.597324e-05,0.04553798,0.35025436,0.15721606,3.0442714e-05,0.03139261,1.2758327e-06,0.091461815,0.0019647318,0.044455554,2.9741757e-05,2.6652738e-31,4.7122602e-20,0.1317113,6.141239e-36,0.060208205,0.13869654,0.070253186,5.5652894e-37,0.07599457,0.16604273,5.041387e-08,0.393418,0.4694183,0.23468222,0.8692126,0.7280495,0.11589098,9.2583896e-08,0.0,1.7505253e-27,2.8365313e-38,3.033843e-26,5.8378014e-06,0.06448209
