target,中文名,layer,band,residual_ratio,r2_of_relation,n_support,support,relation,removed,n_pool_after,test_r2_after
total_gen,总发电量,4,高精度近似,0.005277288942440544,0.9999721502214179,5,prelim_load_avg_hourly|total_pjm_rt_load_mwh|system_energy_price_rt|total_lmp_rt|net_actual_interchange_mw,total_gen = +0.8178*prelim_load_avg_hourly +0.1878*total_pjm_rt_load_mwh -61.64*system_energy_price_rt +61.28*total_lmp_rt -0.9958*net_actual_interchange_mw -524.2,prelim_load_avg_hourly,54,0.9999815388979297
total_gen,总发电量,5,高精度近似,0.012539649386521648,0.9998427571932631,4,total_pjm_rt_load_mwh|system_energy_price_rt|total_lmp_rt|net_actual_interchange_mw,total_gen = +1.026*total_pjm_rt_load_mwh -161.7*system_energy_price_rt +161.5*total_lmp_rt -0.9774*net_actual_interchange_mw -405,total_pjm_rt_load_mwh,53,0.9984408767107887
total_gen,总发电量,6,近似关系,0.0834638569512426,0.9930337845828225,9,gen_fuel_gas_mw|gen_fuel_gas_pct|forecast_load_mw_latest_available|system_energy_price_da|total_lmp_da|congestion_price_da|marginal_loss_price_da|system_energy_price_rt|total_lmp_rt,total_gen = +1.464*gen_fuel_gas_mw -1.342e+05*gen_fuel_gas_pct +0.3981*forecast_load_mw_latest_available +3.714e+07*system_energy_price_da -3.714e+07*total_lmp_da +3.714e+07*congestion_price_da +3.714e+07*marginal_loss_price_da +262*system_energy_price_rt -262.1*total_lmp_rt +5.554e+04,total_lmp_da,52,0.9984408767107414
total_gen,总发电量,7,近似关系,0.08469968431457153,0.9928259634770119,5,gen_fuel_gas_mw|gen_fuel_gas_pct|forecast_load_mw_latest_available|system_energy_price_rt|total_lmp_rt,total_gen = +1.474*gen_fuel_gas_mw -1.358e+05*gen_fuel_gas_pct +0.3884*forecast_load_mw_latest_available +411.7*system_energy_price_rt -413.6*total_lmp_rt +5.632e+04,total_lmp_rt,51,0.9984417715587582
total_gen,总发电量,8,近似关系,0.0850683949568312,0.9927633681794685,3,gen_fuel_gas_mw|gen_fuel_gas_pct|forecast_load_mw_latest_available,total_gen = +1.479*gen_fuel_gas_mw -1.365e+05*gen_fuel_gas_pct +0.3824*forecast_load_mw_latest_available +5.679e+04,gen_fuel_gas_mw,50,0.9976783593020773
total_gen,总发电量,9,近似关系,0.07681690677784854,0.9940991628330833,4,gen_fuel_coal_mw|gen_fuel_coal_pct|forecast_load_mw_latest_available|net_actual_interchange_mw,total_gen = +1.123*gen_fuel_coal_mw -1.141e+05*gen_fuel_coal_pct +0.8051*forecast_load_mw_latest_available -0.7138*net_actual_interchange_mw +1.881e+04,forecast_load_mw_latest_available,49,0.9966615567418184
total_gen,总发电量,10,近似关系,0.09317618623393469,0.9913181983188991,8,gen_fuel_coal_mw|gen_fuel_nuclear_mw|gen_fuel_solar_mw|gen_fuel_coal_pct|gen_fuel_nuclear_pct|gen_fuel_solar_pct|net_actual_interchange_mw|net_sched_interchange_mw,total_gen = +2.757*gen_fuel_coal_mw +1.673*gen_fuel_nuclear_mw +1.377*gen_fuel_solar_mw -2.984e+05*gen_fuel_coal_pct -1.874e+05*gen_fuel_nuclear_pct -1.348e+05*gen_fuel_solar_pct -2.048*net_actual_interchange_mw +2.28*net_sched_interchange_mw +1.092e+05,gen_fuel_coal_mw,48,0.9932840238835164
total_gen,总发电量,11,近似关系,0.09832414823165252,0.99033236187452,14,wind_generation_mw|gen_fuel_hydro_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_solar_mw|gen_fuel_wind_mw|gen_fuel_coal_pct|gen_fuel_gas_pct|gen_fuel_oil_pct|gen_fuel_solar_pct|gen_fuel_wind_pct|net_actual_interchange_mw|net_sched_interchange_mw,total_gen = +0.9343*wind_generation_mw +3.162*gen_fuel_hydro_mw +2.744*gen_fuel_multiple_fuels_mw +2.621*gen_fuel_nuclear_mw +6.937*gen_fuel_oil_mw +1.605*gen_fuel_solar_mw -0.7982*gen_fuel_wind_mw +2.693e+05*gen_fuel_coal_pct +2.572e+05*gen_fuel_gas_pct -3.785e+05*gen_fuel_oil_pct +1.158e+05*gen_fuel_solar_pct +2.478e+05*gen_fuel_wind_pct -1.5*net_actual_interchange_mw +1.528*net_sched_interchange_mw -1.615e+05,gen_fuel_gas_pct,47,0.9931725469018483
total_gen,总发电量,12,近似关系,0.0984132760255658,0.9903148271019158,14,wind_generation_mw|gen_fuel_hydro_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_solar_mw|gen_fuel_wind_mw|gen_fuel_hydro_pct|gen_fuel_multiple_fuels_pct|gen_fuel_nuclear_pct|gen_fuel_oil_pct|gen_fuel_solar_pct|net_actual_interchange_mw|net_sched_interchange_mw,total_gen = +0.9989*wind_generation_mw +3.235*gen_fuel_hydro_mw +4.019*gen_fuel_multiple_fuels_mw +2.659*gen_fuel_nuclear_mw +6.393*gen_fuel_oil_mw +1.494*gen_fuel_solar_mw -0.9722*gen_fuel_wind_mw -2.81e+05*gen_fuel_hydro_pct -4.054e+05*gen_fuel_multiple_fuels_pct -2.691e+05*gen_fuel_nuclear_pct -5.776e+05*gen_fuel_oil_pct -1.37e+05*gen_fuel_solar_pct -1.329*net_actual_interchange_mw +1.403*net_sched_interchange_mw +9.865e+04,gen_fuel_nuclear_pct,46,0.9747661717962153
metered_load_mw,计量负荷,1,高精度近似,0.003775431012113207,0.9999857461206728,7,total_gen|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_mw_primary_reserve|da_as_as_mw_synchronized_reserve|da_as_nsr_mw_primary_reserve|net_actual_interchange_mw,metered_load_mw = +0.9998*total_gen +104.1*da_as_as_req_mw_primary_reserve -156.1*da_as_as_req_mw_synchronized_reserve +108.7*da_as_as_mw_primary_reserve -108.7*da_as_as_mw_synchronized_reserve -108.7*da_as_nsr_mw_primary_reserve +1*net_actual_interchange_mw +9927,da_as_nsr_mw_primary_reserve,57,0.9999397988529597
metered_load_mw,计量负荷,2,高精度近似,0.0037766373202024364,0.9999857370105516,4,total_gen|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|net_actual_interchange_mw,metered_load_mw = +0.9999*total_gen +114.4*da_as_as_req_mw_primary_reserve -171.6*da_as_as_req_mw_synchronized_reserve +1*net_actual_interchange_mw +1.091e+04,da_as_as_req_mw_synchronized_reserve,56,0.9999397820324245
metered_load_mw,计量负荷,3,高精度近似,0.0037846858809705204,0.9999856761527823,2,total_gen|net_actual_interchange_mw,metered_load_mw = +0.9998*total_gen +1.001*net_actual_interchange_mw +40.99,total_gen,55,0.9999289710159575
metered_load_mw,计量负荷,4,高精度近似,0.0071366881519125515,0.9999490676822224,1,prelim_load_avg_hourly,metered_load_mw = +1*prelim_load_avg_hourly -489,prelim_load_avg_hourly,54,0.9999208706726456
metered_load_mw,计量负荷,5,高精度近似,0.01409932354206537,0.9998012090756562,1,total_pjm_rt_load_mwh,metered_load_mw = +1.026*total_pjm_rt_load_mwh -442.1,total_pjm_rt_load_mwh,53,0.9982682425553975
metered_load_mw,计量负荷,6,近似关系,0.08716640530085451,0.9924020177869272,7,forecast_load_mw_latest_available|system_energy_price_da|total_lmp_da|congestion_price_da|marginal_loss_price_da|system_energy_price_rt|total_lmp_rt,metered_load_mw = +0.9883*forecast_load_mw_latest_available -1.554e+06*system_energy_price_da +1.554e+06*total_lmp_da -1.554e+06*congestion_price_da -1.555e+06*marginal_loss_price_da -528.9*system_energy_price_rt +534.1*total_lmp_rt +270.1,total_lmp_da,52,0.9982682425554164
metered_load_mw,计量负荷,7,近似关系,0.08753503318691766,0.9923376179649652,3,forecast_load_mw_latest_available|system_energy_price_rt|total_lmp_rt,metered_load_mw = +0.9835*forecast_load_mw_latest_available -463.4*system_energy_price_rt +467*total_lmp_rt +650.2,total_lmp_rt,51,0.9982690437379745
metered_load_mw,计量负荷,8,近似关系,0.0884864236560745,0.9921701528285577,1,forecast_load_mw_latest_available,metered_load_mw = +0.9896*forecast_load_mw_latest_available +302.6,forecast_load_mw_latest_available,50,0.997873155872682
metered_load_mw,计量负荷,9,近似关系,0.08498223471250765,0.9927780197832683,9,gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_solar_mw|gen_fuel_wind_mw|gen_fuel_coal_pct|gen_fuel_gas_pct|gen_fuel_solar_pct|gen_fuel_wind_pct|net_sched_interchange_mw,metered_load_mw = +0.8561*gen_fuel_coal_mw +1.79*gen_fuel_gas_mw +1.056*gen_fuel_solar_mw +2.929*gen_fuel_wind_mw -9.128e+04*gen_fuel_coal_pct -1.615e+05*gen_fuel_gas_pct -9.132e+04*gen_fuel_solar_pct -2.616e+05*gen_fuel_wind_pct +1.217*net_sched_interchange_mw +9.085e+04,gen_fuel_gas_mw,49,0.9963834320492119
metered_load_mw,计量负荷,10,近似关系,0.09609891385041566,0.9907649987567704,7,gen_fuel_coal_mw|gen_fuel_nuclear_mw|gen_fuel_solar_mw|gen_fuel_coal_pct|gen_fuel_nuclear_pct|gen_fuel_solar_pct|net_sched_interchange_mw,metered_load_mw = +2.756*gen_fuel_coal_mw +1.679*gen_fuel_nuclear_mw +1.378*gen_fuel_solar_mw -2.985e+05*gen_fuel_coal_pct -1.877e+05*gen_fuel_nuclear_pct -1.354e+05*gen_fuel_solar_pct +1.235*net_sched_interchange_mw +1.092e+05,gen_fuel_coal_mw,48,0.9928066732541946
metered_load_mw,计量负荷,11,近似关系,0.09853870058456628,0.9902901244871052,16,total_losses|wind_generation_mw|gen_fuel_hydro_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_solar_mw|gen_fuel_wind_mw|gen_fuel_coal_pct|gen_fuel_gas_pct|gen_fuel_multiple_fuels_pct|gen_fuel_oil_pct|gen_fuel_solar_pct|gen_fuel_wind_pct|net_actual_interchange_mw|net_sched_interchange_mw,metered_load_mw = +5.059*total_losses +0.9412*wind_generation_mw +3.081*gen_fuel_hydro_mw +4.725*gen_fuel_multiple_fuels_mw +2.421*gen_fuel_nuclear_mw +5.917*gen_fuel_oil_mw +1.649*gen_fuel_solar_mw -0.9929*gen_fuel_wind_mw +2.562e+05*gen_fuel_coal_pct +2.472e+05*gen_fuel_gas_pct -1.988e+05*gen_fuel_multiple_fuels_pct -2.794e+05*gen_fuel_oil_pct +1.035e+05*gen_fuel_solar_pct +2.48e+05*gen_fuel_wind_pct -0.7181*net_actual_interchange_mw +1.667*net_sched_interchange_mw -1.504e+05,gen_fuel_gas_pct,47,0.9926913924649989
metered_load_mw,计量负荷,12,近似关系,0.09828233460616219,0.9903405827043624,15,total_losses|wind_generation_mw|gen_fuel_hydro_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_solar_mw|gen_fuel_wind_mw|gen_fuel_hydro_pct|gen_fuel_multiple_fuels_pct|gen_fuel_nuclear_pct|gen_fuel_oil_pct|gen_fuel_solar_pct|net_actual_interchange_mw|net_sched_interchange_mw,metered_load_mw = +5.779*total_losses +0.8874*wind_generation_mw +3.422*gen_fuel_hydro_mw +4.402*gen_fuel_multiple_fuels_mw +2.437*gen_fuel_nuclear_mw +5.531*gen_fuel_oil_mw +1.616*gen_fuel_solar_mw -0.9479*gen_fuel_wind_mw -2.913e+05*gen_fuel_hydro_pct -4.26e+05*gen_fuel_multiple_fuels_pct -2.559e+05*gen_fuel_nuclear_pct -4.817e+05*gen_fuel_oil_pct -1.442e+05*gen_fuel_solar_pct -0.5476*net_actual_interchange_mw +1.506*net_sched_interchange_mw +9.837e+04,gen_fuel_nuclear_pct,46,0.9732791910695534
congestion_price_da,日前阻塞价,1,近似关系,0.06543111337426726,0.9957187694026037,2,system_energy_price_da|total_lmp_da,congestion_price_da = -0.9934*system_energy_price_da +0.981*total_lmp_da +0.2971,total_lmp_da,57,0.19056663627650205
congestion_price_rt,实时阻塞价,1,近似关系,0.058244216740804065,0.9966076112162502,2,system_energy_price_rt|total_lmp_rt,congestion_price_rt = -1.001*system_energy_price_rt +1*total_lmp_rt +0.005067,total_lmp_rt,57,0.39894885189017715
marginal_loss_price_da,日前边际损耗价,1,精确公式,9.066740972596061e-07,0.999999999999178,3,system_energy_price_da|total_lmp_da|congestion_price_da,marginal_loss_price_da = -1*system_energy_price_da +1*total_lmp_da -1*congestion_price_da -6.296e-09,total_lmp_da,57,0.7687768131310091
total_lmp_da,日前总电价,1,高精度近似,0.009019319922001296,0.9999186518681445,2,system_energy_price_da|congestion_price_da,total_lmp_da = +1.013*system_energy_price_da +1.014*congestion_price_da -0.3123,system_energy_price_da,57,0.9174975138371566
da_as_total_mw_primary_reserve,日前主用备用总量,1,含舍入的公式,2.432645011483147e-05,0.9999999994082238,2,da_as_as_mw_synchronized_reserve|da_as_nsr_mw_primary_reserve,da_as_total_mw_primary_reserve = +1*da_as_as_mw_synchronized_reserve +1*da_as_nsr_mw_primary_reserve -0.003675,da_as_nsr_mw_primary_reserve,57,0.6970809593998155
