solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_hydro_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,gross_inadv_interchange_mw
9.330091e-12,0.00016042386,0.58897036,0.052739896,0.14858729,0.35074756,0.34836873,0.13997245,4.1170636e-11,0.098902464,0.03572116,0.019548744,0.4068314,2.108731e-09,4.781242e-14,0.4619206,6.612586e-08,2.0637026e-06,0.3789531,0.12527934,1.0984847e-11,0.0004143756,9.529501e-06,0.28195316,0.5823749,1.8829564e-08,2.866904e-10,0.086003795,0.13565756,4.8570645e-09,0.20037515,0.011546113,0.38969332,0.07863128
7.336053e-13,7.0424045e-05,0.57659787,0.0516681,0.15121628,0.35131702,0.3309312,0.14460756,4.027919e-12,0.08999989,0.03244946,0.015946984,0.40487885,2.991634e-10,2.2127734e-15,0.45837465,1.3996059e-08,6.051581e-07,0.3728294,0.116846226,9.065377e-13,0.00018562663,3.2514852e-06,0.27509025,0.5723231,3.0366543e-09,2.9978697e-11,0.085955575,0.13062312,7.222971e-10,0.19155733,0.0085758455,0.3799593,0.075187586
4.6989132e-14,2.919457e-05,0.5745133,0.048207823,0.14983326,0.34559563,0.3216223,0.14328587,3.2711157e-13,0.08995984,0.027843015,0.013249226,0.38637125,3.6354288e-11,7.962026e-17,0.44762135,2.6231144e-09,1.6140751e-07,0.35905418,0.110869795,6.120017e-14,7.7591e-05,1.018278e-06,0.26721743,0.55983466,4.2397927e-10,2.6169698e-12,0.08443483,0.13195239,9.236884e-11,0.18499339,0.006360152,0.37741202,0.076233074
2.4106344e-15,1.1247656e-05,0.5709842,0.050654557,0.14985338,0.34436584,0.3111924,0.1460802,2.1719383e-14,0.08844802,0.02593324,0.010511962,0.36984697,3.737824e-12,2.1798414e-18,0.44015965,4.3115997e-10,3.887151e-08,0.348427,0.11115686,3.3243724e-15,3.0291103e-05,2.9034854e-07,0.2607755,0.5478421,5.067043e-11,1.8793753e-13,0.08378932,0.12787908,1.003713e-11,0.17705151,0.0045959125,0.36000347,0.07507464
9.722118e-17,4.0265477e-06,0.56353784,0.052747745,0.15038787,0.34048057,0.29424298,0.14016715,1.1595805e-15,0.084760725,0.023747334,0.008141735,0.36248264,3.2081418e-13,4.433475e-20,0.43344277,6.1521524e-11,8.382238e-09,0.33947617,0.10166324,1.426754e-16,1.097263e-05,7.5264275e-08,0.2607647,0.5424424,5.119572e-12,1.0926516e-14,0.083906256,0.12379712,9.147298e-13,0.17010805,0.0031941822,0.35016525,0.07193346
3.0195635e-18,1.3316106e-06,0.5625249,0.051324807,0.14996551,0.3375105,0.28144154,0.1418397,4.887616e-17,0.08053449,0.019416936,0.0062425863,0.3487609,2.2649487e-14,6.522553e-22,0.4272722,7.535455e-12,1.6049411e-09,0.3287322,0.096358016,4.741883e-18,3.6759604e-06,1.7571038e-08,0.2502496,0.51948875,4.314074e-13,5.052787e-16,0.08255009,0.117743984,6.892241e-14,0.16448346,0.0022101973,0.34535274,0.06848041
7.0596524e-20,4.046765e-07,0.5540195,0.051295117,0.15375344,0.3308352,0.2706195,0.13709153,1.5938852e-18,0.08038041,0.015746964,0.0045786253,0.34453613,1.2942213e-15,6.738011e-24,0.42199242,7.8265215e-13,2.7034797e-10,0.32006833,0.0881291,1.1936365e-19,1.1315824e-06,3.665621e-09,0.2463191,0.50532496,2.9871735e-14,1.8226864e-17,0.08665594,0.1234711,4.2266868e-15,0.16273382,0.0014773615,0.33909875,0.07100345
1.2114223e-21,1.1221992e-07,0.55172384,0.053741023,0.15416196,0.33058885,0.26516858,0.13972539,3.9325565e-20,0.07788686,0.012426912,0.0032982456,0.32793674,5.8801107e-17,4.7271843e-26,0.41676596,6.8014855e-14,3.9657905e-11,0.31089878,0.08145298,2.2203418e-21,3.1821682e-07,6.772186e-10,0.23583709,0.50584483,1.672126e-15,5.0198536e-19,0.085974656,0.115738474,2.0736143e-16,0.1560566,0.0009567676,0.33730018,0.0680147
1.4833598e-23,2.8209415e-08,0.5453739,0.058246497,0.1585036,0.3297473,0.24690971,0.13926506,7.161196e-22,0.07849356,0.009575999,0.002312865,0.3185242,2.0829911e-18,2.169189e-28,0.40654394,4.8737103e-15,5.0104755e-12,0.3011236,0.07687742,2.9695722e-23,8.120283e-08,1.0980561e-10,0.23835337,0.4903751,7.432398e-17,1.03069136e-20,0.08156131,0.11374652,7.985631e-18,0.1501128,0.00059121323,0.32765228,0.0696993
1.2558809e-25,6.3800583e-09,0.5371609,0.05776392,0.15395984,0.32724953,0.2438205,0.13717675,9.362915e-24,0.07761042,0.0067033106,0.0015686236,0.30811834,5.630198e-20,6.2384788e-31,0.4047985,2.8338128e-16,5.387133e-13,0.29474258,0.078398444,2.7694848e-25,1.8664483e-08,1.5463663e-11,0.22573109,0.4894916,2.5719705e-18,1.5365179e-22,0.08192805,0.113247454,2.364063e-19,0.15115716,0.00036140252,0.32438177,0.0684451
