wind_generation_mw,solar_generation_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,rmccp,rmpcp,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,system_energy_price_da,total_lmp_rt,marginal_loss_price_rt,net_inadv_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
1.4041888e-10,2.2535798e-09,1.3716836e-07,1.9316269e-09,2.1403865e-10,2.153802e-09,0.09392179,4.0342454e-09,7.5067014e-08,6.1743055e-10,1.9539512e-09,0.28095242,9.162416e-09,2.9593314e-10,1.8460777e-09,1.5210345e-10,2.603292e-10,7.844998e-10,1.7277863e-08,1.0149762e-09,3.2198306e-09,1.2949022e-08,4.1745235e-10,1.7866948e-10,1.2342871e-08,8.865452e-10,0.040078823,1.5654674e-09,2.259273e-05,5.668742e-09,1.2160786e-08,1.055044e-09,0.020932032,8.935443e-07
1.2184715e-11,2.6501779e-10,2.5134963e-08,2.120173e-10,1.9528207e-11,2.0975917e-10,0.088676445,5.0453197e-10,1.2510876e-08,6.411163e-11,2.2135048e-10,0.26370978,1.2792126e-09,2.8257915e-11,2.1311243e-10,1.3064146e-11,2.4188181e-11,7.430147e-11,2.5651181e-09,1.1025845e-10,3.9998002e-10,1.867862e-09,4.0527574e-11,1.577958e-11,1.6723363e-09,9.501896e-11,0.03849051,1.7847233e-10,5.7921848e-06,7.3979967e-10,1.7283819e-09,1.1435201e-10,0.020574277,1.9862277e-07
8.645032e-13,2.6168161e-11,4.0167447e-09,1.9423015e-11,1.4632255e-12,1.687341e-11,0.08586019,5.3262617e-11,1.8038863e-09,5.5294805e-12,2.098633e-11,0.2487787,1.5219409e-10,2.2248492e-12,2.0623732e-11,9.166245e-13,1.8486627e-12,5.7983687e-12,3.262108e-10,9.987884e-12,4.191778e-11,2.3024241e-10,3.2489226e-12,1.1412349e-12,1.9258953e-10,8.482393e-12,0.035825588,1.7038305e-11,1.3317017e-06,8.1797916e-11,2.0965266e-10,1.0333275e-11,0.018863438,3.9135433e-08
4.9342888e-14,2.1398055e-12,5.539595e-10,1.463963e-12,8.862685e-14,1.1040962e-12,0.08323098,4.68355e-12,2.2251238e-10,3.9031208e-13,1.6419537e-12,0.23336959,1.5238786e-11,1.422213e-13,1.6499393e-12,5.1686926e-14,1.1441324e-13,3.6709424e-13,3.5111483e-11,7.4366587e-13,3.6568114e-12,2.3957428e-11,2.1179774e-13,6.651218e-14,1.8613116e-11,6.2160395e-13,0.03518002,1.3431056e-12,2.7238377e-07,7.563538e-12,2.1437605e-11,7.6732663e-13,0.018686226,6.7726393e-09
2.2254518e-15,1.4272296e-13,6.517875e-11,8.936469e-14,4.264374e-15,5.778591e-14,0.08109237,3.380609e-13,2.3195904e-11,2.218483e-14,1.0438271e-13,0.22133103,1.2666369e-12,7.256736e-15,1.0746297e-13,2.3005745e-15,5.635881e-15,1.8534944e-14,3.1567882e-12,4.4795903e-14,2.6168247e-13,2.0762634e-12,1.1040033e-14,3.068823e-15,1.4887722e-12,3.6800966e-14,0.034105226,8.6083986e-14,4.9126886e-08,5.765922e-13,1.8230016e-12,4.608693e-14,0.017816767,1.019201e-09
7.776203e-17,7.636482e-15,6.4611584e-12,4.341989e-15,1.5989188e-16,2.3745952e-15,0.078778654,1.9710753e-14,2.016339e-12,9.973371e-16,5.3007877e-15,0.20796734,8.609527e-14,2.9005757e-16,5.6030056e-15,7.923695e-17,2.1679234e-16,7.3242245e-16,2.336758e-13,2.1452403e-15,1.5114947e-14,1.4767979e-13,4.516616e-16,1.09922794e-16,9.7053936e-14,1.7294814e-15,0.033739846,4.410543e-15,7.737549e-09,3.5675686e-14,1.2702297e-13,2.2000893e-15,0.016944444,1.3193148e-10
2.0595658e-18,3.218102e-16,5.322617e-13,1.647371e-16,4.5734527e-18,7.505941e-17,0.07637819,9.120471e-16,1.4402437e-13,3.4768674e-17,2.1102905e-16,0.19742037,4.7072022e-15,8.895889e-18,2.295575e-16,2.0658937e-18,6.3764673e-18,2.2184256e-17,1.40173865e-14,8.011827e-17,6.9228707e-16,8.482733e-15,1.4207949e-17,2.9911914e-18,5.0706975e-15,6.327896e-17,0.031929966,1.772941e-16,1.0530189e-09,1.7609833e-15,7.134667e-15,8.1883714e-17,0.01646497,1.4516511e-11
4.035573e-20,1.0466711e-17,3.589289e-14,4.778514e-18,9.746948e-20,1.7840634e-18,0.074157506,3.2844867e-17,8.318153e-15,9.196058e-19,6.4509947e-18,0.18662171,2.0328758e-16,2.045895e-19,7.240458e-18,3.979036e-20,1.400997e-19,5.032926e-19,6.696157e-16,2.284369e-18,2.465507e-17,3.8654775e-16,3.3592818e-19,6.0368404e-20,2.0842228e-16,1.7643086e-18,0.030780436,5.477172e-18,1.2240631e-10,6.804126e-17,3.1729335e-16,2.3259349e-18,0.016401563,1.3401664e-12
5.694128e-22,2.5691049e-19,1.9488464e-15,1.0351838e-19,1.5076929e-21,3.1092508e-20,0.07293997,9.009298e-19,3.816272e-16,1.8011604e-20,1.4798557e-19,0.17800821,6.796996e-18,3.439425e-21,1.7186599e-19,5.509801e-22,2.2405378e-21,8.33591e-21,2.4988478e-17,4.8566708e-20,6.6813115e-19,1.3702724e-17,5.820895e-21,8.797814e-22,6.6032683e-18,3.6604616e-20,0.02951639,1.2710013e-19,1.20013955e-11,2.015196e-18,1.0953243e-17,4.924782e-20,0.015472739,1.0234357e-13
5.6134577e-24,4.6420063e-21,8.36625e-17,1.6317636e-21,1.643868e-23,3.8631182e-22,0.0709323,1.8378494e-20,1.36391115e-17,2.542854e-22,2.4833675e-21,0.168725,1.7208832e-19,4.1081137e-23,2.993777e-21,5.3209753e-24,2.5337081e-23,9.7954234e-23,7.131554e-19,7.500092e-22,1.3450221e-20,3.6977204e-19,7.1867475e-23,8.986079e-24,1.576453e-19,5.503773e-22,0.028497132,2.159877e-21,9.788874e-13,4.4699877e-20,2.87149e-19,7.571178e-22,0.015305427,6.3649342e-15
