epoch,feature_index,feature,omega_group_l2
6,36,da_as_mcp_primary_reserve,0.59261084
6,37,total_pjm_rt_load_mwh,0.88892233
6,38,metered_load_mw,0.8163998
6,39,forecast_load_mw_latest_available,0.715696
6,40,prelim_load_avg_hourly,0.9313629
6,41,gross_actual_interchange_mw,0.79596025
6,42,gen_fuel_hydro_mw,0.72007966
6,43,total_pjm_loc_credit,0.6923226
6,44,total_losses,0.9930627
6,45,net_inadv_interchange_mw,0.6617644
6,46,da_as_nsr_mw_primary_reserve,0.6382031
6,47,total_pjm_self_sched_reg,0.73604816
6,48,da_as_ss_mw_synchronized_reserve,0.66468203
6,49,da_as_ss_mw_thirty_minutes_reserve,0.6493917
6,50,da_as_ss_mw_primary_reserve,0.70545214
6,51,gen_fuel_solar_mw,0.93498355
6,52,gen_fuel_coal_pct,0.78799593
6,53,congestion_price_rt,0.7866284
6,54,da_as_mcp_synchronized_reserve,0.6766533
6,55,congestion_price_da,0.5217122
7,1,da_as_as_mw_thirty_minutes_reserve,0.7907494
7,2,da_as_total_mw_thirty_minutes_reserve,0.6329679
7,3,gross_sched_interchange_mw,0.98426133
7,4,gen_fuel_nuclear_mw,0.81792045
7,5,gen_fuel_gas_mw,1.2751671
7,6,da_as_as_req_mw_thirty_minutes_reserve,0.78621393
7,7,da_as_as_req_mw_primary_reserve,0.5778218
7,8,da_as_as_req_mw_synchronized_reserve,0.75883794
7,9,total_pjm_assigned_reg,0.8501519
7,10,da_as_as_mw_primary_reserve,0.71186507
7,11,da_as_total_mw_primary_reserve,0.7527034
7,12,da_as_as_mw_synchronized_reserve,0.7580923
7,13,total_pjm_reg_purchases,0.6486883
7,14,gen_fuel_other_renewables_mw,0.81484854
7,15,total_lmp_da,0.676588
7,16,total_pjm_rmpcp_cr,0.6436983
7,17,forecast_load_mw_day_ahead,0.695669
7,18,total_pjm_rmccp_cr,0.6827459
7,19,gen_fuel_wind_mw,0.7656429
7,20,da_as_total_mw_synchronized_reserve,0.73006815
7,21,system_energy_price_da,0.718463
7,22,gen_fuel_multiple_fuels_pct,0.6792587
7,23,gen_fuel_multiple_fuels_mw,0.53216076
7,24,marginal_loss_price_rt,0.5700663
7,25,gen_fuel_gas_pct,0.5356895
7,26,marginal_loss_price_da,0.5970645
7,27,total_lmp_rt,0.53489286
7,28,rmccp,0.6287156
7,29,system_energy_price_rt,0.5876815
7,30,rmpcp,0.50294477
7,31,gen_fuel_wind_pct,0.79398435
7,32,gen_fuel_coal_mw,0.92462486
7,33,wind_generation_mw,0.70087796
7,34,gross_inadv_interchange_mw,0.84778565
7,35,gen_fuel_oil_mw,0.6591278
7,36,da_as_mcp_primary_reserve,0.55287164
7,37,total_pjm_rt_load_mwh,0.8822869
7,38,metered_load_mw,0.8076125
7,39,forecast_load_mw_latest_available,0.6768339
7,40,prelim_load_avg_hourly,0.94138014
7,41,gross_actual_interchange_mw,0.7412817
7,42,gen_fuel_hydro_mw,0.7045516
7,43,total_pjm_loc_credit,0.6169734
7,44,total_losses,0.9318862
7,45,net_inadv_interchange_mw,0.5970427
7,46,da_as_nsr_mw_primary_reserve,0.5750209
7,47,total_pjm_self_sched_reg,0.66810477
7,48,da_as_ss_mw_synchronized_reserve,0.59534883
7,49,da_as_ss_mw_thirty_minutes_reserve,0.5965527
7,50,da_as_ss_mw_primary_reserve,0.64049894
7,51,gen_fuel_solar_mw,0.91339296
7,52,gen_fuel_coal_pct,0.7295506
7,53,congestion_price_rt,0.7163306
7,54,da_as_mcp_synchronized_reserve,0.62871295
7,55,congestion_price_da,0.4736153
8,1,da_as_as_mw_thirty_minutes_reserve,0.73884684
8,2,da_as_total_mw_thirty_minutes_reserve,0.5836535
8,3,gross_sched_interchange_mw,0.91985965
8,4,gen_fuel_nuclear_mw,0.78805506
8,5,gen_fuel_gas_mw,1.2479633
8,6,da_as_as_req_mw_thirty_minutes_reserve,0.7408569
8,7,da_as_as_req_mw_primary_reserve,0.53139925
8,8,da_as_as_req_mw_synchronized_reserve,0.70118225
8,9,total_pjm_assigned_reg,0.7933181
8,10,da_as_as_mw_primary_reserve,0.66981274
8,11,da_as_total_mw_primary_reserve,0.69349056
8,12,da_as_as_mw_synchronized_reserve,0.70924664
8,13,total_pjm_reg_purchases,0.59789795
8,14,gen_fuel_other_renewables_mw,0.77473205
8,15,total_lmp_da,0.6234209
8,16,total_pjm_rmpcp_cr,0.5810373
8,17,forecast_load_mw_day_ahead,0.6450997
8,18,total_pjm_rmccp_cr,0.64179295
8,19,gen_fuel_wind_mw,0.7088413
8,20,da_as_total_mw_synchronized_reserve,0.6775991
8,21,system_energy_price_da,0.66399133
8,22,gen_fuel_multiple_fuels_pct,0.6294125
8,23,gen_fuel_multiple_fuels_mw,0.4831892
8,24,marginal_loss_price_rt,0.52943695
8,25,gen_fuel_gas_pct,0.47580814
8,26,marginal_loss_price_da,0.5551084
8,27,total_lmp_rt,0.48577484
8,28,rmccp,0.5920425
8,29,system_energy_price_rt,0.5334935
8,30,rmpcp,0.45564693
8,31,gen_fuel_wind_pct,0.7418664
8,32,gen_fuel_coal_mw,0.90727204
8,33,wind_generation_mw,0.6560837
8,34,gross_inadv_interchange_mw,0.799541
8,35,gen_fuel_oil_mw,0.616644
8,36,da_as_mcp_primary_reserve,0.5124807
8,37,total_pjm_rt_load_mwh,0.8775687
8,38,metered_load_mw,0.8020982
8,39,forecast_load_mw_latest_available,0.6321436
8,40,prelim_load_avg_hourly,0.9539145
8,41,gross_actual_interchange_mw,0.688624
8,42,gen_fuel_hydro_mw,0.68278253
8,43,total_pjm_loc_credit,0.56451166
8,44,total_losses,0.87867004
8,45,net_inadv_interchange_mw,0.5410072
8,46,da_as_nsr_mw_primary_reserve,0.5256923
8,47,total_pjm_self_sched_reg,0.6134299
8,48,da_as_ss_mw_synchronized_reserve,0.5335413
8,49,da_as_ss_mw_thirty_minutes_reserve,0.5506337
