total_gen,total_losses,wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_storage_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,forecast_load_mw_day_ahead,prelim_load_avg_hourly,metered_load_mw,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_mcp_thirty_minutes_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_total_mw_primary_reserve,da_as_total_mw_synchronized_reserve,da_as_total_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,da_as_ss_mw_synchronized_reserve,da_as_ss_mw_thirty_minutes_reserve,da_as_ircmwt2_primary_reserve,da_as_ircmwt2_synchronized_reserve,da_as_ircmwt2_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,net_actual_interchange_mw,net_sched_interchange_mw,net_inadv_interchange_mw,gross_actual_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
97601.751,458.9,2372.175,-10.654,15796,43960,2408,357,32516,217,692,12,0,2299,0.16,0.449,0.025,0.0,0.33,0.0,0.01,0.0,0.0,0.02,95539.0,95542.0,93968.8,93530.068,25.54,1.72,91518.567,2314.30937,556.80763,311.13475,323.63015,16205.52,2948.15,0.0,0.04,0.0,3664.9,2506.6,3664.9,4518.6,2506.6,20332.3,4518.6,2506.6,20332.3,49.0,49.0,49.0,0.0,0.0,0.0,2012.0,28.79,28.90961,-0.082235,0.201845,27.75,27.804307,0.041074,0.015733,-4120.969,-4134.0380000000005,-13.06899999999996,11694.969,6160.0380000000005,8268.069
93909.251,462.0,2535.172,-8.677,15763,42661,1160,357,32517,216,691,12,0,2424,0.165,0.445,0.011,0.0,0.34,0.0,0.01,0.0,0.0,0.025,92376.0,92381.0,90388.2,89946.781,22.57,3.4,87984.917,2227.15065,534.47336,303.83484,308.19466,13911.16,7636.72,0.0,0.04,0.0,3664.9,2506.6,3664.9,4467.6,2506.6,20250.6,4467.6,2506.6,20250.6,49.0,49.0,49.0,0.0,0.0,0.0,1961.0,25.86,25.937281,-0.088463,0.165744,29.08,29.112992,0.013312,0.020513,-4014.415,-3958.653,55.761999999999944,10778.415,5686.653,7652.238
90277.914,495.3,3028.108,-9.85,15473,41125,1100,359,32515,220,691,12,0,2900,0.16,0.434,0.01,0.0,0.345,0.0,0.01,0.0,0.0,0.03,88948.0,88956.0,86895.9,86469.575,18.97,4.35,84512.928,4400.71354,540.41263,225.24378,388.71274,11639.47,5036.74,0.04,0.04,0.0,3664.9,2506.6,3664.9,3664.9,2783.9,19772.4,3664.9,2783.9,19772.4,49.0,49.0,49.0,0.0,0.0,0.0,881.0,24.03,24.22723,-0.021595,0.218826,22.92,22.931133,0.000568,0.014731,-3840.182,-3951.236,-111.05400000000007,10810.182,5731.236,7789.054
98528.705,506.8,5121.241,-9.032,13707,41384,3952,347,32528,225,694,12,15,4930,0.14,0.423,0.038,0.0,0.331,0.0,0.01,0.0,0.0,0.05,96169.0,99375.0,96767.3,96469.15,3.97,0.0,94372.795,409.2391,547.56425,293.93715,322.32018,2412.43,0.0,9.83,9.83,0.0,3664.9,2506.6,3664.9,3664.9,2783.9,19422.6,3664.9,2783.9,19422.6,150.0,150.0,150.0,0.0,0.0,0.0,881.0,41.19,43.285603,1.476658,0.618944,23.91,23.921069,0.000358,0.014878,-2105.867,-1935.48,170.38699999999994,13213.867,5657.48,10435.613
103947.122,528.6,5573.586,72.698,15021,44422,4971,361,32520,227,691,35,16,5399,0.145,0.43,0.05,0.0,0.313,0.0,0.01,0.0,0.0,0.05,103368.0,104059.0,102111.6,101759.317,4.69,0.0,99520.82,449.76897,514.17565,329.82346,247.63114,2736.05,0.0,25.13,25.13,0.0,3664.9,2506.6,3664.9,3664.9,3317.9,18736.5,3664.9,3317.9,18736.5,144.0,144.0,144.0,0.0,0.0,0.0,347.0,54.78,57.128555,1.495535,0.85302,32.41,32.431999,0.000897,0.020269,-2231.101,-2036.851,194.25,14069.101,5628.851000000001,11319.75
105685.368,482.2,5752.833,1118.873,15979,44831,4618,362,32524,227,692,838,15,5615,0.15,0.423,0.044,0.0,0.309,0.0,0.01,0.006,0.0,0.05,105064.0,104161.0,103143.7,102825.663,3.25,0.0,100613.213,628.61276,535.6988,308.20234,289.23699,1897.69,0.0,1.07,1.07,0.0,3664.9,2506.6,3664.9,3664.9,2732.9,19570.5,3664.9,2732.9,19570.5,144.0,144.0,144.0,0.0,0.0,0.0,932.0,31.89,33.1072,0.802412,0.414788,29.82,29.841096,0.000843,0.018586,-2921.3280000000004,-2870.693,50.63499999999999,14229.328,5330.693,11142.635
105863.363,426.1,5840.817,2695.061,15946,44592,3524,361,32533,223,693,2319,13,5672,0.15,0.42,0.033,0.0,0.31,0.0,0.01,0.022,0.0,0.05,102905.0,101969.0,102199.0,101966.638,4.82,0.0,99823.949,674.77182,366.62569,241.5365,177.84553,2017.45,0.0,0.0,1.27,0.0,3664.9,2506.6,3664.9,4518.6,2506.6,20437.8,4518.6,2506.6,20437.8,114.0,114.0,114.0,0.0,0.0,0.0,2012.0,26.79,26.968375,-0.1519,0.330275,29.28,29.297366,0.002445,0.019087,-3996.501,-4051.05,-54.54899999999998,13662.501,5565.049999999999,11079.451
104640.555,422.3,6257.994,3090.948,16026,44336,1781,360,32535,221,699,2844,0,6019,0.15,0.42,0.018,0.0,0.31,0.0,0.01,0.03,0.0,0.059,99467.0,96595.0,100885.9,100653.897,19.3,0.13,98490.766,9054.31906,425.77044,149.57416,277.37251,8029.9,137.88,0.0,0.04,0.0,3664.9,2506.6,3664.9,4518.6,2506.6,20414.7,4518.6,2506.6,20414.7,49.0,49.0,49.0,0.0,0.0,0.0,2012.0,26.25,26.275169,-0.286921,0.31209,35.51,35.552594,0.020292,0.021468,-4083.513,-4009.818,73.69499999999994,13689.513,6381.818,10607.695
101997.15,409.4,6907.436,3246.639,15278,42419,1480,359,32533,219,703,2953,0,6710,0.15,0.412,0.011,0.0,0.318,0.0,0.01,0.03,0.0,0.066,97645.0,94749.0,98760.9,98557.21,15.14,0.61,96491.075,1267.92095,384.21791,228.20055,208.47153,6627.84,781.25,0.0,0.04,0.0,3664.9,2506.6,3664.9,4518.6,2506.6,20417.9,4518.6,2506.6,20417.9,49.0,49.0,49.0,0.0,0.0,0.0,2012.0,24.59,24.586302,-0.27224,0.268542,21.61,21.628742,0.001767,0.012808,-3496.788,-3442.066,54.72199999999998,13626.788,5708.066,10534.722
100742.525,379.2,7386.41,3378.263,14912,42157,1211,358,32544,217,692,3103,0,7209,0.149,0.41,0.01,0.0,0.32,0.0,0.01,0.03,0.0,0.07,96985.0,97402.0,97346.9,97096.357,7.53,0.16,95155.269,582.39984,368.40242,241.13814,176.83113,3139.22,152.1,0.04,0.04,0.0,3664.9,2506.6,3664.9,3664.9,2732.9,19524.9,3664.9,2732.9,19524.9,86.0,86.0,86.0,0.0,0.0,0.0,932.0,24.83,24.858992,-0.223551,0.252543,24.03,24.044602,0.0,0.014602,-3660.779,-3641.065,19.713999999999945,12594.779,5609.065,9771.714
