area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_generation_mw,system_losses_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_wind_mw
1.9629642,-1.21197,-1.5676696,-1.5870727,2.2885637,-1.5355856,-1.603798,-1.6113062,-1.4000078,2.2397156,-1.488228,-1.6211107,2.234286,2.2304087,-0.9194041,2.3813875,2.188672,2.1650972,-1.4511635,2.272573
1.9833537,-1.2285208,-1.5788252,-1.598432,2.290598,-1.5426036,-1.6020174,-1.6153114,-1.3968472,2.2571206,-1.5067948,-1.6053008,2.2378328,2.232191,-0.93242216,2.3817675,2.2113447,2.1756606,-1.4603806,2.272573
2.0118542,-1.2448572,-1.5899693,-1.6097647,2.3016732,-1.5498103,-1.6097254,-1.6194968,-1.3758528,2.257126,-1.5157454,-1.6080382,2.251231,2.2318494,-0.95673484,2.4033234,2.218647,2.1757112,-1.4673347,2.272573
2.027811,-1.2678884,-1.6178954,-1.6210659,2.3016717,-1.5572008,-1.6176021,-1.6238658,-1.3799952,2.256665,-1.5251822,-1.6109494,2.251231,2.2547643,-0.9849725,2.40369,2.2189083,2.1846077,-1.476026,2.285389
2.036816,-1.2829825,-1.6338102,-1.6323321,2.3129802,-1.5647693,-1.6256295,-1.6284201,-1.3916197,2.2573752,-1.5347364,-1.6140139,2.251231,2.2547793,-1.0082276,2.4140003,2.2245514,2.1846077,-1.4836953,2.2864897
2.0409055,-1.2979411,-1.6367083,-1.643561,2.3128302,-1.5725101,-1.6338003,-1.6331617,-1.3958755,2.257415,-1.544399,-1.6172361,2.2527773,2.2547793,-1.0314256,2.4170723,2.2245514,2.1926973,-1.491155,2.3059707
2.0591245,-1.3127863,-1.6397581,-1.6547503,2.3159487,-1.5804169,-1.6421071,-1.6380916,-1.4084198,2.272702,-1.554161,-1.6206213,2.2569575,2.2547793,-1.0301651,2.41944,2.2527683,2.1900241,-1.4988065,2.3179264
2.0818694,-1.3339837,-1.6429641,-1.6658962,2.315974,-1.5884823,-1.6505426,-1.6688747,-1.4127231,2.272702,-1.5640143,-1.6332054,2.2569575,2.256284,-1.0471765,2.4406955,2.2531855,2.1899698,-1.5066434,2.3238955
2.0781376,-1.3477583,-1.6463314,-1.6769977,2.3464847,-1.5966998,-1.6590991,-1.6675422,-1.4172217,2.272702,-1.57395,-1.6367733,2.2548873,2.256284,-1.0577053,2.4442508,2.2570124,2.1899698,-1.5146599,2.3332531
2.0765405,-1.3595048,-1.6498637,-1.7133783,2.3465457,-1.6050613,-1.6677694,-1.6701031,-1.4219245,2.272702,-1.5839602,-1.6402918,2.2548873,2.2826254,-1.072911,2.4442508,2.2645164,2.214532,-1.5228486,2.333261
