rank,index,center,related,nmi,spearman,pearson,kendall,distance_corr,hsic,nmi_pass,spearman_pass,pearson_pass,kendall_pass,distance_corr_pass,hsic_pass,pass_count,max_abs_score
41,16,metered_load_mw,gen_fuel_hydro_pct,0.05121766901323893,0.265613605464628,0.2991379978260514,0.20903595556906285,0.3394721595367491,0.02872759475382044,1,1,1,1,1,0,5,0.3394721595367491
42,31,metered_load_mw,total_pjm_self_sched_reg,0.0304581887048989,0.15835702477671698,0.12183574868047249,0.09348901862663331,0.14675282679950952,0.33730324936169137,0,1,1,1,1,1,5,0.33730324936169137
43,60,metered_load_mw,congestion_price_rt,0.06607674769777018,0.33725351788555485,0.27295099045288157,0.23207172517665062,0.3132183183031579,0.034547850824435865,1,1,1,1,1,0,5,0.33725351788555485
44,11,metered_load_mw,gen_fuel_solar_mw,0.04470146291981107,0.21351873124069298,0.19508966349648724,0.1875544940224779,0.2416741682644978,0.321680442486675,0,1,1,1,1,1,5,0.321680442486675
45,40,metered_load_mw,da_as_as_req_mw_thirty_minutes_reserve,0.09326676204190058,0.2710433257058976,0.2790679230158038,0.22506227200585785,0.2934710575918587,0.03759067180423445,1,1,1,1,1,0,5,0.2934710575918587
46,12,metered_load_mw,gen_fuel_storage_mw,0.044121648513796546,0.29154427854959564,0.2709220988341524,0.23681837368126823,0.2616244985996745,0.05714632931162831,0,1,1,1,1,1,5,0.29154427854959564
47,42,metered_load_mw,da_as_total_mw_synchronized_reserve,0.07106385458283605,0.0992893137078154,0.10534990774045178,0.10132065079225193,0.18746581928420192,0.21401746211081824,1,0,1,1,1,1,5,0.21401746211081824
48,3,metered_load_mw,solar_generation_mw,0.032429903041292854,0.16436018092507518,0.21150790032890796,0.11386618610913117,0.19722405648968222,0.13644833352388455,0,1,1,1,1,1,5,0.21150790032890796
49,46,metered_load_mw,da_as_as_mw_thirty_minutes_reserve,0.07554995599263842,0.018529358597967675,-0.1144005562214409,-0.02356555311924543,0.21091631311924794,0.9209454061993876,1,0,1,0,1,1,4,0.9209454061993876
50,43,metered_load_mw,da_as_total_mw_thirty_minutes_reserve,0.06593653793192158,-0.027645493209948933,-0.16041803491467213,0.02044908475392097,0.15710465732879358,0.9124896086652953,1,0,1,0,1,1,4,0.9124896086652953
51,23,metered_load_mw,gen_fuel_wind_pct,0.0447300851896505,-0.29888303308449077,-0.32273386568205836,-0.2094988669069874,0.3033431466820276,0.02870712320193307,0,1,1,1,1,0,4,0.32273386568205836
52,45,metered_load_mw,da_as_as_mw_synchronized_reserve,0.08913184716390321,0.09866488579102554,0.10100343493407674,0.07934910541656608,0.16249176181239797,0.23367280840835103,1,0,1,0,1,1,4,0.23367280840835103
53,17,metered_load_mw,gen_fuel_multiple_fuels_pct,0.046635961363700545,0.175096993045278,0.18705482774219762,0.149192324892225,0.22248411874743496,0.02846768933850413,0,1,1,1,1,0,4,0.22248411874743496
54,21,metered_load_mw,gen_fuel_solar_pct,0.06630519051503428,0.14712568109732987,0.06846020902597978,0.1187222936778569,0.18832460799053413,0.02848058442981128,1,1,0,1,1,0,4,0.18832460799053413
55,27,metered_load_mw,rmpcp,0.07618489391794639,-0.1121088971192278,-0.0564895540920247,-0.08877210681802705,0.09378179153069952,0.05393877339858901,1,1,0,1,0,1,4,0.1121088971192278
