W_1,W_2,W_3,W_4,W_5,W_6,epoch
-0.5077719,-0.012873777,-0.371527,-0.06420047,0.024322826,1.0407584,132
-0.50329274,-0.014681855,-0.37711173,-0.067002475,0.02434559,1.0381353,133
-0.5058592,-0.00886571,-0.3741739,-0.06136281,0.02118264,1.0360185,134
-0.4945944,-0.010056532,-0.37793475,-0.06255543,0.024611164,1.0313275,135
-0.49605235,-0.004374149,-0.3757371,-0.05756051,0.025318008,1.0340029,136
-0.50524724,-0.0008525569,-0.37545237,-0.05530716,0.021153003,1.037088,137
-0.5047905,-0.000918819,-0.37942928,-0.055436987,0.025728935,1.0353351,138
-0.49810976,0.0025495822,-0.3778146,-0.052478258,0.030338183,1.0362481,139
-0.50533843,7.596408e-05,-0.38078758,-0.0544153,0.03420933,1.0412753,140
-0.49910864,-0.00080650987,-0.3841598,-0.055518456,0.034362003,1.0422138,141
-0.49336058,0.0056354045,-0.38233775,-0.049777262,0.03565684,1.0354925,142
-0.48186123,0.0062406887,-0.38539279,-0.049549922,0.035895135,1.0411344,143
-0.49729788,0.004779774,-0.39098343,-0.05256061,0.032165904,1.0359011,144
-0.5023543,0.0033649988,-0.39135537,-0.052358642,0.036465663,1.03531,145
-0.49282894,0.013287525,-0.3886166,-0.044156935,0.037397314,1.0456322,146
-0.49438816,0.012175228,-0.39439753,-0.04702985,0.035315163,1.037778,147
-0.49276948,0.017135581,-0.38939595,-0.040819217,0.035490874,1.0442746,148
-0.4899264,0.010780413,-0.3986552,-0.04691883,0.039720792,1.0381616,149
-0.49408507,0.019247966,-0.39347702,-0.039930873,0.039941464,1.0345969,150
-0.4977504,0.018769102,-0.39634112,-0.04121993,0.033834703,1.0399128,151
-0.48309517,0.02201659,-0.3968719,-0.038768005,0.046455655,1.0429436,152
-0.4950769,0.025143197,-0.39640722,-0.03516373,0.038513742,1.0469339,153
-0.49227238,0.025930125,-0.3971439,-0.034988847,0.040298406,1.0450654,154
-0.47944364,0.022670776,-0.40378487,-0.03888848,0.04339499,1.040419,155
-0.49347097,0.027856665,-0.39969683,-0.033917483,0.039873604,1.0404085,156
-0.4868294,0.027070053,-0.4014837,-0.034703817,0.044371776,1.0405643,157
-0.49200386,0.030357016,-0.40090117,-0.03068327,0.042928264,1.0412928,158
-0.4831482,0.027744599,-0.4046133,-0.03350461,0.048710845,1.0428686,159
-0.49379402,0.032640476,-0.40383175,-0.029010672,0.03971742,1.0407311,160
-0.47712082,0.032194402,-0.40509766,-0.028485632,0.044672716,1.0476731,161
-0.4840429,0.034749877,-0.40589237,-0.025936041,0.04583656,1.0430282,162
-0.48502907,0.03342166,-0.41188464,-0.030308025,0.04440827,1.0468124,163
-0.48403543,0.035760626,-0.4123373,-0.027836008,0.044734843,1.0488681,164
-0.48789707,0.039446626,-0.40949842,-0.023719698,0.049815454,1.0462937,165
-0.4803657,0.038604006,-0.41412348,-0.023074413,0.05214759,1.0471592,166
-0.4785291,0.03639214,-0.4188112,-0.027316833,0.053573243,1.0494686,167
-0.4830049,0.046126936,-0.41147506,-0.016292496,0.053023517,1.0421381,168
-0.4773513,0.04597821,-0.41361237,-0.017989723,0.054787967,1.0439491,169
-0.480298,0.042870805,-0.42010805,-0.020991392,0.052646846,1.0509701,170
-0.47590154,0.04299504,-0.42146426,-0.020855557,0.05884661,1.0339628,171
-0.4768274,0.04650768,-0.4195112,-0.017308712,0.053833842,1.0475676,172
-0.48803806,0.049693726,-0.41936252,-0.013432451,0.05923391,1.0464969,173
