total_gen,total_losses,wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,metered_load_mw,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_ss_mw_primary_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,net_actual_interchange_mw,net_sched_interchange_mw,net_inadv_interchange_mw,gross_actual_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.0,0.107034154,0.0,0.0,2.0705454e-18,0.0,0.0,0.0,0.18206432,0.07091445,0.08543276,0.0,0.0,0.07885108,0.13854434,0.11363744,0.07447342,0.12255377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14854872,0.0,0.048410084,0.0,5.596895e-28,0.0,0.04381887,0.0,1.7787015e-33,0.0,0.10517556,0.037678078,0.06394043,0.055724792,0.07129885,1.1547931e-14,0.0,0.17375876,0.04769192,0.077007286,0.0,0.039347716,0.05658757,0.0,0.0,0.11710119,0.0,0.07261295,0.07240412,0.0
0.0,0.10789617,0.0,0.0,1.1691876e-19,0.0,0.0,0.0,0.18027014,0.071186274,0.08405396,0.0,0.0,0.07926927,0.13821156,0.112510525,0.07388031,0.11723724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1496836,0.0,0.05176063,0.0,4.299916e-30,0.0,0.04167737,0.0,3.8214336e-36,0.0,0.1038711,0.035658583,0.06411142,0.055733353,0.07332771,1.149206e-15,0.0,0.17202969,0.048749857,0.07776793,0.0,0.040654648,0.051038526,0.0,0.0,0.11634158,0.0,0.07612813,0.07037591,0.0
0.0,0.10614246,0.0,0.0,5.2623268e-21,0.0,0.0,0.0,0.17996183,0.0705502,0.08506248,0.0,0.0,0.076972984,0.13490959,0.115713574,0.07257763,0.11735692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1475984,0.0,0.05113981,0.0,2.1925232e-32,0.0,0.04291344,0.0,4.772497e-39,0.0,0.10626749,0.035812035,0.06281758,0.055041518,0.071339615,9.560965e-17,0.0,0.16849701,0.047699638,0.077926874,0.0,0.040811945,0.05308237,0.0,0.0,0.115460105,0.0,0.074919425,0.0662221,0.0
0.0,0.105896935,0.0,0.0,1.8512405e-22,0.0,0.0,0.0,0.1778525,0.06993154,0.08456523,0.0,0.0,0.07931181,0.13795552,0.112994365,0.07177197,0.119935736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14809152,0.0,0.049221054,0.0,7.1210294e-35,0.0,0.04333169,0.0,3.26e-42,0.0,0.101775244,0.033846173,0.062622756,0.053595126,0.07402122,6.551581e-18,0.0,0.16655122,0.049151164,0.07527007,0.0,0.03927437,0.053243212,0.0,0.0,0.11305675,0.0,0.07172451,0.067025706,0.0
0.0,0.104711264,0.0,0.0,4.9814977e-24,0.0,0.0,0.0,0.17660406,0.0680676,0.08196654,0.0,0.0,0.076206475,0.1371717,0.11173746,0.07042036,0.11933989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14981884,0.0,0.047940295,0.0,1.4057168e-37,0.0,0.045967426,0.0,1e-45,0.0,0.10165933,0.03271232,0.06298898,0.05479803,0.0718188,3.637819e-19,0.0,0.1650544,0.048683535,0.07672979,0.0,0.037424102,0.051363636,0.0,0.0,0.11616054,0.0,0.0726296,0.06951354,0.0
0.0,0.1013196,0.0,0.0,1.0011282e-25,0.0,0.0,0.0,0.1752348,0.06901242,0.083182186,0.0,0.0,0.075203486,0.13333501,0.110628605,0.0731043,0.11939305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14825901,0.0,0.048443615,0.0,1.59805e-40,0.0,0.044707,0.0,0.0,0.0,0.10304862,0.032477073,0.06013499,0.055712365,0.07514989,1.6076963e-20,0.0,0.16448751,0.0468835,0.07666955,0.0,0.03892512,0.05277548,0.0,0.0,0.11420308,0.0,0.073809154,0.06343543,0.0
0.0,0.10435801,0.0,0.0,1.4632928e-27,0.0,0.0,0.0,0.17595316,0.06996561,0.08460325,0.0,0.0,0.07632351,0.13403222,0.10968267,0.0705856,0.11877788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1439885,0.0,0.0464774,0.0,9.8e-44,0.0,0.04444228,0.0,0.0,0.0,0.10210253,0.03164973,0.061699264,0.054890383,0.07167469,5.544581e-22,0.0,0.16162018,0.046714935,0.074861184,0.0,0.036661863,0.05061253,0.0,0.0,0.113381386,0.0,0.074000336,0.06612198,0.0
0.0,0.101805635,0.0,0.0,1.5102055e-29,0.0,0.0,0.0,0.17401253,0.06722087,0.085336216,0.0,0.0,0.07312055,0.13172302,0.10876951,0.06900089,0.11760187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14485541,0.0,0.04747823,0.0,0.0,0.0,0.04463149,0.0,0.0,0.0,0.10308165,0.030986993,0.060431544,0.055488385,0.07334355,1.4601019e-23,0.0,0.16074525,0.04749553,0.07757831,0.0,0.03738845,0.050041765,0.0,0.0,0.110045224,0.0,0.074203975,0.065885715,0.0
0.0,0.10604283,0.0,0.0,1.0646749e-31,0.0,0.0,0.0,0.17316513,0.06923439,0.08209705,0.0,0.0,0.073596686,0.12859118,0.11226428,0.0688134,0.11689885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14262612,0.0,0.04769557,0.0,0.0,0.0,0.045103017,0.0,0.0,0.0,0.09998404,0.030549388,0.06148808,0.052978072,0.07271209,2.866064e-25,0.0,0.1581291,0.044680946,0.07552556,0.0,0.03719722,0.05187353,0.0,0.0,0.11117282,0.0,0.070883624,0.06655744,0.0
0.0,0.10274577,0.0,0.0,4.9393974e-34,0.0,0.0,0.0,0.17105834,0.067974254,0.08190215,0.0,0.0,0.07653901,0.131266,0.10656645,0.0678949,0.11866443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14213388,0.0,0.046942245,0.0,0.0,0.0,0.04329812,0.0,0.0,0.0,0.101900965,0.030471431,0.06014512,0.055322975,0.069656774,4.0828155e-27,0.0,0.15739985,0.045483254,0.076336786,0.0,0.03872842,0.047305208,0.0,0.0,0.114193276,0.0,0.07128686,0.066327155,0.0
