wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,net_inadv_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.5861504,0.40860087,0.4711039,0.089764,0.15830591,0.26523402,0.93828857,0.5397026,0.77743214,0.5084102,0.0,0.50206894,0.39856803,0.0,0.09165134,0.673585,0.06296211,0.5932006,0.0,0.35416254,0.47418275,0.5358469,0.39390227,0.21553722,0.0,0.45586646,0.36054263,0.0023183557,0.0,0.0,0.38209495,0.3754181,0.5640626,0.34980646,0.64753765,0.6023093,0.39497942,0.0,0.5105665,0.41932353,0.50228983,0.03212817,0.9210749,0.43947086,0.5074324,0.49690092,0.0,0.6706731,1.0
0.6131592,0.4243261,0.4810971,0.06558957,0.14892402,0.25686675,0.96129197,0.5433956,0.81054884,0.5481069,0.0,0.5194994,0.39853424,0.0,0.08758291,0.68948144,0.023061598,0.60175216,0.0,0.37643752,0.49554023,0.53736025,0.38504532,0.21129775,0.0,0.4572759,0.36561865,0.0,0.0,0.0,0.3803257,0.36689317,0.5765561,0.3692794,0.6513017,0.611405,0.40102285,0.0,0.52838814,0.4159101,0.5393144,0.012148416,0.95910674,0.4359008,0.50307614,0.48263362,0.0,0.6844761,1.0
0.6207386,0.4306175,0.46590275,0.04373421,0.15798046,0.26160076,0.9791571,0.5366622,0.828555,0.5592891,0.0,0.52983314,0.39918047,0.0,0.09257451,0.7095495,0.010176605,0.59790236,0.0,0.38420713,0.49774674,0.5361634,0.3631566,0.20069212,0.0,0.444037,0.37112176,0.0,0.0,0.0,0.3632745,0.3597363,0.5701598,0.35806966,0.6526687,0.6204053,0.40693906,0.0,0.53790754,0.4189936,0.53439665,0.0,0.9912298,0.4318649,0.50713223,0.47904968,0.0,0.6985322,1.0
0.63628304,0.4410243,0.4756462,0.017552923,0.14944166,0.2573397,1.0,0.5423863,0.8498215,0.5659348,0.0,0.53242195,0.41139638,0.0,0.08509894,0.72585356,0.0,0.6099594,0.0,0.394096,0.501073,0.53469163,0.35895398,0.20749345,0.0,0.43960053,0.37318444,0.0,0.0,0.0,0.37556085,0.35478956,0.5868833,0.37177992,0.67529875,0.6504348,0.42076713,0.0,0.54191715,0.42715183,0.5612386,0.0,1.0,0.4373752,0.5017978,0.46404913,0.0,0.7237982,1.0
0.6377252,0.4485842,0.47803316,0.0,0.15377308,0.24256927,1.0,0.5493888,0.8779048,0.5923077,0.0,0.5302391,0.4186452,0.0,0.06812598,0.749967,0.0,0.62371415,0.0,0.40939698,0.49616104,0.53563476,0.35533386,0.18442446,0.0,0.43791214,0.36475122,0.0,0.0,0.0,0.37127784,0.35287845,0.5939697,0.37850538,0.69456947,0.66918737,0.43390885,0.0,0.5449622,0.43128574,0.5667249,0.0,1.0,0.43290362,0.4940883,0.46559697,0.0,0.7200582,1.0
0.6466815,0.46283385,0.48214906,0.0,0.14306042,0.22691412,1.0,0.5577198,0.8922293,0.6162803,0.0,0.5452831,0.42030656,0.0,0.040336244,0.7778858,0.0,0.6334362,0.0,0.41402185,0.5029601,0.52539897,0.3418223,0.17651814,0.0,0.43614772,0.3685294,0.0,0.0,0.0,0.35178533,0.35078433,0.6100709,0.38012138,0.6907665,0.6675367,0.43742496,0.0,0.5414297,0.43525437,0.5879119,0.0,1.0,0.41652983,0.47838694,0.48573133,0.0,0.7292855,1.0
0.64632744,0.48633325,0.47715315,0.0,0.14019711,0.2079743,1.0,0.56036603,0.9039481,0.6287079,0.0,0.5389072,0.4011396,0.0,0.036379118,0.7827818,0.0,0.6426712,0.0,0.42501616,0.49534926,0.5283203,0.34964395,0.15087827,0.0,0.44113564,0.37116468,0.0,0.0,0.0,0.3686158,0.3562673,0.6136861,0.3829384,0.710416,0.6751595,0.433824,0.0,0.5455898,0.4430323,0.6082858,0.0,1.0,0.41461137,0.47622114,0.4823204,0.0,0.74669564,1.0
0.651069,0.5110519,0.4788731,0.0,0.13007341,0.20665094,1.0,0.5606981,0.92382467,0.6525192,0.0,0.54548,0.39761084,0.0,0.027922556,0.8111748,0.0,0.6443683,0.0,0.43419567,0.49459422,0.53368586,0.34283656,0.15090506,0.0,0.4467723,0.37561113,0.0,0.0,0.0,0.3711251,0.36571717,0.61424327,0.38147673,0.74662334,0.698969,0.44348085,0.0,0.58466685,0.44408315,0.6209051,0.0,1.0,0.41095814,0.47403157,0.48476174,0.0,0.75791955,1.0
0.67112446,0.5285565,0.49070707,0.0,0.13428469,0.1968505,1.0,0.56453246,0.95541775,0.66087633,0.0,0.5684556,0.3843846,0.0,0.015284666,0.83104056,0.0,0.6367186,0.0,0.44081953,0.49739808,0.5398676,0.32975385,0.15676461,0.0,0.4520574,0.3826089,0.0,0.0,0.0,0.37421715,0.36293015,0.61800915,0.37714133,0.7420334,0.7015485,0.43183613,0.0,0.5882365,0.45497718,0.62598956,0.0,1.0,0.41487846,0.47719607,0.49018973,0.0,0.7655768,1.0
0.68464273,0.54391223,0.49546173,0.0,0.13391393,0.1773465,1.0,0.5659988,0.9876968,0.6710416,0.0,0.577375,0.38191205,0.0,0.024235472,0.8693998,0.0,0.6394381,0.0,0.44168893,0.50918597,0.5481388,0.33002713,0.14291477,0.0,0.45325938,0.3661648,0.0,0.0,0.0,0.39053044,0.35394633,0.62184626,0.38289234,0.7577885,0.73007995,0.43917546,0.0,0.6118184,0.46040484,0.63382715,0.0,1.0,0.40336892,0.47962898,0.49749488,0.0,0.7838806,1.0
0.6959083,0.55905,0.4850148,0.0,0.12376861,0.1794956,1.0,0.56776685,1.0,0.6965259,0.0,0.5812042,0.38501242,0.0,0.0077497996,0.89061964,0.0,0.6461505,0.0,0.44112128,0.5065768,0.5568478,0.31965086,0.12827699,0.0,0.45424142,0.39324427,0.0,0.0,0.0,0.39231884,0.35137987,0.6292469,0.38875574,0.7762966,0.75878066,0.43990326,0.0,0.60806316,0.47146267,0.6637686,0.0,1.0,0.39346945,0.4840661,0.5120563,0.0,0.7953947,1.0
