,115号母线电压相角,215号母线电压相角,315号母线电压相角,AB1联络线负载率,AB2联络线负载率,AB3联络线负载率,CA1联络线负载率,CB1联络线负载率,121号核电机组出力,218号联合循环机组出力,317号风电机组出力,321号联合循环机组启停状态
reserve_reg_down_mw,0.031893337744964015,0.023648364198096752,0.021028141558674777,0.051497989124312846,0.023106790430111577,0.015664989216303993,0.015878298447367854,0.021511589843071208,0.02556169531218682,0.013232376889580242,0.03205390103686884,0.01914599009828198
reserve_spin_r1_mw,0.005362535150350296,0.009210469106278488,0.010377394864997242,0.07557738698410126,0.009535940230857893,0.0464919382534803,0.0028823650440192193,0.0049815890707988805,0.028554662116759763,0.012477906695972176,0.0036288884495455417,-0.0006461137665101559
reserve_spin_r2_mw,0.009650680596516187,0.013344113891968854,0.016511758761692686,0.03326037113701767,0.0130906021532899,0.04183021260488512,0.01218304363297711,0.01025267464146816,0.023408585074849504,0.0627861535611333,0.019323921198187273,0.015771229460859133
reserve_spin_r3_mw,0.00899076724986886,0.00810899169059554,0.013083354593769757,0.0061998606809265475,0.006523247801477809,0.010402412039265802,0.009392686223527649,0.00919418146176298,0.012767995530321591,0.016593250661260328,0.005614468791644666,0.004087933087432366
gen_fuel_coal_mw,0.0797744857657126,0.03541570347553146,0.04400287955624643,0.08793387905666626,0.03824185197304765,0.08041721286102498,0.03306140864579198,0.0344700225481533,0.04627160581204,0.05318997356391981,0.03613545106718722,0.05501744716679305
gen_fuel_natural_gas_mw,0.02374254081522796,-6.546122916126825e-05,0.013904835387517127,-0.016859982894937505,-0.004249680120678017,0.01872740302828564,0.012876772908038996,0.01522592489896341,0.034917754362242565,0.07849499980452619,0.05081725897088937,0.15107716910317848
gen_fuel_nuclear_mw,0.05691230076795545,0.03229905810515461,0.04639239109118769,0.05565469696516747,0.03649306678984023,0.016024331321313985,0.03260546453100953,0.04044983398873346,0.224769446076465,0.012585546022736593,0.03649163811829045,0.014004487748520256
gen_fuel_hydro_mw,0.0016998495368451903,0.015193883032433263,0.009803315238544141,0.02328859116831594,0.015170442669591205,0.016029288238724293,0.008845162953858515,0.011028722876269229,0.009134658554569351,0.02726171509304787,0.004749352541709556,0.002698979731242189
gen_fuel_wind_mw,0.09043332742661898,0.08712882266704512,0.10978838414154429,0.036554732365596185,0.09219530142831611,0.038053880380399766,0.10914477068406693,0.10195055067908128,0.05688447658867496,0.013785567063471072,0.13523922496146715,0.06271207392316491
gen_fuel_solar_mw,0.009291268506322716,0.04646352271518404,0.041356549800561686,0.0011017842549419406,0.04062632555261652,0.029665523465460697,0.05716418697835474,0.04714009963286193,7.431423011296581e-06,0.03973981699143801,0.01221942679078215,0.020216329380169002
area_1_fuel_coal_mw,0.12442215717310834,0.05900786685080955,0.07596148219321253,0.13228097665739752,0.062416586728183024,0.10090588849887855,0.04135915169042917,0.04985790279003447,0.06962071457677356,0.035685720753103736,0.04982716696651851,0.0415717772998807
area_1_fuel_natural_gas_mw,-0.016803025482823683,-0.004317858676275174,-0.012786886910591056,0.007635346869943423,-0.004530237211271707,-0.009682733157566972,-0.012229239383945961,-0.009852652457520136,-0.010071286507683182,-0.00974732618521116,-0.009087757409023902,-0.007322668596422933
area_1_fuel_nuclear_mw,0.055789152337318716,0.03623336714266037,0.042125447874472484,0.04990556905840238,0.039907583245226703,0.015387750590145294,0.029905537830385506,0.03886639850371306,0.22642816553103484,0.01823541943563301,0.03368107113471806,0.019866754269155563
area_1_fuel_hydro_mw,0.003867414910056219,0.006831330896339583,0.005818251482122671,0.020190308350329995,0.005218349354014691,-0.009316680367060404,0.0028388849451493952,0.004144472112372646,-0.005979202250437847,-0.00306768319156615,-0.001289624134250396,-0.0054088363838243085
area_1_fuel_wind_mw,0.16473803429386324,0.0863912629181762,0.12669415132183776,0.09888176965562179,0.08901813561877882,0.05415675542194777,0.08921045406829908,0.10715111377917165,0.1215206130269745,0.018268546739683825,0.0919832641565637,0.03156406854592182
area_1_fuel_solar_mw,0.021415623550657337,0.05307563599931758,0.051461505693568346,0.01755416315851818,0.04846927680500712,0.017530335413098095,0.06293023493369812,0.053089917466218176,0.016217497967880676,0.0476372545431442,0.020763469727716893,0.031683663702051834
area_1_generation_mw,0.0020395157536150224,0.011216087546348112,0.01014854173052273,0.081745768845125,0.01187196960712217,0.052586528109721545,0.0073933872565538315,0.006934374949125048,0.01957283700477554,0.029683811462595463,0.008438193363451755,0.0026138406784530326
area_2_fuel_coal_mw,0.011114207330056271,0.019225800165526868,0.035866581641069956,0.04686100615483668,0.016243481104240565,0.054373485518977804,0.017662341908006397,0.014569046492567544,0.013260502746928079,0.08823654625382472,0.00925080289073573,0.020728751922725906
area_2_fuel_natural_gas_mw,0.003463536832187683,0.023785902869006247,0.013599151260077469,0.023724972955892498,0.01943171245478637,0.07840624397844687,0.018902726466268997,0.017918121080784236,0.004320975246858725,0.24590224752765058,0.006640904376464219,0.020169658613412224
area_2_fuel_hydro_mw,-0.005797074771217506,0.007297581666258974,0.007790462992811391,0.0030121977718583805,0.006730278032278123,0.012753220856594095,0.004818048995337056,0.004012607368303434,0.0007099591053965088,0.036873928948424055,-0.009445055611356449,-0.0024751452798920113
area_2_fuel_solar_mw,0.008105036318893758,0.03591453911060557,0.035769722875773305,0.006526449274210777,0.03423233004491007,0.02174110166047124,0.0473398367705372,0.03939824808488648,0.008169456689902863,0.05328572542176574,0.011713503184508704,0.01763788589054099
area_2_generation_mw,-0.002854028453174487,0.008045166554322584,0.004909082790176587,0.026836808872847687,0.007903014156246987,0.03542772631698899,0.006020324712496942,0.003058949299454698,0.008744157356994003,0.057410685495972155,0.005719490468517337,0.003905402360421917
area_3_fuel_coal_mw,0.024406062526858417,0.007871327288710801,0.011707536578781859,0.013269301682410545,0.0050728508619547405,0.025552536817636858,0.012319081884701601,0.009421462704555756,0.014735672942548912,0.02798875434470531,0.05202144104796327,0.12680998099745808
area_3_fuel_natural_gas_mw,0.02376924557109029,0.004451191748493979,0.024257766515649905,0.007189979973302705,-0.001432173634591254,0.028027983465974377,0.02031455134244234,0.022852054642468308,0.028820803948635676,0.0339195287294557,0.0711265366180352,0.2416459907432761
area_3_fuel_hydro_mw,-0.0020161340594502153,-0.000320244836577911,0.002213198787969755,0.0036691544126491067,0.0011565716422754766,0.008888811176215369,0.0011152332420907144,0.002979689010840242,0.020832264368896736,0.001403041667158178,0.005165134483755022,0.0018254170474884292
area_3_fuel_wind_mw,0.06328674172927448,0.06646060919884522,0.0874738142269067,0.038599003279669156,0.06993850829762778,0.04896529501818721,0.09358953765010475,0.07915593085644362,0.027985651845532856,0.0012993422060744754,0.13306414969769761,0.07982239509193657
area_3_fuel_solar_mw,0.014575155933856974,0.04952888079772644,0.043511806011088575,0.0014525010558780966,0.04226515537976866,0.024377773824587938,0.06168645238457603,0.05254308403797395,0.011088284456163828,0.041510927594455856,0.018235723974643153,0.029045782835072087
area_3_generation_mw,0.003379404767432077,0.0001372033900898231,0.001619887071187866,-0.0017815440987965785,-0.0013222298129266646,-0.002246004172703866,0.000468472205313499,0.0008253372923955312,-0.0015079036091157254,0.011395897386783193,-0.0001741146474257228,-0.0009214184457628487
hour_of_day,0.005445551410928077,0.030227690111669397,0.020273151457695385,0.0101525629071536,0.02621702228700434,0.020083145145629443,0.024173140398826436,0.023018173177783458,0.006841618193600193,0.05592097960351742,-0.0016027822948809813,0.01626434320909705
day_of_week,-0.002009760806550488,-0.0035058961256945664,-0.003799420848162033,-0.005258690804401009,-0.003841442487850589,-0.01113976230685417,-0.005008274034946863,-0.003568173757448118,-0.0037382097614260157,-0.0012834589985571976,-0.0069107443394544835,-0.0023519273794783925
month_of_year,-0.10662553366942265,-0.06408598249193613,-0.08275854086521654,-0.3380520926419892,-0.0731585375494169,-0.3214235192091443,-0.05707088177258442,-0.0751243283339311,-0.10470859654216176,-0.31642763204106317,-0.09751434108647532,-0.054328724997670885
is_weekend,0.0034684551152825882,-0.0009587200699289846,-0.0006905884229226277,0.0045167872537858365,-0.0001288931147528081,0.001945329340092144,-0.003200357947230439,-0.00200527375621726,-0.0007106628020222445,0.0019456352409612395,-0.005209300328101038,-0.002534208385160959
