,115号母线电压相角,215号母线电压相角,315号母线电压相角,AB1联络线负载率,AB2联络线负载率,AB3联络线负载率,CA1联络线负载率,CB1联络线负载率,121号核电机组出力,218号联合循环机组出力,317号风电机组出力,321号联合循环机组启停状态
area_1_net_export_mw,-0.36307951639771985,-0.3065548366377884,-0.48054418150001976,-0.2271862253943535,-0.3076548730070915,0.009743148567759818,-0.19868327654408802,-0.3478385084261951,-0.639651806814432,-0.15705931191951117,-0.5461718766339949,-0.19743966830880444
area_2_net_export_mw,-0.4923801409622127,-0.4534636591013892,-0.6690442478688114,-0.43576448377190846,-0.49308052740902264,-0.2725407043330359,-0.4337648199051969,-0.500735922477701,-0.4412506469761257,-0.23264525116929158,-0.7050656408006404,-0.3030752941443189
area_3_net_export_mw,-0.1827407533571278,-0.09025084923238846,-0.21525118000405985,-0.013971093845540183,-0.0840974774958182,-0.07362147350869919,-0.09148695552580832,-0.1482982210624587,-0.35730189797270595,-0.06172143666139662,-0.2613043469074807,-0.07222377571810357
reserve_reg_up_mw,-0.1751949829122036,-0.09807056783407064,0.04122634986232854,-0.37958413819017234,-0.08232877917440762,-0.09974108530109982,0.018488397852426952,-0.0009245289465574791,0.0026967298866661382,-0.02704007237331485,-0.06669690345761936,-0.12727519571602663
reserve_reg_down_mw,-0.16952672753580322,-0.08317771526313655,-0.006951466417536523,-0.29243500338307815,-0.06909160085865973,-0.08540436402175855,0.012617970754146612,-0.014866753843269076,-0.035085789858010474,-0.03939625294861082,-0.10496473850419119,-0.12319455930576362
reserve_spin_r1_mw,0.07444373309650754,-0.012497629436097113,-0.11754380658443153,-0.23743767663432302,0.013977692965445931,-0.09329625513382189,0.010774116591709793,-0.006082061812779926,-0.25911417111245216,-0.22583971868759933,-0.1171218936477817,-0.06962776427426953
reserve_spin_r2_mw,0.05512955931264729,-0.01608738783023378,-0.0784963783327094,-0.24622567248209914,0.0011177259674092221,-0.18194511973070593,-0.004760981007132958,-0.005469841762156036,-0.22604402320817185,-0.4238160031004642,-0.10797862923748924,-0.10437348840695804
reserve_spin_r3_mw,0.009079855015274307,-0.013361298290353596,-0.08281197462568901,-0.0805292480953218,-0.006758474890957711,-0.0616463199387266,-0.013803445889604693,-0.03221387801958131,-0.05606889550248295,-0.07956076337049967,-0.053096680573222255,-0.017430469236836
gen_fuel_coal_mw,-0.3707071739747132,-0.08618730121717111,-0.32981724376902954,-0.5039146503000326,-0.1066968879414536,-0.23082523117756293,-0.13475192401050295,-0.1754751817247332,-0.5752185691807862,-0.4918993332476498,-0.40564767081713815,-0.5502707988565492
gen_fuel_natural_gas_mw,-0.10230728630795605,0.23099262744737925,0.011296597661321628,0.4295468079930326,0.29476872462998527,-0.025030377486185973,0.08368173489413522,0.09031462025657988,-0.4359400708478891,-0.6334754295028161,-0.3677081512882636,-0.8334049677333737
gen_fuel_nuclear_mw,-0.2640047262126871,-0.1253192436602053,-0.3310088029539542,-0.1656481308351705,-0.11559957534179055,-0.11829411377122856,-0.13651768007394371,-0.19612147937472668,-1.1992871538264367,-0.19271885517129084,-0.47801939629772017,-0.3036253283693854
gen_fuel_hydro_mw,0.04947993330327516,-0.009164198500030918,-0.09018083931103493,-0.21007513135300682,-0.0033182423998068256,-0.08763921643087036,0.02162561541583463,0.015441374190425017,-0.05445929382207304,-0.12228751665445825,-0.02103082011841495,0.012677523132206492
gen_fuel_wind_mw,-0.5329277394800672,-0.4323274751870293,-0.8004021945397781,-0.10949701192251304,-0.45720310731356306,0.07493082707285481,-0.6063950477591173,-0.6499076156729863,-0.3335655941996639,-0.0244790077572008,-1.014554716986388,-0.39804341013287603
gen_fuel_solar_mw,-0.0034838067921513227,-0.29564234498407704,-0.3624123109424614,-0.05064993273341267,-0.25384960362122677,0.039118240945339666,-0.3664063607897209,-0.32897618764050085,-0.049370756682681205,-0.39174680483158153,-0.11539450096126158,-0.12525228632985463
area_1_fuel_coal_mw,-0.5132197590253876,-0.27702817869719387,-0.4546176481291432,-0.7739125260273676,-0.26211577226283944,-0.167316567151091,-0.17856708421040768,-0.2740179144752396,-0.6918851193549861,-0.2673501533660054,-0.6156897871805149,-0.44374089404288186
area_1_fuel_natural_gas_mw,0.05675033697289544,-0.030523139230465568,0.059914804920741305,-0.21845442069528476,-0.02392307580048858,-0.12174197769178341,0.04800253067078042,0.040583791871769526,0.0074663509027733665,-0.14389475435668087,0.02320648969526984,-0.009379366393780675
area_1_fuel_nuclear_mw,-0.2932627679606672,-0.1749237595192895,-0.38378677888613366,-0.26866732851662356,-0.1738721046034214,-0.1131462090373514,-0.16001666186296792,-0.2197184905764772,-1.2008189933138165,-0.22180120789846614,-0.49894182440618906,-0.30360402029442735
area_1_fuel_hydro_mw,0.04866963830739168,-0.012508869569231695,-0.05850293166439813,-0.19193648093637894,-0.012821541090942579,-0.11708644438568572,-0.008584297472826963,-0.010615049337027727,0.01044239026069027,0.011538177633097169,-0.07481695201011551,0.03302536451360605
area_1_fuel_wind_mw,-0.5919076542068571,-0.3701229750449724,-0.7727964992668698,-0.17324455095092772,-0.36560039319454796,0.09539494551238104,-0.47884974596061625,-0.5996857579665099,-0.6905571532034792,-0.007295154413114235,-0.8424169072656049,-0.24628035727756625
area_1_fuel_solar_mw,-0.014179022990709611,-0.29428778353908625,-0.3321982611283111,-0.02660028353897148,-0.26282855777819414,0.2026597096470375,-0.35031518133114037,-0.29835578751196656,-0.006514306572535045,-0.30881465639575856,-0.0728299594724301,-0.17194586015829316
area_1_generation_mw,0.14074719880107278,-0.016706925079735813,-0.08757756749093137,-0.25140497140119633,0.006272665995864513,-0.12445464956243857,0.007145434836319131,0.009576549244910137,-0.2103836446428261,-0.2445038149078319,-0.07765703688690051,-0.04171719669981455
area_2_fuel_coal_mw,0.047313352886279136,-0.05764466805420465,-0.12074325558595289,-0.19540968524326108,-0.02130167216848544,-0.2930167208416037,-0.020471941390759252,-0.026128908690537744,-0.1415730875961072,-0.7362858322335257,-0.024281736434933587,-0.16201686012267646
area_2_fuel_natural_gas_mw,0.0728989410232247,-0.1514828482807702,-0.061965004132758295,-0.1254703586148328,-0.1081655433011236,-0.37358447896283087,-0.06528338597918293,-0.06262943043784797,-0.10510936106950941,-1.0750417932999108,-0.029910390266501108,-0.17181382277844148
area_2_fuel_hydro_mw,0.037090894236331606,-0.013735194022555408,-0.11139098946318726,-0.2154293904102731,-0.01024755817721501,-0.05984182242358549,-0.00023053768462655277,-0.014832199677912272,-0.04568646769157081,-0.1616397521911742,-0.029998321692992658,0.0038333317958466617
area_2_fuel_solar_mw,-0.0012999566490711212,-0.2190985503283709,-0.3217406428223498,0.022179010940719945,-0.19654262255300547,0.28470904744752,-0.30120172626570074,-0.25989569813801583,-0.037156005141817716,-0.3194605329011906,-0.10175362851735492,-0.13906916711735906
area_2_generation_mw,0.10171240045205077,-0.029533220267698446,-0.05243550435871902,-0.2453162520451737,-0.010071743875987638,-0.1822365316872233,-0.0013363204613052737,0.004792757358029309,-0.16359177053983043,-0.4612277546339607,-0.061856006190811885,-0.07684417699372592
area_3_fuel_coal_mw,-0.13349326540306428,0.13120680758538128,0.105391340395385,0.003643838667890531,0.1544278358640917,0.011469504456646296,0.08325595336124403,0.10116187997006088,-0.15504337472562035,-0.18854707651160307,-0.21938969869685743,-0.8646167674678079
area_3_fuel_natural_gas_mw,-0.09932299621980434,0.22147606375217865,-0.013827625719395331,0.004422954177037974,0.2784985427438289,0.04128181631375005,0.0892692106846591,0.07121806869813019,-0.3252490740651258,-0.324321272225223,-0.35156393787355655,-0.9862338479771999
area_3_fuel_hydro_mw,0.025207023470006473,0.031144900886075355,-0.04767401222212819,0.11170499624270858,0.03838072265467907,-0.06776065583667268,0.01711860568297452,0.010366657686792347,-0.2153587811010912,-0.08348863619739832,-0.0639776529475301,-0.06714865699809192
area_3_fuel_wind_mw,-0.48384814645435237,-0.45018304719606206,-0.7387530775071958,-0.26985757235867813,-0.47614219191865215,-0.08507729087085025,-0.5989782151011706,-0.5798505741319836,-0.2789470301335144,-0.06035326171357169,-0.9438794196291522,-0.4045664783787386
area_3_fuel_solar_mw,-0.03348116324653949,-0.31564115183612784,-0.4092673044817101,-0.0889849918044947,-0.2728237594002265,0.013912793195173578,-0.39010472428874443,-0.3565224050126786,-0.09701046923331968,-0.4793819069429971,-0.17286293859530433,-0.16636226569101142
area_3_generation_mw,0.002643221976753707,-0.0015023356597012594,-0.06499164092666598,0.06346723809994548,0.007483676157551411,0.02647384111916673,0.0004204628433984725,-0.013895442843961048,-0.03540946336712425,-0.026407555997736587,-0.02331320364709477,-0.011966588069361905
hour_of_day,0.032708785381672656,-0.3042129984718477,-0.21089842164282446,-0.12157679628937723,-0.26557609917030045,-0.1225477318364232,-0.2666447221418603,-0.2290303925292324,-0.034633235827459585,-0.5986392121729456,-0.020222794153086476,-0.20413988038475528
day_of_week,-0.009449350490092656,-0.003723732804047142,-0.0017140436056214403,0.012291012295186143,-0.002926939550784602,-0.003911601652958341,0.0056851831248585505,0.006058815958141839,-0.015212418468951494,-0.029617886989075193,-0.005671119836851313,-0.015265896972451398
month_of_year,0.03156754381076077,0.3951022677985033,0.7690127876429622,2.808477479991163,0.4090735667941382,4.1764783340295875,0.09537155759037752,0.10585823553056473,0.31392690829480274,1.940841521186151,0.3750617849727763,0.3236563880175941
is_weekend,-0.009789450272454814,-0.004677395051491562,0.011247963807979766,-0.013513289930407013,-0.000835035490701741,-0.04776797642655772,0.014488337884644653,0.012206897806829042,-0.014702130175307526,-0.07956333558447604,0.021463337475658206,-0.016333926024844403
