rank_by_gate_abs,feature_index,feature,final_gate,final_gate_abs,best_epoch_gate,final_effective_group_l2,selected_by_active_threshold,selected_by_largest_log_gap
28,50,da_as_ss_mw_primary_reserve,-2.3429410213392176e-21,2.3429410213392176e-21,-0.0,0.0,False,False
29,10,da_as_as_mw_primary_reserve,1.6794135289461532e-21,1.6794135289461532e-21,-0.0,0.0,False,False
30,13,total_pjm_reg_purchases,3.860552489084065e-22,3.860552489084065e-22,0.0,0.0,False,False
31,43,total_pjm_loc_credit,-2.5812281076590725e-22,2.5812281076590725e-22,0.0,0.0,False,False
32,21,system_energy_price_da,-1.764800994530528e-22,1.764800994530528e-22,-0.0,0.0,False,False
33,45,net_inadv_interchange_mw,1.3076845462791939e-23,1.3076845462791939e-23,0.0,0.0,False,False
34,9,total_pjm_assigned_reg,1.8883503857995436e-24,1.8883503857995436e-24,-0.0,0.0,False,False
35,26,marginal_loss_price_da,-1.1797932527549283e-25,1.1797932527549283e-25,0.0,0.0,False,False
36,2,da_as_total_mw_thirty_minutes_reserve,-8.931914577219838e-26,8.931914577219838e-26,0.0,0.0,False,False
37,8,da_as_as_req_mw_synchronized_reserve,-4.320009392977881e-26,4.320009392977881e-26,-0.0,0.0,False,False
38,1,da_as_as_mw_thirty_minutes_reserve,4.2938789147528196e-27,4.2938789147528196e-27,0.0,0.0,False,False
39,27,total_lmp_rt,-9.00430315788856e-28,9.00430315788856e-28,-0.0,0.0,False,False
40,16,total_pjm_rmpcp_cr,2.9478144098870064e-28,2.9478144098870064e-28,-0.0,0.0,False,False
41,48,da_as_ss_mw_synchronized_reserve,-1.919920918284878e-35,1.919920918284878e-35,-0.0,0.0,False,False
42,25,gen_fuel_gas_pct,1.0832037129230836e-42,1.0832037129230836e-42,-0.0,0.0,False,False
43,37,total_pjm_rt_load_mwh,-0.0,0.0,0.0,0.0,False,False
44,39,forecast_load_mw_latest_available,-0.0,0.0,0.0,0.0,False,False
45,38,metered_load_mw,-0.0,0.0,-0.0,0.0,False,False
46,44,total_losses,-0.0,0.0,-0.0,0.0,False,False
47,52,gen_fuel_coal_pct,-0.0,0.0,0.0,0.0,False,False
48,33,wind_generation_mw,-0.0,0.0,0.0,0.0,False,False
49,34,gross_inadv_interchange_mw,0.0,0.0,-0.0,0.0,False,False
50,36,da_as_mcp_primary_reserve,0.0,0.0,0.0,0.0,False,False
51,31,gen_fuel_wind_pct,0.0,0.0,0.0,0.0,False,False
52,17,forecast_load_mw_day_ahead,-0.0,0.0,-0.0,0.0,False,False
53,24,marginal_loss_price_rt,0.0,0.0,-0.0,0.0,False,False
54,11,da_as_total_mw_primary_reserve,0.0,0.0,0.0,0.0,False,False
55,15,total_lmp_da,-0.0,0.0,-0.0,0.0,False,False
