目标,中文名,达标水平,预算n,先达标的方法,方法,测试R2,全量R2,候选数,选中字段,初筛
net_actual_interchange_mw,净实际交换功率,97%,9,Lasso,Lasso,0.9433122920425516,0.9674418753965092,49,prelim_load_avg_hourly|gen_fuel_gas_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|gen_fuel_wind_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|gen_fuel_oil_mw|da_as_nsr_mw_primary_reserve,未初筛
net_actual_interchange_mw,净实际交换功率,97%,9,Lasso,Pearson,0.8002142500955473,0.9674418753965092,49,gross_sched_interchange_mw|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_nuclear_mw|da_as_as_mw_thirty_minutes_reserve|da_as_as_mw_primary_reserve|da_as_as_mw_synchronized_reserve|gen_fuel_multiple_fuels_pct,未初筛
gross_actual_interchange_mw,总实际交换功率,95%,7,DGatingDNN,DGatingDNN,0.847003109090518,0.8660128621665223,49,gross_inadv_interchange_mw|gen_fuel_gas_mw|gen_fuel_nuclear_mw|gen_fuel_coal_pct|gross_sched_interchange_mw|gen_fuel_other_renewables_mw|gen_fuel_multiple_fuels_pct,未初筛
gross_actual_interchange_mw,总实际交换功率,95%,7,DGatingDNN,STG,0.7978368913265858,0.8660128621665223,49,gross_inadv_interchange_mw|total_pjm_rt_load_mwh|gross_sched_interchange_mw|total_pjm_rmpcp_cr|gen_fuel_hydro_pct|gen_fuel_nuclear_mw|gen_fuel_gas_pct,未初筛
gross_actual_interchange_mw,总实际交换功率,95%,7,DGatingDNN,LassoNet,0.7907781725287866,0.8660128621665223,49,gross_inadv_interchange_mw|gross_sched_interchange_mw|total_pjm_reg_purchases|gen_fuel_nuclear_mw|gen_fuel_multiple_fuels_pct|gen_fuel_solar_mw|gen_fuel_oil_mw,未初筛
gross_actual_interchange_mw,总实际交换功率,95%,7,DGatingDNN,XGBoost,0.7782769869598273,0.8660128621665223,49,gross_inadv_interchange_mw|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_hydro_pct|gross_sched_interchange_mw|total_pjm_reg_purchases|da_as_as_req_mw_primary_reserve|gen_fuel_gas_mw,未初筛
gross_actual_interchange_mw,总实际交换功率,95%,7,DGatingDNN,Lasso,0.8166109060972306,0.8660128621665223,49,gross_inadv_interchange_mw|gen_fuel_nuclear_mw|gen_fuel_multiple_fuels_pct|total_pjm_reg_purchases|gen_fuel_oil_mw|gen_fuel_gas_mw|gen_fuel_coal_mw,未初筛
gross_actual_interchange_mw,总实际交换功率,95%,7,DGatingDNN,Pearson,0.8119494969599501,0.8660128621665223,49,gross_inadv_interchange_mw|gross_sched_interchange_mw|gen_fuel_coal_mw|gen_fuel_nuclear_mw|gen_fuel_coal_pct|total_pjm_reg_purchases|prelim_load_avg_hourly,未初筛
gross_actual_interchange_mw,总实际交换功率,97%,8,DGatingDNN,DGatingDNN,0.8644941516625799,0.8660128621665223,49,gross_inadv_interchange_mw|gen_fuel_gas_mw|gen_fuel_nuclear_mw|gen_fuel_coal_pct|gross_sched_interchange_mw|gen_fuel_other_renewables_mw|gen_fuel_multiple_fuels_pct|gen_fuel_wind_mw,未初筛
gross_actual_interchange_mw,总实际交换功率,97%,8,DGatingDNN,STG,0.8024442663149312,0.8660128621665223,49,gross_inadv_interchange_mw|total_pjm_rt_load_mwh|gross_sched_interchange_mw|total_pjm_rmpcp_cr|gen_fuel_hydro_pct|gen_fuel_nuclear_mw|gen_fuel_gas_pct|total_pjm_reg_purchases,未初筛
gross_actual_interchange_mw,总实际交换功率,97%,8,DGatingDNN,LassoNet,0.7789451148575626,0.8660128621665223,49,gross_inadv_interchange_mw|gross_sched_interchange_mw|total_pjm_reg_purchases|gen_fuel_nuclear_mw|gen_fuel_multiple_fuels_pct|gen_fuel_solar_mw|gen_fuel_oil_mw|total_pjm_loc_credit,未初筛
gross_actual_interchange_mw,总实际交换功率,97%,8,DGatingDNN,XGBoost,0.7987432800762193,0.8660128621665223,49,gross_inadv_interchange_mw|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_hydro_pct|gross_sched_interchange_mw|total_pjm_reg_purchases|da_as_as_req_mw_primary_reserve|gen_fuel_gas_mw|prelim_load_avg_hourly,未初筛
gross_actual_interchange_mw,总实际交换功率,97%,8,DGatingDNN,Lasso,0.8238976768547377,0.8660128621665223,49,gross_inadv_interchange_mw|gen_fuel_nuclear_mw|gen_fuel_multiple_fuels_pct|total_pjm_reg_purchases|gen_fuel_oil_mw|gen_fuel_gas_mw|gen_fuel_coal_mw|gen_fuel_hydro_mw,未初筛
gross_actual_interchange_mw,总实际交换功率,97%,8,DGatingDNN,Pearson,0.8116931744977367,0.8660128621665223,49,gross_inadv_interchange_mw|gross_sched_interchange_mw|gen_fuel_coal_mw|gen_fuel_nuclear_mw|gen_fuel_coal_pct|total_pjm_reg_purchases|prelim_load_avg_hourly|forecast_load_mw_latest_available,未初筛
net_sched_interchange_mw,净计划交换功率,95%,7,DGatingDNN,DGatingDNN,0.9286736580087436,0.967587612135926,49,prelim_load_avg_hourly|gen_fuel_gas_mw|total_pjm_rt_load_mwh|gen_fuel_coal_mw|gen_fuel_nuclear_mw|gen_fuel_solar_mw|gen_fuel_nuclear_pct,未初筛
net_sched_interchange_mw,净计划交换功率,95%,7,DGatingDNN,STG,0.5687739467153852,0.967587612135926,49,wind_generation_mw|marginal_loss_price_rt|system_energy_price_da|da_as_as_mw_thirty_minutes_reserve|da_as_as_req_mw_thirty_minutes_reserve|total_pjm_rmpcp_cr|total_pjm_assigned_reg,未初筛
net_sched_interchange_mw,净计划交换功率,95%,7,DGatingDNN,LassoNet,0.7873846094642767,0.967587612135926,49,gross_sched_interchange_mw|da_as_as_req_mw_thirty_minutes_reserve|total_pjm_assigned_reg|gen_fuel_multiple_fuels_pct|gen_fuel_gas_mw|total_pjm_rmpcp_cr|system_energy_price_da,未初筛
net_sched_interchange_mw,净计划交换功率,95%,7,DGatingDNN,XGBoost,0.8071941250602357,0.967587612135926,49,da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_multiple_fuels_pct|gross_sched_interchange_mw|da_as_as_req_mw_primary_reserve|gen_fuel_nuclear_mw|system_energy_price_da|marginal_loss_price_rt,未初筛
net_sched_interchange_mw,净计划交换功率,95%,7,DGatingDNN,Lasso,0.9247821549339824,0.967587612135926,49,prelim_load_avg_hourly|gen_fuel_gas_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|gen_fuel_wind_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw,未初筛
net_sched_interchange_mw,净计划交换功率,95%,7,DGatingDNN,Pearson,0.7594725856937671,0.967587612135926,49,gross_sched_interchange_mw|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_nuclear_mw|da_as_as_mw_thirty_minutes_reserve|da_as_as_mw_primary_reserve,未初筛
net_sched_interchange_mw,净计划交换功率,97%,9,Lasso,DGatingDNN,0.938811694920415,0.967587612135926,49,prelim_load_avg_hourly|gen_fuel_gas_mw|total_pjm_rt_load_mwh|gen_fuel_coal_mw|gen_fuel_nuclear_mw|gen_fuel_solar_mw|gen_fuel_nuclear_pct|gen_fuel_hydro_mw|gen_fuel_wind_mw,未初筛
net_sched_interchange_mw,净计划交换功率,97%,9,Lasso,STG,0.7812336721643883,0.967587612135926,49,wind_generation_mw|marginal_loss_price_rt|system_energy_price_da|da_as_as_mw_thirty_minutes_reserve|da_as_as_req_mw_thirty_minutes_reserve|total_pjm_rmpcp_cr|total_pjm_assigned_reg|total_pjm_rt_load_mwh|gross_sched_interchange_mw,未初筛
net_sched_interchange_mw,净计划交换功率,97%,9,Lasso,LassoNet,0.8051317579478147,0.967587612135926,49,gross_sched_interchange_mw|da_as_as_req_mw_thirty_minutes_reserve|total_pjm_assigned_reg|gen_fuel_multiple_fuels_pct|gen_fuel_gas_mw|total_pjm_rmpcp_cr|system_energy_price_da|gen_fuel_solar_mw|marginal_loss_price_rt,未初筛
net_sched_interchange_mw,净计划交换功率,97%,9,Lasso,XGBoost,0.8233027517868883,0.967587612135926,49,da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_multiple_fuels_pct|gross_sched_interchange_mw|da_as_as_req_mw_primary_reserve|gen_fuel_nuclear_mw|system_energy_price_da|marginal_loss_price_rt|total_pjm_reg_purchases|total_pjm_assigned_reg,未初筛
net_sched_interchange_mw,净计划交换功率,97%,9,Lasso,Lasso,0.9466334821616872,0.967587612135926,49,prelim_load_avg_hourly|gen_fuel_gas_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|gen_fuel_wind_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|gen_fuel_oil_mw|da_as_nsr_mw_primary_reserve,未初筛
net_sched_interchange_mw,净计划交换功率,97%,9,Lasso,Pearson,0.7901595796489076,0.967587612135926,49,gross_sched_interchange_mw|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_nuclear_mw|da_as_as_mw_thirty_minutes_reserve|da_as_as_mw_primary_reserve|da_as_as_mw_synchronized_reserve|gen_fuel_multiple_fuels_pct,未初筛
total_gen,总发电量,95%,2,DGatingDNN,DGatingDNN,0.9473548785872128,0.9952709713514852,39,gen_fuel_hydro_mw|gen_fuel_hydro_pct,未初筛
total_gen,总发电量,95%,2,DGatingDNN,STG,0.3620269529277318,0.9952709713514852,39,solar_generation_mw|gen_fuel_hydro_mw,未初筛
total_gen,总发电量,95%,2,DGatingDNN,LassoNet,0.6928227458747434,0.9952709713514852,39,gen_fuel_other_renewables_pct|gen_fuel_oil_mw,未初筛
total_gen,总发电量,95%,2,DGatingDNN,XGBoost,0.6960196387334224,0.9952709713514852,39,gen_fuel_oil_mw|gen_fuel_other_renewables_pct,未初筛
total_gen,总发电量,95%,2,DGatingDNN,Lasso,0.4290061312286759,0.9952709713514852,39,gen_fuel_hydro_mw|gen_fuel_multiple_fuels_mw,未初筛
total_gen,总发电量,95%,2,DGatingDNN,Pearson,0.6928227458747434,0.9952709713514852,39,gen_fuel_other_renewables_pct|gen_fuel_oil_mw,未初筛
total_gen,总发电量,97%,4,DGatingDNN,DGatingDNN,0.9795648211456814,0.9952709713514852,39,gen_fuel_hydro_mw|gen_fuel_hydro_pct|gen_fuel_multiple_fuels_mw|gen_fuel_multiple_fuels_pct,未初筛
total_gen,总发电量,97%,4,DGatingDNN,STG,0.8647423673280574,0.9952709713514852,39,solar_generation_mw|gen_fuel_hydro_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw,未初筛
total_gen,总发电量,97%,4,DGatingDNN,LassoNet,0.9060992987439588,0.9952709713514852,39,gen_fuel_other_renewables_pct|gen_fuel_oil_mw|gen_fuel_nuclear_mw|gen_fuel_coal_pct,未初筛
total_gen,总发电量,97%,4,DGatingDNN,XGBoost,0.9240951247863288,0.9952709713514852,39,gen_fuel_oil_mw|gen_fuel_other_renewables_pct|gen_fuel_nuclear_mw|system_energy_price_da,未初筛
total_gen,总发电量,97%,4,DGatingDNN,Lasso,0.7241541263765421,0.9952709713514852,39,gen_fuel_hydro_mw|gen_fuel_multiple_fuels_mw|gen_fuel_other_renewables_pct|gen_fuel_solar_mw,未初筛
total_gen,总发电量,97%,4,DGatingDNN,Pearson,0.9026918343363756,0.9952709713514852,39,gen_fuel_other_renewables_pct|gen_fuel_oil_mw|gen_fuel_oil_pct|system_energy_price_da,未初筛
metered_load_mw,计量负荷,95%,2,DGatingDNN,DGatingDNN,0.9768414391517228,0.9960679285387208,43,gen_fuel_nuclear_pct|gen_fuel_nuclear_mw,未初筛
metered_load_mw,计量负荷,95%,2,DGatingDNN,STG,0.8992393297400612,0.9960679285387208,43,gen_fuel_coal_mw|gen_fuel_gas_mw,未初筛
metered_load_mw,计量负荷,95%,2,DGatingDNN,LassoNet,0.9243820431470814,0.9960679285387208,43,gen_fuel_nuclear_pct|gen_fuel_gas_mw,未初筛
metered_load_mw,计量负荷,95%,2,DGatingDNN,XGBoost,0.9768414391517228,0.9960679285387208,43,gen_fuel_nuclear_pct|gen_fuel_nuclear_mw,未初筛
metered_load_mw,计量负荷,95%,2,DGatingDNN,Lasso,0.8997272796046204,0.9960679285387208,43,gen_fuel_gas_mw|gen_fuel_coal_mw,未初筛
metered_load_mw,计量负荷,95%,2,DGatingDNN,Pearson,0.9243820431470814,0.9960679285387208,43,gen_fuel_nuclear_pct|gen_fuel_gas_mw,未初筛
metered_load_mw,计量负荷,97%,2,DGatingDNN,DGatingDNN,0.9768414391517228,0.9960679285387208,43,gen_fuel_nuclear_pct|gen_fuel_nuclear_mw,未初筛
metered_load_mw,计量负荷,97%,2,DGatingDNN,STG,0.8992393297400612,0.9960679285387208,43,gen_fuel_coal_mw|gen_fuel_gas_mw,未初筛
metered_load_mw,计量负荷,97%,2,DGatingDNN,LassoNet,0.9243820431470814,0.9960679285387208,43,gen_fuel_nuclear_pct|gen_fuel_gas_mw,未初筛
metered_load_mw,计量负荷,97%,2,DGatingDNN,XGBoost,0.9768414391517228,0.9960679285387208,43,gen_fuel_nuclear_pct|gen_fuel_nuclear_mw,未初筛
metered_load_mw,计量负荷,97%,2,DGatingDNN,Lasso,0.8997272796046204,0.9960679285387208,43,gen_fuel_gas_mw|gen_fuel_coal_mw,未初筛
metered_load_mw,计量负荷,97%,2,DGatingDNN,Pearson,0.9243820431470814,0.9960679285387208,43,gen_fuel_nuclear_pct|gen_fuel_gas_mw,未初筛
total_losses,总网损,95%,5,Pearson,DGatingDNN,0.8455913780159052,0.9263137501861338,49,marginal_loss_price_rt|system_energy_price_rt|total_pjm_rt_load_mwh|gen_fuel_nuclear_mw|gen_fuel_coal_pct,未初筛
total_losses,总网损,95%,5,Pearson,STG,0.7735938224567307,0.9263137501861338,49,wind_generation_mw|marginal_loss_price_rt|system_energy_price_da|da_as_as_mw_thirty_minutes_reserve|da_as_as_req_mw_synchronized_reserve,未初筛
total_losses,总网损,95%,5,Pearson,LassoNet,0.7947589647004634,0.9263137501861338,49,gen_fuel_nuclear_mw|wind_generation_mw|gen_fuel_wind_mw|prelim_load_avg_hourly|gross_inadv_interchange_mw,未初筛
total_losses,总网损,95%,5,Pearson,XGBoost,0.8763289720235425,0.9263137501861338,49,gen_fuel_coal_mw|prelim_load_avg_hourly|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_nuclear_mw|gen_fuel_wind_mw,未初筛
total_losses,总网损,95%,5,Pearson,Lasso,0.8856533024941761,0.9263137501861338,49,prelim_load_avg_hourly|total_pjm_rt_load_mwh|gen_fuel_gas_mw|solar_generation_mw|marginal_loss_price_rt,未初筛
total_losses,总网损,95%,5,Pearson,Pearson,0.9015296428299906,0.9263137501861338,49,gen_fuel_coal_mw|prelim_load_avg_hourly|gen_fuel_coal_pct|forecast_load_mw_latest_available|total_pjm_rt_load_mwh,未初筛
total_losses,总网损,97%,6,Pearson,DGatingDNN,0.8665649007016691,0.9263137501861338,49,marginal_loss_price_rt|system_energy_price_rt|total_pjm_rt_load_mwh|gen_fuel_nuclear_mw|gen_fuel_coal_pct|gen_fuel_gas_pct,未初筛
total_losses,总网损,97%,6,Pearson,STG,0.8395990043739734,0.9263137501861338,49,wind_generation_mw|marginal_loss_price_rt|system_energy_price_da|da_as_as_mw_thirty_minutes_reserve|da_as_as_req_mw_synchronized_reserve|total_pjm_rt_load_mwh,未初筛
total_losses,总网损,97%,6,Pearson,LassoNet,0.8174930625712402,0.9263137501861338,49,gen_fuel_nuclear_mw|wind_generation_mw|gen_fuel_wind_mw|prelim_load_avg_hourly|gross_inadv_interchange_mw|system_energy_price_da,未初筛
total_losses,总网损,97%,6,Pearson,XGBoost,0.8909311679690887,0.9263137501861338,49,gen_fuel_coal_mw|prelim_load_avg_hourly|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_nuclear_mw|gen_fuel_wind_mw|marginal_loss_price_rt,未初筛
total_losses,总网损,97%,6,Pearson,Lasso,0.9065862163109236,0.9263137501861338,49,prelim_load_avg_hourly|total_pjm_rt_load_mwh|gen_fuel_gas_mw|solar_generation_mw|marginal_loss_price_rt|system_energy_price_rt,未初筛
total_losses,总网损,97%,6,Pearson,Pearson,0.9191076850944406,0.9263137501861338,49,gen_fuel_coal_mw|prelim_load_avg_hourly|gen_fuel_coal_pct|forecast_load_mw_latest_available|total_pjm_rt_load_mwh|gen_fuel_nuclear_mw,未初筛
congestion_price_da,日前阻塞价,95%,8,DGatingDNN,DGatingDNN,0.6849863511840826,0.6928779227128847,49,da_as_as_req_mw_primary_reserve|gen_fuel_other_renewables_mw|gross_inadv_interchange_mw|system_energy_price_da|gen_fuel_solar_pct|gen_fuel_coal_pct|gen_fuel_nuclear_mw|gen_fuel_wind_mw,未初筛
congestion_price_da,日前阻塞价,95%,8,DGatingDNN,STG,0.4335869823177554,0.6928779227128847,49,wind_generation_mw|marginal_loss_price_rt|system_energy_price_da|da_as_ss_mw_primary_reserve|da_as_as_mw_thirty_minutes_reserve|da_as_as_mw_synchronized_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_primary_reserve,未初筛
congestion_price_da,日前阻塞价,95%,8,DGatingDNN,LassoNet,0.5468078818099606,0.6928779227128847,49,system_energy_price_da|forecast_load_mw_latest_available|gross_inadv_interchange_mw|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|marginal_loss_price_rt|gen_fuel_nuclear_mw|da_as_mcp_primary_reserve,未初筛
congestion_price_da,日前阻塞价,95%,8,DGatingDNN,XGBoost,0.5193578241068706,0.6928779227128847,49,gen_fuel_oil_mw|prelim_load_avg_hourly|da_as_as_req_mw_primary_reserve|gen_fuel_solar_pct|gen_fuel_oil_pct|system_energy_price_da|da_as_as_mw_synchronized_reserve|gen_fuel_solar_mw,未初筛
congestion_price_da,日前阻塞价,95%,8,DGatingDNN,Lasso,0.19512882620278,0.6928779227128847,49,gen_fuel_oil_mw|wind_generation_mw|total_pjm_reg_purchases|total_pjm_self_sched_reg|total_pjm_assigned_reg|total_pjm_rmccp_cr|total_pjm_rmpcp_cr|da_as_mcp_primary_reserve,未初筛
congestion_price_da,日前阻塞价,95%,8,DGatingDNN,Pearson,0.4359322287326135,0.6928779227128847,49,gen_fuel_oil_mw|system_energy_price_da|gen_fuel_oil_pct|forecast_load_mw_latest_available|prelim_load_avg_hourly|total_pjm_rt_load_mwh|gen_fuel_gas_mw|marginal_loss_price_rt,未初筛
congestion_price_da,日前阻塞价,97%,9,DGatingDNN,DGatingDNN,0.7070078137944797,0.6928779227128847,49,da_as_as_req_mw_primary_reserve|gen_fuel_other_renewables_mw|gross_inadv_interchange_mw|system_energy_price_da|gen_fuel_solar_pct|gen_fuel_coal_pct|gen_fuel_nuclear_mw|gen_fuel_wind_mw|gross_sched_interchange_mw,未初筛
congestion_price_da,日前阻塞价,97%,9,DGatingDNN,STG,0.4816382116124541,0.6928779227128847,49,wind_generation_mw|marginal_loss_price_rt|system_energy_price_da|da_as_ss_mw_primary_reserve|da_as_as_mw_thirty_minutes_reserve|da_as_as_mw_synchronized_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_mcp_primary_reserve,未初筛
congestion_price_da,日前阻塞价,97%,9,DGatingDNN,LassoNet,0.6046828571927154,0.6928779227128847,49,system_energy_price_da|forecast_load_mw_latest_available|gross_inadv_interchange_mw|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|marginal_loss_price_rt|gen_fuel_nuclear_mw|da_as_mcp_primary_reserve|gen_fuel_solar_pct,未初筛
congestion_price_da,日前阻塞价,97%,9,DGatingDNN,XGBoost,0.5352959480836701,0.6928779227128847,49,gen_fuel_oil_mw|prelim_load_avg_hourly|da_as_as_req_mw_primary_reserve|gen_fuel_solar_pct|gen_fuel_oil_pct|system_energy_price_da|da_as_as_mw_synchronized_reserve|gen_fuel_solar_mw|da_as_as_req_mw_thirty_minutes_reserve,未初筛
congestion_price_da,日前阻塞价,97%,9,DGatingDNN,Lasso,0.2245999485843217,0.6928779227128847,49,gen_fuel_oil_mw|wind_generation_mw|total_pjm_reg_purchases|total_pjm_self_sched_reg|total_pjm_assigned_reg|total_pjm_rmccp_cr|total_pjm_rmpcp_cr|da_as_mcp_primary_reserve|da_as_mcp_synchronized_reserve,未初筛
congestion_price_da,日前阻塞价,97%,9,DGatingDNN,Pearson,0.4487575816046908,0.6928779227128847,49,gen_fuel_oil_mw|system_energy_price_da|gen_fuel_oil_pct|forecast_load_mw_latest_available|prelim_load_avg_hourly|total_pjm_rt_load_mwh|gen_fuel_gas_mw|marginal_loss_price_rt|gen_fuel_coal_mw,未初筛
congestion_price_rt,实时阻塞价,95%,10,XGBoost,DGatingDNN,0.5743167801173544,0.6538016664318546,48,marginal_loss_price_rt|system_energy_price_rt|gross_sched_interchange_mw|gen_fuel_multiple_fuels_pct|gen_fuel_gas_pct|gen_fuel_oil_pct|gen_fuel_coal_pct|gross_inadv_interchange_mw|total_pjm_rmccp_cr|gen_fuel_storage_mw,未初筛
congestion_price_rt,实时阻塞价,95%,10,XGBoost,STG,0.5747298049506835,0.6538016664318546,48,wind_generation_mw|marginal_loss_price_rt|system_energy_price_rt|system_energy_price_da|da_as_ss_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_mcp_synchronized_reserve|total_pjm_loc_credit|gross_sched_interchange_mw|gen_fuel_solar_pct,未初筛
congestion_price_rt,实时阻塞价,95%,10,XGBoost,LassoNet,0.5626188046382692,0.6538016664318546,48,system_energy_price_rt|gen_fuel_multiple_fuels_pct|da_as_mcp_synchronized_reserve|gen_fuel_wind_pct|gen_fuel_gas_pct|total_pjm_loc_credit|marginal_loss_price_rt|gen_fuel_coal_pct|gross_inadv_interchange_mw|gen_fuel_multiple_fuels_mw,未初筛
congestion_price_rt,实时阻塞价,95%,10,XGBoost,XGBoost,0.6314224925737713,0.6538016664318546,48,system_energy_price_rt|marginal_loss_price_rt|da_as_as_req_mw_primary_reserve|gen_fuel_solar_pct|gen_fuel_gas_pct|gen_fuel_coal_pct|gen_fuel_solar_mw|gen_fuel_multiple_fuels_pct|rmccp|da_as_mcp_synchronized_reserve,未初筛
congestion_price_rt,实时阻塞价,95%,10,XGBoost,Lasso,0.4768029229281301,0.6538016664318546,48,system_energy_price_rt|wind_generation_mw|total_pjm_loc_credit|total_pjm_reg_purchases|total_pjm_self_sched_reg|total_pjm_assigned_reg|total_pjm_rmccp_cr|total_pjm_rmpcp_cr|da_as_mcp_primary_reserve|da_as_mcp_synchronized_reserve,未初筛
congestion_price_rt,实时阻塞价,95%,10,XGBoost,Pearson,0.5190122444036389,0.6538016664318546,48,system_energy_price_rt|marginal_loss_price_rt|system_energy_price_da|gen_fuel_oil_pct|gen_fuel_oil_mw|rmccp|gen_fuel_multiple_fuels_mw|total_pjm_rmccp_cr|prelim_load_avg_hourly|total_pjm_rt_load_mwh,未初筛
congestion_price_rt,实时阻塞价,97%,12,XGBoost,DGatingDNN,0.5883108533440575,0.6538016664318546,48,marginal_loss_price_rt|system_energy_price_rt|gross_sched_interchange_mw|gen_fuel_multiple_fuels_pct|gen_fuel_gas_pct|gen_fuel_oil_pct|gen_fuel_coal_pct|gross_inadv_interchange_mw|total_pjm_rmccp_cr|gen_fuel_storage_mw|gen_fuel_other_renewables_mw|wind_generation_mw,未初筛
congestion_price_rt,实时阻塞价,97%,12,XGBoost,STG,0.5922792949790067,0.6538016664318546,48,wind_generation_mw|marginal_loss_price_rt|system_energy_price_rt|system_energy_price_da|da_as_ss_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_mcp_synchronized_reserve|total_pjm_loc_credit|gross_sched_interchange_mw|gen_fuel_solar_pct|gen_fuel_multiple_fuels_pct|gen_fuel_gas_pct,未初筛
