gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.43615016,0.31500575,0.11036003,0.24962011,0.98961955,0.587848,0.5224877,0.0,0.6071304,0.5783674,0.0,0.30159053,0.3532484,0.53092647,0.055133633,0.7180155,0.46814203,0.50871116,0.33856463,0.5499971,0.35384148,0.0,0.28839138,0.316394,0.24156061,0.48104858,0.3775445,0.45418152,0.5806939,0.5268724,0.0,0.5286529,0.47469395,0.0,0.93842506,0.37680957,0.348152,0.4502488,0.75613064,0.9548745
0.4209138,0.2968598,0.08619662,0.25735435,1.0,0.600097,0.5396033,0.0,0.6128147,0.6037725,0.0,0.31035736,0.33117145,0.5265843,0.024960835,0.7421083,0.4549271,0.5049855,0.3348664,0.5559695,0.36617255,0.0,0.28093466,0.31893292,0.24139817,0.48284662,0.3701439,0.44177917,0.58813107,0.5455939,0.0,0.54054135,0.4915309,0.0,0.9685274,0.37353227,0.34095615,0.43886143,0.7694915,0.9989694
0.42278475,0.30884555,0.08578207,0.2539522,1.0,0.6027529,0.5533921,0.0,0.6300727,0.640838,0.0,0.3231301,0.34343007,0.5232553,0.008052174,0.7638719,0.45111537,0.5074395,0.33229348,0.55730313,0.367377,0.0,0.28521195,0.3165036,0.23774041,0.4826206,0.3892786,0.46171075,0.58224803,0.55929893,0.0,0.5634892,0.52362055,0.0,0.99771345,0.36016205,0.33406967,0.43819514,0.7735562,1.0
0.41501638,0.2950412,0.09051784,0.2593618,1.0,0.5946803,0.59700227,0.0,0.6409024,0.6675696,0.0,0.34649143,0.33545563,0.51758814,0.0,0.80353,0.45865527,0.5013031,0.3271754,0.5605581,0.3862068,0.0,0.29465792,0.32208684,0.23256667,0.4856709,0.3882381,0.47179317,0.59129125,0.5869367,0.0,0.56511617,0.5297924,0.0,1.0,0.34475565,0.3330185,0.43993273,0.79906976,1.0
0.42702022,0.31453297,0.09263997,0.2717118,1.0,0.59278375,0.614747,0.0,0.6618218,0.69227415,0.0,0.35557678,0.3165465,0.5247618,0.0,0.8030408,0.46144888,0.5007157,0.3252657,0.56239873,0.4120397,0.0,0.2778198,0.33406067,0.2280532,0.50080884,0.3995883,0.48328027,0.61354357,0.6030439,0.0,0.5802618,0.5355311,0.0,1.0,0.3491917,0.32582957,0.43237466,0.8276767,1.0
0.39980903,0.29781184,0.09826881,0.27243534,1.0,0.5986259,0.6159979,0.0,0.66706777,0.7219783,0.0,0.37320468,0.3094177,0.54090536,0.0,0.82106364,0.451272,0.4831772,0.33066913,0.5536987,0.4235775,0.0,0.28617266,0.3407138,0.22377916,0.50344896,0.40538228,0.4951553,0.6235091,0.6014051,0.0,0.60892636,0.5489677,0.0,1.0,0.35387924,0.32503468,0.42861348,0.8492878,1.0
0.40753227,0.29897088,0.088388644,0.2733606,1.0,0.60562336,0.640998,0.0,0.6874132,0.76319766,0.0,0.39730778,0.31318173,0.54595906,0.0,0.8354384,0.44475862,0.48794025,0.33047497,0.5462591,0.4174489,0.0,0.28934094,0.34990102,0.2136637,0.50224674,0.40511304,0.5143037,0.6637593,0.6187026,0.0,0.61884874,0.54757196,0.0,1.0,0.35186175,0.3255524,0.43765435,0.8677204,1.0
0.3992213,0.29374665,0.080845356,0.27295408,1.0,0.60141456,0.6593732,0.0,0.70444965,0.7981699,0.0,0.39091313,0.32581985,0.5513452,0.0,0.8580359,0.4337825,0.4904522,0.33593816,0.5450808,0.42032948,0.0,0.2933596,0.35800213,0.21482615,0.5199727,0.42411175,0.51410294,0.66864175,0.62837154,0.0,0.63794905,0.5609318,0.0,1.0,0.32897052,0.31311724,0.4439004,0.8888041,1.0
0.40469998,0.29076022,0.08292457,0.26291683,1.0,0.6114334,0.67625713,0.0,0.6988757,0.823274,0.0,0.40709475,0.318594,0.5539094,0.0,0.8684001,0.44122276,0.49235725,0.33347058,0.54356575,0.41429922,0.0,0.29944286,0.36185896,0.20584708,0.52571243,0.42517543,0.5292158,0.67679167,0.64620614,0.0,0.643716,0.55896527,0.0,1.0,0.31943318,0.32942793,0.43230513,0.8922648,1.0
0.40362027,0.29080343,0.089501455,0.27228555,1.0,0.60254973,0.6962861,0.0,0.71490574,0.86048436,0.0,0.42069322,0.31263933,0.5466582,0.0,0.888843,0.43773675,0.50070935,0.32734412,0.5447544,0.42898425,0.0,0.29887664,0.35782725,0.21398114,0.5167324,0.42989436,0.525367,0.68650794,0.6508163,0.0,0.65186924,0.57315445,0.0,1.0,0.3073675,0.3297061,0.42347848,0.910199,1.0
