rank,index,center,related,nmi,spearman,pearson,kendall,distance_corr,hsic,nmi_pass,spearman_pass,pearson_pass,kendall_pass,distance_corr_pass,hsic_pass,pass_count,max_abs_score
49,63,congestion_price_da,net_sched_interchange_mw,0.034543627633456996,-0.04143941172469895,-0.051157443338954355,-0.01571587433972755,0.16647186868302144,0.06848033872910005,0,0,0,0,1,1,2,0.16647186868302144
50,22,congestion_price_da,gen_fuel_solar_pct,0.02778940099992233,-0.04740399562880953,-0.11570005538961647,0.02161281362598445,0.1252919131351722,0.01603984013465809,0,0,1,0,1,0,2,0.1252919131351722
51,24,congestion_price_da,gen_fuel_wind_pct,0.047636020451053154,-0.1234361131019087,-0.0836113693686574,-0.07868098860554833,0.1037473856376833,0.02061608920962669,0,1,0,0,1,0,2,0.1234361131019087
52,37,congestion_price_da,total_pjm_rmpcp_cr,0.041214546450480005,-0.007035144230165759,-0.016587418744952478,-0.012875726925703703,0.14372553424642506,0.030944557475235904,0,0,0,0,1,0,1,0.14372553424642506
53,11,congestion_price_da,gen_fuel_other_renewables_mw,0.03985119564789595,-0.011530100787786591,0.09836612098755672,-0.011429121532247594,0.1385382270704505,0.03252123280841157,0,0,0,0,1,0,1,0.1385382270704505
54,64,congestion_price_da,net_inadv_interchange_mw,0.0030343707530061065,0.0530293266000591,0.06600564658693403,0.06880321712763485,0.12390925623241236,0.03091760089131119,0,0,0,0,1,0,1,0.12390925623241236
55,12,congestion_price_da,gen_fuel_solar_mw,0.030753488041843798,-0.03603721958469068,-0.07184557684746153,-0.05867768140763937,0.10825628727121585,0.026768519052442,0,0,0,0,1,0,1,0.10825628727121585
56,51,congestion_price_da,da_as_ss_mw_synchronized_reserve,0.1080084100553239,-0.033664634107290974,-0.0019289799345487727,-0.013991062784216562,0.07895550714302682,0.033058575657751416,1,0,0,0,0,0,1,0.1080084100553239
57,30,congestion_price_da,rmpcp,0.011989260594243495,-0.012072955857470286,0.0020239169578832442,-0.033699908878304444,0.10420327701969419,0.015495313023224275,0,0,0,0,1,0,1,0.10420327701969419
58,56,congestion_price_da,da_as_nsr_mw_primary_reserve,0.09503718782301274,0.024479214684798876,0.011203541100421604,0.01980782267605169,0.0753983347902733,0.0465048917468079,1,0,0,0,0,0,1,0.09503718782301274
59,50,congestion_price_da,da_as_ss_mw_primary_reserve,0.08636563057226075,0.008230534592197867,0.058735227341918175,0.01440735033102064,0.07531157913677382,0.031942261739208534,1,0,0,0,0,0,1,0.08636563057226075
60,52,congestion_price_da,da_as_ss_mw_thirty_minutes_reserve,0.08466882126973481,-0.009833010767236267,0.012977643449076698,-0.012044427914251478,0.06325629741393315,0.03553682557954636,1,0,0,0,0,0,1,0.08466882126973481
61,4,congestion_price_da,solar_generation_mw,0.034056841402954896,0.010130809334217693,-0.08470020518234168,0.016218075924076713,0.09683797489326933,0.02550124142161752,0,0,0,0,0,0,0,0.09683797489326933
62,34,congestion_price_da,total_pjm_self_sched_reg,0.03231463403036087,-0.005030865898467269,0.01503491390141209,-0.012136511076254722,0.060042174190986085,0.026263749028810738,0,0,0,0,0,0,0,0.060042174190986085
63,55,congestion_price_da,da_as_ircmwt2_thirty_minutes_reserve,0.0,0.0,0.0,,0.0,-0.0042865440916158475,0,0,0,0,0,0,0,0.0042865440916158475
64,53,congestion_price_da,da_as_ircmwt2_primary_reserve,0.0,0.0,0.0,,0.0,0.003492494873662912,0,0,0,0,0,0,0,0.003492494873662912
65,23,congestion_price_da,gen_fuel_storage_pct,0.0,0.0,0.0,,0.0,0.0019026336923319788,0,0,0,0,0,0,0,0.0019026336923319788
66,40,congestion_price_da,da_as_mcp_thirty_minutes_reserve,0.0,0.0,0.0,,0.0,0.0014230702169541003,0,0,0,0,0,0,0,0.0014230702169541003
67,54,congestion_price_da,da_as_ircmwt2_synchronized_reserve,0.0,0.0,0.0,,0.0,0.0007949112876773741,0,0,0,0,0,0,0,0.0007949112876773741
