target,中文名,初筛,候选数,选中数,全量R2,选中再训练R2,未选中R2,选中字段
gen_321_cc_1_status,机组321投入状态,否,22,11,0.9707132089921494,0.960589701417144,0.620307236966908,gen_fuel_solar_mw|gen_fuel_wind_mw|gen_fuel_coal_mw|area_3_load_actual_mw|area_1_load_day_ahead_mw|gen_fuel_hydro_mw|area_3_net_export_mw|system_losses_mw|gen_fuel_nuclear_mw|reserve_spin_r3_mw|reserve_reg_down_mw
bus_115_va_deg,节点115电压相角,是,24,10,0.9619991833873299,0.9579471354187676,0.8883788478573158,area_1_load_actual_mw|gen_fuel_coal_mw|system_losses_mw|area_2_net_export_mw|gen_fuel_solar_mw|area_3_net_export_mw|area_3_load_day_ahead_mw|gen_fuel_wind_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw
bus_215_va_deg,节点215电压相角,是,24,8,0.9883109653661862,0.9769256777023149,0.8829774641113393,gen_fuel_natural_gas_mw|area_1_load_day_ahead_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|gen_fuel_wind_mw|system_losses_mw|area_3_net_export_mw|gen_fuel_hydro_mw
bus_315_va_deg,节点315电压相角,是,24,11,0.9718562297909319,0.9694948081685452,0.9174765671072945,system_losses_mw|gen_fuel_natural_gas_mw|gen_fuel_wind_mw|area_1_load_day_ahead_mw|area_2_load_actual_mw|gen_fuel_solar_mw|area_2_net_export_mw|area_3_load_day_ahead_mw|area_3_net_export_mw|gen_fuel_hydro_mw|gen_fuel_nuclear_mw
branch_ab1_loading_pct,线路AB1负载率,是,20,9,0.9468575076906689,0.9481140638287029,0.8092172768462695,gen_fuel_coal_mw|area_1_load_day_ahead_mw|reserve_spin_r2_mw|gen_fuel_natural_gas_mw|system_losses_mw|gen_fuel_wind_mw|gen_fuel_hydro_mw|area_3_load_day_ahead_mw|gen_fuel_nuclear_mw
branch_ab2_loading_pct,线路AB2负载率,是,21,7,0.9663430352299719,0.9598002431090993,0.8732284873502754,reserve_spin_r1_mw|gen_fuel_wind_mw|gen_fuel_natural_gas_mw|gen_fuel_solar_mw|gen_fuel_coal_mw|reserve_spin_r3_mw|gen_fuel_hydro_mw
branch_ab3_loading_pct,线路AB3负载率,是,21,9,0.9190641875881893,0.9217909393088259,0.7414045700027179,gen_fuel_coal_mw|gen_fuel_natural_gas_mw|area_2_load_actual_mw|area_1_load_actual_mw|gen_fuel_wind_mw|system_losses_mw|gen_fuel_hydro_mw|reserve_spin_r3_mw|gen_fuel_solar_mw
branch_ca_1_loading_pct,线路CA-1负载率,是,20,8,0.9592316923613244,0.957387393227693,0.8183059544032211,gen_fuel_wind_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|reserve_spin_r1_mw|gen_fuel_natural_gas_mw|system_losses_mw|reserve_spin_r3_mw|gen_fuel_nuclear_mw
branch_cb_1_loading_pct,线路CB-1负载率,是,20,8,0.9568182781536965,0.9533621305518005,0.8000590746994283,gen_fuel_coal_mw|gen_fuel_natural_gas_mw|gen_fuel_wind_mw|gen_fuel_solar_mw|system_losses_mw|reserve_spin_r1_mw|reserve_spin_r3_mw|reserve_spin_r2_mw
gen_121_nuclear_1_pg_mw,机组121核电出力,是,19,9,0.9733896875228619,0.9594209359073772,0.8443363918222557,gen_fuel_coal_mw|area_1_load_actual_mw|system_losses_mw|gen_fuel_natural_gas_mw|area_1_net_export_mw|area_2_net_export_mw|area_3_load_day_ahead_mw|reserve_reg_up_mw|gen_fuel_hydro_mw
gen_218_cc_1_pg_mw,机组218联合循环出力,是,20,3,0.960801364503633,0.9301733860186274,0.8822819869239793,area_2_load_day_ahead_mw|gen_fuel_solar_mw|gen_fuel_hydro_mw
gen_317_wind_1_pg_mw,机组317风电出力,是,22,11,0.9588731740596829,0.9615608267493212,0.7157883849621329,area_1_net_export_mw|area_3_net_export_mw|area_2_net_export_mw|gen_fuel_natural_gas_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|reserve_spin_r2_mw|gen_fuel_hydro_mw|reserve_spin_r3_mw|system_losses_mw|gen_fuel_nuclear_mw
gen_321_cc_1_status,机组321投入状态,是,22,11,0.9707132089921494,0.960589701417144,0.620307236966908,gen_fuel_solar_mw|gen_fuel_wind_mw|gen_fuel_coal_mw|area_3_load_actual_mw|area_1_load_day_ahead_mw|gen_fuel_hydro_mw|area_3_net_export_mw|system_losses_mw|gen_fuel_nuclear_mw|reserve_spin_r3_mw|reserve_reg_down_mw
