wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_ss_mw_primary_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,net_inadv_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.60085654,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.95030767,0.54664826,0.0,0.0,0.0,0.0025467363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8659298,0.0,0.809664,0.0,0.43230408,0.0,0.69529766,0.0,1.0,1.0,0.89782244,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6050729,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.9620601,0.54653186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8914309,0.0,0.83410203,0.0,0.40260842,0.0,0.7078728,0.0,1.0,1.0,0.92000234,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6090025,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.9838446,0.5516084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9124903,0.0,0.8555335,0.0,0.3793654,0.0,0.7258747,0.0,1.0,1.0,0.941665,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.61591816,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.995058,0.5492399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9379512,0.0,0.87704307,0.0,0.35811654,0.0,0.75011915,0.0,1.0,1.0,0.9567377,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6276226,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.56100494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96524745,0.0,0.8908766,0.0,0.31399167,0.0,0.77334726,0.0,1.0,1.0,0.9767554,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6483621,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5608784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9977118,0.0,0.9122062,0.0,0.26710975,0.0,0.77952445,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6585185,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.56206286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.93501645,0.0,0.2124486,0.0,0.8016884,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6541314,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.56514174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.97182274,0.0,0.17854345,0.0,0.8339805,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.65882444,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.58103275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.98856825,0.0,0.12586457,0.0,0.85088027,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6584258,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.592425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.08582748,0.0,0.8729767,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
