area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_losses_mw,area_1_net_export_mw,area_2_net_export_mw,area_3_net_export_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_wind_mw,gen_fuel_solar_mw,area_1_fuel_coal_mw,area_1_fuel_natural_gas_mw,area_1_fuel_nuclear_mw,area_1_fuel_hydro_mw,area_1_fuel_wind_mw,area_1_fuel_solar_mw,area_1_generation_mw,area_2_fuel_coal_mw,area_2_fuel_natural_gas_mw,area_2_fuel_hydro_mw,area_2_fuel_solar_mw,area_2_generation_mw,area_3_fuel_coal_mw,area_3_fuel_hydro_mw,area_3_fuel_wind_mw,area_3_fuel_solar_mw,hour_of_day,day_of_week,month_of_year,is_weekend
4.2725187e-06,0.00013974984,0.039243612,1.2929767e-09,1.0447285e-08,4.752677e-05,0.00012405276,1.0850355e-05,8.053475e-10,4.2546133e-10,1.980557e-08,2.371536e-05,3.3986922e-07,1.5233285e-07,2.6651676e-08,3.509697e-10,0.40931296,8.33457e-10,4.8766466e-09,3.8749706e-09,2.7848973e-06,0.054970175,3.0514946e-06,6.9786277e-10,1.94021e-10,9.405803e-10,5.498348e-10,0.0005855433,1.813256e-09,8.0807915e-08,1.4860721e-08,8.786407e-10,1.4010842e-05,3.4881906e-09,0.119079806,0.060736235,0.5928314,0.62305075,2.496708e-07,4.638485e-10,9.307698e-10,3.9629056e-09
1.2666866e-06,5.9623642e-05,0.031244732,1.563088e-10,1.5708101e-09,1.8171928e-05,5.34027e-05,3.5722633e-06,8.961889e-11,4.5502446e-11,3.2280811e-09,7.898005e-06,7.4033224e-08,3.062969e-08,4.5599395e-09,3.6906242e-11,0.39731014,9.5002575e-11,6.6317585e-10,5.21876e-10,7.789137e-07,0.04425996,8.61566e-07,7.840221e-11,1.8820938e-11,1.1044398e-10,5.9591526e-11,0.00028409716,2.2655766e-10,1.536815e-08,2.3619915e-09,1.0124336e-10,4.5325105e-06,4.6089965e-10,0.10726031,0.055704646,0.5725942,0.60845345,5.3161013e-08,5.023789e-11,1.08313414e-10,5.392231e-10
3.4117002e-07,2.3811463e-05,0.024373315,1.5924501e-11,2.0277338e-10,6.444335e-06,2.1524156e-05,1.0776382e-06,8.344707e-12,4.0580234e-12,4.5480955e-10,2.4136223e-06,1.428287e-08,5.4183773e-09,6.771707e-10,3.2314923e-12,0.38349923,9.079914e-12,7.677098e-11,5.978184e-11,1.9697464e-07,0.03501563,2.2011103e-07,7.376322e-12,1.5096157e-12,1.0901635e-11,5.3918896e-12,0.00013041025,2.3923074e-11,2.5594653e-09,3.2383515e-10,9.790874e-12,1.3416559e-06,5.171395e-11,0.10660828,0.05409255,0.5501244,0.59398586,1.0005891e-08,4.542203e-12,1.058741e-11,6.246034e-11
8.286617e-08,8.850671e-06,0.018746939,1.3487989e-12,2.2206927e-11,2.1084609e-06,8.085307e-06,2.9595347e-07,6.4098125e-13,2.9743718e-13,5.4767517e-11,6.71936e-07,2.4179574e-09,8.350358e-10,8.633216e-11,2.3217268e-13,0.37669906,7.175182e-13,7.4700775e-12,5.750957e-12,4.469637e-08,0.027184287,5.050158e-08,5.730131e-13,9.8600754e-14,8.921876e-13,4.0146006e-13,5.635497e-05,2.1066532e-12,3.6948242e-10,3.7859747e-11,7.83651e-13,3.6094693e-07,4.86416e-12,0.10329076,0.05147039,0.5398304,0.5826294,1.6491825e-09,3.3792327e-13,8.5732316e-13,6.0816686e-12
1.8012031e-08,3.0473332e-06,0.014136448,9.357545e-14,2.036531e-12,6.3239645e-07,2.8148459e-06,7.346297e-08,3.998768e-14,1.7633813e-14,5.5673296e-12,1.6914778e-07,3.555778e-10,1.1091546e-10,9.336317e-12,1.3468886e-14,0.36662784,4.6164004e-14,6.0253565e-13,4.5815657e-13,9.025716e-09,0.020824049,1.0320788e-08,3.618778e-14,5.156712e-15,5.962956e-14,2.4210863e-14,2.2831606e-05,1.5246285e-13,4.57206e-11,3.7271002e-12,5.1124076e-14,8.762513e-08,3.7815722e-13,0.09805965,0.050683558,0.52322096,0.567743,2.3559524e-10,2.0361305e-14,5.6642255e-14,4.9090284e-13
3.473901e-09,9.662606e-07,0.0104105,5.231288e-15,1.5417401e-13,1.7274239e-07,9.031955e-07,1.6355706e-08,1.991592e-15,8.308899e-16,4.713159e-13,3.8233452e-08,4.4924536e-11,1.2550033e-11,8.452926e-13,6.198212e-16,0.3540293,2.3776192e-15,3.967866e-14,2.976725e-14,1.6074687e-09,0.01567524,1.8620759e-09,1.8264953e-15,2.119782e-16,3.2009868e-15,1.1621878e-15,8.629369e-06,8.924148e-15,4.7908097e-12,3.0473147e-13,2.6731557e-15,1.9045231e-08,2.392594e-14,0.093648106,0.05073467,0.507554,0.55575866,2.8845377e-11,9.76469e-16,3.0027176e-15,3.2352827e-14
5.889989e-10,2.8037022e-07,0.0075239604,2.314576e-16,9.484976e-15,4.2669658e-08,2.654691e-07,3.2388956e-09,7.7706095e-17,3.0519603e-17,3.2738897e-14,7.69617e-09,4.818002e-12,1.1942766e-12,6.315746e-14,2.2188382e-17,0.34521246,9.6216914e-17,2.0978795e-15,1.5509702e-15,2.5004113e-10,0.011531439,2.9373248e-10,7.230507e-17,6.710348e-18,1.3550873e-16,4.356124e-17,3.0269641e-06,4.1508876e-16,4.1946237e-13,2.0382264e-14,1.0997039e-16,3.674757e-09,1.211154e-15,0.08849774,0.046652876,0.49441656,0.5420757,2.9900373e-12,3.6562114e-17,1.2539142e-16,1.7120209e-15
8.6911714e-11,7.3949295e-08,0.005302412,7.945674e-18,4.66101e-16,9.45765e-09,7.099635e-08,5.653306e-10,2.326045e-18,8.553871e-19,1.8357718e-15,1.3672384e-09,4.328814e-13,9.425177e-14,3.833363e-15,6.0467735e-19,0.33530685,2.9970352e-18,8.7428875e-17,6.361468e-17,3.360981e-11,0.008323749,4.0086177e-11,2.1988382e-18,1.5991602e-19,4.4333833e-18,1.248144e-18,9.797637e-07,1.5046754e-17,3.0242742e-14,1.0968956e-15,3.4873744e-18,6.2363126e-10,4.8140694e-17,0.08768263,0.045453716,0.4752995,0.529281,2.589091e-13,1.0464166e-18,4.0418137e-18,7.1414823e-17
1.1039191e-11,1.759946e-08,0.0036404694,2.0704014e-19,1.795137e-17,1.865336e-09,1.715175e-08,8.611778e-11,5.2197174e-20,1.786486e-20,8.161716e-17,2.122865e-10,3.2116674e-14,6.0747733e-15,1.8575708e-16,1.2247772e-20,0.32565868,7.023776e-20,2.8141905e-18,2.012418e-18,3.858915e-12,0.005866273,4.6787305e-12,5.0200473e-20,2.7977187e-21,1.0961694e-19,2.6702907e-20,2.9086024e-07,4.1604662e-19,1.7669912e-15,4.6636155e-17,8.334256e-20,9.215368e-11,1.4716801e-18,0.081771925,0.043017086,0.46161667,0.51614314,1.8454995e-14,2.2359542e-20,9.8326985e-20,2.301062e-18
1.1925789e-12,3.749678e-09,0.0024304334,3.9964625e-21,5.3062416e-19,3.2439998e-10,3.713855e-09,1.1326347e-11,8.55823e-22,2.7079714e-22,2.8207473e-18,2.8502516e-11,1.9368154e-15,3.1441622e-16,7.050722e-18,1.7953818e-22,0.31627423,1.2075487e-21,6.840927e-20,4.8002076e-20,3.7368342e-13,0.00402794,4.6120784e-13,8.3873347e-22,3.4938634e-23,1.9981238e-21,4.1556112e-22,7.8672656e-08,8.568399e-21,8.220211e-17,1.5352487e-18,1.4637784e-21,1.1727872e-11,3.3817896e-20,0.07743407,0.042689253,0.44808763,0.5008805,1.0655767e-15,3.4749873e-22,1.7608482e-21,5.599779e-20
