feature_index,related,rank,index,center,nmi,spearman,pearson,kendall,distance_corr,hsic,nmi_pass,spearman_pass,pearson_pass,kendall_pass,distance_corr_pass,hsic_pass,pass_count,max_abs_score,gate,final_gate,best_epoch_gate
20,gross_sched_interchange_mw,20,41,metered_load_mw,0.0207849783121459,0.1921101789224765,0.1932543577529188,0.1280678343063664,0.2126276462127367,0.8780403500948841,0,1,1,1,1,1,5,0.8780403500948841,0.098963745,0.098963745,0.29345888
21,marginal_loss_price_da,21,32,metered_load_mw,0.2345913642499935,0.588571457632384,0.5577736293668614,0.3898915763135946,0.5387535071267147,0.0419526860192936,1,1,1,1,1,0,5,0.588571457632384,0.14612287,0.14612287,0.40338022
22,net_inadv_interchange_mw,22,39,metered_load_mw,0.0143738553387607,0.1857820012107436,0.2019064388386404,0.1137073350760179,0.1660721580878352,0.4035174120731161,0,1,1,1,1,1,5,0.4035174120731161,0.045810923,0.045810923,0.15401067
23,total_pjm_reg_purchases,23,5,metered_load_mw,0.0403567816118369,0.2748128061208465,0.251925910143951,0.2029830414234084,0.2983473069908026,0.3784301892990663,0,1,1,1,1,1,5,0.3784301892990663,0.07578672,0.07578672,0.2493682
24,congestion_price_rt,24,35,metered_load_mw,0.05518575963659,0.34863531261103,0.3229060134895269,0.221016389348374,0.2953092594302897,0.0322759102032873,1,1,1,1,1,0,5,0.34863531261103,0.06769655,0.06769655,0.17598802
25,da_as_as_req_mw_thirty_minutes_reserve,25,15,metered_load_mw,0.106497906169592,0.2644284814068566,0.273092098576653,0.2235683339079654,0.291960758759718,0.0364896469005894,1,1,1,1,1,0,5,0.291960758759718,0.0936599,0.0936599,0.27554026
26,da_as_total_mw_synchronized_reserve,26,17,metered_load_mw,0.0586374332019109,0.1000603826786264,0.103050939409925,0.0743583886920932,0.1484204069929823,0.2215536721329342,1,1,1,0,1,1,5,0.2215536721329342,0.00046599927,0.00046599927,0.07518613
27,da_as_as_mw_synchronized_reserve,27,20,metered_load_mw,0.0820606508094106,0.1127857818901257,0.1100813161660001,0.069209983570105,0.1527384370403724,0.2201999194638974,1,1,1,0,1,1,5,0.2201999194638974,0.05577212,0.05577212,0.11451021
28,total_pjm_self_sched_reg,28,6,metered_load_mw,0.0244343300980691,0.1632353122279431,0.1282024523122351,0.077346453535224,0.1311174244432309,0.3485224519377839,0,1,1,0,1,1,4,0.3485224519377839,0.056294743,0.056294743,0.16403404
29,da_as_as_mw_thirty_minutes_reserve,29,21,metered_load_mw,0.0817429291215925,0.0688827809405206,-0.0679354472111666,-0.009929128292616,0.1836037308792366,0.9229768576233296,1,0,0,0,1,1,3,0.9229768576233296,0.14568976,0.14568976,0.43140423
