solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,marginal_loss_price_rt,gross_inadv_interchange_mw
0.15826751,0.28461677,0.08971966,0.15933366,0.58009034,0.43444866,0.446728,0.32268056,0.2917731,0.45179412,0.63365066,0.24952155,0.49735627,0.19187684,0.280079,0.17664489,0.34330127,0.29761186,0.21660928,0.5107164,0.06388528,0.39429516,0.16269948,0.08495235,0.44510844,0.15942037,0.512122,0.29254398,0.21128353,0.25751734,0.42631766,0.12989503,0.5404384,0.9732552,0.82494706,0.4005284
0.13306308,0.2630099,0.051624108,0.14325114,0.5826842,0.426566,0.45430133,0.2793159,0.30161667,0.45338285,0.65497994,0.22840534,0.49899682,0.1651156,0.27115083,0.15319082,0.33242196,0.26309273,0.19485861,0.5096173,0.022724131,0.39432704,0.13937674,0.06701374,0.44330654,0.13614386,0.52954733,0.26940608,0.19380115,0.26166135,0.4190601,0.09996042,0.5476459,1.0,0.8552695,0.4046088
0.14939095,0.23896733,0.04745373,0.09672153,0.57147914,0.43050113,0.4365054,0.26520392,0.29060656,0.47127566,0.7075121,0.1995547,0.49046844,0.14447275,0.24924025,0.15542877,0.33349207,0.23655146,0.16085123,0.5045706,0.0,0.40537876,0.115043625,0.043112777,0.47025022,0.10521455,0.56591606,0.25174084,0.1960414,0.25149974,0.4043405,0.08285462,0.5307068,1.0,0.87593937,0.40724605
0.11815694,0.22662483,0.016481804,0.060392622,0.5764677,0.41070676,0.44271013,0.24061182,0.27620667,0.4828716,0.7258019,0.16763347,0.49691036,0.10584348,0.24513239,0.1584581,0.31401289,0.23776701,0.14165801,0.50450724,0.0,0.40580425,0.095029056,0.009418474,0.4697026,0.07672489,0.5645372,0.25041184,0.19783653,0.23942173,0.4137891,0.052677013,0.5427758,1.0,0.8955772,0.41202116
0.0857996,0.22612563,0.0,0.020941563,0.57551366,0.42288345,0.44065243,0.22530985,0.26840162,0.49630728,0.7623574,0.15401517,0.49994835,0.09629291,0.23504724,0.13615607,0.32281107,0.20543277,0.119945556,0.51084137,0.0,0.40659347,0.07285677,0.0,0.44821894,0.047841378,0.56425697,0.24387392,0.17564754,0.23049009,0.42248178,0.021715054,0.5512684,1.0,0.9184544,0.42564985
0.07363667,0.21682811,0.0,0.0,0.5733407,0.44011694,0.4407045,0.21459003,0.26456603,0.5028195,0.7970147,0.14322072,0.50965124,0.085073,0.22830786,0.11126946,0.29352793,0.18750104,0.09844473,0.5430279,0.0,0.41836166,0.042791545,0.0,0.46398732,0.03356365,0.5689712,0.21919586,0.13701755,0.21808742,0.4287627,0.0,0.5551881,1.0,0.935424,0.42427447
0.068470195,0.20586069,0.0,0.0,0.5635977,0.45502827,0.44044602,0.19431235,0.2383468,0.5370386,0.8234071,0.13681257,0.51491356,0.071265094,0.22799952,0.10070455,0.2959045,0.15976305,0.07419991,0.5423262,0.0,0.4124598,0.004901921,0.0,0.4677646,0.028344976,0.58272016,0.21570353,0.12124644,0.21434012,0.43534413,0.0,0.5675037,1.0,0.9550756,0.4104357
0.053836133,0.19569398,0.0,0.0,0.58336836,0.45620316,0.42683005,0.18536614,0.24818449,0.55909014,0.8549146,0.13176927,0.5322068,0.04563848,0.23113231,0.07240666,0.29441518,0.123936765,0.05094754,0.53282523,0.0,0.41208273,0.0,0.0,0.45369607,0.0042644185,0.59085214,0.23157,0.08705201,0.21931319,0.44591054,0.0,0.57087654,1.0,0.96518725,0.4063073
0.032875728,0.1669513,0.0,0.0,0.5936648,0.44431818,0.42106554,0.19538738,0.2535961,0.58343387,0.87419766,0.11472869,0.53396314,0.028487716,0.2264697,0.05379534,0.31810123,0.07169535,0.009500811,0.53461176,0.0,0.43462637,0.0,0.0,0.45674366,0.0069803293,0.5976393,0.23233348,0.08876363,0.22930908,0.44588906,0.0,0.56108046,1.0,0.9760274,0.39692974
0.0022678124,0.15175319,0.0,0.0,0.58889794,0.4228557,0.4381921,0.18393262,0.25399846,0.60776854,0.9018132,0.102411196,0.53387177,0.008339219,0.25648037,0.034977145,0.30786678,0.042325504,0.0,0.53573996,0.0,0.443551,0.0,0.0,0.4592686,0.0,0.60564387,0.22620122,0.085043855,0.21876656,0.44735247,0.0,0.5700494,1.0,0.98322225,0.40640974
0.0,0.13214928,0.0,0.0,0.5786413,0.4265975,0.42571095,0.17454113,0.23968466,0.6274084,0.92091507,0.08945844,0.53303814,0.0,0.23992759,0.018408341,0.30551994,0.021910127,0.0,0.5360485,0.0,0.45685422,0.0,0.0,0.45558342,0.0,0.6295468,0.23303613,0.09538654,0.24064551,0.4390078,0.0,0.55184853,1.0,0.99740607,0.40332505
0.0,0.10424621,0.0,0.0,0.5849241,0.4452488,0.41414312,0.17075661,0.22659534,0.6505451,0.9404038,0.0935668,0.5334497,0.0,0.24224366,0.0,0.30188626,0.0,0.0,0.5385244,0.0,0.45644206,0.0,0.0,0.44736722,0.0,0.63692963,0.22845717,0.060468227,0.23143135,0.43553582,0.0,0.5528987,1.0,1.0,0.42094848
0.0,0.089791365,0.0,0.0,0.58950275,0.4412621,0.40060878,0.15607834,0.22935319,0.66515446,0.9751818,0.09850594,0.52408886,0.0,0.23682176,0.0,0.2886364,0.0,0.0,0.54320216,0.0,0.467867,0.0,0.0,0.4682414,0.0,0.6693316,0.2219486,0.050155748,0.23183236,0.4508877,0.0,0.5635807,1.0,1.0,0.41420928
0.0,0.08438708,0.0,0.0,0.5942591,0.43991196,0.41806322,0.13670921,0.23123425,0.68547875,0.9954092,0.09034543,0.5172274,0.0,0.23216969,0.0,0.28632423,0.0,0.0,0.54348624,0.0,0.4645806,0.0,0.0,0.46333748,0.0,0.66767967,0.2217274,0.05221167,0.23337698,0.4564046,0.0,0.5866971,1.0,1.0,0.39923376
0.0,0.048558883,0.0,0.0,0.6111265,0.4258662,0.3973923,0.13967614,0.20544402,0.7042888,1.0,0.085438535,0.5171723,0.0,0.20931889,0.0,0.29155153,0.0,0.0,0.56768113,0.0,0.4762818,0.0,0.0,0.47993055,0.0,0.6699696,0.23845644,0.032199092,0.25587955,0.45610097,0.0,0.5666203,1.0,1.0,0.39555717
0.0,0.029345004,0.0,0.0,0.62595665,0.43116295,0.40827513,0.14214031,0.19650349,0.7255328,1.0,0.060389254,0.51804245,0.0,0.2108727,0.0,0.28437498,0.0,0.0,0.57286876,0.0,0.48217222,0.0,0.0,0.48590675,0.0,0.6710666,0.23603027,0.027066387,0.26121834,0.46083182,0.0,0.56301105,1.0,1.0,0.38758755
0.0,0.014364651,0.0,0.0,0.63971627,0.4237418,0.42175886,0.13479587,0.19499932,0.7362264,1.0,0.05661667,0.52994686,0.0,0.23994517,0.0,0.26896992,0.0,0.0,0.5760353,0.0,0.4914659,0.0,0.0,0.50946856,0.0,0.6721614,0.23117392,0.025202492,0.2556934,0.4636154,0.0,0.57694757,1.0,1.0,0.39181444
0.0,0.0,0.0,0.0,0.6372931,0.4115801,0.41040766,0.12660782,0.19193676,0.7428887,1.0,0.05182944,0.5273472,0.0,0.22103663,0.0,0.27166513,0.0,0.0,0.57722193,0.0,0.48806575,0.0,0.0,0.50681186,0.0,0.67449135,0.25117064,0.030395918,0.26151872,0.45707017,0.0,0.56950194,1.0,1.0,0.3896264
0.0,0.0,0.0,0.0,0.6389831,0.40975896,0.41838405,0.121700644,0.1950402,0.7484819,1.0,0.05030499,0.5230047,0.0,0.20529579,0.0,0.24738117,0.0,0.0,0.5816258,0.0,0.49833462,0.0,0.0,0.5100604,0.0,0.68991244,0.23917584,0.0035988116,0.25517482,0.45401624,0.0,0.5756459,1.0,1.0,0.38898954
0.0,0.0,0.0,0.0,0.6564778,0.41882852,0.42474288,0.11711269,0.19090432,0.7667263,1.0,0.03733372,0.52694255,0.0,0.19752587,0.0,0.25200868,0.0,0.0,0.58173364,0.0,0.5072828,0.0,0.0,0.5116219,0.0,0.69160146,0.23696005,0.0,0.2551045,0.44622698,0.0,0.5848636,1.0,1.0,0.40986368
0.0,0.0,0.0,0.0,0.68022424,0.42291254,0.42025685,0.11867273,0.17905599,0.7861812,1.0,0.040496126,0.5419851,0.0,0.19850163,0.0,0.24714893,0.0,0.0,0.5782017,0.0,0.51268315,0.0,0.0,0.518606,0.0,0.71353763,0.22838391,0.0,0.23528019,0.4473715,0.0,0.5873411,1.0,1.0,0.3959569
0.0,0.0,0.0,0.0,0.6996306,0.42871132,0.4239903,0.12890063,0.1774578,0.7990204,1.0,0.040238194,0.5516585,0.0,0.18579969,0.0,0.24393666,0.0,0.0,0.5701149,0.0,0.5199434,0.0,0.0,0.5218827,0.0,0.72820216,0.24023718,0.0,0.24426822,0.45191684,0.0,0.5822125,1.0,1.0,0.40089357
0.0,0.0,0.0,0.0,0.6991131,0.4258207,0.41614413,0.12343543,0.18510062,0.81855875,1.0,0.01797036,0.542732,0.0,0.17630124,0.0,0.24284802,0.0,0.0,0.57497436,0.0,0.5411165,0.0,0.0,0.5215251,0.0,0.7369391,0.22221372,0.0,0.24564295,0.45977396,0.0,0.58162755,1.0,1.0,0.41104403
0.0,0.0,0.0,0.0,0.71210295,0.42224878,0.4221994,0.14188303,0.210861,0.8278543,1.0,0.013980648,0.5469473,0.0,0.18981616,0.0,0.24428502,0.0,0.0,0.5782579,0.0,0.5465843,0.0,0.0,0.51427037,0.0,0.75398266,0.20440347,0.0,0.22828451,0.46100274,0.0,0.60931337,1.0,1.0,0.43359622
0.0,0.0,0.0,0.0,0.70813817,0.41169968,0.407466,0.12912488,0.21745075,0.8530686,1.0,0.0,0.55110496,0.0,0.19266866,0.0,0.23151436,0.0,0.0,0.59048843,0.0,0.5534481,0.0,0.0,0.5175384,0.0,0.7539911,0.20144321,0.0,0.22789289,0.45402333,0.0,0.6284723,1.0,1.0,0.44759896
0.0,0.0,0.0,0.0,0.72385377,0.4207443,0.39943677,0.121012494,0.2051226,0.86528087,1.0,0.0,0.5447013,0.0,0.18456689,0.0,0.23010729,0.0,0.0,0.5975444,0.0,0.5438727,0.0,0.0,0.5244619,0.0,0.7657521,0.20142841,0.0,0.23635998,0.4681707,0.0,0.63039875,1.0,1.0,0.44100505
0.0,0.0,0.0,0.0,0.73155177,0.4098035,0.3969936,0.114055194,0.19960415,0.86404,1.0,0.0,0.5545036,0.0,0.1942067,0.0,0.21190788,0.0,0.0,0.586915,0.0,0.545564,0.0,0.0,0.5168877,0.0,0.77710015,0.2036593,0.0,0.24068955,0.48637593,0.0,0.6481733,1.0,1.0,0.44778737
0.0,0.0,0.0,0.0,0.7343392,0.404441,0.39674744,0.10104084,0.19813657,0.8801449,1.0,0.0,0.54495656,0.0,0.19639392,0.0,0.21565242,0.0,0.0,0.5824613,0.0,0.5536149,0.0,0.0,0.53060514,0.0,0.78485906,0.19594301,0.0,0.256344,0.4918906,0.0,0.6711433,1.0,1.0,0.43744278
0.0,0.0,0.0,0.0,0.7484368,0.41218343,0.39586186,0.09361626,0.19220369,0.9037746,1.0,0.0,0.55446607,0.0,0.18882665,0.0,0.20842287,0.0,0.0,0.6020521,0.0,0.5417559,0.0,0.0,0.53179544,0.0,0.81071,0.20052023,0.0,0.24244271,0.509282,0.0,0.6701942,1.0,1.0,0.4399797
0.0,0.0,0.0,0.0,0.7483084,0.410389,0.39373288,0.08702449,0.18713748,0.91317064,1.0,0.0,0.56137085,0.0,0.18078752,0.0,0.2157345,0.0,0.0,0.59471244,0.0,0.54788154,0.0,0.0,0.53612226,0.0,0.81445545,0.18171692,0.0,0.2410092,0.5168044,0.0,0.6923556,1.0,1.0,0.44708398
0.0,0.0,0.0,0.0,0.7544873,0.40408608,0.39269504,0.08313114,0.1764244,0.93607306,1.0,0.0,0.5727459,0.0,0.17891839,0.0,0.21553864,0.0,0.0,0.60109466,0.0,0.5527799,0.0,0.0,0.52334726,0.0,0.81393427,0.19585459,0.0,0.26395166,0.52276736,0.0,0.6932062,1.0,1.0,0.4522036
0.0,0.0,0.0,0.0,0.7620115,0.40259525,0.39465678,0.06748964,0.16180351,0.95018506,1.0,0.0,0.567685,0.0,0.16281518,0.0,0.21862197,0.0,0.0,0.61621666,0.0,0.55684066,0.0,0.0,0.53485924,0.0,0.8132319,0.18241236,0.0,0.25552088,0.52398646,0.0,0.7051658,1.0,1.0,0.44222894
0.0,0.0,0.0,0.0,0.78540117,0.40402314,0.39508682,0.050950903,0.17945309,0.96854335,1.0,0.0,0.58428407,0.0,0.15632528,0.0,0.22123963,0.0,0.0,0.6311123,0.0,0.5545457,0.0,0.0,0.54573095,0.0,0.8206826,0.17935486,0.0,0.26593465,0.52888364,0.0,0.719927,1.0,1.0,0.45146355
0.0,0.0,0.0,0.0,0.81524813,0.4044972,0.39467523,0.058223795,0.1878299,0.9825558,1.0,0.0,0.5929242,0.0,0.14631617,0.0,0.221589,0.0,0.0,0.6399805,0.0,0.5654318,0.0,0.0,0.54540586,0.0,0.8486454,0.18657662,0.0,0.28418726,0.54662895,0.0,0.7356158,1.0,1.0,0.45758733
0.0,0.0,0.0,0.0,0.83092654,0.4040181,0.39409563,0.057839025,0.17801231,1.0,1.0,0.0,0.6145554,0.0,0.12349573,0.0,0.22889557,0.0,0.0,0.669426,0.0,0.55832845,0.0,0.0,0.5420933,0.0,0.8754632,0.19532852,0.0,0.2902162,0.54862714,0.0,0.754648,1.0,1.0,0.4603706
0.0,0.0,0.0,0.0,0.8336569,0.41213265,0.39057598,0.055810522,0.17064752,1.0,1.0,0.0,0.6098177,0.0,0.11706328,0.0,0.22657475,0.0,0.0,0.67753994,0.0,0.55771923,0.0,0.0,0.55334103,0.0,0.89791155,0.19002514,0.0,0.290228,0.5532736,0.0,0.7479033,1.0,1.0,0.48999506
0.0,0.0,0.0,0.0,0.8495748,0.4105652,0.39425775,0.0455623,0.1773002,1.0,1.0,0.0,0.61601806,0.0,0.12077248,0.0,0.22451133,0.0,0.0,0.6567974,0.0,0.55062914,0.0,0.0,0.52138394,0.0,0.90114623,0.20307207,0.0,0.30538332,0.56684905,0.0,0.7701073,1.0,1.0,0.50162125
0.0,0.0,0.0,0.0,0.8536024,0.4087826,0.40467384,0.02512106,0.17723913,1.0,1.0,0.0,0.61394525,0.0,0.11458241,0.0,0.21825255,0.0,0.0,0.6568211,0.0,0.5774427,0.0,0.0,0.5268365,0.0,0.9142103,0.21520582,0.0,0.3022651,0.56623936,0.0,0.78770226,1.0,1.0,0.4976281
0.0,0.0,0.0,0.0,0.87185484,0.4162961,0.40915963,0.028511338,0.1647111,1.0,1.0,0.0,0.630265,0.0,0.10503208,0.0,0.21576959,0.0,0.0,0.6696222,0.0,0.5827901,0.0,0.0,0.5279822,0.0,0.91478324,0.22240397,0.0,0.31059942,0.580918,0.0,0.78492266,1.0,1.0,0.5038298
0.0,0.0,0.0,0.0,0.8938235,0.41941404,0.40607756,0.029202774,0.16115318,1.0,1.0,0.0,0.6265493,0.0,0.09310267,0.0,0.2286668,0.0,0.0,0.67361456,0.0,0.58981556,0.0,0.0,0.5174545,0.0,0.9221797,0.23041292,0.0,0.31186622,0.6001031,0.0,0.78765136,1.0,1.0,0.5106256
0.0,0.0,0.0,0.0,0.9237761,0.4230637,0.4017271,0.021849034,0.16155013,1.0,1.0,0.0,0.6329609,0.0,0.08495226,0.0,0.22364362,0.0,0.0,0.68525666,0.0,0.5948433,0.0,0.0,0.51883054,0.0,0.9506757,0.24133325,0.0,0.3282699,0.6069235,0.0,0.7994914,1.0,1.0,0.5113616
0.0,0.0,0.0,0.0,0.93689257,0.41842878,0.41808975,0.010220457,0.15845515,1.0,1.0,0.0,0.62145185,0.0,0.07475279,0.0,0.22864461,0.0,0.0,0.691991,0.0,0.59995294,0.0,0.0,0.52078086,0.0,0.96696407,0.23619822,0.0,0.33400363,0.631676,0.0,0.8074549,1.0,1.0,0.5341856
0.0,0.0,0.0,0.0,0.94962794,0.40518513,0.4240647,0.008776327,0.15667358,1.0,1.0,0.0,0.630414,0.0,0.07103497,0.0,0.2265137,0.0,0.0,0.7031265,0.0,0.61701274,0.0,0.0,0.5300389,0.0,0.9805913,0.22749041,0.0,0.33393624,0.6566348,0.0,0.8220672,1.0,1.0,0.5552868
0.0,0.0,0.0,0.0,0.9677363,0.39764085,0.40682602,0.0118238935,0.15747614,1.0,1.0,0.0,0.63949203,0.0,0.041926585,0.0,0.23908955,0.0,0.0,0.693714,0.0,0.63883746,0.0,0.0,0.52999395,0.0,0.99787694,0.21105267,0.0,0.3182968,0.6728762,0.0,0.82139087,1.0,1.0,0.554849
0.0,0.0,0.0,0.0,0.9849819,0.39012203,0.41275138,0.023606153,0.14638819,1.0,1.0,0.0,0.66068995,0.0,0.028829725,0.0,0.25042206,0.0,0.0,0.7133412,0.0,0.6432488,0.0,0.0,0.5403468,0.0,1.0,0.21199411,0.0,0.33621132,0.68293166,0.0,0.8254397,1.0,1.0,0.5396324
0.0,0.0,0.0,0.0,0.9994109,0.38831186,0.3911639,0.033804677,0.15874667,1.0,1.0,0.0,0.6488428,0.0,0.018098284,0.0,0.2525228,0.0,0.0,0.7228902,0.0,0.65372944,0.0,0.0,0.5441109,0.0,1.0,0.22293806,0.0,0.33952358,0.70240307,0.0,0.8334559,1.0,1.0,0.5502491
0.0,0.0,0.0,0.0,1.0,0.39616996,0.38887325,0.032819103,0.15745538,1.0,1.0,0.0,0.64940226,0.0,0.025805697,0.0,0.24488875,0.0,0.0,0.72973275,0.0,0.6652456,0.0,0.0,0.55984545,0.0,1.0,0.22452612,0.0,0.3441746,0.7063207,0.0,0.8346967,1.0,1.0,0.5633861
0.0,0.0,0.0,0.0,1.0,0.39330748,0.39307144,0.030406898,0.14560376,1.0,1.0,0.0,0.65363693,0.0,0.018923711,0.0,0.24313831,0.0,0.0,0.7341972,0.0,0.68290806,0.0,0.0,0.5601499,0.0,1.0,0.21747969,0.0,0.33779195,0.712897,0.0,0.84867877,1.0,1.0,0.5669702
0.0,0.0,0.0,0.0,1.0,0.40167072,0.3814328,0.035302978,0.12676892,1.0,1.0,0.0,0.6647013,0.0,0.00049368513,0.0,0.23641562,0.0,0.0,0.7463733,0.0,0.68238354,0.0,0.0,0.54473466,0.0,1.0,0.21769318,0.0,0.35415006,0.72264415,0.0,0.8602565,1.0,1.0,0.5872937
0.0,0.0,0.0,0.0,1.0,0.4006894,0.38817182,0.033807814,0.10348343,1.0,1.0,0.0,0.6725031,0.0,0.0,0.0,0.2432975,0.0,0.0,0.7244429,0.0,0.6805333,0.0,0.0,0.5449544,0.0,1.0,0.23017652,0.0,0.37432918,0.73667884,0.0,0.87794125,1.0,1.0,0.6113709
0.0,0.0,0.0,0.0,1.0,0.4080998,0.39454308,0.039233163,0.104141705,1.0,1.0,0.0,0.6802347,0.0,0.0,0.0,0.26770598,0.0,0.0,0.7351347,0.0,0.6976823,0.0,0.0,0.5481344,0.0,1.0,0.223667,0.0,0.37508014,0.75823426,0.0,0.90380347,1.0,1.0,0.6252169
0.0,0.0,0.0,0.0,1.0,0.40390676,0.3918816,0.051329613,0.092859425,1.0,1.0,0.0,0.68891346,0.0,0.0,0.0,0.29099116,0.0,0.0,0.73038995,0.0,0.69759655,0.0,0.0,0.534779,0.0,1.0,0.23246819,0.0,0.3685936,0.7664526,0.0,0.92695385,1.0,1.0,0.6182997
0.0,0.0,0.0,0.0,1.0,0.40851593,0.39822853,0.04547809,0.08812166,1.0,1.0,0.0,0.68058664,0.0,0.0,0.0,0.28945118,0.0,0.0,0.7359231,0.0,0.7039676,0.0,0.0,0.52616525,0.0,1.0,0.22791724,0.0,0.3631044,0.7715256,0.0,0.9353826,1.0,1.0,0.63818246
0.0,0.0,0.0,0.0,1.0,0.41594762,0.38569987,0.043349728,0.08707905,1.0,1.0,0.0,0.6955772,0.0,0.0,0.0,0.29050347,0.0,0.0,0.73117363,0.0,0.6914625,0.0,0.0,0.5325065,0.0,1.0,0.21304318,0.0,0.35318005,0.79343104,0.0,0.9214056,1.0,1.0,0.66993695
0.0,0.0,0.0,0.0,1.0,0.41988915,0.38995317,0.046773806,0.08953856,1.0,1.0,0.0,0.72188103,0.0,0.0,0.0,0.31290403,0.0,0.0,0.74678695,0.0,0.69190454,0.0,0.0,0.53319925,0.0,1.0,0.21744874,0.0,0.37808207,0.8163594,0.0,0.9335153,1.0,1.0,0.700513
0.0,0.0,0.0,0.0,1.0,0.3988307,0.40032947,0.038517997,0.08128666,1.0,1.0,0.0,0.72302085,0.0,0.0,0.0,0.33755124,0.0,0.0,0.76755744,0.0,0.69323605,0.0,0.0,0.54616433,0.0,1.0,0.20112745,0.0,0.38583985,0.8218278,0.0,0.9425297,1.0,1.0,0.69690555
0.0,0.0,0.0,0.0,1.0,0.3957963,0.4030671,0.031459846,0.058381457,1.0,1.0,0.0,0.7308596,0.0,0.0,0.0,0.3233244,0.0,0.0,0.7801095,0.0,0.7157347,0.0,0.0,0.5424888,0.0,1.0,0.21041764,0.0,0.3960587,0.82884103,0.0,0.9584977,1.0,1.0,0.7041561
0.0,0.0,0.0,0.0,1.0,0.3892764,0.40697154,0.022535414,0.049247902,1.0,1.0,0.0,0.74206764,0.0,0.0,0.0,0.31377378,0.0,0.0,0.7879232,0.0,0.7158025,0.0,0.0,0.53624344,0.0,1.0,0.2142876,0.0,0.4084847,0.85093915,0.0,0.9740357,1.0,1.0,0.71984035
0.0,0.0,0.0,0.0,1.0,0.39006102,0.3947984,0.0021102277,0.03466117,1.0,1.0,0.0,0.75091124,0.0,0.0,0.0,0.3333429,0.0,0.0,0.79131335,0.0,0.72071683,0.0,0.0,0.5283005,0.0,1.0,0.22531119,0.0,0.420554,0.8586984,0.0,1.0,1.0,1.0,0.7322332
