area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_generation_mw,system_losses_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_wind_mw,gen_fuel_solar_mw,area_1_fuel_coal_mw,area_1_fuel_natural_gas_mw,area_1_fuel_nuclear_mw,area_1_fuel_hydro_mw,area_1_fuel_wind_mw,area_1_fuel_solar_mw,area_1_generation_mw,area_2_fuel_coal_mw,area_2_fuel_natural_gas_mw,area_2_fuel_hydro_mw,area_2_fuel_solar_mw,area_2_generation_mw,area_3_fuel_coal_mw,area_3_fuel_natural_gas_mw,area_3_fuel_hydro_mw,area_3_fuel_wind_mw,area_3_fuel_solar_mw,area_3_generation_mw,hour_of_day,month_of_year
0.102391355,0.0010371559,3.81916e-06,3.9795722e-09,0.3279101,0.00027601013,0.00029848423,8.929816e-08,2.7493611e-08,0.0013296052,4.0022016e-08,1.9837007e-08,0.13394086,0.01338206,1.1365716e-07,0.059435517,1.1914123e-08,0.029889368,4.5171862e-07,0.0005121751,5.6290523e-06,0.23673423,0.32313517,0.0008818131,0.032561168,0.20663077,0.1539103,0.32177332,0.24460065,0.20474137,0.115397505,0.0051136813,1.0736931e-05,0.00094344834,1.2175765e-08,7.7156193e-07,0.002376826,4.5582245e-05,1.5685136e-07,4.4213447e-08,1.0574798e-09
0.09089175,0.00055715325,1.0554572e-06,5.118138e-10,0.316689,0.00012032582,0.00013467486,1.6449766e-08,4.4686446e-09,0.000648291,6.5536607e-09,2.5322209e-09,0.12078848,0.009850317,2.1231177e-08,0.05221195,1.7253674e-09,0.027212093,9.8099584e-08,0.00022662747,1.5475254e-06,0.23673949,0.31027094,0.0004543208,0.029151091,0.19072098,0.14830391,0.30860978,0.23658295,0.2012385,0.1108708,0.0031852543,3.3764563e-06,0.00044552074,1.7709033e-09,1.6839039e-07,0.001410223,1.4933845e-05,2.9738292e-08,7.292973e-09,1.155287e-10
0.07945945,0.00028396997,2.631982e-07,5.569846e-11,0.3078198,4.890638e-05,5.6881243e-05,2.6439588e-09,6.270082e-10,0.00029231378,9.270356e-10,2.7333025e-10,0.10789465,0.0069471654,3.4643994e-09,0.045095086,2.1359023e-10,0.024239756,1.8846343e-08,9.182742e-05,3.8360741e-07,0.23460959,0.30735108,0.00022080433,0.025220558,0.17632604,0.14360256,0.29455027,0.22723088,0.19301915,0.10617319,0.0018896188,9.684177e-07,0.00019279822,2.202586e-10,3.2521697e-08,0.00072590186,4.458015e-06,4.931231e-09,1.0398136e-09,1.0530012e-11
0.06944506,0.00013747379,5.8773377e-08,5.0621417e-12,0.29980075,1.8551505e-05,2.2379354e-05,3.6692796e-10,7.5091794e-11,0.0001231397,1.1200163e-10,2.4622082e-11,0.09675917,0.004821475,4.887123e-10,0.03874439,2.2328325e-11,0.02146191,3.1733305e-09,3.4127715e-05,8.5106485e-08,0.23195034,0.30125156,0.00010119954,0.022266245,0.16442285,0.13958246,0.28106272,0.2200878,0.18841448,0.104623646,0.0010651794,2.516668e-07,7.708179e-05,2.3142948e-11,5.507214e-09,0.00032323672,1.2075883e-06,7.0786144e-10,1.2671136e-10,7.8930243e-13
0.060951717,6.289154e-05,1.1655595e-08,3.7873825e-13,0.29309505,6.5258073e-06,8.167941e-06,4.3467473e-11,7.58108e-12,4.8251106e-05,1.1415514e-11,1.8244787e-12,0.087348245,0.0032437313,5.8929556e-11,0.03343713,1.9448798e-12,0.018907174,4.6357365e-10,1.1613536e-05,1.6759286e-08,0.23217715,0.29617584,4.3597192e-05,0.01928616,0.15050203,0.13525009,0.270714,0.212502,0.18557955,0.10022972,0.0005660262,5.8812002e-08,2.8478302e-05,2.0270118e-12,8.094908e-10,0.00012495006,2.9491625e-07,8.698207e-11,1.3035755e-11,4.7892798e-14
0.053287856,2.7088336e-05,2.0343531e-09,2.2961207e-14,0.28596732,2.1155047e-06,2.7558585e-06,4.340837e-12,6.3646197e-13,1.7533177e-05,9.683308e-13,1.09455095e-13,0.077994145,0.00211351,5.9991777e-12,0.028277546,1.3909601e-13,0.015787544,5.8106856e-11,3.6157553e-06,2.9028642e-09,0.2305747,0.28915143,1.7579812e-05,0.016573377,0.14035222,0.13314077,0.2598133,0.20671842,0.17979851,0.09643003,0.00028532222,1.2260386e-08,9.690722e-06,1.4584362e-13,1.0214572e-10,4.2947722e-05,6.446603e-08,9.038268e-12,1.1170214e-12,2.3118195e-15
0.0460494,1.0938484e-05,3.094233e-10,1.1085341e-15,0.2792812,6.2864166e-07,8.543114e-07,3.6046814e-13,4.377554e-14,5.875028e-06,6.7352875e-14,5.2243565e-15,0.06997273,0.0013393678,5.086826e-13,0.023706038,8.037512e-15,0.013196956,6.174274e-12,1.0253044e-06,4.3788392e-10,0.22966228,0.2879274,6.6090415e-06,0.013656783,0.12877153,0.13035443,0.24799891,0.19859016,0.17691523,0.093211144,0.00013523773,2.260099e-09,3.02745e-06,8.482611e-15,1.0932577e-11,1.326007e-05,1.2507856e-08,7.8359855e-13,7.85545e-14,8.70892e-17
0.039930865,4.120254e-06,4.0572302e-11,4.181023e-17,0.27400547,1.7002111e-07,2.4185235e-07,2.4520482e-14,2.4265247e-15,1.8086142e-06,3.779255e-15,1.9461068e-16,0.062473614,0.00082056696,3.5395504e-14,0.019872446,3.6864496e-16,0.010616518,5.4883886e-13,2.6321254e-07,5.6903954e-11,0.22975503,0.2768461,2.3043713e-06,0.011531288,0.11831939,0.12576185,0.24005345,0.19354835,0.17378011,0.08988881,6.029229e-05,3.6491177e-10,8.6409267e-07,3.9183305e-16,9.794717e-13,3.6845306e-06,2.1344282e-09,5.5856795e-14,4.460801e-15,2.5066416e-18
0.034031168,1.4399263e-06,4.532518e-12,1.2061478e-18,0.26815635,4.1561265e-08,6.21047e-08,1.3440201e-15,1.06462056e-16,5.078304e-07,1.6802606e-16,5.538592e-18,0.055491745,0.00048274823,1.988456e-15,0.01616255,1.31607786e-17,0.008359903,4.0226188e-14,6.078233e-08,6.295573e-12,0.226194,0.279651,7.410411e-07,0.00921555,0.10838554,0.122196145,0.22993894,0.18730511,0.16833198,0.08689322,2.5217212e-05,5.10701e-11,2.237953e-07,1.4097188e-17,7.240312e-14,9.2283733e-07,3.171557e-10,3.2213116e-15,2.0092365e-16,5.3843726e-20
0.029011872,4.6433468e-07,4.2588795e-13,2.599672e-20,0.26439476,9.111963e-09,1.4358488e-08,5.8294243e-17,3.6242505e-18,1.2928639e-07,5.8032618e-18,1.1762329e-19,0.049251754,0.00027303322,8.85857e-17,0.013074506,3.5789414e-19,0.0064462395,2.3926114e-15,1.2526556e-08,5.853533e-13,0.2263092,0.27096507,2.184459e-07,0.0071000597,0.09968921,0.119627714,0.22268164,0.18243183,0.16389711,0.083759904,9.856625e-06,6.125497e-12,5.2219825e-08,3.8660351e-19,4.3465055e-15,2.0720422e-07,4.0588876e-11,1.4766053e-16,7.038433e-18,8.409112e-22
