wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,gross_sched_interchange_mw,gross_inadv_interchange_mw
6.3931216e-06,0.011968864,0.32112488,0.4585118,0.035470888,3.340276e-07,0.28189087,0.038473412,7.0382094e-07,0.15403618,4.1749096e-10,0.115662396,1.550141e-06,0.007447121,0.085475,0.022240745,0.33200166,5.8017574e-10,6.60607e-06,1.4753082e-05,3.8318527e-07,0.06150457,0.6569521,4.837512e-07,4.0569787e-11,0.18917604,3.3003214e-10,0.013579425,2.5598534e-13,1.6263682e-09,8.052322e-06,1.6194948e-11,1.0961973e-07,1.0054566e-06,2.802726e-09,1.2078558e-10,4.272535e-09,2.7673786e-07,4.929446e-07,1.0266188e-05,1.3306253e-11,0.058507662,0.0058198674,0.011874224,0.0012385942,0.049496528,0.118289314,0.006040061
2.3020993e-06,0.009276716,0.31382078,0.44897816,0.032918233,8.7567926e-08,0.27547655,0.038697463,1.7345415e-07,0.15263459,5.511639e-11,0.11195784,4.5444622e-07,0.005157661,0.08381126,0.022845108,0.32661155,8.0279026e-11,2.2194677e-06,5.7874195e-06,1.04728656e-07,0.052234285,0.65082884,1.3238747e-07,4.174129e-12,0.17931908,4.229788e-11,0.013701434,1.6168275e-14,2.4437186e-10,2.8536529e-06,1.5383471e-12,2.5594524e-08,2.813323e-07,4.1883644e-10,1.3253688e-11,6.5322364e-10,6.8198496e-08,1.3089593e-07,3.117073e-06,1.1978682e-12,0.055901293,0.004547145,0.009158017,0.0007395697,0.04031631,0.117285416,0.0040231026
7.665118e-07,0.007010794,0.30783913,0.44148618,0.030439101,2.069637e-08,0.26932985,0.03657782,3.8344083e-08,0.15040107,6.2028867e-12,0.10904296,1.211923e-07,0.0034017696,0.0827362,0.021299822,0.3212183,9.506463e-12,6.855167e-07,2.113461e-06,2.5893609e-08,0.043993052,0.64378595,3.277823e-08,3.5852956e-13,0.1695427,4.6098247e-12,0.013555714,8.1757457e-16,3.1639236e-11,9.339792e-07,1.2116758e-13,5.338247e-09,7.132765e-08,5.3907333e-11,1.2207175e-12,8.617759e-11,1.5078045e-08,3.1371123e-08,8.60276e-07,8.900947e-14,0.0568747,0.0034202319,0.0069479854,0.00042462363,0.03271832,0.112873144,0.0025074198
2.3458998e-07,0.0051585473,0.30194822,0.43415383,0.028266948,4.375154e-09,0.26436904,0.03703396,7.540667e-09,0.14577435,5.8751707e-13,0.1071106,2.918835e-08,0.002174487,0.08209817,0.02182818,0.31673,9.51477e-13,1.9345008e-07,7.1463757e-07,5.7469927e-09,0.03711489,0.63749707,7.2860398e-09,2.5332685e-14,0.16034685,4.2168723e-13,0.014127273,3.2483267e-17,3.488132e-12,2.806036e-07,7.792965e-15,9.859191e-10,1.6263124e-08,5.9051293e-12,9.303958e-14,9.696027e-12,2.9657488e-09,6.7323573e-09,2.1467497e-07,5.3737206e-15,0.053501476,0.0024607608,0.005167178,0.00023347273,0.026108857,0.108948916,0.0014362363
6.557104e-08,0.0037119568,0.29648313,0.42617536,0.02603213,8.201196e-10,0.25958034,0.037211668,1.3073247e-09,0.14275986,4.6181493e-14,0.103745736,6.299081e-09,0.0013261854,0.081957236,0.0210339,0.31282523,7.9399574e-14,4.9535004e-08,2.2243823e-07,1.1354698e-09,0.03085776,0.63001144,1.4419224e-09,1.448818e-15,0.15144834,3.1918207e-14,0.013422038,9.932764e-19,3.2324e-13,7.688356e-08,4.024129e-16,1.5970965e-10,3.3079333e-09,5.4342896e-13,5.7772166e-15,9.185341e-13,5.142565e-10,1.2826867e-09,4.8097494e-08,2.5905198e-16,0.05230595,0.0016729708,0.0037685127,0.00012249377,0.020468421,0.104337856,0.000742165
1.6622847e-08,0.0026086532,0.28863117,0.4199748,0.02365885,1.3503691e-10,0.25311133,0.035369154,1.9783124e-10,0.1414448,2.9666268e-15,0.100618064,1.2077345e-09,0.00077122933,0.08045214,0.020243654,0.30669996,5.4424654e-15,1.1423884e-08,6.3331576e-08,1.9790185e-10,0.025490563,0.6244475,2.5175956e-10,6.5888086e-17,0.14271176,1.9680518e-15,0.013187799,2.2846026e-20,2.482374e-14,1.9076955e-08,1.6376927e-17,2.2457734e-11,5.948967e-10,4.1420067e-14,2.87294e-16,7.224601e-14,7.783436e-11,2.149502e-10,9.5988275e-09,9.78294e-18,0.051238213,0.0010351106,0.002666699,6.1035906e-05,0.015735004,0.10225472,0.0003414694
3.7932493e-09,0.0017804817,0.28292906,0.41242,0.021289835,1.933154e-11,0.24697237,0.034982033,2.5849526e-11,0.13955382,1.5313765e-16,0.098215476,2.038276e-10,0.00043091498,0.079905115,0.019738417,0.30383968,3.0145196e-16,2.3537126e-09,1.6380927e-08,3.0127907e-11,0.02071293,0.61835766,3.8400772e-11,2.3364655e-18,0.1338052,9.71678e-17,0.013195291,3.8533904e-22,1.5555133e-15,4.2535904e-09,5.1462504e-19,2.7104263e-12,9.3684296e-11,2.5743387e-15,1.122804e-17,4.6460003e-15,1.017227e-11,3.1362888e-11,1.6914259e-09,2.8337652e-19,0.05152685,0.000604798,0.0017955658,2.8736273e-05,0.011838031,0.09957997,0.00014188162
7.728108e-10,0.00117761,0.27755994,0.4066444,0.019146187,2.379407e-12,0.24342021,0.033844423,2.8823044e-12,0.13550259,6.235455e-18,0.09624523,2.9975633e-11,0.00022855285,0.07946272,0.019501735,0.29884714,1.3251631e-17,4.294316e-10,3.820686e-09,3.9633314e-12,0.016743176,0.61327887,5.0621404e-12,6.32248e-20,0.12529756,3.7695402e-18,0.012269192,4.6330495e-24,7.818817e-17,8.4518953e-10,1.2207201e-20,2.7732783e-13,1.2783826e-11,1.2825488e-16,3.3776649e-19,2.4020084e-16,1.1344931e-12,3.9405606e-12,2.6060926e-10,6.1507692e-21,0.048042323,0.00032873804,0.0011812791,1.2792164e-05,0.008722054,0.09548051,5.340089e-05
1.3932533e-10,0.000756566,0.27107793,0.40020126,0.017159354,2.4875327e-13,0.23958533,0.03298967,2.707532e-13,0.13409802,1.9621806e-19,0.09486315,3.799421e-12,0.00011559326,0.0794032,0.018136047,0.29421395,4.5325165e-19,6.8718864e-11,7.971328e-10,4.4527465e-13,0.013225043,0.6081596,5.700056e-13,1.27467e-21,0.11732503,1.1253246e-19,0.011909754,3.8470167e-26,3.0940304e-18,1.4831339e-10,2.1315726e-22,2.3735025e-14,1.4942937e-12,5.026467e-18,7.643192e-21,9.80059e-18,1.065957e-13,4.2124526e-13,3.473812e-11,9.7478444e-23,0.049571894,0.00016878803,0.0007678955,5.3611957e-06,0.0063591097,0.09170641,1.8230841e-05
2.2013317e-11,0.0004700288,0.2667306,0.39318928,0.01502701,2.1796546e-14,0.23502113,0.03321365,2.1127495e-14,0.13345307,4.665276e-21,0.09111458,4.1011503e-13,5.54167e-05,0.07851846,0.01822104,0.2903315,1.1801011e-20,9.544829e-12,1.4747259e-10,4.2180482e-14,0.010452423,0.60188997,5.4127882e-14,1.8644047e-23,0.10918699,2.5262488e-21,0.01216178,2.1288404e-28,9.441594e-20,2.2759385e-11,2.6644323e-24,1.6742941e-15,1.4775757e-13,1.5178132e-19,1.2682112e-22,3.092011e-19,8.32006e-15,3.7812527e-14,3.9596195e-12,1.0958556e-24,0.048314568,8.066036e-05,0.00047072925,2.099337e-06,0.004498902,0.090932384,5.6738522e-06
