stage,lambda,feature,gate_final,gate_mean_window,gate_std_window,active
3,0.002,da_as_total_mw_thirty_minutes_reserve,0.055809,0.060317,0.002206,1
3,0.002,gross_sched_interchange_mw,0.132126,0.140586,0.005426,1
3,0.002,gen_fuel_nuclear_mw,0.391661,0.414625,0.014372,1
3,0.002,gen_fuel_gas_mw,0.894526,0.908581,0.008528,1
3,0.002,da_as_as_req_mw_thirty_minutes_reserve,0.093491,0.098752,0.003802,1
3,0.002,da_as_as_req_mw_primary_reserve,0.094347,0.098837,0.003832,1
3,0.002,da_as_as_req_mw_synchronized_reserve,0.001869,0.001425,0.000855,0
3,0.002,total_pjm_assigned_reg,0.046913,0.046057,0.001874,1
3,0.002,da_as_as_mw_primary_reserve,0.072777,0.075571,0.002913,1
3,0.002,da_as_total_mw_primary_reserve,5.6e-05,0.000975,0.000791,0
3,0.002,da_as_as_mw_synchronized_reserve,0.000873,0.001391,0.000727,0
3,0.002,total_pjm_reg_purchases,0.049443,0.051878,0.002955,1
3,0.002,gen_fuel_other_renewables_mw,0.122024,0.127878,0.004099,1
3,0.002,total_lmp_da,0.001746,0.000994,0.000753,0
3,0.002,total_pjm_rmpcp_cr,0.029039,0.03153,0.00143,1
3,0.002,forecast_load_mw_day_ahead,0.001,0.000695,0.000438,0
3,0.002,total_pjm_rmccp_cr,9e-06,0.001691,0.001863,0
3,0.002,gen_fuel_wind_mw,0.286957,0.300305,0.008377,1
3,0.002,da_as_total_mw_synchronized_reserve,0.088581,0.09517,0.00378,1
3,0.002,system_energy_price_da,0.069198,0.07317,0.003081,1
3,0.002,gen_fuel_multiple_fuels_pct,0.033226,0.034487,0.002049,1
3,0.002,gen_fuel_multiple_fuels_mw,0.122261,0.13225,0.005976,1
3,0.002,marginal_loss_price_rt,0.041454,0.044088,0.001565,1
3,0.002,gen_fuel_gas_pct,0.093632,0.110082,0.011855,1
3,0.002,marginal_loss_price_da,0.055056,0.056732,0.002036,1
3,0.002,total_lmp_rt,0.000725,0.001018,0.001108,0
3,0.002,rmccp,0.033571,0.032913,0.002252,1
3,0.002,system_energy_price_rt,0.032977,0.035509,0.00158,1
3,0.002,rmpcp,0.032803,0.034946,0.002204,1
3,0.002,gen_fuel_wind_pct,0.001223,0.00099,0.000514,0
3,0.002,gen_fuel_coal_mw,0.747968,0.766586,0.011235,1
3,0.002,wind_generation_mw,0.032385,0.04737,0.009789,1
3,0.002,gross_inadv_interchange_mw,0.099696,0.105228,0.004686,1
3,0.002,gen_fuel_oil_mw,0.149789,0.160205,0.006915,1
3,0.002,da_as_mcp_primary_reserve,0.000617,0.002136,0.001872,0
3,0.002,total_pjm_rt_load_mwh,0.745995,0.767684,0.01331,1
3,0.002,metered_load_mw,0.647491,0.667551,0.012475,1
3,0.002,forecast_load_mw_latest_available,0.000672,0.000849,0.000723,0
3,0.002,prelim_load_avg_hourly,0.833308,0.846927,0.008506,1
3,0.002,gross_actual_interchange_mw,0.07427,0.080135,0.003024,1
3,0.002,gen_fuel_hydro_mw,0.360326,0.382594,0.013985,1
3,0.002,total_pjm_loc_credit,0.028591,0.028282,0.001418,1
3,0.002,total_losses,0.148334,0.158424,0.00654,1
3,0.002,net_inadv_interchange_mw,0.032799,0.033916,0.002447,1
3,0.002,da_as_nsr_mw_primary_reserve,0.001476,0.001432,0.000959,0
3,0.002,total_pjm_self_sched_reg,0.051427,0.055847,0.002582,1
3,0.002,da_as_ss_mw_synchronized_reserve,0.022339,0.025914,0.001619,1
3,0.002,da_as_ss_mw_thirty_minutes_reserve,0.024089,0.02797,0.002128,1
3,0.002,da_as_ss_mw_primary_reserve,0.049062,0.054187,0.002327,1
3,0.002,gen_fuel_solar_mw,0.505421,0.530099,0.01509,1
3,0.002,gen_fuel_coal_pct,0.096678,0.111781,0.010507,1
3,0.002,congestion_price_rt,0.033976,0.037704,0.002225,1
3,0.002,da_as_mcp_synchronized_reserve,0.034093,0.037085,0.002299,1
3,0.002,congestion_price_da,0.07,0.07225,0.003396,1
4,0.004,da_as_as_mw_thirty_minutes_reserve,0.031342,0.032725,0.001476,1
4,0.004,da_as_total_mw_thirty_minutes_reserve,0.025288,0.025865,0.001228,1
4,0.004,gross_sched_interchange_mw,0.063998,0.067611,0.002443,1
4,0.004,gen_fuel_nuclear_mw,0.179704,0.194301,0.009294,1
4,0.004,gen_fuel_gas_mw,0.699716,0.720257,0.012829,1
4,0.004,da_as_as_req_mw_thirty_minutes_reserve,0.044147,0.046543,0.001996,1
4,0.004,da_as_as_req_mw_primary_reserve,0.045652,0.047298,0.001402,1
4,0.004,da_as_as_req_mw_synchronized_reserve,0.000656,0.000816,0.000697,0
4,0.004,total_pjm_assigned_reg,0.022138,0.022418,0.001281,1
4,0.004,da_as_as_mw_primary_reserve,0.033991,0.035445,0.001533,1
4,0.004,da_as_total_mw_primary_reserve,0.001882,0.00086,0.000483,0
4,0.004,da_as_as_mw_synchronized_reserve,0.001652,0.00149,0.001075,0
4,0.004,total_pjm_reg_purchases,0.024577,0.023842,0.001069,1
4,0.004,gen_fuel_other_renewables_mw,0.058377,0.063285,0.002348,1
4,0.004,total_lmp_da,0.002127,0.000908,0.000518,0
4,0.004,total_pjm_rmpcp_cr,0.013161,0.015232,0.001169,0
4,0.004,forecast_load_mw_day_ahead,5.9e-05,0.000738,0.000582,0
4,0.004,total_pjm_rmccp_cr,8.7e-05,0.001128,0.001074,0
4,0.004,gen_fuel_wind_mw,0.142843,0.153161,0.006597,1
4,0.004,da_as_total_mw_synchronized_reserve,0.042342,0.046312,0.001908,1
4,0.004,system_energy_price_da,0.031059,0.032988,0.001719,1
4,0.004,gen_fuel_multiple_fuels_pct,0.016264,0.01737,0.001,0
4,0.004,gen_fuel_multiple_fuels_mw,0.056252,0.058864,0.002334,1
4,0.004,marginal_loss_price_rt,0.017691,0.020701,0.00119,1
4,0.004,gen_fuel_gas_pct,0.000434,0.001005,0.000819,0
4,0.004,marginal_loss_price_da,0.024643,0.02757,0.002011,1
4,0.004,total_lmp_rt,0.000304,0.001178,0.000851,0
4,0.004,rmccp,0.01365,0.016264,0.001594,0
4,0.004,system_energy_price_rt,0.01516,0.015621,0.001089,0
4,0.004,rmpcp,0.015414,0.01641,0.001028,0
4,0.004,gen_fuel_wind_pct,0.000408,0.000884,0.000819,0
4,0.004,gen_fuel_coal_mw,0.516894,0.540653,0.014555,1
4,0.004,wind_generation_mw,0.000258,0.000918,0.000796,0
4,0.004,gross_inadv_interchange_mw,0.043559,0.048199,0.002141,1
4,0.004,gen_fuel_oil_mw,0.064814,0.068807,0.003053,1
4,0.004,da_as_mcp_primary_reserve,0.002952,0.001463,0.001182,0
4,0.004,total_pjm_rt_load_mwh,0.442539,0.474942,0.020049,1
4,0.004,metered_load_mw,0.38114,0.40884,0.016964,1
4,0.004,forecast_load_mw_latest_available,0.000526,0.000787,0.00065,0
4,0.004,prelim_load_avg_hourly,0.657423,0.674807,0.010679,1
4,0.004,gross_actual_interchange_mw,0.035955,0.039375,0.00206,1
4,0.004,gen_fuel_hydro_mw,0.164091,0.176384,0.008377,1
4,0.004,total_pjm_loc_credit,0.012493,0.013606,0.001216,0
4,0.004,total_losses,0.066937,0.072407,0.002896,1
4,0.004,net_inadv_interchange_mw,0.016614,0.017752,0.001861,0
4,0.004,da_as_nsr_mw_primary_reserve,0.002769,0.001573,0.001267,0
4,0.004,total_pjm_self_sched_reg,0.025835,0.027156,0.00115,1
4,0.004,da_as_ss_mw_synchronized_reserve,0.010462,0.009141,0.000971,0
4,0.004,da_as_ss_mw_thirty_minutes_reserve,0.009094,0.009158,0.001149,0
4,0.004,da_as_ss_mw_primary_reserve,0.031663,0.032144,0.001178,1
4,0.004,gen_fuel_solar_mw,0.251906,0.272101,0.012329,1
4,0.004,gen_fuel_coal_pct,0.000238,0.000864,0.000589,0
4,0.004,congestion_price_rt,0.015995,0.017754,0.001176,0
4,0.004,da_as_mcp_synchronized_reserve,0.016715,0.018648,0.001085,0
4,0.004,congestion_price_da,0.034673,0.037716,0.001713,1
5,0.008,da_as_as_mw_thirty_minutes_reserve,0.01513,0.016471,0.000916,0
5,0.008,da_as_total_mw_thirty_minutes_reserve,0.009953,0.01127,0.000877,0
5,0.008,gross_sched_interchange_mw,0.028968,0.03061,0.000981,1
5,0.008,gen_fuel_nuclear_mw,0.071873,0.076978,0.00382,1
5,0.008,gen_fuel_gas_mw,0.450622,0.474436,0.014502,1
5,0.008,da_as_as_req_mw_thirty_minutes_reserve,0.020292,0.021708,0.001143,1
5,0.008,da_as_as_req_mw_primary_reserve,0.020056,0.021731,0.001324,1
5,0.008,da_as_as_req_mw_synchronized_reserve,9.2e-05,0.000665,0.000469,0
5,0.008,total_pjm_assigned_reg,0.008884,0.010722,0.001282,0
5,0.008,da_as_as_mw_primary_reserve,0.016137,0.016865,0.000758,0
5,0.008,da_as_total_mw_primary_reserve,0.002374,0.000692,0.000516,0
5,0.008,da_as_as_mw_synchronized_reserve,0.000819,0.000719,0.000544,0
5,0.008,total_pjm_reg_purchases,0.010499,0.010811,0.001014,0
5,0.008,gen_fuel_other_renewables_mw,0.02839,0.029673,0.001119,1
5,0.008,total_lmp_da,0.000178,0.000353,0.000352,0
5,0.008,total_pjm_rmpcp_cr,0.006877,0.007273,0.000904,0
5,0.008,forecast_load_mw_day_ahead,0.000804,0.000467,0.000404,0
5,0.008,total_pjm_rmccp_cr,3.3e-05,0.000854,0.00058,0
5,0.008,gen_fuel_wind_mw,0.059502,0.064571,0.003095,1
5,0.008,da_as_total_mw_synchronized_reserve,0.020153,0.021826,0.00119,1
5,0.008,system_energy_price_da,0.014867,0.014758,0.001049,0
5,0.008,gen_fuel_multiple_fuels_pct,0.008144,0.008903,0.000708,0
5,0.008,gen_fuel_multiple_fuels_mw,0.023758,0.02558,0.001323,1
5,0.008,marginal_loss_price_rt,0.008325,0.009573,0.000925,0
5,0.008,gen_fuel_gas_pct,0.000177,0.000769,0.000675,0
5,0.008,marginal_loss_price_da,0.00868,0.012715,0.001424,0
5,0.008,total_lmp_rt,0.000269,0.000786,0.000763,0
5,0.008,rmccp,0.006235,0.007624,0.001128,0
5,0.008,system_energy_price_rt,0.008062,0.007169,0.000548,0
5,0.008,rmpcp,0.008922,0.007529,0.000813,0
5,0.008,gen_fuel_wind_pct,0.000194,0.000769,0.000859,0
5,0.008,gen_fuel_coal_mw,0.265027,0.285412,0.012723,1
5,0.008,wind_generation_mw,0.000112,0.000384,0.000546,0
5,0.008,gross_inadv_interchange_mw,0.020615,0.022387,0.001163,1
5,0.008,gen_fuel_oil_mw,0.028092,0.030537,0.001389,1
5,0.008,da_as_mcp_primary_reserve,0.001107,0.000881,0.000651,0
5,0.008,total_pjm_rt_load_mwh,0.094797,0.122919,0.017511,1
5,0.008,metered_load_mw,0.097093,0.121029,0.014575,1
5,0.008,forecast_load_mw_latest_available,0.000891,0.000806,0.000589,0
5,0.008,prelim_load_avg_hourly,0.470685,0.486947,0.009831,1
5,0.008,gross_actual_interchange_mw,0.018391,0.019351,0.000984,0
5,0.008,gen_fuel_hydro_mw,0.064977,0.071083,0.00351,1
5,0.008,total_pjm_loc_credit,0.007122,0.006669,0.001287,0
5,0.008,total_losses,0.029747,0.03263,0.001424,1
5,0.008,net_inadv_interchange_mw,0.00826,0.008439,0.000989,0
5,0.008,da_as_nsr_mw_primary_reserve,0.000506,0.000827,0.000711,0
5,0.008,total_pjm_self_sched_reg,0.012407,0.01264,0.001116,0
5,0.008,da_as_ss_mw_synchronized_reserve,0.000453,0.001649,0.000788,0
5,0.008,da_as_ss_mw_thirty_minutes_reserve,0.00015,0.001085,0.000749,0
5,0.008,da_as_ss_mw_primary_reserve,0.019103,0.020253,0.000931,1
5,0.008,gen_fuel_solar_mw,0.097863,0.10617,0.005584,1
5,0.008,gen_fuel_coal_pct,0.000494,0.000741,0.000693,0
5,0.008,congestion_price_rt,0.006618,0.008088,0.001017,0
5,0.008,da_as_mcp_synchronized_reserve,0.007274,0.009065,0.00095,0
5,0.008,congestion_price_da,0.017877,0.018142,0.001264,0
6,0.016,da_as_as_mw_thirty_minutes_reserve,0.009032,0.009495,0.000503,0
6,0.016,da_as_total_mw_thirty_minutes_reserve,0.004992,0.004874,0.000723,0
6,0.016,gross_sched_interchange_mw,0.013684,0.015262,0.000744,0
6,0.016,gen_fuel_nuclear_mw,0.031611,0.033744,0.001132,1
6,0.016,gen_fuel_gas_mw,0.225797,0.242621,0.010709,1
6,0.016,da_as_as_req_mw_thirty_minutes_reserve,0.01017,0.01083,0.000727,0
6,0.016,da_as_as_req_mw_primary_reserve,0.010653,0.01098,0.000727,0
6,0.016,da_as_as_req_mw_synchronized_reserve,0.000234,0.000522,0.000397,0
6,0.016,total_pjm_assigned_reg,0.005015,0.005649,0.000674,0
6,0.016,da_as_as_mw_primary_reserve,0.008785,0.008603,0.000563,0
6,0.016,da_as_total_mw_primary_reserve,0.000658,0.000604,0.000642,0
6,0.016,da_as_as_mw_synchronized_reserve,0.000648,0.000706,0.000607,0
6,0.016,total_pjm_reg_purchases,0.00677,0.005422,0.000488,0
6,0.016,gen_fuel_other_renewables_mw,0.015062,0.015255,0.000563,0
6,0.016,total_lmp_da,0.001522,0.000404,0.000331,0
6,0.016,total_pjm_rmpcp_cr,0.002788,0.004301,0.000702,0
6,0.016,forecast_load_mw_day_ahead,0.001244,0.000649,0.000413,0
6,0.016,total_pjm_rmccp_cr,1.7e-05,0.000532,0.000619,0
6,0.016,gen_fuel_wind_mw,0.027728,0.029431,0.001019,1
6,0.016,da_as_total_mw_synchronized_reserve,0.011659,0.011288,0.000437,0
6,0.016,system_energy_price_da,0.007641,0.007833,0.000615,0
6,0.016,gen_fuel_multiple_fuels_pct,0.004414,0.00453,0.000543,0
6,0.016,gen_fuel_multiple_fuels_mw,0.013036,0.013036,0.000656,0
6,0.016,marginal_loss_price_rt,0.004562,0.004939,0.000879,0
6,0.016,gen_fuel_gas_pct,2.6e-05,0.000546,0.000462,0
6,0.016,marginal_loss_price_da,0.00633,0.006958,0.000601,0
6,0.016,total_lmp_rt,0.000427,0.000333,0.000328,0
6,0.016,rmccp,0.005495,0.004455,0.000804,0
6,0.016,system_energy_price_rt,0.003747,0.003821,0.000447,0
6,0.016,rmpcp,0.005144,0.003845,0.000769,0
6,0.016,gen_fuel_wind_pct,0.000203,0.000556,0.000551,0
6,0.016,gen_fuel_coal_mw,0.110205,0.118566,0.00563,1
6,0.016,wind_generation_mw,0.000101,0.000408,0.000394,0
6,0.016,gross_inadv_interchange_mw,0.01057,0.011194,0.00062,0
6,0.016,gen_fuel_oil_mw,0.014089,0.015216,0.00056,0
6,0.016,da_as_mcp_primary_reserve,0.001168,0.000866,0.000947,0
6,0.016,total_pjm_rt_load_mwh,0.000222,0.000238,0.000173,0
6,0.016,metered_load_mw,0.000291,0.000214,0.000149,0
6,0.016,forecast_load_mw_latest_available,0.000687,0.000499,0.000422,0
6,0.016,prelim_load_avg_hourly,0.299253,0.314058,0.009641,1
6,0.016,gross_actual_interchange_mw,0.009753,0.009807,0.000619,0
6,0.016,gen_fuel_hydro_mw,0.030168,0.031801,0.001184,1
6,0.016,total_pjm_loc_credit,0.001979,0.003277,0.000821,0
6,0.016,total_losses,0.016292,0.016648,0.000567,0
6,0.016,net_inadv_interchange_mw,0.00438,0.004621,0.000766,0
6,0.016,da_as_nsr_mw_primary_reserve,0.001167,0.000649,0.000513,0
6,0.016,total_pjm_self_sched_reg,0.006808,0.006412,0.000717,0
6,0.016,da_as_ss_mw_synchronized_reserve,8.9e-05,0.000671,0.000632,0
6,0.016,da_as_ss_mw_thirty_minutes_reserve,0.000207,0.000526,0.000488,0
6,0.016,da_as_ss_mw_primary_reserve,0.011693,0.011608,0.000563,0
6,0.016,gen_fuel_solar_mw,0.040842,0.043234,0.001691,1
6,0.016,gen_fuel_coal_pct,0.001143,0.000757,0.000793,0
6,0.016,congestion_price_rt,0.004759,0.004394,0.000807,0
6,0.016,da_as_mcp_synchronized_reserve,0.003878,0.005111,0.000634,0
6,0.016,congestion_price_da,0.009185,0.009692,0.000863,0
7,0.032,da_as_as_mw_thirty_minutes_reserve,0.006965,0.006941,0.000437,0
7,0.032,da_as_total_mw_thirty_minutes_reserve,0.000409,0.001126,0.000582,0
7,0.032,gross_sched_interchange_mw,0.008349,0.008816,0.000382,0
7,0.032,gen_fuel_nuclear_mw,0.016283,0.01707,0.000527,0
7,0.032,gen_fuel_gas_mw,0.091064,0.098493,0.0046,1
7,0.032,da_as_as_req_mw_thirty_minutes_reserve,0.006012,0.005966,0.000404,0
7,0.032,da_as_as_req_mw_primary_reserve,0.005953,0.005972,0.000531,0
7,0.032,da_as_as_req_mw_synchronized_reserve,8.9e-05,0.000291,0.000221,0
7,0.032,total_pjm_assigned_reg,0.002883,0.003369,0.000504,0
7,0.032,da_as_as_mw_primary_reserve,0.004974,0.005023,0.000464,0
7,0.032,da_as_total_mw_primary_reserve,0.000303,0.000453,0.000425,0
7,0.032,da_as_as_mw_synchronized_reserve,0.000133,0.000393,0.000406,0
7,0.032,total_pjm_reg_purchases,0.001728,0.002867,0.000732,0
7,0.032,gen_fuel_other_renewables_mw,0.00746,0.008344,0.000686,0
7,0.032,total_lmp_da,0.000149,0.000427,0.000303,0
7,0.032,total_pjm_rmpcp_cr,0.002844,0.002476,0.000766,0
7,0.032,forecast_load_mw_day_ahead,0.000199,0.000572,0.000494,0
7,0.032,total_pjm_rmccp_cr,0.001416,0.000577,0.000466,0
7,0.032,gen_fuel_wind_mw,0.014151,0.015242,0.000412,0
7,0.032,da_as_total_mw_synchronized_reserve,0.006548,0.006642,0.000342,0
7,0.032,system_energy_price_da,0.00429,0.004377,0.000576,0
7,0.032,gen_fuel_multiple_fuels_pct,0.00175,0.002409,0.000611,0
7,0.032,gen_fuel_multiple_fuels_mw,0.007566,0.008001,0.000488,0
7,0.032,marginal_loss_price_rt,0.002094,0.002565,0.000739,0
7,0.032,gen_fuel_gas_pct,0.000254,0.000395,0.000413,0
7,0.032,marginal_loss_price_da,0.003307,0.003808,0.000732,0
7,0.032,total_lmp_rt,0.000853,0.000461,0.000528,0
7,0.032,rmccp,0.003228,0.00248,0.00076,0
7,0.032,system_energy_price_rt,0.002396,0.002346,0.000587,0
7,0.032,rmpcp,0.002457,0.002084,0.000714,0
7,0.032,gen_fuel_wind_pct,0.000332,0.000426,0.000292,0
7,0.032,gen_fuel_coal_mw,0.045968,0.049305,0.001907,1
7,0.032,wind_generation_mw,0.000555,0.000481,0.000417,0
7,0.032,gross_inadv_interchange_mw,0.006657,0.006659,0.000486,0
7,0.032,gen_fuel_oil_mw,0.007963,0.008591,0.000433,0
7,0.032,da_as_mcp_primary_reserve,0.00057,0.000619,0.000483,0
7,0.032,total_pjm_rt_load_mwh,0.000213,0.000507,0.000522,0
7,0.032,metered_load_mw,0.000434,0.000386,0.000462,0
7,0.032,forecast_load_mw_latest_available,0.000706,0.000438,0.00036,0
7,0.032,prelim_load_avg_hourly,0.147597,0.157553,0.006238,1
7,0.032,gross_actual_interchange_mw,0.004054,0.005665,0.000711,0
7,0.032,gen_fuel_hydro_mw,0.015322,0.016168,0.000428,0
7,0.032,total_pjm_loc_credit,0.00382,0.002077,0.000786,0
7,0.032,total_losses,0.009501,0.009426,0.000443,0
7,0.032,net_inadv_interchange_mw,0.002854,0.002464,0.000538,0
7,0.032,da_as_nsr_mw_primary_reserve,0.00097,0.000491,0.000391,0
