epoch,feature_index,feature,gamma_index,gamma
2,19,gen_fuel_wind_mw,2,0.97510105
2,20,da_as_total_mw_synchronized_reserve,1,1.0196329
2,20,da_as_total_mw_synchronized_reserve,2,1.0196329
2,21,system_energy_price_da,1,1.0603806
2,21,system_energy_price_da,2,1.0603806
2,22,gen_fuel_multiple_fuels_pct,1,1.0015683
2,22,gen_fuel_multiple_fuels_pct,2,1.0015683
2,23,gen_fuel_multiple_fuels_mw,1,0.97264504
2,23,gen_fuel_multiple_fuels_mw,2,0.97264504
2,24,marginal_loss_price_rt,1,0.9698349
2,24,marginal_loss_price_rt,2,0.9698349
2,25,gen_fuel_gas_pct,1,0.9114162
2,25,gen_fuel_gas_pct,2,0.9114162
2,26,marginal_loss_price_da,1,1.0084486
2,26,marginal_loss_price_da,2,1.0084486
2,27,total_lmp_rt,1,0.9631752
2,27,total_lmp_rt,2,0.9631752
2,28,rmccp,1,0.95333785
2,28,rmccp,2,0.95333785
2,29,system_energy_price_rt,1,0.96311045
2,29,system_energy_price_rt,2,0.96311045
2,30,rmpcp,1,0.978008
2,30,rmpcp,2,0.978008
2,31,gen_fuel_wind_pct,1,0.9991883
2,31,gen_fuel_wind_pct,2,0.9991883
2,32,gen_fuel_coal_mw,1,1.0192367
2,32,gen_fuel_coal_mw,2,1.0192367
2,33,wind_generation_mw,1,1.0026428
2,33,wind_generation_mw,2,1.0026428
2,34,gross_inadv_interchange_mw,1,0.99650127
2,34,gross_inadv_interchange_mw,2,0.99650127
2,35,gen_fuel_oil_mw,1,0.9427966
2,35,gen_fuel_oil_mw,2,0.9427966
2,36,da_as_mcp_primary_reserve,1,0.97431636
2,36,da_as_mcp_primary_reserve,2,0.97431636
2,37,total_pjm_rt_load_mwh,1,1.0013304
2,37,total_pjm_rt_load_mwh,2,1.0013304
2,38,metered_load_mw,1,1.001808
2,38,metered_load_mw,2,1.001808
2,39,forecast_load_mw_latest_available,1,0.9758433
2,39,forecast_load_mw_latest_available,2,0.9758433
2,40,prelim_load_avg_hourly,1,1.011952
2,40,prelim_load_avg_hourly,2,1.011952
2,41,gross_actual_interchange_mw,1,0.95376855
2,41,gross_actual_interchange_mw,2,0.95376855
2,42,gen_fuel_hydro_mw,1,0.9554222
2,42,gen_fuel_hydro_mw,2,0.9554222
2,43,total_pjm_loc_credit,1,0.94023865
2,43,total_pjm_loc_credit,2,0.94023865
2,44,total_losses,1,1.0622269
2,44,total_losses,2,1.0622269
2,45,net_inadv_interchange_mw,1,0.95065165
2,45,net_inadv_interchange_mw,2,0.95065165
2,46,da_as_nsr_mw_primary_reserve,1,0.9752487
2,46,da_as_nsr_mw_primary_reserve,2,0.9752487
