目标,种子,字段,贡献值
215号母线电压相角,44,reserve_spin_r2_mw,-0.010230274823416092
215号母线电压相角,44,reserve_spin_r3_mw,0.013699572173657625
215号母线电压相角,44,gen_fuel_coal_mw,0.02130381964267017
215号母线电压相角,44,gen_fuel_natural_gas_mw,0.028392308179188856
215号母线电压相角,44,gen_fuel_nuclear_mw,0.03788783489989665
215号母线电压相角,44,gen_fuel_hydro_mw,0.00857404736447744
215号母线电压相角,44,gen_fuel_wind_mw,0.07309145045478228
215号母线电压相角,44,gen_fuel_solar_mw,0.04169589052888911
215号母线电压相角,44,area_1_fuel_coal_mw,0.05143189849883555
215号母线电压相角,44,area_1_fuel_natural_gas_mw,0.01554337464740959
215号母线电压相角,44,area_1_fuel_nuclear_mw,0.02976083736457416
215号母线电压相角,44,area_1_fuel_hydro_mw,0.006201470796436239
215号母线电压相角,44,area_1_fuel_wind_mw,0.08846478792967394
215号母线电压相角,44,area_1_fuel_solar_mw,0.050278993445753546
215号母线电压相角,44,area_1_generation_mw,0.00979772181725032
215号母线电压相角,44,area_2_fuel_coal_mw,0.004098183724757773
215号母线电压相角,44,area_2_fuel_natural_gas_mw,0.03134911384134715
215号母线电压相角,44,area_2_fuel_hydro_mw,0.016982617730945837
215号母线电压相角,44,area_2_fuel_solar_mw,0.03624023880845912
215号母线电压相角,44,area_2_generation_mw,0.011099996646050318
215号母线电压相角,44,area_3_fuel_coal_mw,-0.012158705802609368
215号母线电压相角,44,area_3_fuel_natural_gas_mw,0.0037260081244111544
215号母线电压相角,44,area_3_fuel_hydro_mw,0.0010146021119387255
215号母线电压相角,44,area_3_fuel_wind_mw,0.05538976764060935
215号母线电压相角,44,area_3_fuel_solar_mw,0.06565238691884503
215号母线电压相角,44,area_3_generation_mw,-0.001113887734529903
215号母线电压相角,44,hour_of_day,0.031183295042054554
215号母线电压相角,44,day_of_week,0.011442872081905862
215号母线电压相角,44,month_of_year,-0.07512794752004143
215号母线电压相角,44,is_weekend,-0.007022542333579284
AB1联络线负载率,42,area_1_load_actual_mw,0.08107597980512982
AB1联络线负载率,42,area_2_load_actual_mw,0.04072585934881658
AB1联络线负载率,42,area_3_load_actual_mw,0.015970812378743718
AB1联络线负载率,42,system_load_actual_mw,0.03745179296449881
AB1联络线负载率,42,area_1_load_day_ahead_mw,0.06935565636367376
AB1联络线负载率,42,area_2_load_day_ahead_mw,0.028967580992820423
AB1联络线负载率,42,area_3_load_day_ahead_mw,-0.0032931127438622777
AB1联络线负载率,42,system_load_day_ahead_mw,0.046959350068566566
AB1联络线负载率,42,system_generation_mw,0.04100966798484625
AB1联络线负载率,42,system_losses_mw,0.08477261054080902
AB1联络线负载率,42,area_1_net_export_mw,0.061255299056687085
AB1联络线负载率,42,area_2_net_export_mw,0.05895862590782943
AB1联络线负载率,42,area_3_net_export_mw,0.0027147404617961987
AB1联络线负载率,42,reserve_reg_up_mw,0.03436498075663406
AB1联络线负载率,42,reserve_reg_down_mw,0.02243405458576675
AB1联络线负载率,42,reserve_spin_r1_mw,0.06895226100526053
AB1联络线负载率,42,reserve_spin_r2_mw,0.026041288646349945
AB1联络线负载率,42,reserve_spin_r3_mw,-0.02100514696149019
AB1联络线负载率,42,gen_fuel_coal_mw,0.085269554064584
AB1联络线负载率,42,gen_fuel_natural_gas_mw,-0.017778823222116304
AB1联络线负载率,42,gen_fuel_nuclear_mw,0.021933488863018817
AB1联络线负载率,42,gen_fuel_hydro_mw,0.01660796770807262
AB1联络线负载率,42,gen_fuel_wind_mw,0.049617261643491166
AB1联络线负载率,42,gen_fuel_solar_mw,0.0018366906673650428
AB1联络线负载率,42,area_1_fuel_coal_mw,0.14116863664114324
AB1联络线负载率,42,area_1_fuel_natural_gas_mw,0.007787283727215209
AB1联络线负载率,42,area_1_fuel_nuclear_mw,0.015537623854680311
AB1联络线负载率,42,area_1_fuel_hydro_mw,0.02905351865853063
AB1联络线负载率,42,area_1_fuel_wind_mw,0.0941924805419553
AB1联络线负载率,42,area_1_fuel_solar_mw,0.015784075613932476
AB1联络线负载率,42,area_1_generation_mw,0.0738872794907175
AB1联络线负载率,42,area_2_fuel_coal_mw,0.044580439333790606
AB1联络线负载率,42,area_2_fuel_natural_gas_mw,0.04498588687859769
AB1联络线负载率,42,area_2_fuel_hydro_mw,0.026095261726505652
AB1联络线负载率,42,area_2_fuel_solar_mw,-0.0038116286792351686
AB1联络线负载率,42,area_2_generation_mw,0.04829585924534938
AB1联络线负载率,42,area_3_fuel_coal_mw,0.003239643270332485
AB1联络线负载率,42,area_3_fuel_natural_gas_mw,0.01855765732845162
AB1联络线负载率,42,area_3_fuel_hydro_mw,0.0037535061823848253
AB1联络线负载率,42,area_3_fuel_wind_mw,0.04067956216529827
AB1联络线负载率,42,area_3_fuel_solar_mw,-0.00893310246149319
AB1联络线负载率,42,area_3_generation_mw,-0.007031079651445397
AB1联络线负载率,42,hour_of_day,0.0029614233116899195
AB1联络线负载率,42,day_of_week,0.007351207403930582
AB1联络线负载率,42,month_of_year,-0.312951701899043
AB1联络线负载率,42,is_weekend,0.010421975186669704
AB1联络线负载率,43,area_1_load_actual_mw,0.05373308863754612
AB1联络线负载率,43,area_2_load_actual_mw,0.0380336380408115
AB1联络线负载率,43,area_3_load_actual_mw,0.003517160246720813
AB1联络线负载率,43,system_load_actual_mw,0.019604645110809428
AB1联络线负载率,43,area_1_load_day_ahead_mw,0.06299291895504647
AB1联络线负载率,43,area_2_load_day_ahead_mw,0.033987973114654756
AB1联络线负载率,43,area_3_load_day_ahead_mw,0.017301735901691154
AB1联络线负载率,43,system_load_day_ahead_mw,0.01428322910637935
AB1联络线负载率,43,system_generation_mw,0.02814327165188404
AB1联络线负载率,43,system_losses_mw,0.09053257688530326
AB1联络线负载率,43,area_1_net_export_mw,0.027145569946869334
AB1联络线负载率,43,area_2_net_export_mw,0.04474002069701185
AB1联络线负载率,43,area_3_net_export_mw,0.0018303604333583957
AB1联络线负载率,43,reserve_reg_up_mw,0.035750512876875605
AB1联络线负载率,43,reserve_reg_down_mw,0.03349071748797402
AB1联络线负载率,43,reserve_spin_r1_mw,0.06960850408644978
AB1联络线负载率,43,reserve_spin_r2_mw,0.02940440851851153
AB1联络线负载率,43,reserve_spin_r3_mw,0.0008729576878934346
AB1联络线负载率,43,gen_fuel_coal_mw,0.08822968686836016
AB1联络线负载率,43,gen_fuel_natural_gas_mw,-0.02193199598714133
AB1联络线负载率,43,gen_fuel_nuclear_mw,0.015692939132971775
AB1联络线负载率,43,gen_fuel_hydro_mw,0.030305054951121693
AB1联络线负载率,43,gen_fuel_wind_mw,0.0508835163611258
AB1联络线负载率,43,gen_fuel_solar_mw,0.03598468092280268
AB1联络线负载率,43,area_1_fuel_coal_mw,0.09665425460536634
AB1联络线负载率,43,area_1_fuel_natural_gas_mw,0.027517878863351188
AB1联络线负载率,43,area_1_fuel_nuclear_mw,0.033986357576180855
AB1联络线负载率,43,area_1_fuel_hydro_mw,0.04633862931752226
AB1联络线负载率,43,area_1_fuel_wind_mw,0.09265807235909454
AB1联络线负载率,43,area_1_fuel_solar_mw,0.012682193695421397
AB1联络线负载率,43,area_1_generation_mw,0.08188856450741856
AB1联络线负载率,43,area_2_fuel_coal_mw,0.05100401937405476
AB1联络线负载率,43,area_2_fuel_natural_gas_mw,0.009856784517549531
AB1联络线负载率,43,area_2_fuel_hydro_mw,0.02153972524938718
AB1联络线负载率,43,area_2_fuel_solar_mw,0.007613003388932007
AB1联络线负载率,43,area_2_generation_mw,0.024240654814411927
AB1联络线负载率,43,area_3_fuel_coal_mw,0.019531931131576193
AB1联络线负载率,43,area_3_fuel_natural_gas_mw,-0.009189025485399006
AB1联络线负载率,43,area_3_fuel_hydro_mw,-0.014035178048395516
AB1联络线负载率,43,area_3_fuel_wind_mw,0.015426481753564708
AB1联络线负载率,43,area_3_fuel_solar_mw,0.02846062106687447
AB1联络线负载率,43,area_3_generation_mw,0.0006518661164394667
AB1联络线负载率,43,hour_of_day,0.001328743557041069
AB1联络线负载率,43,day_of_week,-0.006681724269103237
AB1联络线负载率,43,month_of_year,-0.14149406363336245
AB1联络线负载率,43,is_weekend,0.0029281279638530013
AB1联络线负载率,44,area_1_load_actual_mw,0.07262378773538737
AB1联络线负载率,44,area_2_load_actual_mw,0.035850178915632386
AB1联络线负载率,44,area_3_load_actual_mw,0.012029677874766732
AB1联络线负载率,44,system_load_actual_mw,0.02046228242295906
AB1联络线负载率,44,area_1_load_day_ahead_mw,0.06796757769506082
AB1联络线负载率,44,area_2_load_day_ahead_mw,0.045246281664601096
AB1联络线负载率,44,area_3_load_day_ahead_mw,-0.01818558349976683
AB1联络线负载率,44,system_load_day_ahead_mw,0.033837963790097875
AB1联络线负载率,44,system_generation_mw,0.034773775829620844
AB1联络线负载率,44,system_losses_mw,0.07424420111999959
AB1联络线负载率,44,area_1_net_export_mw,0.038531180914880316
AB1联络线负载率,44,area_2_net_export_mw,0.03404742687731129
AB1联络线负载率,44,area_3_net_export_mw,0.02852771040569143
AB1联络线负载率,44,reserve_reg_up_mw,0.03437444805788649
AB1联络线负载率,44,reserve_reg_down_mw,0.05056670015969583
AB1联络线负载率,44,reserve_spin_r1_mw,0.08076820555853104
AB1联络线负载率,44,reserve_spin_r2_mw,0.011818042180960012
AB1联络线负载率,44,reserve_spin_r3_mw,0.016964075494174266
AB1联络线负载率,44,gen_fuel_coal_mw,0.0827373075125528
AB1联络线负载率,44,gen_fuel_natural_gas_mw,0.018989552657819778
AB1联络线负载率,44,gen_fuel_nuclear_mw,0.05844142177802354
AB1联络线负载率,44,gen_fuel_hydro_mw,0.014369057033661042
AB1联络线负载率,44,gen_fuel_wind_mw,0.04691741953925668
AB1联络线负载率,44,gen_fuel_solar_mw,0.005585606830550492
AB1联络线负载率,44,area_1_fuel_coal_mw,0.1351668819989984
AB1联络线负载率,44,area_1_fuel_natural_gas_mw,0.03132850728314829
AB1联络线负载率,44,area_1_fuel_nuclear_mw,0.03923417205885906
AB1联络线负载率,44,area_1_fuel_hydro_mw,0.030549963959797297
AB1联络线负载率,44,area_1_fuel_wind_mw,0.09953747056950184
AB1联络线负载率,44,area_1_fuel_solar_mw,0.014292331466431002
AB1联络线负载率,44,area_1_generation_mw,0.07248391856462681
AB1联络线负载率,44,area_2_fuel_coal_mw,0.05439751287285621
AB1联络线负载率,44,area_2_fuel_natural_gas_mw,0.023992495346453868
AB1联络线负载率,44,area_2_fuel_hydro_mw,0.027113573993150307
AB1联络线负载率,44,area_2_fuel_solar_mw,-0.0015439948648378046
AB1联络线负载率,44,area_2_generation_mw,0.04742317955115876
AB1联络线负载率,44,area_3_fuel_coal_mw,-0.0022265363022081356
AB1联络线负载率,44,area_3_fuel_natural_gas_mw,0.004707388643147658
AB1联络线负载率,44,area_3_fuel_hydro_mw,0.011094319732757287
AB1联络线负载率,44,area_3_fuel_wind_mw,0.01910820957618547
AB1联络线负载率,44,area_3_fuel_solar_mw,0.01879775408996738
AB1联络线负载率,44,area_3_generation_mw,-0.004734090976596499
AB1联络线负载率,44,hour_of_day,-0.004980311076908665
AB1联络线负载率,44,day_of_week,0.0020226946118412086
AB1联络线负载率,44,month_of_year,-0.2794713953286563
AB1联络线负载率,44,is_weekend,-0.006001308188301667
CA1联络线负载率,42,area_1_load_actual_mw,0.020015334668712297
CA1联络线负载率,42,area_2_load_actual_mw,0.01160529483770728
CA1联络线负载率,42,area_3_load_actual_mw,0.012317415209229837
CA1联络线负载率,42,system_load_actual_mw,0.01093786054227741
CA1联络线负载率,42,area_1_load_day_ahead_mw,0.009038768900427941
CA1联络线负载率,42,area_2_load_day_ahead_mw,0.0014808729951183153
CA1联络线负载率,42,area_3_load_day_ahead_mw,-0.0019360803670541923
CA1联络线负载率,42,system_load_day_ahead_mw,0.013145021021445574
CA1联络线负载率,42,system_generation_mw,0.004826751775311211
CA1联络线负载率,42,system_losses_mw,0.10470349604091145
CA1联络线负载率,42,area_1_net_export_mw,0.03581335976377124
CA1联络线负载率,42,area_2_net_export_mw,0.0527828301191383
CA1联络线负载率,42,area_3_net_export_mw,0.011538156768061303
CA1联络线负载率,42,reserve_reg_up_mw,0.014129365481829557
CA1联络线负载率,42,reserve_reg_down_mw,0.004663653420434838
CA1联络线负载率,42,reserve_spin_r1_mw,0.000887427314847913
CA1联络线负载率,42,reserve_spin_r2_mw,0.00013195878065672042
CA1联络线负载率,42,reserve_spin_r3_mw,-0.009593778508000264
CA1联络线负载率,42,gen_fuel_coal_mw,0.01299169342468002
CA1联络线负载率,42,gen_fuel_natural_gas_mw,0.007489215651994072
CA1联络线负载率,42,gen_fuel_nuclear_mw,0.0266355457549442
CA1联络线负载率,42,gen_fuel_hydro_mw,0.014415438925311795
CA1联络线负载率,42,gen_fuel_wind_mw,0.09487270279940788
CA1联络线负载率,42,gen_fuel_solar_mw,0.057841571577690334
CA1联络线负载率,42,area_1_fuel_coal_mw,0.02666183200471492
CA1联络线负载率,42,area_1_fuel_natural_gas_mw,-0.013794759459552008
CA1联络线负载率,42,area_1_fuel_nuclear_mw,0.020375281118083885
CA1联络线负载率,42,area_1_fuel_hydro_mw,0.017015963718545864
CA1联络线负载率,42,area_1_fuel_wind_mw,0.08122149375814933
CA1联络线负载率,42,area_1_fuel_solar_mw,0.06645093822960554
CA1联络线负载率,42,area_1_generation_mw,0.014163670516445872
CA1联络线负载率,42,area_2_fuel_coal_mw,0.005175613656004078
CA1联络线负载率,42,area_2_fuel_natural_gas_mw,0.029166286477851494
CA1联络线负载率,42,area_2_fuel_hydro_mw,0.0026934090195210297
CA1联络线负载率,42,area_2_fuel_solar_mw,0.03786975756160824
CA1联络线负载率,42,area_2_generation_mw,0.016848448423348924
CA1联络线负载率,42,area_3_fuel_coal_mw,0.0017044200107343551
CA1联络线负载率,42,area_3_fuel_natural_gas_mw,0.029614956627066983
CA1联络线负载率,42,area_3_fuel_hydro_mw,0.005589309533883256
CA1联络线负载率,42,area_3_fuel_wind_mw,0.10012822994194236
CA1联络线负载率,42,area_3_fuel_solar_mw,0.05679534172633206
CA1联络线负载率,42,area_3_generation_mw,-0.005500035016425724
CA1联络线负载率,42,hour_of_day,0.03601510025083654
CA1联络线负载率,42,day_of_week,0.0014380331127990314
CA1联络线负载率,42,month_of_year,-0.07596315605707776
CA1联络线负载率,42,is_weekend,0.006191549325844241
CA1联络线负载率,43,area_1_load_actual_mw,0.0004457254977352368
CA1联络线负载率,43,area_2_load_actual_mw,0.015358506798791367
CA1联络线负载率,43,area_3_load_actual_mw,0.004287556959327254
CA1联络线负载率,43,system_load_actual_mw,-0.0016829129108548002
CA1联络线负载率,43,area_1_load_day_ahead_mw,0.011287973818226769
CA1联络线负载率,43,area_2_load_day_ahead_mw,0.009137904313988558
CA1联络线负载率,43,area_3_load_day_ahead_mw,0.011109488277025811
CA1联络线负载率,43,system_load_day_ahead_mw,-0.004732665406062054
CA1联络线负载率,43,system_generation_mw,0.0036559571507600863
CA1联络线负载率,43,system_losses_mw,0.10993993132475942
CA1联络线负载率,43,area_1_net_export_mw,0.022951552304830654
CA1联络线负载率,43,area_2_net_export_mw,0.048745134881501354
CA1联络线负载率,43,area_3_net_export_mw,0.012776559096240075
CA1联络线负载率,43,reserve_reg_up_mw,0.01122458879657723
CA1联络线负载率,43,reserve_reg_down_mw,0.017931047170728902
CA1联络线负载率,43,reserve_spin_r1_mw,0.011841182361550205
CA1联络线负载率,43,reserve_spin_r2_mw,0.004933839483455476
CA1联络线负载率,43,reserve_spin_r3_mw,-0.0025050039073523434
CA1联络线负载率,43,gen_fuel_coal_mw,0.028014668501244278
CA1联络线负载率,43,gen_fuel_natural_gas_mw,0.014967647158669065
CA1联络线负载率,43,gen_fuel_nuclear_mw,0.02617844640191022
CA1联络线负载率,43,gen_fuel_hydro_mw,0.010507580500125997
CA1联络线负载率,43,gen_fuel_wind_mw,0.08430337647912875
CA1联络线负载率,43,gen_fuel_solar_mw,0.05481918988717846
CA1联络线负载率,43,area_1_fuel_coal_mw,0.02530716757424782
CA1联络线负载率,43,area_1_fuel_natural_gas_mw,0.007271330347135258
CA1联络线负载率,43,area_1_fuel_nuclear_mw,0.0435632450354681
CA1联络线负载率,43,area_1_fuel_hydro_mw,0.007443313267548797
CA1联络线负载率,43,area_1_fuel_wind_mw,0.07441778282190613
CA1联络线负载率,43,area_1_fuel_solar_mw,0.057260498546526185
CA1联络线负载率,43,area_1_generation_mw,0.01875637702418336
CA1联络线负载率,43,area_2_fuel_coal_mw,0.013846792512252452
CA1联络线负载率,43,area_2_fuel_natural_gas_mw,0.018458095128759594
CA1联络线负载率,43,area_2_fuel_hydro_mw,0.0008273170323371687
CA1联络线负载率,43,area_2_fuel_solar_mw,0.039496745520702384
CA1联络线负载率,43,area_2_generation_mw,0.011431092104866519
CA1联络线负载率,43,area_3_fuel_coal_mw,0.01396582311367548
CA1联络线负载率,43,area_3_fuel_natural_gas_mw,0.02585752203047643
CA1联络线负载率,43,area_3_fuel_hydro_mw,-0.004536828381176317
CA1联络线负载率,43,area_3_fuel_wind_mw,0.07785961350784419
CA1联络线负载率,43,area_3_fuel_solar_mw,0.06832147377189007
CA1联络线负载率,43,area_3_generation_mw,0.0009939804623980072
CA1联络线负载率,43,hour_of_day,0.03704771220828366
CA1联络线负载率,43,day_of_week,-0.0022614536005956132
CA1联络线负载率,43,month_of_year,-0.07735828348347032
CA1联络线负载率,43,is_weekend,0.0043511151920790515
CA1联络线负载率,44,area_1_load_actual_mw,0.013116947960582031
CA1联络线负载率,44,area_2_load_actual_mw,0.010171535440688146
CA1联络线负载率,44,area_3_load_actual_mw,0.007030111030195583
CA1联络线负载率,44,system_load_actual_mw,-0.007459789049719524
CA1联络线负载率,44,area_1_load_day_ahead_mw,0.004607368922085984
CA1联络线负载率,44,area_2_load_day_ahead_mw,0.01897282137990565
CA1联络线负载率,44,area_3_load_day_ahead_mw,-0.004212694032030329
CA1联络线负载率,44,system_load_day_ahead_mw,0.007216849365389986
CA1联络线负载率,44,system_generation_mw,0.0034806566524857386
CA1联络线负载率,44,system_losses_mw,0.10625311322158477
CA1联络线负载率,44,area_1_net_export_mw,0.040326368716670655
CA1联络线负载率,44,area_2_net_export_mw,0.03889063829260343
CA1联络线负载率,44,area_3_net_export_mw,0.02652943028521054
CA1联络线负载率,44,reserve_reg_up_mw,0.017025649385527277
CA1联络线负载率,44,reserve_reg_down_mw,0.017665746042697078
CA1联络线负载率,44,reserve_spin_r1_mw,0.015894330160501905
CA1联络线负载率,44,reserve_spin_r2_mw,-0.008790215087202806
CA1联络线负载率,44,reserve_spin_r3_mw,0.011161355270098133
CA1联络线负载率,44,gen_fuel_coal_mw,0.008239470843488514
CA1联络线负载率,44,gen_fuel_natural_gas_mw,0.032491059338750454
CA1联络线负载率,44,gen_fuel_nuclear_mw,0.051760179303302206
CA1联络线负载率,44,gen_fuel_hydro_mw,0.0024493817821242456
CA1联络线负载率,44,gen_fuel_wind_mw,0.08107041078822423
CA1联络线负载率,44,gen_fuel_solar_mw,0.05843710066756711
CA1联络线负载率,44,area_1_fuel_coal_mw,0.017722357847964672
CA1联络线负载率,44,area_1_fuel_natural_gas_mw,0.005436363236837033
CA1联络线负载率,44,area_1_fuel_nuclear_mw,0.04437298587712536
CA1联络线负载率,44,area_1_fuel_hydro_mw,0.007286907580378548
CA1联络线负载率,44,area_1_fuel_wind_mw,0.0687913281204645
CA1联络线负载率,44,area_1_fuel_solar_mw,0.06118479789203937
CA1联络线负载率,44,area_1_generation_mw,0.007966886492792667
CA1联络线负载率,44,area_2_fuel_coal_mw,0.003952323863992518
CA1联络线负载率,44,area_2_fuel_natural_gas_mw,0.03962957343489169
CA1联络线负载率,44,area_2_fuel_hydro_mw,0.010805453790555718
CA1联络线负载率,44,area_2_fuel_solar_mw,0.051309866107433044
CA1联络线负载率,44,area_2_generation_mw,0.010827272802952889
CA1联络线负载率,44,area_3_fuel_coal_mw,0.002195924280076909
CA1联络线负载率,44,area_3_fuel_natural_gas_mw,0.016369120129281767
CA1联络线负载率,44,area_3_fuel_hydro_mw,0.012385227936740266
CA1联络线负载率,44,area_3_fuel_wind_mw,0.07758109126185474
CA1联络线负载率,44,area_3_fuel_solar_mw,0.07102618725086635
CA1联络线负载率,44,area_3_generation_mw,0.0014576992120328616
CA1联络线负载率,44,hour_of_day,0.03862079433679154
CA1联络线负载率,44,day_of_week,0.0036096008901446647
CA1联络线负载率,44,month_of_year,-0.12150501404046996
CA1联络线负载率,44,is_weekend,-0.00705570843414836
218号联合循环机组出力,42,area_1_load_actual_mw,0.027239022635234533
218号联合循环机组出力,42,area_2_load_actual_mw,0.07138483654974151
218号联合循环机组出力,42,area_3_load_actual_mw,0.018163999071461073
