epoch,train_residual_mse_mean,val_residual_mse_mean,val_y_r2_mean,median_effective_norm,max_effective_norm
39,0.3000393889167092,0.5669841766357422,0.862288773059845,0.11103369295597076,1.2323288917541504
40,0.30649476859605673,0.5654925107955933,0.8626510500907898,0.10869593918323517,1.2279996871948242
41,0.30867432938380673,0.554122805595398,0.8654125928878784,0.11000942438840866,1.2269586324691772
42,0.2976285910064524,0.5520321130752563,0.86592036485672,0.11011308431625366,1.221240758895874
43,0.2992114329879934,0.5455356240272522,0.8674982190132141,0.10889226198196411,1.2174866199493408
44,0.29589052001635235,0.5440660715103149,0.8678551912307739,0.11058907210826874,1.2154713869094849
45,0.2865927339051709,0.5695492029190063,0.8616658449172974,0.10917432606220245,1.2130917310714722
46,0.28357060140732565,0.5539740324020386,0.8654486536979675,0.10825605690479279,1.2087520360946655
47,0.2823971516706727,0.5437215566635132,0.8679388761520386,0.11013220995664597,1.2071186304092407
48,0.27580897758404416,0.5339106917381287,0.8703217506408691,0.10888335853815079,1.2048907279968262
49,0.2735996722723498,0.6008427739143372,0.8540650606155396,0.10658152401447296,1.200339913368225
50,0.27380625068238285,0.5434905886650085,0.8679949045181274,0.10591529309749603,1.1981868743896484
51,0.27468236648675165,0.5379036664962769,0.8693519830703735,0.10697276890277863,1.1962398290634155
52,0.27371228847539786,0.5746778249740601,0.8604200482368469,0.10428889840841293,1.1891419887542725
53,0.2693735555265889,0.5317109823226929,0.870855987071991,0.10480505228042603,1.191245675086975
54,0.2626702284271067,0.5410562753677368,0.8685862421989441,0.10561349987983704,1.1867374181747437
55,0.2650915811007673,0.5477722883224487,0.8669549822807312,0.10459303855895996,1.1807841062545776
56,0.25477024416128796,0.5285277962684631,0.8716290593147278,0.10472531616687775,1.18161141872406
57,0.2599045525897633,0.5428246259689331,0.8681566119194031,0.10488666594028473,1.1744402647018433
58,0.254436951017741,0.5420324206352234,0.8683490753173828,0.10420508682727814,1.1724518537521362
59,0.25487207214940677,0.5429636836051941,0.868122935295105,0.10607452690601349,1.1751127243041992
60,0.24552072765249194,0.5362155437469482,0.8697619438171387,0.10645576566457748,1.1690733432769775
61,0.2456041845408353,0.5455988645553589,0.8674828410148621,0.10610944032669067,1.1672377586364746
62,0.23999191978664108,0.5562450885772705,0.8648970723152161,0.10553765296936035,1.1637884378433228
63,0.24309722311568982,0.5226967334747314,0.8730454444885254,0.10487505793571472,1.1575613021850586
64,0.23980409381064502,0.6150928735733032,0.8506039381027222,0.10514012724161148,1.1522024869918823
65,0.24500047189719748,0.5515340566635132,0.8660413026809692,0.10563045740127563,1.1549882888793945
66,0.2431422324117386,0.5457167625427246,0.8674541711807251,0.10718445479869843,1.1530922651290894
67,0.23463000831278888,0.5513938069343567,0.866075336933136,0.10736430436372757,1.1488913297653198
