方法,说明,n,前n个字段,target,中文名,budget,full_r2,n_pool,目标
Lasso,线性稀疏（1996）,0.9840446608202603,area_1_net_export_mw|area_2_net_export_mw|area_3_net_export_mw|area_1_load_actual_mw|area_2_fuel_natural_gas_mw|gen_fuel_wind_mw|area_1_fuel_wind_mw|gen_fuel_solar_mw|gen_fuel_hydro_mw,bus_215_va_deg,节点215电压相角,9,0.9900794622218906,46,bus_215_va_deg
Pearson,相关系数排序（只看两两关系）,0.8431902732451846,system_losses_mw|area_2_fuel_natural_gas_mw|area_2_fuel_coal_mw|area_2_generation_mw|reserve_spin_r2_mw|area_2_load_actual_mw|area_2_load_day_ahead_mw|area_1_fuel_wind_mw|gen_fuel_wind_mw,bus_215_va_deg,节点215电压相角,9,0.9900794622218906,46,bus_215_va_deg
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9585410030735877,area_3_fuel_natural_gas_mw|area_1_fuel_wind_mw|area_2_fuel_natural_gas_mw|area_2_fuel_coal_mw|area_1_fuel_natural_gas_mw|area_3_fuel_solar_mw|area_1_fuel_nuclear_mw,bus_315_va_deg,节点315电压相角,7,0.9921932314191497,46,bus_315_va_deg
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9123979646274661,area_1_fuel_wind_mw|area_1_fuel_coal_mw|system_losses_mw|area_1_fuel_hydro_mw|gen_fuel_nuclear_mw|area_2_fuel_coal_mw|gen_fuel_wind_mw,bus_315_va_deg,节点315电压相角,7,0.9921932314191497,46,bus_315_va_deg
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9374778003478557,gen_fuel_wind_mw|area_1_fuel_wind_mw|area_3_fuel_solar_mw|area_1_fuel_solar_mw|area_1_net_export_mw|area_2_fuel_coal_mw|area_1_fuel_natural_gas_mw,bus_315_va_deg,节点315电压相角,7,0.9921932314191497,46,bus_315_va_deg
XGBoost,树模型特征重要性（2016）,0.9089820552740522,area_1_fuel_wind_mw|area_1_fuel_solar_mw|area_3_fuel_solar_mw|gen_fuel_solar_mw|gen_fuel_wind_mw|area_3_fuel_coal_mw|system_losses_mw,bus_315_va_deg,节点315电压相角,7,0.9921932314191497,46,bus_315_va_deg
Lasso,线性稀疏（1996）,0.934482400850167,gen_fuel_wind_mw|area_1_fuel_wind_mw|area_1_fuel_natural_gas_mw|area_2_fuel_hydro_mw|area_2_fuel_natural_gas_mw|area_3_net_export_mw|area_3_fuel_solar_mw,bus_315_va_deg,节点315电压相角,7,0.9921932314191497,46,bus_315_va_deg
Pearson,相关系数排序（只看两两关系）,0.879818509995017,gen_fuel_wind_mw|area_1_fuel_wind_mw|area_3_fuel_wind_mw|area_2_net_export_mw|area_3_fuel_solar_mw|gen_fuel_solar_mw|area_1_fuel_solar_mw,bus_315_va_deg,节点315电压相角,7,0.9921932314191497,46,bus_315_va_deg
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.975615758274529,area_1_fuel_natural_gas_mw|reserve_spin_r1_mw|area_1_fuel_coal_mw|area_2_fuel_natural_gas_mw|area_2_fuel_coal_mw|area_1_fuel_solar_mw|area_2_fuel_hydro_mw,branch_ab1_loading_pct,线路AB1负载率,7,0.9866955877743271,43,branch_ab1_loading_pct
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9354435762380531,area_2_fuel_natural_gas_mw|area_1_fuel_solar_mw|area_1_fuel_wind_mw|area_1_fuel_coal_mw|reserve_spin_r1_mw|gen_fuel_coal_mw|area_1_load_actual_mw,branch_ab1_loading_pct,线路AB1负载率,7,0.9866955877743271,43,branch_ab1_loading_pct
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9056837673735576,area_1_load_day_ahead_mw|reserve_spin_r1_mw|area_1_load_actual_mw|area_1_fuel_wind_mw|area_2_fuel_coal_mw|area_3_fuel_solar_mw|area_1_generation_mw,branch_ab1_loading_pct,线路AB1负载率,7,0.9866955877743271,43,branch_ab1_loading_pct
XGBoost,树模型特征重要性（2016）,0.8877389199613128,area_2_fuel_coal_mw|area_1_load_actual_mw|area_1_fuel_wind_mw|gen_fuel_coal_mw|reserve_spin_r1_mw|area_1_load_day_ahead_mw|area_1_fuel_coal_mw,branch_ab1_loading_pct,线路AB1负载率,7,0.9866955877743271,43,branch_ab1_loading_pct
Lasso,线性稀疏（1996）,0.901036489324119,area_1_load_actual_mw|area_1_fuel_wind_mw|system_losses_mw|reserve_spin_r1_mw|area_2_fuel_coal_mw|area_1_fuel_natural_gas_mw|area_1_load_day_ahead_mw,branch_ab1_loading_pct,线路AB1负载率,7,0.9866955877743271,43,branch_ab1_loading_pct
Pearson,相关系数排序（只看两两关系）,0.8205808536185017,system_losses_mw|area_1_generation_mw|area_1_load_day_ahead_mw|reserve_spin_r1_mw|area_1_load_actual_mw|system_generation_mw|area_2_generation_mw,branch_ab1_loading_pct,线路AB1负载率,7,0.9866955877743271,43,branch_ab1_loading_pct
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9773359431880168,area_1_fuel_coal_mw|area_1_fuel_natural_gas_mw|reserve_spin_r1_mw|area_3_fuel_wind_mw|system_losses_mw|area_1_fuel_solar_mw|area_3_fuel_coal_mw|gen_fuel_solar_mw|gen_fuel_hydro_mw|area_1_fuel_wind_mw|area_2_fuel_natural_gas_mw,branch_ab2_loading_pct,线路AB2负载率,11,0.9840552153065971,43,branch_ab2_loading_pct
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9771399410015444,area_3_fuel_solar_mw|area_1_load_day_ahead_mw|area_1_fuel_solar_mw|area_1_fuel_natural_gas_mw|area_1_fuel_coal_mw|system_losses_mw|area_3_fuel_wind_mw|gen_fuel_hydro_mw|area_1_fuel_wind_mw|area_3_fuel_coal_mw|area_2_fuel_natural_gas_mw,branch_ab2_loading_pct,线路AB2负载率,11,0.9840552153065971,43,branch_ab2_loading_pct
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.975603968472924,system_losses_mw|area_2_fuel_natural_gas_mw|area_3_fuel_solar_mw|area_1_fuel_natural_gas_mw|area_1_fuel_wind_mw|reserve_spin_r1_mw|gen_fuel_hydro_mw|area_1_fuel_solar_mw|area_1_load_day_ahead_mw|area_1_load_actual_mw|gen_fuel_wind_mw,branch_ab2_loading_pct,线路AB2负载率,11,0.9840552153065971,43,branch_ab2_loading_pct
XGBoost,树模型特征重要性（2016）,0.9695372578568277,system_losses_mw|area_3_fuel_solar_mw|area_1_fuel_solar_mw|hour_of_day|area_1_load_day_ahead_mw|area_1_fuel_wind_mw|area_2_fuel_natural_gas_mw|area_1_generation_mw|area_3_fuel_coal_mw|area_1_fuel_coal_mw|gen_fuel_natural_gas_mw,branch_ab2_loading_pct,线路AB2负载率,11,0.9840552153065971,43,branch_ab2_loading_pct
Lasso,线性稀疏（1996）,0.9702792410179897,area_1_load_actual_mw|area_1_fuel_coal_mw|area_1_generation_mw|area_1_fuel_solar_mw|area_2_fuel_natural_gas_mw|area_3_fuel_solar_mw|gen_fuel_wind_mw|area_2_fuel_hydro_mw|gen_fuel_nuclear_mw|area_2_fuel_coal_mw|area_3_fuel_coal_mw,branch_ab2_loading_pct,线路AB2负载率,11,0.9840552153065971,43,branch_ab2_loading_pct
Pearson,相关系数排序（只看两两关系）,0.8642746242902892,system_losses_mw|area_2_fuel_natural_gas_mw|area_2_fuel_coal_mw|area_2_generation_mw|reserve_spin_r2_mw|area_2_load_actual_mw|area_2_load_day_ahead_mw|area_1_generation_mw|area_1_fuel_natural_gas_mw|reserve_spin_r1_mw|area_1_load_actual_mw,branch_ab2_loading_pct,线路AB2负载率,11,0.9840552153065971,43,branch_ab2_loading_pct
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9517729560909858,area_1_fuel_coal_mw|gen_fuel_natural_gas_mw|area_2_fuel_natural_gas_mw|area_1_fuel_natural_gas_mw|area_3_fuel_solar_mw|area_2_fuel_hydro_mw|gen_fuel_coal_mw|gen_fuel_wind_mw|system_losses_mw,branch_ab3_loading_pct,线路AB3负载率,9,0.9569884294763549,43,branch_ab3_loading_pct
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9430507061835137,gen_fuel_coal_mw|area_1_fuel_coal_mw|area_2_fuel_natural_gas_mw|area_3_fuel_solar_mw|gen_fuel_natural_gas_mw|area_2_fuel_hydro_mw|area_3_fuel_wind_mw|system_losses_mw|area_3_fuel_coal_mw,branch_ab3_loading_pct,线路AB3负载率,9,0.9569884294763549,43,branch_ab3_loading_pct
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.8802310839118144,system_losses_mw|area_1_fuel_coal_mw|area_3_fuel_solar_mw|gen_fuel_wind_mw|area_2_fuel_solar_mw|area_2_fuel_natural_gas_mw|hour_of_day|gen_fuel_solar_mw|reserve_reg_up_mw,branch_ab3_loading_pct,线路AB3负载率,9,0.9569884294763549,43,branch_ab3_loading_pct
XGBoost,树模型特征重要性（2016）,0.8966786444157543,area_1_fuel_coal_mw|gen_fuel_solar_mw|system_losses_mw|reserve_spin_r1_mw|area_3_fuel_solar_mw|area_1_generation_mw|area_2_fuel_natural_gas_mw|hour_of_day|gen_fuel_wind_mw,branch_ab3_loading_pct,线路AB3负载率,9,0.9569884294763549,43,branch_ab3_loading_pct
Lasso,线性稀疏（1996）,0.9056687061528325,area_1_generation_mw|system_losses_mw|area_2_fuel_coal_mw|area_1_load_actual_mw|area_1_fuel_hydro_mw|area_1_fuel_wind_mw|area_1_fuel_solar_mw|area_2_fuel_natural_gas_mw|area_2_fuel_hydro_mw,branch_ab3_loading_pct,线路AB3负载率,9,0.9569884294763549,43,branch_ab3_loading_pct
Pearson,相关系数排序（只看两两关系）,0.6658126652310099,area_1_generation_mw|area_1_load_actual_mw|reserve_spin_r1_mw|area_1_load_day_ahead_mw|area_2_generation_mw|system_generation_mw|reserve_spin_r2_mw|area_2_load_actual_mw|area_2_load_day_ahead_mw,branch_ab3_loading_pct,线路AB3负载率,9,0.9569884294763549,43,branch_ab3_loading_pct
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9702876182877553,area_3_fuel_natural_gas_mw|area_1_fuel_wind_mw|system_losses_mw|gen_fuel_solar_mw|gen_fuel_wind_mw|area_2_fuel_natural_gas_mw|area_2_fuel_coal_mw|area_1_fuel_natural_gas_mw|gen_fuel_hydro_mw|gen_fuel_nuclear_mw|area_1_fuel_hydro_mw,branch_ca_1_loading_pct,线路CA-1负载率,11,0.9775366239953002,43,branch_ca_1_loading_pct
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9663468510628843,area_3_fuel_natural_gas_mw|area_3_fuel_solar_mw|system_losses_mw|area_2_fuel_natural_gas_mw|area_1_fuel_wind_mw|area_3_fuel_wind_mw|gen_fuel_nuclear_mw|area_1_fuel_hydro_mw|area_1_fuel_nuclear_mw|area_1_fuel_natural_gas_mw|gen_fuel_hydro_mw,branch_ca_1_loading_pct,线路CA-1负载率,11,0.9775366239953002,43,branch_ca_1_loading_pct
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9465860290070675,gen_fuel_wind_mw|system_losses_mw|area_3_fuel_solar_mw|area_1_fuel_wind_mw|area_1_fuel_nuclear_mw|area_1_fuel_hydro_mw|area_1_fuel_natural_gas_mw|gen_fuel_hydro_mw|gen_fuel_nuclear_mw|area_2_fuel_natural_gas_mw|area_3_fuel_hydro_mw,branch_ca_1_loading_pct,线路CA-1负载率,11,0.9775366239953002,43,branch_ca_1_loading_pct
XGBoost,树模型特征重要性（2016）,0.938692159709686,area_1_fuel_solar_mw|area_1_fuel_wind_mw|area_3_fuel_solar_mw|gen_fuel_solar_mw|system_losses_mw|area_1_generation_mw|gen_fuel_wind_mw|area_3_fuel_natural_gas_mw|gen_fuel_natural_gas_mw|gen_fuel_nuclear_mw|area_1_fuel_natural_gas_mw,branch_ca_1_loading_pct,线路CA-1负载率,11,0.9775366239953002,43,branch_ca_1_loading_pct
Lasso,线性稀疏（1996）,0.9462987287092168,area_1_fuel_wind_mw|area_3_fuel_solar_mw|gen_fuel_wind_mw|gen_fuel_nuclear_mw|area_2_fuel_natural_gas_mw|area_2_fuel_coal_mw|area_1_fuel_nuclear_mw|area_1_fuel_hydro_mw|area_1_fuel_natural_gas_mw|system_losses_mw|area_3_fuel_coal_mw,branch_ca_1_loading_pct,线路CA-1负载率,11,0.9775366239953002,43,branch_ca_1_loading_pct
Pearson,相关系数排序（只看两两关系）,0.9213531899090429,gen_fuel_wind_mw|area_3_fuel_wind_mw|area_1_fuel_wind_mw|system_losses_mw|area_3_fuel_solar_mw|gen_fuel_solar_mw|area_1_fuel_solar_mw|area_2_fuel_solar_mw|area_2_fuel_natural_gas_mw|area_2_fuel_coal_mw|reserve_reg_up_mw,branch_ca_1_loading_pct,线路CA-1负载率,11,0.9775366239953002,43,branch_ca_1_loading_pct
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9741805112458858,area_3_fuel_natural_gas_mw|area_1_fuel_wind_mw|system_losses_mw|gen_fuel_solar_mw|area_2_fuel_natural_gas_mw|area_3_fuel_wind_mw|area_1_fuel_natural_gas_mw|gen_fuel_hydro_mw|gen_fuel_nuclear_mw|area_2_fuel_coal_mw|area_1_fuel_hydro_mw|area_1_fuel_coal_mw,branch_cb_1_loading_pct,线路CB-1负载率,12,0.9767972019193356,43,branch_cb_1_loading_pct
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9671299153062377,area_3_fuel_natural_gas_mw|area_3_fuel_solar_mw|area_2_fuel_natural_gas_mw|system_losses_mw|area_3_fuel_wind_mw|gen_fuel_coal_mw|area_1_fuel_wind_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|area_1_fuel_nuclear_mw|area_3_fuel_coal_mw|area_1_fuel_coal_mw,branch_cb_1_loading_pct,线路CB-1负载率,12,0.9767972019193356,43,branch_cb_1_loading_pct
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.949615345087067,area_1_fuel_wind_mw|area_3_fuel_solar_mw|reserve_reg_down_mw|area_1_fuel_nuclear_mw|gen_fuel_nuclear_mw|area_1_fuel_hydro_mw|area_2_fuel_natural_gas_mw|gen_fuel_hydro_mw|area_1_fuel_natural_gas_mw|area_3_fuel_coal_mw|gen_fuel_wind_mw|area_3_load_actual_mw,branch_cb_1_loading_pct,线路CB-1负载率,12,0.9767972019193356,43,branch_cb_1_loading_pct
XGBoost,树模型特征重要性（2016）,0.958365117465078,area_1_fuel_wind_mw|area_1_fuel_solar_mw|area_1_load_day_ahead_mw|gen_fuel_solar_mw|area_3_fuel_solar_mw|area_1_generation_mw|area_3_fuel_natural_gas_mw|area_2_generation_mw|system_losses_mw|gen_fuel_wind_mw|gen_fuel_natural_gas_mw|area_1_fuel_hydro_mw,branch_cb_1_loading_pct,线路CB-1负载率,12,0.9767972019193356,43,branch_cb_1_loading_pct
Lasso,线性稀疏（1996）,0.9592153471455689,area_1_fuel_wind_mw|gen_fuel_nuclear_mw|area_3_fuel_solar_mw|area_2_fuel_natural_gas_mw|gen_fuel_wind_mw|area_3_fuel_coal_mw|area_1_fuel_hydro_mw|gen_fuel_hydro_mw|area_3_load_actual_mw|area_1_fuel_natural_gas_mw|area_2_fuel_coal_mw|area_1_fuel_coal_mw,branch_cb_1_loading_pct,线路CB-1负载率,12,0.9767972019193356,43,branch_cb_1_loading_pct
Pearson,相关系数排序（只看两两关系）,0.920863719124279,area_1_fuel_wind_mw|gen_fuel_wind_mw|area_3_fuel_wind_mw|system_losses_mw|area_3_fuel_solar_mw|gen_fuel_solar_mw|area_1_fuel_solar_mw|area_2_fuel_solar_mw|area_2_fuel_natural_gas_mw|area_1_fuel_coal_mw|reserve_reg_up_mw|area_2_fuel_coal_mw,branch_cb_1_loading_pct,线路CB-1负载率,12,0.9767972019193356,43,branch_cb_1_loading_pct
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9992969968942458,reserve_spin_r1_mw|area_1_fuel_wind_mw|area_1_fuel_solar_mw|area_1_fuel_hydro_mw,gen_121_nuclear_1_pg_mw,机组121核电出力,4,0.9998942128603318,28,gen_121_nuclear_1_pg_mw
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.7694813652283363,area_1_fuel_wind_mw|area_1_fuel_hydro_mw|reserve_spin_r1_mw|area_1_load_day_ahead_mw,gen_121_nuclear_1_pg_mw,机组121核电出力,4,0.9998942128603318,28,gen_121_nuclear_1_pg_mw
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.8041071430242775,area_1_fuel_wind_mw|area_1_net_export_mw|area_2_fuel_coal_mw|area_3_fuel_hydro_mw,gen_121_nuclear_1_pg_mw,机组121核电出力,4,0.9998942128603318,28,gen_121_nuclear_1_pg_mw
XGBoost,树模型特征重要性（2016）,0.8800253380651226,area_1_fuel_wind_mw|area_2_fuel_coal_mw|area_2_fuel_natural_gas_mw|reserve_spin_r1_mw,gen_121_nuclear_1_pg_mw,机组121核电出力,4,0.9998942128603318,28,gen_121_nuclear_1_pg_mw
Lasso,线性稀疏（1996）,0.8926318077774763,area_1_net_export_mw|area_2_net_export_mw|area_3_net_export_mw|area_1_fuel_wind_mw,gen_121_nuclear_1_pg_mw,机组121核电出力,4,0.9998942128603318,28,gen_121_nuclear_1_pg_mw
Pearson,相关系数排序（只看两两关系）,0.7494594142599142,area_1_fuel_wind_mw|area_1_net_export_mw|area_2_net_export_mw|area_3_fuel_natural_gas_mw,gen_121_nuclear_1_pg_mw,机组121核电出力,4,0.9998942128603318,28,gen_121_nuclear_1_pg_mw
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9989010248306619,area_2_load_day_ahead_mw|area_2_fuel_hydro_mw|area_2_fuel_coal_mw|area_2_fuel_solar_mw,gen_218_cc_1_pg_mw,机组218联合循环出力,4,0.9998121294055673,42,gen_218_cc_1_pg_mw
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.993782402976289,area_2_fuel_hydro_mw|reserve_spin_r2_mw|area_2_load_day_ahead_mw|area_2_fuel_solar_mw,gen_218_cc_1_pg_mw,机组218联合循环出力,4,0.9998121294055673,42,gen_218_cc_1_pg_mw
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.866367877999737,area_1_fuel_solar_mw|area_2_fuel_solar_mw|system_losses_mw|area_2_load_actual_mw,gen_218_cc_1_pg_mw,机组218联合循环出力,4,0.9998121294055673,42,gen_218_cc_1_pg_mw
XGBoost,树模型特征重要性（2016）,0.9210174654787535,area_2_fuel_coal_mw|reserve_spin_r2_mw|area_2_fuel_solar_mw|reserve_spin_r1_mw,gen_218_cc_1_pg_mw,机组218联合循环出力,4,0.9998121294055673,42,gen_218_cc_1_pg_mw
Lasso,线性稀疏（1996）,0.9965226408335082,area_2_load_actual_mw|area_2_fuel_solar_mw|area_2_fuel_hydro_mw|system_losses_mw,gen_218_cc_1_pg_mw,机组218联合循环出力,4,0.9998121294055673,42,gen_218_cc_1_pg_mw
Pearson,相关系数排序（只看两两关系）,0.8743131973360317,area_2_fuel_coal_mw|gen_fuel_coal_mw|reserve_spin_r2_mw|area_2_load_actual_mw,gen_218_cc_1_pg_mw,机组218联合循环出力,4,0.9998121294055673,42,gen_218_cc_1_pg_mw
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9413653482608043,area_1_net_export_mw|area_3_net_export_mw|area_2_net_export_mw|area_3_fuel_natural_gas_mw|area_3_fuel_solar_mw|area_3_load_actual_mw|area_1_fuel_wind_mw|area_2_fuel_hydro_mw|hour_of_day|area_3_fuel_hydro_mw|reserve_reg_down_mw,gen_317_wind_1_pg_mw,机组317风电出力,11,0.9537373511900484,42,gen_317_wind_1_pg_mw
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.8989759994628886,area_1_fuel_wind_mw|area_3_fuel_natural_gas_mw|system_losses_mw|area_3_fuel_solar_mw|area_2_fuel_hydro_mw|area_2_net_export_mw|area_3_net_export_mw|reserve_reg_down_mw|reserve_reg_up_mw|area_1_fuel_solar_mw|area_3_fuel_coal_mw,gen_317_wind_1_pg_mw,机组317风电出力,11,0.9537373511900484,42,gen_317_wind_1_pg_mw
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.8599620938805816,area_1_fuel_wind_mw|area_3_fuel_natural_gas_mw|area_3_fuel_solar_mw|gen_fuel_solar_mw|area_3_fuel_coal_mw|reserve_reg_down_mw|reserve_reg_up_mw|area_1_fuel_solar_mw|area_2_fuel_hydro_mw|is_weekend|gen_fuel_nuclear_mw,gen_317_wind_1_pg_mw,机组317风电出力,11,0.9537373511900484,42,gen_317_wind_1_pg_mw
XGBoost,树模型特征重要性（2016）,0.8856832706937052,area_1_fuel_wind_mw|area_3_fuel_coal_mw|area_3_fuel_solar_mw|area_1_fuel_solar_mw|area_3_fuel_natural_gas_mw|gen_fuel_solar_mw|hour_of_day|reserve_reg_down_mw|area_2_fuel_hydro_mw|system_load_day_ahead_mw|area_2_generation_mw,gen_317_wind_1_pg_mw,机组317风电出力,11,0.9537373511900484,42,gen_317_wind_1_pg_mw
Lasso,线性稀疏（1996）,0.9432666207110308,area_1_net_export_mw|area_3_net_export_mw|area_2_net_export_mw|area_3_fuel_solar_mw|area_3_fuel_natural_gas_mw|area_3_load_actual_mw|area_1_fuel_wind_mw|area_3_fuel_coal_mw|system_losses_mw|reserve_spin_r3_mw|area_1_fuel_solar_mw,gen_317_wind_1_pg_mw,机组317风电出力,11,0.9537373511900484,42,gen_317_wind_1_pg_mw
Pearson,相关系数排序（只看两两关系）,0.8562039270652321,area_1_fuel_wind_mw|area_2_net_export_mw|area_1_net_export_mw|area_1_fuel_coal_mw|area_3_fuel_natural_gas_mw|area_3_fuel_coal_mw|gen_fuel_coal_mw|area_1_fuel_nuclear_mw|gen_fuel_nuclear_mw|gen_fuel_natural_gas_mw|system_losses_mw,gen_317_wind_1_pg_mw,机组317风电出力,11,0.9537373511900484,42,gen_317_wind_1_pg_mw
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9970968414271708,area_3_fuel_solar_mw|area_3_fuel_wind_mw|reserve_spin_r3_mw|area_3_fuel_coal_mw,gen_321_cc_1_status,机组321投入状态,4,0.999949942932964,42,gen_321_cc_1_status
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9970811115424044,area_3_fuel_solar_mw|area_3_fuel_wind_mw|area_3_load_actual_mw|area_3_fuel_coal_mw,gen_321_cc_1_status,机组321投入状态,4,0.999949942932964,42,gen_321_cc_1_status
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9973703828522416,area_3_fuel_coal_mw|area_3_fuel_wind_mw|area_3_fuel_solar_mw|area_3_load_day_ahead_mw,gen_321_cc_1_status,机组321投入状态,4,0.999949942932964,42,gen_321_cc_1_status
XGBoost,树模型特征重要性（2016）,0.9162391142367272,area_3_fuel_coal_mw|reserve_spin_r3_mw|area_3_load_actual_mw|area_3_fuel_wind_mw,gen_321_cc_1_status,机组321投入状态,4,0.999949942932964,42,gen_321_cc_1_status
Lasso,线性稀疏（1996）,0.8782595610337847,area_3_fuel_coal_mw|area_3_fuel_wind_mw|area_3_fuel_solar_mw|gen_fuel_coal_mw,gen_321_cc_1_status,机组321投入状态,4,0.999949942932964,42,gen_321_cc_1_status
Pearson,相关系数排序（只看两两关系）,0.8574540656167551,area_3_fuel_coal_mw|gen_fuel_coal_mw|area_3_fuel_wind_mw|gen_fuel_wind_mw,gen_321_cc_1_status,机组321投入状态,4,0.999949942932964,42,gen_321_cc_1_status
