stage,lambda,epoch,test_r2
3,0.002,30,0.973467
3,0.002,31,0.974169
3,0.002,32,0.975329
3,0.002,33,0.976382
3,0.002,34,0.975169
3,0.002,35,0.97413
3,0.002,36,0.974195
3,0.002,37,0.975007
3,0.002,38,0.975641
3,0.002,39,0.975054
3,0.002,40,0.974959
3,0.002,41,0.975991
3,0.002,42,0.975231
3,0.002,43,0.976498
3,0.002,44,0.975611
3,0.002,45,0.97584
3,0.002,46,0.9763
3,0.002,47,0.975596
3,0.002,48,0.975647
3,0.002,49,0.976457
3,0.002,50,0.976147
3,0.002,51,0.975453
3,0.002,52,0.975449
3,0.002,53,0.976205
3,0.002,54,0.975949
3,0.002,55,0.975817
3,0.002,56,0.975833
3,0.002,57,0.975812
3,0.002,58,0.975371
3,0.002,59,0.975296
3,0.002,60,0.97619
3,0.002,61,0.975655
3,0.002,62,0.974667
3,0.002,63,0.975854
3,0.002,64,0.975947
3,0.002,65,0.975201
3,0.002,66,0.975351
3,0.002,67,0.975955
3,0.002,68,0.975718
3,0.002,69,0.975916
3,0.002,70,0.974861
3,0.002,71,0.975463
3,0.002,72,0.976188
3,0.002,73,0.974982
3,0.002,74,0.976472
3,0.002,75,0.973027
3,0.002,76,0.976195
3,0.002,77,0.974297
3,0.002,78,0.975442
3,0.002,79,0.975907
3,0.002,80,0.974259
4,0.004,1,0.976765
4,0.004,2,0.975108
4,0.004,3,0.975899
4,0.004,4,0.971895
4,0.004,5,0.972895
4,0.004,6,0.976243
4,0.004,7,0.97531
4,0.004,8,0.976251
4,0.004,9,0.975458
4,0.004,10,0.976163
4,0.004,11,0.976281
4,0.004,12,0.976727
4,0.004,13,0.974314
4,0.004,14,0.974584
4,0.004,15,0.972799
4,0.004,16,0.976458
4,0.004,17,0.975354
4,0.004,18,0.9765
4,0.004,19,0.975022
4,0.004,20,0.974566
4,0.004,21,0.975729
4,0.004,22,0.974979
4,0.004,23,0.975217
4,0.004,24,0.975181
4,0.004,25,0.975834
4,0.004,26,0.974868
4,0.004,27,0.974844
4,0.004,28,0.976172
4,0.004,29,0.976852
4,0.004,30,0.973003
4,0.004,31,0.976099
4,0.004,32,0.975002
4,0.004,33,0.975336
4,0.004,34,0.97636
4,0.004,35,0.976198
4,0.004,36,0.975076
4,0.004,37,0.975253
4,0.004,38,0.975989
4,0.004,39,0.973105
4,0.004,40,0.974701
4,0.004,41,0.975628
4,0.004,42,0.975565
4,0.004,43,0.974572
4,0.004,44,0.975733
4,0.004,45,0.97599
4,0.004,46,0.976098
4,0.004,47,0.975255
4,0.004,48,0.976393
4,0.004,49,0.975551
4,0.004,50,0.972961
4,0.004,51,0.976094
4,0.004,52,0.975626
4,0.004,53,0.976098
4,0.004,54,0.976488
4,0.004,55,0.975086
4,0.004,56,0.975813
4,0.004,57,0.975234
4,0.004,58,0.97368
4,0.004,59,0.975437
4,0.004,60,0.975834
4,0.004,61,0.976286
4,0.004,62,0.976255
4,0.004,63,0.973028
4,0.004,64,0.975396
4,0.004,65,0.975092
4,0.004,66,0.975945
4,0.004,67,0.975761
4,0.004,68,0.974975
4,0.004,69,0.97517
4,0.004,70,0.9742
4,0.004,71,0.974948
4,0.004,72,0.974651
4,0.004,73,0.975544
4,0.004,74,0.975911
4,0.004,75,0.976551
4,0.004,76,0.974632
4,0.004,77,0.974722
4,0.004,78,0.975651
4,0.004,79,0.975831
4,0.004,80,0.975211
5,0.008,1,0.976013
5,0.008,2,0.974978
5,0.008,3,0.975927
5,0.008,4,0.975273
5,0.008,5,0.974362
5,0.008,6,0.976932
5,0.008,7,0.975228
5,0.008,8,0.976554
5,0.008,9,0.975761
5,0.008,10,0.975417
5,0.008,11,0.975245
5,0.008,12,0.975658
5,0.008,13,0.975112
5,0.008,14,0.975091
5,0.008,15,0.977247
5,0.008,16,0.974026
5,0.008,17,0.975792
5,0.008,18,0.975741
5,0.008,19,0.974995
5,0.008,20,0.975102
5,0.008,21,0.973212
5,0.008,22,0.975421
5,0.008,23,0.976672
5,0.008,24,0.970602
5,0.008,25,0.975304
5,0.008,26,0.975653
5,0.008,27,0.974582
5,0.008,28,0.971162
5,0.008,29,0.976553
5,0.008,30,0.974851
5,0.008,31,0.975387
5,0.008,32,0.97532
5,0.008,33,0.976036
5,0.008,34,0.976177
5,0.008,35,0.972632
5,0.008,36,0.97497
5,0.008,37,0.976035
5,0.008,38,0.973926
5,0.008,39,0.975897
5,0.008,40,0.977086
5,0.008,41,0.975737
5,0.008,42,0.9746
5,0.008,43,0.975525
5,0.008,44,0.975939
5,0.008,45,0.97588
5,0.008,46,0.970919
5,0.008,47,0.974852
5,0.008,48,0.974987
5,0.008,49,0.976929
5,0.008,50,0.974462
5,0.008,51,0.975395
5,0.008,52,0.976926
5,0.008,53,0.975045
5,0.008,54,0.976509
5,0.008,55,0.975364
5,0.008,56,0.975964
5,0.008,57,0.976045
5,0.008,58,0.972574
5,0.008,59,0.976382
5,0.008,60,0.975875
5,0.008,61,0.976134
5,0.008,62,0.975026
5,0.008,63,0.976598
5,0.008,64,0.976495
5,0.008,65,0.975158
5,0.008,66,0.975248
5,0.008,67,0.971831
5,0.008,68,0.975566
5,0.008,69,0.975337
5,0.008,70,0.97616
5,0.008,71,0.97586
5,0.008,72,0.973304
5,0.008,73,0.976076
5,0.008,74,0.975582
5,0.008,75,0.975888
5,0.008,76,0.976577
5,0.008,77,0.975787
5,0.008,78,0.975937
5,0.008,79,0.976481
5,0.008,80,0.975247
6,0.016,1,0.974091
6,0.016,2,0.974141
6,0.016,3,0.975603
6,0.016,4,0.975042
6,0.016,5,0.973728
6,0.016,6,0.972318
6,0.016,7,0.973818
6,0.016,8,0.975658
6,0.016,9,0.974981
6,0.016,10,0.975478
6,0.016,11,0.975163
6,0.016,12,0.97386
6,0.016,13,0.974361
6,0.016,14,0.975417
6,0.016,15,0.975243
6,0.016,16,0.975594
6,0.016,17,0.971699
6,0.016,18,0.975521
6,0.016,19,0.973433
6,0.016,20,0.976296
6,0.016,21,0.975694
6,0.016,22,0.975979
6,0.016,23,0.973453
6,0.016,24,0.976688
6,0.016,25,0.973347
6,0.016,26,0.97138
6,0.016,27,0.976085
6,0.016,28,0.975635
6,0.016,29,0.975334
6,0.016,30,0.975505
6,0.016,31,0.97501
6,0.016,32,0.976032
6,0.016,33,0.975771
6,0.016,34,0.975364
6,0.016,35,0.974425
6,0.016,36,0.973811
6,0.016,37,0.97508
6,0.016,38,0.97583
6,0.016,39,0.975213
6,0.016,40,0.974397
6,0.016,41,0.974723
6,0.016,42,0.975603
6,0.016,43,0.975048
6,0.016,44,0.975974
6,0.016,45,0.975704
6,0.016,46,0.97558
6,0.016,47,0.972904
6,0.016,48,0.975735
6,0.016,49,0.975921
6,0.016,50,0.976497
6,0.016,51,0.975409
6,0.016,52,0.974139
6,0.016,53,0.972857
6,0.016,54,0.976356
6,0.016,55,0.975955
6,0.016,56,0.975725
6,0.016,57,0.974663
6,0.016,58,0.975636
6,0.016,59,0.974802
6,0.016,60,0.973523
6,0.016,61,0.973817
6,0.016,62,0.976296
6,0.016,63,0.975292
6,0.016,64,0.975672
6,0.016,65,0.975129
6,0.016,66,0.975726
6,0.016,67,0.975214
6,0.016,68,0.973715
6,0.016,69,0.97531
6,0.016,70,0.97598
6,0.016,71,0.972861
6,0.016,72,0.972868
6,0.016,73,0.974354
6,0.016,74,0.975162
6,0.016,75,0.973801
6,0.016,76,0.975852
6,0.016,77,0.975322
6,0.016,78,0.974957
6,0.016,79,0.976791
6,0.016,80,0.974778
7,0.032,1,0.945413
7,0.032,2,0.963188
7,0.032,3,0.96549
7,0.032,4,0.966804
7,0.032,5,0.958616
7,0.032,6,0.958011
7,0.032,7,0.964681
7,0.032,8,0.965577
7,0.032,9,0.966196
7,0.032,10,0.965743
7,0.032,11,0.967451
7,0.032,12,0.966139
7,0.032,13,0.967198
7,0.032,14,0.967966
7,0.032,15,0.963843
7,0.032,16,0.958108
7,0.032,17,0.969068
7,0.032,18,0.965331
7,0.032,19,0.968888
7,0.032,20,0.962402
7,0.032,21,0.964207
7,0.032,22,0.96904
7,0.032,23,0.968713
7,0.032,24,0.967534
7,0.032,25,0.96681
7,0.032,26,0.968121
7,0.032,27,0.969572
7,0.032,28,0.96847
7,0.032,29,0.965526
7,0.032,30,0.966353
7,0.032,31,0.969304
7,0.032,32,0.970522
7,0.032,33,0.96842
7,0.032,34,0.965276
7,0.032,35,0.966513
7,0.032,36,0.966303
7,0.032,37,0.967231
7,0.032,38,0.96503
7,0.032,39,0.96864
7,0.032,40,0.967812
7,0.032,41,0.969695
7,0.032,42,0.967468
7,0.032,43,0.968709
7,0.032,44,0.968104
7,0.032,45,0.96925
7,0.032,46,0.969451
7,0.032,47,0.970539
7,0.032,48,0.967558
7,0.032,49,0.967624
7,0.032,50,0.966982
7,0.032,51,0.969229
7,0.032,52,0.970542
7,0.032,53,0.965238
7,0.032,54,0.969983
7,0.032,55,0.968764
7,0.032,56,0.959565
7,0.032,57,0.970865
7,0.032,58,0.970637
7,0.032,59,0.967346
7,0.032,60,0.967161
7,0.032,61,0.969866
7,0.032,62,0.967019
7,0.032,63,0.963182
7,0.032,64,0.966667
7,0.032,65,0.969889
7,0.032,66,0.967492
7,0.032,67,0.967027
7,0.032,68,0.971134
7,0.032,69,0.965358
7,0.032,70,0.971822
7,0.032,71,0.96161
7,0.032,72,0.9698
7,0.032,73,0.967494
7,0.032,74,0.970564
7,0.032,75,0.970868
7,0.032,76,0.966441
7,0.032,77,0.971028
7,0.032,78,0.967574
7,0.032,79,0.966115
7,0.032,80,0.971349
