stage,lambda,feature,gate_mean_window,gate_std_window,active
3,0.002,da_as_ss_mw_thirty_minutes_reserve,0.085184,0.003064,1
3,0.002,da_as_ss_mw_primary_reserve,0.057156,0.002366,1
3,0.002,gen_fuel_solar_mw,0.506151,0.015162,1
3,0.002,gen_fuel_coal_pct,0.037614,0.012722,1
3,0.002,congestion_price_rt,0.085792,0.003282,1
3,0.002,da_as_mcp_synchronized_reserve,0.041912,0.001568,1
3,0.002,congestion_price_da,0.09601,0.004646,1
4,0.004,da_as_as_mw_thirty_minutes_reserve,0.041312,0.001543,1
4,0.004,da_as_total_mw_thirty_minutes_reserve,0.046169,0.001937,1
4,0.004,gross_sched_interchange_mw,0.102138,0.003658,1
4,0.004,gen_fuel_nuclear_mw,0.198873,0.007128,1
4,0.004,gen_fuel_gas_mw,0.715212,0.016878,1
4,0.004,da_as_as_req_mw_thirty_minutes_reserve,0.036879,0.002261,1
4,0.004,da_as_as_req_mw_primary_reserve,0.086175,0.001648,1
4,0.004,da_as_as_req_mw_synchronized_reserve,0.010137,0.00169,0
4,0.004,total_pjm_assigned_reg,0.027448,0.001871,1
4,0.004,da_as_as_mw_primary_reserve,0.039965,0.002166,1
4,0.004,da_as_total_mw_primary_reserve,0.0,0.0,0
4,0.004,da_as_as_mw_synchronized_reserve,0.0,0.0,0
4,0.004,total_pjm_reg_purchases,0.027001,0.002041,1
4,0.004,gen_fuel_other_renewables_mw,0.083264,0.00268,1
4,0.004,total_lmp_da,0.0,0.0,0
4,0.004,total_pjm_rmpcp_cr,0.022752,0.001472,1
4,0.004,forecast_load_mw_day_ahead,0.0,0.0,0
4,0.004,total_pjm_rmccp_cr,0.0,0.0,0
4,0.004,gen_fuel_wind_mw,0.136572,0.003603,1
4,0.004,da_as_total_mw_synchronized_reserve,0.039832,0.00185,1
4,0.004,system_energy_price_da,0.045905,0.001804,1
4,0.004,gen_fuel_multiple_fuels_pct,0.006572,0.001452,0
4,0.004,gen_fuel_multiple_fuels_mw,0.120217,0.003239,1
4,0.004,marginal_loss_price_rt,0.011995,0.00105,0
4,0.004,gen_fuel_gas_pct,0.052496,0.00513,1
4,0.004,marginal_loss_price_da,0.030963,0.001608,1
4,0.004,total_lmp_rt,0.0,0.0,0
4,0.004,rmccp,0.02762,0.00169,1
4,0.004,system_energy_price_rt,0.008608,0.001289,0
4,0.004,rmpcp,0.018331,0.001442,0
4,0.004,gen_fuel_wind_pct,0.0,0.0,0
4,0.004,gen_fuel_coal_mw,0.513321,0.016131,1
4,0.004,wind_generation_mw,0.077776,0.004502,1
4,0.004,gross_inadv_interchange_mw,0.069016,0.002095,1
4,0.004,gen_fuel_oil_mw,0.087099,0.00289,1
4,0.004,da_as_mcp_primary_reserve,0.0,0.0,0
4,0.004,total_pjm_rt_load_mwh,0.503905,0.01829,1
4,0.004,metered_load_mw,0.370659,0.016145,1
4,0.004,forecast_load_mw_latest_available,0.0,0.0,0
4,0.004,prelim_load_avg_hourly,0.649971,0.010432,1
4,0.004,gross_actual_interchange_mw,0.086974,0.002802,1
4,0.004,gen_fuel_hydro_mw,0.173129,0.006195,1
4,0.004,total_pjm_loc_credit,0.013826,0.001731,0
4,0.004,total_losses,0.112379,0.003557,1
4,0.004,net_inadv_interchange_mw,0.028892,0.001811,1
4,0.004,da_as_nsr_mw_primary_reserve,0.032754,0.001309,1
4,0.004,total_pjm_self_sched_reg,0.046114,0.002003,1
4,0.004,da_as_ss_mw_synchronized_reserve,0.002576,0.001206,0
4,0.004,da_as_ss_mw_thirty_minutes_reserve,0.056367,0.001549,1
4,0.004,da_as_ss_mw_primary_reserve,0.025617,0.001543,1
4,0.004,gen_fuel_solar_mw,0.286479,0.009723,1
4,0.004,gen_fuel_coal_pct,0.000851,0.000608,0
4,0.004,congestion_price_rt,0.048546,0.002237,1
4,0.004,da_as_mcp_synchronized_reserve,0.021689,0.001507,1
4,0.004,congestion_price_da,0.045157,0.003039,1
5,0.008,da_as_as_mw_thirty_minutes_reserve,0.020558,0.001154,1
5,0.008,da_as_total_mw_thirty_minutes_reserve,0.02307,0.001172,1
5,0.008,gross_sched_interchange_mw,0.051954,0.001699,1
5,0.008,gen_fuel_nuclear_mw,0.096832,0.003952,1
5,0.008,gen_fuel_gas_mw,0.409084,0.015865,1
5,0.008,da_as_as_req_mw_thirty_minutes_reserve,0.011518,0.001006,0
5,0.008,da_as_as_req_mw_primary_reserve,0.051687,0.002023,1
5,0.008,da_as_as_req_mw_synchronized_reserve,0.0,0.0,0
5,0.008,total_pjm_assigned_reg,0.014555,0.001236,0
5,0.008,da_as_as_mw_primary_reserve,0.014968,0.001185,0
5,0.008,da_as_total_mw_primary_reserve,0.0,0.0,0
5,0.008,da_as_as_mw_synchronized_reserve,0.0,0.0,0
5,0.008,total_pjm_reg_purchases,0.012187,0.001113,0
5,0.008,gen_fuel_other_renewables_mw,0.041769,0.001189,1
5,0.008,total_lmp_da,0.0,0.0,0
5,0.008,total_pjm_rmpcp_cr,0.015695,0.001283,0
5,0.008,forecast_load_mw_day_ahead,0.0,0.0,0
5,0.008,total_pjm_rmccp_cr,0.0,0.0,0
5,0.008,gen_fuel_wind_mw,0.085209,0.002342,1
5,0.008,da_as_total_mw_synchronized_reserve,0.018192,0.001465,0
5,0.008,system_energy_price_da,0.020162,0.000954,1
5,0.008,gen_fuel_multiple_fuels_pct,0.0,0.0,0
5,0.008,gen_fuel_multiple_fuels_mw,0.064326,0.002233,1
5,0.008,marginal_loss_price_rt,0.0,0.0,0
5,0.008,gen_fuel_gas_pct,0.019025,0.000705,0
5,0.008,marginal_loss_price_da,0.013611,0.001494,0
5,0.008,total_lmp_rt,0.0,0.0,0
5,0.008,rmccp,0.015878,0.001434,0
5,0.008,system_energy_price_rt,0.0,0.0,0
5,0.008,rmpcp,0.0,0.0,0
5,0.008,gen_fuel_wind_pct,0.0,0.0,0
5,0.008,gen_fuel_coal_mw,0.258699,0.011418,1
5,0.008,wind_generation_mw,0.017508,0.002087,0
5,0.008,gross_inadv_interchange_mw,0.036084,0.001214,1
5,0.008,gen_fuel_oil_mw,0.043173,0.001309,1
5,0.008,da_as_mcp_primary_reserve,0.0,0.0,0
5,0.008,total_pjm_rt_load_mwh,0.180977,0.016239,1
5,0.008,metered_load_mw,0.097378,0.013754,1
5,0.008,forecast_load_mw_latest_available,0.0,0.0,0
5,0.008,prelim_load_avg_hourly,0.463591,0.010181,1
5,0.008,gross_actual_interchange_mw,0.043246,0.002251,1
5,0.008,gen_fuel_hydro_mw,0.083026,0.003529,1
5,0.008,total_pjm_loc_credit,0.0,0.0,0
5,0.008,total_losses,0.054481,0.001841,1
5,0.008,net_inadv_interchange_mw,0.014913,0.001396,0
5,0.008,da_as_nsr_mw_primary_reserve,0.020439,0.001153,1
5,0.008,total_pjm_self_sched_reg,0.023015,0.001501,1
5,0.008,da_as_ss_mw_synchronized_reserve,0.0,0.0,0
5,0.008,da_as_ss_mw_thirty_minutes_reserve,0.03445,0.001458,1
5,0.008,da_as_ss_mw_primary_reserve,0.008359,0.001304,0
5,0.008,gen_fuel_solar_mw,0.141196,0.006273,1
5,0.008,gen_fuel_coal_pct,0.0,0.0,0
5,0.008,congestion_price_rt,0.024427,0.001282,1
5,0.008,da_as_mcp_synchronized_reserve,0.009804,0.001296,0
5,0.008,congestion_price_da,0.022172,0.001758,1
6,0.016,da_as_as_mw_thirty_minutes_reserve,0.01053,0.000968,0
6,0.016,da_as_total_mw_thirty_minutes_reserve,0.013376,0.000938,0
6,0.016,gross_sched_interchange_mw,0.028702,0.001053,1
6,0.016,gen_fuel_nuclear_mw,0.049796,0.001248,1
6,0.016,gen_fuel_gas_mw,0.193084,0.007578,1
6,0.016,da_as_as_req_mw_thirty_minutes_reserve,0.0,0.0,0
6,0.016,da_as_as_req_mw_primary_reserve,0.035533,0.001276,1
6,0.016,da_as_as_req_mw_synchronized_reserve,0.0,0.0,0
6,0.016,total_pjm_assigned_reg,0.0,0.0,0
6,0.016,da_as_as_mw_primary_reserve,0.0,0.0,0
6,0.016,da_as_total_mw_primary_reserve,0.0,0.0,0
6,0.016,da_as_as_mw_synchronized_reserve,0.0,0.0,0
6,0.016,total_pjm_reg_purchases,0.0,0.0,0
6,0.016,gen_fuel_other_renewables_mw,0.022674,0.001199,1
6,0.016,total_lmp_da,0.0,0.0,0
6,0.016,total_pjm_rmpcp_cr,0.0,0.0,0
6,0.016,forecast_load_mw_day_ahead,0.0,0.0,0
6,0.016,total_pjm_rmccp_cr,0.0,0.0,0
6,0.016,gen_fuel_wind_mw,0.050925,0.001812,1
6,0.016,da_as_total_mw_synchronized_reserve,0.0,0.0,0
6,0.016,system_energy_price_da,0.012679,0.000898,0
6,0.016,gen_fuel_multiple_fuels_pct,0.0,0.0,0
6,0.016,gen_fuel_multiple_fuels_mw,0.035812,0.001205,1
6,0.016,marginal_loss_price_rt,0.0,0.0,0
6,0.016,gen_fuel_gas_pct,0.0,0.0,0
6,0.016,marginal_loss_price_da,0.0,0.0,0
6,0.016,total_lmp_rt,0.0,0.0,0
6,0.016,rmccp,0.0,0.0,0
6,0.016,system_energy_price_rt,0.0,0.0,0
6,0.016,rmpcp,0.0,0.0,0
6,0.016,gen_fuel_wind_pct,0.0,0.0,0
6,0.016,gen_fuel_coal_mw,0.124805,0.004415,1
6,0.016,wind_generation_mw,0.0,0.0,0
6,0.016,gross_inadv_interchange_mw,0.020381,0.001193,1
6,0.016,gen_fuel_oil_mw,0.023015,0.000795,1
6,0.016,da_as_mcp_primary_reserve,0.0,0.0,0
6,0.016,total_pjm_rt_load_mwh,0.00042,0.000325,0
6,0.016,metered_load_mw,0.000448,0.000317,0
6,0.016,forecast_load_mw_latest_available,0.0,0.0,0
6,0.016,prelim_load_avg_hourly,0.287355,0.010851,1
6,0.016,gross_actual_interchange_mw,0.022085,0.001157,1
6,0.016,gen_fuel_hydro_mw,0.043116,0.00138,1
6,0.016,total_pjm_loc_credit,0.0,0.0,0
6,0.016,total_losses,0.026607,0.000885,1
6,0.016,net_inadv_interchange_mw,0.0,0.0,0
6,0.016,da_as_nsr_mw_primary_reserve,0.019473,0.00115,0
6,0.016,total_pjm_self_sched_reg,0.013305,0.001331,0
6,0.016,da_as_ss_mw_synchronized_reserve,0.0,0.0,0
6,0.016,da_as_ss_mw_thirty_minutes_reserve,0.023809,0.001161,1
6,0.016,da_as_ss_mw_primary_reserve,0.0,0.0,0
6,0.016,gen_fuel_solar_mw,0.070855,0.002639,1
6,0.016,gen_fuel_coal_pct,0.0,0.0,0
6,0.016,congestion_price_rt,0.012011,0.001133,0
6,0.016,da_as_mcp_synchronized_reserve,0.0,0.0,0
6,0.016,congestion_price_da,0.010897,0.001579,0
7,0.032,da_as_as_mw_thirty_minutes_reserve,0.0,0.0,0
7,0.032,da_as_total_mw_thirty_minutes_reserve,0.0,0.0,0
7,0.032,gross_sched_interchange_mw,0.021677,0.000816,1
7,0.032,gen_fuel_nuclear_mw,0.033896,0.000768,1
7,0.032,gen_fuel_gas_mw,0.099826,0.003332,1
7,0.032,da_as_as_req_mw_thirty_minutes_reserve,0.0,0.0,0
7,0.032,da_as_as_req_mw_primary_reserve,0.021089,0.001142,1
7,0.032,da_as_as_req_mw_synchronized_reserve,0.0,0.0,0
7,0.032,total_pjm_assigned_reg,0.0,0.0,0
7,0.032,da_as_as_mw_primary_reserve,0.0,0.0,0
7,0.032,da_as_total_mw_primary_reserve,0.0,0.0,0
7,0.032,da_as_as_mw_synchronized_reserve,0.0,0.0,0
7,0.032,total_pjm_reg_purchases,0.0,0.0,0
7,0.032,gen_fuel_other_renewables_mw,0.017946,0.000806,0
7,0.032,total_lmp_da,0.0,0.0,0
7,0.032,total_pjm_rmpcp_cr,0.0,0.0,0
7,0.032,forecast_load_mw_day_ahead,0.0,0.0,0
7,0.032,total_pjm_rmccp_cr,0.0,0.0,0
7,0.032,gen_fuel_wind_mw,0.02819,0.00085,1
7,0.032,da_as_total_mw_synchronized_reserve,0.0,0.0,0
7,0.032,system_energy_price_da,0.0,0.0,0
7,0.032,gen_fuel_multiple_fuels_pct,0.0,0.0,0
7,0.032,gen_fuel_multiple_fuels_mw,0.02249,0.00072,1
7,0.032,marginal_loss_price_rt,0.0,0.0,0
7,0.032,gen_fuel_gas_pct,0.0,0.0,0
7,0.032,marginal_loss_price_da,0.0,0.0,0
7,0.032,total_lmp_rt,0.0,0.0,0
7,0.032,rmccp,0.0,0.0,0
7,0.032,system_energy_price_rt,0.0,0.0,0
7,0.032,rmpcp,0.0,0.0,0
7,0.032,gen_fuel_wind_pct,0.0,0.0,0
7,0.032,gen_fuel_coal_mw,0.069262,0.00192,1
7,0.032,wind_generation_mw,0.0,0.0,0
7,0.032,gross_inadv_interchange_mw,0.013833,0.00079,0
7,0.032,gen_fuel_oil_mw,0.014037,0.000505,0
7,0.032,da_as_mcp_primary_reserve,0.0,0.0,0
7,0.032,total_pjm_rt_load_mwh,0.0,0.0,0
7,0.032,metered_load_mw,0.0,0.0,0
7,0.032,forecast_load_mw_latest_available,0.0,0.0,0
7,0.032,prelim_load_avg_hourly,0.147039,0.005315,1
7,0.032,gross_actual_interchange_mw,0.012145,0.001098,0
7,0.032,gen_fuel_hydro_mw,0.028375,0.000731,1
7,0.032,total_pjm_loc_credit,0.0,0.0,0
7,0.032,total_losses,0.018969,0.000656,0
7,0.032,net_inadv_interchange_mw,0.0,0.0,0
7,0.032,da_as_nsr_mw_primary_reserve,0.0,0.0,0
7,0.032,total_pjm_self_sched_reg,0.0,0.0,0
7,0.032,da_as_ss_mw_synchronized_reserve,0.0,0.0,0
7,0.032,da_as_ss_mw_thirty_minutes_reserve,0.015288,0.001041,0
7,0.032,da_as_ss_mw_primary_reserve,0.0,0.0,0
7,0.032,gen_fuel_solar_mw,0.038299,0.00134,1
7,0.032,gen_fuel_coal_pct,0.0,0.0,0
7,0.032,congestion_price_rt,0.0,0.0,0
7,0.032,da_as_mcp_synchronized_reserve,0.0,0.0,0
7,0.032,congestion_price_da,0.0,0.0,0
