field,pearson,spearman,kendall,nmi,distance_corr,hsic,pearson_pass,spearman_pass,kendall_pass,nmi_pass,distance_corr_pass,hsic_pass,n_pass,kept,target
da_as_as_req_mw_synchronized_reserve,0.11454289894579595,0.18055995213814668,0.12580499469514708,0.051456752942506186,0.08246765793273267,0.0036479731308823025,0,1,1,1,0,0,3,1,gross_actual_interchange_mw
da_as_as_req_mw_primary_reserve,0.1145552567171137,0.18055995213814668,0.12580499469514708,0.051456752942506186,0.08248053993521406,0.0036484099458646327,0,1,1,1,0,0,3,1,gross_actual_interchange_mw
rmccp,0.07625088448014596,0.17543015712512114,0.1143002231515785,0.011050288798671442,0.14200421967921442,0.014765109852579015,0,1,1,0,1,0,3,1,gross_actual_interchange_mw
net_sched_interchange_mw,0.041732219938646786,0.013158376819754104,0.016037522770766578,0.017524208869204593,0.12137812549244908,0.02115287397132507,0,0,0,1,0,1,2,1,gross_actual_interchange_mw
net_actual_interchange_mw,0.04574366323817764,0.009658818994455703,0.014486746995184796,0.018121470222237913,0.12048108488795886,0.021071147415869906,0,0,0,1,0,1,2,1,gross_actual_interchange_mw
gen_fuel_hydro_pct,0.023808509516525682,0.022833659897776627,0.027989861465719888,0.02596472818381792,0.131519773618928,0.028011958597236968,0,0,0,1,0,1,2,1,gross_actual_interchange_mw
gen_fuel_hydro_mw,0.089333710055718,0.030442132926988833,0.007778149236297442,0.024179375407151,0.1372902786850508,0.027816753681129666,0,0,0,1,0,1,2,1,gross_actual_interchange_mw
da_as_as_mw_primary_reserve,0.12945574216066003,0.1301000463268516,0.0842342996343252,0.020629419905982518,0.11591211361409835,0.00805236700395499,1,0,0,1,0,0,2,1,gross_actual_interchange_mw
da_as_nsr_mw_primary_reserve,0.09090689545287152,0.08100434523196537,0.04750762592400916,0.01707251976972482,0.11810399589440988,0.008591470370820165,0,0,0,1,0,0,1,1,gross_actual_interchange_mw
da_as_mcp_synchronized_reserve,0.05119935269872973,0.05308437453482011,0.036116938361560984,0.018249459316250733,0.06761611632682689,0.005757842814667783,0,0,0,1,0,0,1,1,gross_actual_interchange_mw
