total_gen,total_losses,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,metered_load_mw,rmccp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,system_energy_price_rt,marginal_loss_price_rt,net_actual_interchange_mw,net_sched_interchange_mw,gross_actual_interchange_mw,gross_inadv_interchange_mw
0.0,0.24272835,1.2735386e-22,0.0,0.0,0.14777392,0.05618681,0.18127514,0.06854662,0.0,0.16837995,0.23254272,0.22766857,0.0,0.17585796,0.0,0.22118391,0.106626935,0.22747974,0.0,0.0,0.10448496,0.15104505,0.0,0.16570799,0.0,0.11887071,0.09182978,0.08349601,0.14068139,0.00010606789,0.0,0.1990776,0.1962,0.060315702,0.17358762,1.931406e-09,0.22739294,0.21169744,0.32003418,0.32737622,0.0,0.21544978,0.17200959,0.114819415
0.0,0.24013709,2.8994358e-24,0.0,0.0,0.14407872,0.053555638,0.19650862,0.06526875,0.0,0.16377868,0.23390588,0.2286806,0.0,0.17226121,0.0,0.22077541,0.104376025,0.22240071,0.0,0.0,0.10035579,0.14725637,0.0,0.16045582,0.0,0.11545487,0.08631213,0.081408106,0.13328065,6.14491e-05,0.0,0.19805096,0.18957418,0.059219014,0.17449702,5.18492e-10,0.22551438,0.20780882,0.31429031,0.3273691,0.0,0.20777094,0.17011991,0.11759973
0.0,0.23971683,4.8559935e-26,0.0,0.0,0.14097708,0.05359311,0.19102874,0.06603216,0.0,0.15723372,0.22814725,0.22622626,0.0,0.16937737,0.0,0.22102083,0.10837959,0.22360928,0.0,0.0,0.100041755,0.1452398,0.0,0.1604858,0.0,0.118597984,0.08034651,0.08145826,0.12850341,3.402963e-05,0.0,0.19709735,0.19403939,0.05616622,0.17149109,1.2602755e-10,0.22607632,0.21050243,0.31192273,0.32499483,0.0,0.21057725,0.1676985,0.11622868
0.0,0.241909,5.816153e-28,0.0,0.0,0.14192612,0.050853107,0.18335465,0.06432805,0.0,0.16390777,0.22782427,0.22234598,0.0,0.17322098,0.0,0.22013865,0.10807227,0.2142129,0.0,0.0,0.09427501,0.14257751,0.0,0.16034004,0.0,0.117640376,0.07843569,0.08092106,0.12773024,1.8102775e-05,0.0,0.19932762,0.20128338,0.057439942,0.16931371,2.7520514e-11,0.22230397,0.20472714,0.30333784,0.32820186,0.0,0.20640174,0.16574456,0.11607869
0.0,0.23731326,4.826925e-30,0.0,0.0,0.13795795,0.048652433,0.18653996,0.062324967,0.0,0.16865595,0.22259073,0.22428043,0.0,0.16524427,0.0,0.21979344,0.10581037,0.2159421,0.0,0.0,0.09579898,0.15218908,0.0,0.16481903,0.0,0.11398857,0.088525355,0.08114393,0.13184568,9.156359e-06,0.0,0.18721452,0.19056548,0.05498193,0.17511795,5.353729e-12,0.2165942,0.20202705,0.30591503,0.31637385,0.0,0.20576225,0.16247204,0.11207068
0.0,0.24282022,2.679011e-32,0.0,0.0,0.1423901,0.04704149,0.18357971,0.05874561,0.0,0.15556839,0.22223024,0.22068828,0.0,0.17266597,0.0,0.21971889,0.10902845,0.21444722,0.0,0.0,0.09432677,0.14302506,0.0,0.15977812,0.0,0.11756655,0.082156196,0.079943836,0.1254102,4.4135836e-06,0.0,0.19215971,0.1896077,0.05622158,0.16703607,9.193555e-13,0.22642908,0.20813993,0.2962199,0.31474903,0.0,0.200288,0.16793504,0.11248303
0.0,0.23030499,9.5528884e-35,0.0,0.0,0.14523317,0.04593859,0.1850716,0.059197925,0.0,0.15239656,0.22040291,0.21605662,0.0,0.16896066,0.0,0.22024466,0.10918309,0.21685448,0.0,0.0,0.090350635,0.14994398,0.0,0.16096482,0.0,0.11957543,0.085930206,0.07880973,0.12457907,2.0139723e-06,0.0,0.18763821,0.18659326,0.057932835,0.16864644,1.379782e-13,0.21767502,0.2006473,0.29568624,0.31975734,0.0,0.19866903,0.16579793,0.1169328
0.0,0.23772089,2.0908938e-37,0.0,0.0,0.14106007,0.043208726,0.18261193,0.055269692,0.0,0.14805456,0.21820784,0.21541688,0.0,0.16307026,0.0,0.2092629,0.11256546,0.20911336,0.0,0.0,0.09050591,0.14791825,0.0,0.16159974,0.0,0.11743678,0.07581736,0.07528344,0.119876966,8.658999e-07,0.0,0.19348739,0.18842894,0.060440462,0.16462313,1.7903236e-14,0.21586224,0.19746621,0.2976691,0.31482416,0.0,0.1970377,0.15978697,0.1162752
0.0,0.23358507,2.66572e-40,0.0,0.0,0.13833712,0.04127451,0.17685042,0.054874208,0.0,0.1510236,0.21390429,0.21589622,0.0,0.16830592,0.0,0.21846868,0.10544473,0.2130874,0.0,0.0,0.088956654,0.13987176,0.0,0.15800227,0.0,0.11257359,0.07409091,0.07390562,0.1201729,3.4962716e-07,0.0,0.18878055,0.18567218,0.05572996,0.17050669,1.9848216e-15,0.21326014,0.19568291,0.2935842,0.30621204,0.0,0.19511893,0.16145036,0.117139824
0.0,0.2306716,1.86e-43,0.0,0.0,0.14246787,0.040977605,0.17905015,0.051347546,0.0,0.14822355,0.21615173,0.21324238,0.0,0.17037098,0.0,0.21113996,0.10486393,0.21011372,0.0,0.0,0.09044756,0.14222074,0.0,0.15451346,0.0,0.11324057,0.07270309,0.07679243,0.12170835,1.3188013e-07,0.0,0.18622711,0.18144593,0.058018375,0.16478549,1.8560482e-16,0.22270837,0.1946118,0.28748637,0.30608442,0.0,0.20046483,0.15919036,0.11102053
