area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_losses_mw,area_1_net_export_mw,area_2_net_export_mw,area_3_net_export_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_wind_mw,gen_fuel_solar_mw
-0.9731146,-1.0464398,1.0103511,-0.7763647,-0.9578291,-1.03463,1.0079751,-1.1036475,1.5894662,-1.0993484,0.9717181,1.5792375,0.937256,0.37473917,-0.9567942,-1.0890994,1.8878591,1.3148701,-0.78087366,-0.92546374,2.047979,2.039543
-0.99771154,-1.0622611,1.004616,-0.79817516,-0.9778973,-1.0521562,1.0185974,-1.1197155,1.6079671,-1.1094981,0.9739325,1.5840838,0.95438063,0.3596536,-0.9839633,-1.1060462,1.8905458,1.3288441,-0.785667,-0.9429369,2.05277,2.050414
-1.0038123,-1.0780259,1.0096077,-0.83183676,-0.99804413,-1.0662262,1.0030026,-1.1341031,1.619099,-1.1161778,0.9953231,1.5883613,0.95799315,0.36302632,-1.007506,-1.1220906,1.8996241,1.3344413,-0.8086479,-0.96109885,2.0633209,2.0658314
-1.0313168,-1.0899988,1.014872,-0.8587322,-1.0076382,-1.0865208,1.000119,-1.1528418,1.6558453,-1.1392488,1.0204206,1.6122334,0.98194534,0.36355576,-1.0242131,-1.1381118,1.9078935,1.3618697,-0.8330069,-0.9861283,2.0705712,2.0728178
-1.0494714,-1.1064104,1.0050286,-0.889464,-1.0225278,-1.0987114,1.0085149,-1.159168,1.6612221,-1.1565034,1.0297115,1.6148287,0.98233706,0.3458722,-1.0452602,-1.1469386,1.9210073,1.3843048,-0.8560534,-1.0017403,2.084349,2.0755696
-1.0707643,-1.1203297,1.007773,-0.9148984,-1.0599183,-1.1108054,1.0015422,-1.1763692,1.6719302,-1.1759009,1.059666,1.6235764,1.0028566,0.33446607,-1.0650854,-1.1676651,1.9346749,1.4064211,-0.86931354,-1.0150508,2.0906014,2.0912528
-1.0868444,-1.1314151,1.0039351,-0.9304872,-1.0748136,-1.1273156,1.0033894,-1.1894146,1.6867527,-1.1877438,1.0524942,1.6195285,1.0006262,0.3340794,-1.0786891,-1.1825182,1.9436595,1.4363414,-0.8808925,-1.0282252,2.1044738,2.1068945
-1.099349,-1.1407393,1.0064257,-0.95195335,-1.091623,-1.1436667,1.0001191,-1.2039268,1.7033515,-1.191613,1.0749869,1.631059,1.0091839,0.32587966,-1.1018717,-1.1971921,1.9665279,1.4632905,-0.9019991,-1.0429409,2.1200418,2.1069589
-1.1031854,-1.1706327,1.0050372,-0.9727661,-1.1029867,-1.1600202,0.99098027,-1.2162645,1.7175038,-1.221772,1.1014221,1.6547742,1.0255253,0.3278914,-1.1339973,-1.2197453,1.9673257,1.4695641,-0.92467,-1.056696,2.1413069,2.1119401
-1.1217893,-1.17199,1.0008645,-0.9889127,-1.1136978,-1.1768016,1.0014842,-1.229192,1.7295105,-1.2344927,1.1272749,1.660269,1.0322026,0.30758563,-1.1486105,-1.2336439,1.9901705,1.4854801,-0.9457467,-1.0595748,2.1439414,2.123257
-1.1273103,-1.1594896,0.99975795,-1.0069541,-1.1203672,-1.1929581,1.0057374,-1.2419671,1.7459725,-1.2442275,1.1386107,1.6762791,1.040883,0.30472758,-1.1626824,-1.2527401,1.990229,1.5094757,-0.9610049,-1.0728214,2.1473887,2.129606
-1.1354725,-1.1465558,1.007471,-1.0198123,-1.1280998,-1.2252609,1.0119936,-1.2545818,1.7414422,-1.254634,1.1485575,1.6941205,1.0653267,0.2896029,-1.1768154,-1.265709,1.9904565,1.5345664,-0.9879628,-1.0803447,2.1508038,2.1263793
-1.1483806,-1.1577067,1.0048717,-1.0412936,-1.1402898,-1.2345041,1.0205777,-1.2783362,1.7510362,-1.2752464,1.1623644,1.6940613,1.0892713,0.28220025,-1.1909951,-1.2545483,2.0139213,1.5424513,-1.0020115,-1.0867293,2.1508038,2.1274278
-1.1615072,-1.1692253,1.0035738,-1.0575138,-1.1523179,-1.2442554,1.0089357,-1.2901851,1.796701,-1.2822973,1.1886427,1.7072723,1.0994728,0.2721541,-1.2052072,-1.2622942,2.011444,1.5384446,-1.0197172,-1.0948839,2.1540642,2.1416314
-1.1804903,-1.1771683,1.009131,-1.0694177,-1.188354,-1.2539558,1.0011201,-1.3019431,1.7983538,-1.2919214,1.1995438,1.7098949,1.1163439,0.25557086,-1.2222563,-1.2708251,2.01145,1.5579846,-1.0344672,-1.1078284,2.1490097,2.154815
-1.1719142,-1.1876163,1.0079385,-1.0877868,-1.1964487,-1.2468779,1.0037645,-1.3138028,1.8101627,-1.3018253,1.2015235,1.7332797,1.1340729,0.2480918,-1.2362479,-1.2784054,2.0239305,1.5799842,-1.050726,-1.1181604,2.152333,2.1675282
-1.1766399,-1.205376,0.998174,-1.1046182,-1.2058107,-1.2562623,1.0026097,-1.3257525,1.8028094,-1.3124474,1.2150444,1.732528,1.1365073,0.23940414,-1.2621353,-1.2862248,2.0243526,1.58804,-1.0729564,-1.1387628,2.1590874,2.1725938
-1.2152553,-1.2153478,0.9986964,-1.119705,-1.2061604,-1.2658861,1.0198504,-1.3189242,1.8083625,-1.3226753,1.2377971,1.7467322,1.1408571,0.2120173,-1.2765445,-1.294279,2.0422387,1.6214834,-1.0882903,-1.1631657,2.1596313,2.1707628
-1.2202634,-1.2233684,1.006608,-1.1402478,-1.231842,-1.280978,1.0236425,-1.331774,1.809951,-1.3330649,1.2623366,1.7958952,1.1382868,0.20449784,-1.2891201,-1.2917753,2.0366893,1.6277134,-1.1007285,-1.1714075,2.1956835,2.1707628
-1.2228221,-1.231638,1.002637,-1.1632274,-1.2396693,-1.2906119,1.0186312,-1.3413785,1.8173838,-1.3436055,1.2925432,1.8117876,1.1477578,0.193814,-1.301759,-1.3002527,2.0372674,1.6344937,-1.109534,-1.156437,2.2064688,2.1766238
-1.2279259,-1.2475283,0.9956033,-1.1775616,-1.2477428,-1.3004258,1.0323234,-1.3511599,1.8215334,-1.3542862,1.3174478,1.8175374,1.1449751,0.18624833,-1.3144499,-1.3089515,2.0724778,1.6433382,-1.131187,-1.178275,2.2063508,2.1826122
-1.2335529,-1.2551317,0.9908445,-1.1909018,-1.253125,-1.2830706,1.0335642,-1.3611089,1.8529252,-1.3668097,1.3447125,1.8178684,1.1497332,0.18617053,-1.327181,-1.3180195,2.09497,1.6488175,-1.1480972,-1.1732405,2.2246583,2.1826122
-1.2394221,-1.273263,0.9906337,-1.2043256,-1.2605919,-1.2867029,1.0371612,-1.371215,1.8626251,-1.3776481,1.3588686,1.8176793,1.1704915,0.16280659,-1.3399434,-1.3328267,2.126437,1.6585089,-1.1639861,-1.1701616,2.2247093,2.1776028
-1.2573644,-1.2817612,1.0001822,-1.2178177,-1.2755626,-1.2924335,1.0340554,-1.3737394,1.8696964,-1.3885685,1.3684103,1.8277626,1.1860502,0.15927689,-1.352725,-1.3302693,2.132231,1.6657672,-1.1836467,-1.1815882,2.2247093,2.1756675
-1.2681454,-1.2897522,0.9696258,-1.2245984,-1.2824546,-1.2983997,1.0515983,-1.3731622,1.8994766,-1.4165154,1.3676881,1.8298616,1.2049484,0.14278384,-1.3661574,-1.3381114,2.135935,1.6805749,-1.205553,-1.1891949,2.2395477,2.18584
-1.2667055,-1.2980739,0.96081555,-1.2383533,-1.2912073,-1.3021833,1.0393412,-1.3798149,1.8990709,-1.4486336,1.3834639,1.8319496,1.2352709,0.1122213,-1.3789016,-1.3461752,2.1360025,1.7128884,-1.2143496,-1.1859424,2.24679,2.206279
-1.2691109,-1.3065184,0.9760168,-1.2544063,-1.300175,-1.2996602,1.0428338,-1.3871555,1.9046429,-1.457963,1.3922406,1.8562975,1.2516292,0.1025959,-1.3876061,-1.3735139,2.141614,1.7359952,-1.2262366,-1.190762,2.2509692,2.2259598
-1.2753468,-1.3151823,0.9756902,-1.252258,-1.3111408,-1.3063107,1.0587906,-1.394713,1.9089876,-1.4627866,1.4206645,1.8635982,1.2729833,0.073327474,-1.369028,-1.37202,2.1526551,1.7551128,-1.2364827,-1.2034,2.2509692,2.2284894
-1.2818362,-1.3240587,0.96972954,-1.2620518,-1.320422,-1.3137417,1.0698161,-1.4024823,1.91253,-1.4676678,1.4253238,1.8651267,1.2943995,0.05786822,-1.3847117,-1.3781842,2.1433854,1.7603692,-1.2494632,-1.2137295,2.2509692,2.2284894
-1.2885672,-1.3386698,0.9794127,-1.2763413,-1.329894,-1.3316115,1.0711842,-1.4104581,1.9082016,-1.4727551,1.4344693,1.8590318,1.3002425,0.03867209,-1.393512,-1.3845747,2.1422327,1.7835765,-1.262229,-1.2245163,2.2639308,2.2266166
-1.3004695,-1.3410101,0.9893853,-1.3100586,-1.3395517,-1.3389753,1.0726408,-1.4149394,1.926864,-1.4581094,1.4507966,1.8518858,1.32183,0.0060884887,-1.4000826,-1.3911891,2.144764,1.7969669,-1.2743084,-1.232673,2.309416,2.2424595
-1.3074598,-1.3415449,1.0019282,-1.3244014,-1.3493853,-1.3441647,1.0795107,-1.4234161,1.9388213,-1.4630888,1.473935,1.8639973,1.3499948,-0.009340549,-1.4200243,-1.4217027,2.1686304,1.8041116,-1.2862774,-1.2410703,2.323728,2.2435722
-1.3174249,-1.3502109,1.0097636,-1.3338127,-1.3593847,-1.3495768,1.0825071,-1.4265692,1.9475672,-1.4683062,1.4883046,1.882738,1.3715739,-0.02379405,-1.4259039,-1.4251462,2.1850104,1.807193,-1.2988223,-1.2497069,2.319458,2.2435722
-1.3296859,-1.3403562,1.004477,-1.3555777,-1.3695401,-1.3552138,1.0852824,-1.42721,1.9709587,-1.4737327,1.4951491,1.8855327,1.3876162,-0.05608336,-1.4319886,-1.4287094,2.1848176,1.8115988,-1.3109461,-1.2523533,2.3275757,2.2456126
-1.3367828,-1.3553743,1.0098491,-1.3654448,-1.379841,-1.3610767,1.0813794,-1.4044677,1.9694246,-1.4793686,1.5073899,1.9049525,1.400732,-0.08608408,-1.4382904,-1.4325339,2.202991,1.8124985,-1.3231469,-1.2508826,2.3355577,2.2747014
-1.3441094,-1.3637992,1.0042989,-1.3727214,-1.3902764,-1.3671666,1.0930176,-1.4087584,1.9783745,-1.4852144,1.5221004,1.9158801,1.3967037,-0.11390773,-1.4448074,-1.4364812,2.2074144,1.8160641,-1.3400855,-1.2680461,2.3355577,2.2798576
-1.3516625,-1.3893037,0.9995908,-1.3802187,-1.4008363,-1.3888412,1.0852011,-1.4132723,2.0019834,-1.491269,1.5306327,1.9176091,1.4068345,-0.13531262,-1.4515374,-1.4406202,2.207457,1.8352964,-1.35196,-1.2868055,2.3621068,2.2798576
-1.3594376,-1.3958534,1.0143889,-1.3879323,-1.41151,-1.3962126,1.0919309,-1.4179913,2.0048993,-1.4975318,1.5461614,1.9220066,1.4203519,-0.15736367,-1.4584779,-1.4449546,2.2124987,1.8387278,-1.3639023,-1.2924153,2.3621256,2.2798576
-1.3807881,-1.394332,1.0215416,-1.395857,-1.422287,-1.4087662,1.0965248,-1.4229183,2.0033805,-1.5040003,1.5720878,1.9297036,1.4317465,-0.1843331,-1.4656248,-1.4525476,2.2125075,1.8278408,-1.3759015,-1.298331,2.3637161,2.2798576
-1.3880482,-1.4013835,1.0174876,-1.4193274,-1.4331571,-1.4147013,1.0975437,-1.4257499,2.004225,-1.5106722,1.589556,1.937763,1.4459615,-0.20451221,-1.4729744,-1.4571775,2.2169507,1.8304915,-1.3879483,-1.3193126,2.3637161,2.2798576
-1.3955076,-1.4086708,1.011685,-1.4258442,-1.4441106,-1.434604,1.1248969,-1.4285424,2.003979,-1.5175443,1.6100302,1.9437027,1.4840018,-0.23997675,-1.4805217,-1.4620109,2.2169507,1.8410095,-1.406649,-1.3295166,2.3637161,2.2798576
-1.4031799,-1.4392962,1.0233428,-1.4325773,-1.4551374,-1.4384571,1.1066042,-1.4341946,2.022853,-1.5246122,1.6149102,1.9508629,1.4853538,-0.2692437,-1.4882612,-1.4670498,2.2160203,1.840878,-1.4180182,-1.3320358,2.3637161,2.2978752
-1.4110606,-1.4470545,1.0263972,-1.4395242,-1.4662275,-1.4422878,1.1089045,-1.4653795,2.0181308,-1.5318718,1.6244661,1.9532721,1.4908005,-0.30152333,-1.496187,-1.4722961,2.2160149,1.8451331,-1.4294499,-1.3375015,2.3637161,2.2986689
