底集规模,加入字段,代理增量,真实增量,真值不确定度,可分辨,符号一致,绝对误差
2,area_3_net_export_mw,0.08728475279112047,0.18148658507664334,0.02054473500647346,True,True,0.09420183228552287
4,day_of_week,-0.0227368060743115,0.00011844287595225156,0.010246106916154176,False,False,0.02285524895026375
4,area_2_net_export_mw,0.09347015819771032,0.13778519302068692,0.010577131845957648,True,True,0.04431503482297661
4,gen_fuel_natural_gas_mw,0.013337334659169198,0.01000107194671529,0.012750854863596311,False,True,0.003336262712453908
4,gen_fuel_wind_mw,0.1678590137664463,0.13306744331329096,0.010665018153403063,True,True,0.03479157045315534
4,reserve_spin_r3_mw,-0.019089878544566563,0.0031585908321645206,0.010229685808464012,False,False,0.022248469376731084
4,gen_fuel_coal_mw,0.06095859013300975,0.032637156532175915,0.01582187966604108,True,True,0.028321433600833834
4,area_3_load_day_ahead_mw,0.02226564674755971,0.048485507131449584,0.00873760584231309,True,True,0.026219860383889876
4,reserve_spin_r3_mw,-0.01651943418776658,0.011813276165565267,0.0047640173404263665,True,False,0.028332710353331847
8,area_2_fuel_natural_gas_mw,-0.03905587949365352,-0.7249321346085276,0.2111921105387252,True,True,0.685876255114874
8,area_1_fuel_natural_gas_mw,-0.013115069465202911,-0.01377536479628061,0.006150463302171041,True,True,0.0006602953310776982
8,area_1_generation_mw,0.013223469805353272,0.05762766935350638,0.00897682701480488,True,True,0.04440419954815311
8,area_1_load_day_ahead_mw,-0.015719017006556202,0.011048713679799371,0.016737711983975525,False,False,0.026767730686355573
8,area_3_fuel_coal_mw,0.15996864058595983,-0.008399486880085258,0.07798762169943217,False,False,0.1683681274660451
8,gen_fuel_natural_gas_mw,-0.20499524926566148,-0.23587822530993963,0.0975171421617765,True,True,0.030882976044278143
8,area_2_load_day_ahead_mw,0.16094590951076626,0.07688352128828224,0.016270457207846846,True,True,0.08406238822248402
8,gen_fuel_natural_gas_mw,0.008341911022409887,0.009112020242139085,0.017413449010002365,False,True,0.0007701092197291981
16,gen_fuel_nuclear_mw,0.2599405012647177,0.14076102916622807,0.0445817984255067,True,True,0.11917947209848961
16,reserve_spin_r1_mw,0.00942736628590457,-0.0085235287082156,0.003841901143807403,True,False,0.01795089499412017
16,area_1_fuel_natural_gas_mw,0.00837137136888011,0.009817112239077108,0.039357278871683325,False,True,0.0014457408701969987
16,area_3_generation_mw,0.01698264406113914,0.016641415427053774,0.10288716842592265,False,True,0.0003412286340853665
16,reserve_reg_down_mw,0.0009606519311260442,-0.004386298931515209,0.003194857326084596,False,False,0.005346950862641253
16,reserve_spin_r1_mw,-0.006539795501409595,0.0033739288510810095,0.003699006604220625,False,False,0.009913724352490605
16,area_1_fuel_wind_mw,0.08312674454645241,0.1663822682144631,0.08286949603645029,True,True,0.0832555236680107
16,day_of_week,-0.0037152334567005507,-0.0032984703040646046,0.004230275689803084,False,True,0.0004167631526359461
30,area_3_fuel_coal_mw,0.006770346526069448,0.0005861061487788533,0.0020424187412573834,False,True,0.006184240377290595
30,reserve_spin_r1_mw,0.08448480609031794,0.0006684111570859352,0.014401428738400033,False,True,0.08381639493323201
30,month_of_year,-0.3610681280096514,-0.06845430920680218,0.015578356938482604,True,True,0.2926138188028492
30,area_3_fuel_wind_mw,-0.001492884394386551,0.015814858197017556,0.01873547072817222,False,False,0.017307742591404107
30,area_1_fuel_nuclear_mw,0.012800777135560826,-0.10519319377776615,0.06617635922760028,False,False,0.11799397091332697
30,area_2_net_export_mw,0.014952778338840234,-0.02567452805006043,0.06868147864583511,False,False,0.040627306388900664
30,gen_fuel_natural_gas_mw,-0.019031407626054708,-0.005377954197624435,0.033959497108373864,False,True,0.013653453428430273
30,area_3_fuel_wind_mw,0.002324478545085551,-0.0013638807342832848,0.0021365625550427065,False,False,0.003688359279368836
45,hour_of_day,-0.0037895807358603317,-0.031933566965849036,0.023701150018659328,False,True,0.028143986229988704
45,area_2_fuel_hydro_mw,0.007803324525974098,-0.021363357421715246,0.02346932932057712,False,False,0.029166681947689344
45,area_3_load_day_ahead_mw,-0.0007057421800775732,-0.020713183053952977,0.03137588997902548,False,True,0.020007440873875404
45,system_losses_mw,0.0039476421348551005,-0.03051234159612648,0.02507732020847453,False,False,0.03445998373098158
45,area_2_load_actual_mw,-3.695583181884121e-05,-0.0034395186115184773,0.024392741681547286,False,True,0.003402562779699636
45,area_1_fuel_natural_gas_mw,0.0014805023117502314,-0.04224779134462142,0.022026849061792423,False,False,0.04372829365637165
45,reserve_spin_r2_mw,-0.0032993888880242794,-0.0174820478863702,0.02378959341328547,False,True,0.01418265899834592
45,area_2_net_export_mw,0.014048970447536502,-0.024533274737129407,0.020863659077309544,False,False,0.03858224518466591
