area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_generation_mw,system_losses_mw,area_1_net_export_mw,area_2_net_export_mw,area_3_net_export_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_wind_mw,gen_fuel_solar_mw,area_1_fuel_coal_mw,area_1_fuel_natural_gas_mw,area_1_fuel_nuclear_mw,area_1_fuel_hydro_mw,area_1_fuel_wind_mw,area_1_fuel_solar_mw,area_1_generation_mw,area_2_fuel_coal_mw,area_2_fuel_natural_gas_mw,area_2_fuel_hydro_mw,area_2_fuel_solar_mw,area_2_generation_mw,area_3_fuel_coal_mw,area_3_fuel_natural_gas_mw,area_3_fuel_hydro_mw,area_3_fuel_wind_mw,area_3_fuel_solar_mw,area_3_generation_mw,hour_of_day,day_of_week,month_of_year,is_weekend
2.3554667e-05,1.2131261e-08,2.6770558e-11,1.2351466e-10,4.563667e-07,7.7112e-11,0.027089281,1.2743825e-10,2.1227754e-10,0.0019995777,0.029761111,3.4658746e-07,0.015248488,0.008492964,1.5761389e-05,4.5481918e-10,2.5835875e-10,4.9730348e-05,9.4711714e-07,1.8206086e-08,4.448865e-07,4.3366336e-07,0.0008038835,2.570774e-09,3.792983e-08,0.049507122,0.046593856,0.035358224,0.15173191,0.035630703,9.400447e-10,0.071690105,0.07477094,0.030578412,0.014615311,0.0010730053,0.044184417,0.09374444,1.10153e-06,0.07312624,0.02299548,0.010174037,2.1944456e-10,4.1161322e-10,2.6071342e-10,3.561311e-10
7.655077e-06,1.7981322e-09,1.928044e-12,1.11143655e-11,9.711645e-08,6.6532934e-12,0.02516711,1.17341015e-11,2.0560926e-11,0.0011246142,0.029072903,6.539893e-08,0.011688073,0.0065155425,4.455641e-06,4.635124e-11,2.4955173e-11,1.7237968e-05,2.1555593e-07,2.6303748e-09,1.0249545e-07,9.962221e-08,0.0004302646,3.2811745e-10,6.036084e-09,0.04714014,0.043981336,0.03334165,0.14433959,0.033543985,1.0517164e-10,0.06757421,0.07337932,0.02975133,0.01354089,0.0005737341,0.04011504,0.09675557,1.9573302e-07,0.06697568,0.022133518,0.0078123,1.9880913e-11,4.2729074e-11,2.5682293e-11,3.632732e-11
2.2721856e-06,2.2854793e-10,1.1185602e-13,8.21561e-13,1.8265032e-08,4.698353e-13,0.022590613,8.893263e-13,1.646479e-12,0.0005979584,0.027403418,1.0798386e-08,0.008791381,0.0049882,1.1353102e-06,3.9226127e-12,1.992365e-12,5.4718566e-06,4.3591804e-08,3.2517292e-10,2.1010942e-08,2.035891e-08,0.00021983706,3.5457165e-11,8.2863827e-10,0.04509791,0.042499613,0.031657908,0.13727133,0.031423952,9.8501615e-12,0.06426128,0.07106364,0.028758034,0.012687251,0.0002890592,0.03635672,0.10096485,3.0224204e-08,0.06283904,0.021013727,0.005628772,1.4804489e-12,3.6893067e-12,2.094674e-12,3.077401e-12
6.1218884e-07,2.4612269e-11,5.1353426e-15,4.9099356e-14,3.0076244e-09,2.6717076e-14,0.021125821,5.4614174e-14,1.07348124e-13,0.00029851845,0.026616687,1.5443521e-09,0.0062441574,0.0036314477,2.5916952e-07,2.7158703e-13,1.2947584e-13,1.5862447e-06,7.764552e-09,3.3978403e-11,3.798485e-09,3.6683925e-09,0.00010644291,3.2016774e-12,9.701076e-11,0.043213427,0.040254403,0.030255055,0.13048697,0.028965956,7.6143004e-13,0.06109777,0.06957312,0.027301183,0.011926892,0.00013810965,0.032465845,0.101862445,4.0180663e-09,0.05825014,0.020346325,0.0040131444,8.918918e-14,2.610616e-13,1.3932276e-13,2.133008e-13
1.487607e-07,2.2162983e-12,1.8294923e-16,2.3312259e-15,4.292037e-10,1.201686e-15,0.019184265,2.6709579e-15,5.603305e-15,0.0001402547,0.025192594,1.8917475e-10,0.0042760316,0.0025433863,5.2631204e-08,1.5133777e-14,6.7343304e-15,4.1690797e-07,1.206376e-09,2.9612465e-12,5.9978417e-10,5.7716587e-10,4.8748137e-05,2.3811603e-13,9.564537e-12,0.04210294,0.03847271,0.028652297,0.12578848,0.026546929,4.7830233e-14,0.05811113,0.06705857,0.026178012,0.011650563,6.226028e-05,0.029424662,0.10236894,4.546647e-10,0.05395951,0.019376976,0.0026894792,4.271822e-15,1.4896204e-14,7.431919e-15,1.1899999e-14
3.235648e-08,1.644907e-13,4.948998e-18,8.6253835e-17,5.2489364e-11,4.191533e-17,0.017554538,1.02061316e-16,2.298507e-16,6.169284e-05,0.024217328,1.9605897e-11,0.0027300005,0.0016118118,9.427749e-09,6.6658216e-16,2.7517893e-16,9.870054e-08,1.6176757e-10,2.1211053e-13,8.1849326e-11,7.8457255e-11,2.1030926e-05,1.4356902e-14,7.832776e-13,0.0402717,0.036864247,0.028424997,0.119381405,0.026143959,2.4001153e-15,0.055594213,0.06562159,0.025949944,0.010763064,2.6407672e-05,0.026048606,0.10141905,4.323635e-11,0.051378004,0.019282881,0.0017358956,1.5956514e-16,6.7326636e-16,3.1215411e-16,5.248262e-16
6.247441e-09,9.904131e-15,9.923749e-20,2.4343537e-18,5.4340816e-12,1.1092867e-18,0.01634914,2.983545e-18,7.259384e-18,2.54023e-05,0.023928003,1.6962624e-12,0.0016468359,0.00094982196,1.4755132e-09,2.2750175e-17,8.654401e-18,2.0882005e-08,1.8505251e-11,1.2287842e-14,9.542623e-12,9.108742e-12,8.506804e-06,6.896588e-16,5.2482727e-14,0.038780447,0.03568758,0.027046967,0.11441166,0.024318108,9.4412555e-17,0.052888855,0.063948005,0.024727052,0.010656258,1.0479232e-05,0.023418713,0.102223754,3.4073037e-12,0.048167855,0.019448247,0.0010687874,4.550381e-18,2.363325e-17,1.0116041e-17,1.7937326e-17
1.0609954e-09,4.7543774e-16,1.4360465e-21,5.1182427e-20,4.69899e-13,2.1740798e-20,0.014698459,6.51834e-20,1.7256582e-19,9.75073e-06,0.023172356,1.207262e-13,0.00093159504,0.0005086248,1.9964837e-10,5.8854335e-19,2.0478242e-19,3.9145363e-09,1.783094e-12,5.656197e-16,9.386182e-13,8.9186335e-13,3.211166e-06,2.5892682e-17,2.8298416e-15,0.03731829,0.03441254,0.026349347,0.10991012,0.022840409,2.8513811e-18,0.05095099,0.062441636,0.023758601,0.010133634,3.874175e-06,0.020636132,0.101184756,2.1912889e-13,0.045387678,0.01947847,0.0006187277,9.6761455e-20,6.304178e-19,2.4732757e-19,4.647477e-19
1.5690178e-10,1.7850349e-17,1.4554509e-23,7.808368e-22,3.3444733e-14,3.0715113e-22,0.013196655,1.0370473e-21,3.0107516e-21,3.4733846e-06,0.022388207,6.9552234e-15,0.0004956744,0.00024276292,2.308691e-11,1.1262391e-20,3.5549024e-21,6.441397e-10,1.427209e-13,2.0287877e-17,7.682468e-14,7.2637636e-14,1.1252275e-06,7.438541e-19,1.2056638e-16,0.03600888,0.033130307,0.0248346,0.10483944,0.022023715,6.460959e-20,0.048546858,0.059280396,0.023164291,0.009758955,1.32706e-06,0.01824283,0.10021049,1.1307942e-14,0.04271974,0.019727651,0.00033818505,1.4945815e-21,1.2474301e-20,4.4496784e-21,8.908334e-21
1.9984243e-11,5.13192e-19,9.990193e-26,8.393566e-24,1.92797e-15,3.0351766e-24,0.01148016,1.1671905e-23,3.748622e-23,1.1431273e-06,0.022194464,3.1865737e-16,0.00024593953,0.00010328999,2.2530042e-12,1.5514468e-22,4.4018413e-23,9.209293e-11,9.345785e-15,5.5494524e-19,5.1541294e-15,4.8471266e-15,3.63953e-07,1.5972559e-20,3.978032e-18,0.034907497,0.032475628,0.024574028,0.101374775,0.021195123,1.0706271e-21,0.04681237,0.059181888,0.022279764,0.009656054,4.1889712e-07,0.015940132,0.099680915,4.5961236e-16,0.04040363,0.019821128,0.00017476283,1.628532e-23,1.7824652e-22,5.729546e-23,1.2294162e-22
