target,中文名,排除关注字段,剥离第一类,初筛,候选数,选中数,全量R2,选中再训练R2,未选中R2,替身字段数,选中字段,run
total_losses,总网损,是,是,否,49,15,0.9263137501861338,0.9409210181413632,0.886759614316577,2,marginal_loss_price_rt|system_energy_price_rt|gen_fuel_coal_pct|gen_fuel_gas_mw|gen_fuel_nuclear_mw|total_pjm_rt_load_mwh|da_as_as_req_mw_thirty_minutes_reserve|wind_generation_mw|system_energy_price_da|gross_sched_interchange_mw|gen_fuel_other_renewables_mw|gen_fuel_solar_pct|da_as_as_mw_thirty_minutes_reserve|gross_inadv_interchange_mw|da_as_mcp_synchronized_reserve,pjm_2025_v2/04b_source_location_excl_targets/stripped_no_screening/target_total_losses/DGatingDNN/run_20260812_014134
total_losses,总网损,是,是,是,42,15,0.9411509031718642,0.9407102834239985,0.8885664391969608,2,marginal_loss_price_rt|total_lmp_rt|prelim_load_avg_hourly|gen_fuel_nuclear_mw|gen_fuel_coal_pct|gen_fuel_gas_pct|gross_sched_interchange_mw|gen_fuel_multiple_fuels_mw|da_as_as_req_mw_synchronized_reserve|gen_fuel_other_renewables_mw|wind_generation_mw|da_as_as_mw_thirty_minutes_reserve|gen_fuel_solar_mw|gross_inadv_interchange_mw|gen_fuel_hydro_mw,pjm_2025_v2/04b_source_location_excl_targets/stripped_with_screening/target_total_losses/DGatingDNN/run_20260812_014727
congestion_price_da,日前阻塞价,是,是,否,48,20,0.6068815557434635,0.7076959086269201,0.45695864403018194,4,gross_inadv_interchange_mw|gen_fuel_nuclear_mw|gen_fuel_coal_pct|gen_fuel_other_renewables_mw|solar_generation_mw|gross_sched_interchange_mw|gen_fuel_multiple_fuels_pct|da_as_as_req_mw_primary_reserve|wind_generation_mw|forecast_load_mw_latest_available|marginal_loss_price_rt|gen_fuel_hydro_mw|da_as_ss_mw_primary_reserve|da_as_mcp_primary_reserve|gen_fuel_oil_mw|total_pjm_loc_credit|gen_fuel_oil_pct|total_lmp_rt|da_as_as_mw_thirty_minutes_reserve|da_as_mcp_synchronized_reserve,pjm_2025_v2/04b_source_location_excl_targets/stripped_no_screening/target_congestion_price_da/DGatingDNN/run_20260812_015418
congestion_price_da,日前阻塞价,是,是,是,40,19,0.6098050557417223,0.6805695899156401,0.512157262106014,3,gen_fuel_other_renewables_mw|gen_fuel_solar_mw|gen_fuel_gas_pct|gross_inadv_interchange_mw|da_as_as_req_mw_thirty_minutes_reserve|gross_sched_interchange_mw|gen_fuel_coal_mw|gen_fuel_multiple_fuels_pct|gen_fuel_hydro_mw|gen_fuel_nuclear_mw|gen_fuel_oil_pct|marginal_loss_price_rt|forecast_load_mw_latest_available|total_pjm_loc_credit|da_as_mcp_primary_reserve|da_as_as_mw_thirty_minutes_reserve|da_as_mcp_synchronized_reserve|total_lmp_rt|rmccp,pjm_2025_v2/04b_source_location_excl_targets/stripped_with_screening/target_congestion_price_da/DGatingDNN/run_20260812_020053
congestion_price_rt,实时阻塞价,是,是,否,46,20,0.4268330744676838,0.45305617842141443,0.4517841138267916,0,rmccp|gross_sched_interchange_mw|gen_fuel_nuclear_pct|wind_generation_mw|gen_fuel_multiple_fuels_pct|gen_fuel_oil_pct|system_energy_price_da|gross_inadv_interchange_mw|gen_fuel_coal_pct|da_as_as_req_mw_primary_reserve|gen_fuel_nuclear_mw|gen_fuel_hydro_pct|total_pjm_assigned_reg|da_as_mcp_synchronized_reserve|gen_fuel_other_renewables_mw|total_pjm_rmpcp_cr|gen_fuel_solar_pct|gen_fuel_storage_mw|total_pjm_loc_credit|da_as_mcp_primary_reserve,pjm_2025_v2/04b_source_location_excl_targets/stripped_no_screening/target_congestion_price_rt/DGatingDNN/run_20260812_020606
congestion_price_rt,实时阻塞价,是,是,是,34,18,0.4079994130136685,0.4172514394074184,0.4076596409501466,1,rmccp|gen_fuel_gas_pct|gen_fuel_coal_pct|system_energy_price_da|gen_fuel_multiple_fuels_mw|gen_fuel_oil_pct|da_as_mcp_synchronized_reserve|total_pjm_assigned_reg|gross_inadv_interchange_mw|gen_fuel_storage_mw|gen_fuel_nuclear_mw|da_as_as_req_mw_synchronized_reserve|gen_fuel_other_renewables_pct|solar_generation_mw|gen_fuel_hydro_pct|total_pjm_loc_credit|total_pjm_rt_load_mwh|da_as_mcp_primary_reserve,pjm_2025_v2/04b_source_location_excl_targets/stripped_with_screening/target_congestion_price_rt/DGatingDNN/run_20260812_021034
marginal_loss_price_da,日前边际损耗价,是,是,否,48,14,0.8729509412253051,0.8440194416730185,0.8366788027031412,3,forecast_load_mw_latest_available|gen_fuel_nuclear_mw|gen_fuel_nuclear_pct|gen_fuel_coal_pct|wind_generation_mw|gen_fuel_multiple_fuels_pct|gen_fuel_gas_pct|gross_sched_interchange_mw|gen_fuel_oil_pct|da_as_mcp_synchronized_reserve|da_as_as_mw_thirty_minutes_reserve|marginal_loss_price_rt|da_as_as_mw_synchronized_reserve|total_pjm_loc_credit,pjm_2025_v2/04b_source_location_excl_targets/stripped_no_screening/target_marginal_loss_price_da/DGatingDNN/run_20260812_021536
marginal_loss_price_da,日前边际损耗价,是,是,是,34,14,0.8485190425549611,0.8682136694597057,0.7550567794491658,2,gen_fuel_gas_mw|forecast_load_mw_latest_available|gen_fuel_nuclear_mw|gen_fuel_multiple_fuels_mw|da_as_mcp_synchronized_reserve|gen_fuel_oil_pct|gen_fuel_coal_pct|gen_fuel_solar_mw|da_as_as_mw_thirty_minutes_reserve|gross_inadv_interchange_mw|marginal_loss_price_rt|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_hydro_mw|da_as_mcp_primary_reserve,pjm_2025_v2/04b_source_location_excl_targets/stripped_with_screening/target_marginal_loss_price_da/DGatingDNN/run_20260812_022051
total_lmp_da,日前总电价,是,是,否,48,13,0.9609024015116058,0.9517142287637018,0.9408622598091413,2,da_as_mcp_synchronized_reserve|forecast_load_mw_latest_available|marginal_loss_price_rt|gen_fuel_gas_mw|gen_fuel_oil_pct|da_as_as_mw_thirty_minutes_reserve|total_lmp_rt|gen_fuel_coal_pct|gen_fuel_other_renewables_pct|gross_sched_interchange_mw|gross_inadv_interchange_mw|total_pjm_reg_purchases|wind_generation_mw,pjm_2025_v2/04b_source_location_excl_targets/stripped_no_screening/target_total_lmp_da/DGatingDNN/run_20260812_022633
total_lmp_da,日前总电价,是,是,是,38,10,0.9631205162260696,0.9369460890962445,0.9117595042365993,2,da_as_mcp_synchronized_reserve|forecast_load_mw_latest_available|marginal_loss_price_rt|gen_fuel_gas_mw|gen_fuel_oil_pct|total_lmp_rt|da_as_as_mw_thirty_minutes_reserve|gross_inadv_interchange_mw|total_pjm_assigned_reg|da_as_mcp_primary_reserve,pjm_2025_v2/04b_source_location_excl_targets/stripped_with_screening/target_total_lmp_da/DGatingDNN/run_20260812_023308
da_as_total_mw_primary_reserve,日前主用备用总量,是,是,否,47,10,0.8588289163840803,0.8544436389045765,0.730216097844989,3,da_as_as_mw_synchronized_reserve|da_as_as_mw_thirty_minutes_reserve|da_as_as_req_mw_synchronized_reserve|gen_fuel_hydro_pct|gen_fuel_coal_mw|forecast_load_mw_latest_available|gen_fuel_multiple_fuels_pct|gen_fuel_wind_mw|total_pjm_assigned_reg|total_pjm_self_sched_reg,pjm_2025_v2/04b_source_location_excl_targets/stripped_no_screening/target_da_as_total_mw_primary_reserve/DGatingDNN/run_20260812_023954
da_as_total_mw_primary_reserve,日前主用备用总量,是,是,是,38,9,0.8515713602520381,0.853962831737443,0.7177472337897277,3,da_as_as_mw_synchronized_reserve|da_as_as_mw_thirty_minutes_reserve|da_as_as_req_mw_synchronized_reserve|prelim_load_avg_hourly|gen_fuel_hydro_pct|gen_fuel_coal_pct|gen_fuel_multiple_fuels_pct|total_pjm_assigned_reg|total_pjm_self_sched_reg,pjm_2025_v2/04b_source_location_excl_targets/stripped_with_screening/target_da_as_total_mw_primary_reserve/DGatingDNN/run_20260812_024546
da_as_total_mw_thirty_minutes_reserve,日前30分钟备用总量,是,是,否,48,16,0.8949160072394289,0.9029066973968132,0.8467296891174063,4,gen_fuel_nuclear_mw|system_energy_price_da|gen_fuel_gas_mw|gen_fuel_coal_pct|gen_fuel_other_renewables_mw|gen_fuel_multiple_fuels_pct|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_wind_mw|gen_fuel_hydro_pct|gross_sched_interchange_mw|gen_fuel_gas_pct|da_as_as_mw_primary_reserve|da_as_as_mw_synchronized_reserve|da_as_ss_mw_primary_reserve|total_pjm_assigned_reg|total_pjm_rmpcp_cr,pjm_2025_v2/04b_source_location_excl_targets/stripped_no_screening/target_da_as_total_mw_thirty_minutes_reserve/DGatingDNN/run_20260812_025211
da_as_total_mw_thirty_minutes_reserve,日前30分钟备用总量,是,是,是,36,14,0.8971270163148842,0.8960615470104935,0.8429474286238449,2,gen_fuel_nuclear_mw|system_energy_price_da|gen_fuel_gas_mw|gen_fuel_other_renewables_mw|gen_fuel_multiple_fuels_pct|gen_fuel_coal_pct|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_gas_pct|gen_fuel_hydro_pct|da_as_as_mw_synchronized_reserve|total_pjm_reg_purchases|da_as_as_mw_primary_reserve|total_pjm_rmpcp_cr|gross_sched_interchange_mw,pjm_2025_v2/04b_source_location_excl_targets/stripped_with_screening/target_da_as_total_mw_thirty_minutes_reserve/DGatingDNN/run_20260812_025802
